summons_image,violation_status,plate,county,judgment_entry_date,fine_amount
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVrOVVWWHBPUkUxNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GRD2844,Q,01/19/2017,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkdNeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,1B63B,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFhekJPVkdONVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GPY9306,R,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak1rOUVUVE5OUkdzMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",ADMIN REDUCTION,F73DYG,K,07/07/2016,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkd0NFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,9E15A,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkVrd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,28512PC,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRPZWswMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,28686MH,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMXFRWGxQVkdzelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HZW5521,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtFelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,83557ME,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZSWGhPVkZVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AP60017,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1NMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEZ9026,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdjeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,FBT3479,NY,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGhOZWswd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,PXX5145,Q,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJPZW1kM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GUK6003,Q,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPZW1zMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,YXH7647,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtGNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,CBE5299,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVTVEZQUkdOM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,HJJ7671,K,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVVMVVWWGRPYWtsM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,G89DXE,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtVeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HTY7171,QN,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,76703MK,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPZWtGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HFP5652,BX,10/13/2016,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFVVFZQVkdNelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HWF7333,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRk1rMXFWVEJPVkUwelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,GSD7749,K,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWtrd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,2028716,BX,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZPZW1jeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,84618MM,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkUweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,68093JZ,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVVOUVWWGxPYW1NMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,89622ME,NY,12/08/2016,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING ADJOURNMENT,GPW8102,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkdzMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HGR1481,NY,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekZPYW10M1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,JEX2099,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkdONVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,63825MB,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdzd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,80779MH,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkZreVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,WLDBOSS,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOVVaek5PZWxFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HYB1081,K,01/17/2019,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtWNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HSH1325,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNUVTWHBPYWswMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GAJ7643,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpQUkVVeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,JJM4810,BX,10/13/2016,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxVeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GLP2502,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZPZW10NFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,12866KA,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPYWtreVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,EEB3131,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRQUkZGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GYC8223,Q,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhekJPZWxFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,JBA7007,NY,05/16/2019,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOYW1NMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,35763MJ,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZOUkdOM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DEK1303,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdjMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,XM911F,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkUwMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,1ARTE9,NY,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBPZWxreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,90567MD,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPYWtrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,EEB3131,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekZPZWtVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,44956MK,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJPZWtWNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HAK5859,Q,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMTZWWHBOUkZFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GQT4001,BK,01/12/2017,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZSWGhPVkZVMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AW5369,ST,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWxFelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,81745JN,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkZrMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,2037DA,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkVsNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,OL8678J,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,617KKH,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPUkdjMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DDD1954,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZSWGhPVkZVd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,BWX8547,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVrd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,T703598C,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdONlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,GPU9379,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYW1kNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEX3758,BX,10/13/2016,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdNeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GPR2183,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRPVkVreVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",ADMIN REDUCTION,GEB8488,Q,07/21/2016,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrNXFVVEJPYW1NMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GNX8785,QN,10/26/2017,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdNMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,T631361C,NY,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxrMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HDB8092,QN,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWsxNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GTX5658,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,39377MD,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RQUkZsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,KVS85T,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOZWsweFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,36045MD,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVVOVVRVE5PVkVGM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,7CB4698,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkZreFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,ZDC3438,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpOYWxVMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HXZ1168,Q,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZhM2xQVkdNelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HBF1201,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVUVFJOYWtVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HNW7820,NY,11/16/2017,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtGM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,ENA2720,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtWNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,20228135,,,
