project_description,project_title,organization_name,agency,school_number
Reorganize and Renovate the public and program spaces to obtain a Certificate of Occupancy for building which houses (3) working theatres.  Building lacks basic elements needed to obtain a C of O.  New renovation will include a ADA compliant  street acces,Renovation and New Construction Project,"The 122 Community Center, Inc.",DCA,
"Upgrade existing electrical outlet in each classroom and create new outlets where necessary, as well as fuse boxes and amp supply will be upgraded.",Electrical Outlet Upgrade Project,Bard High School Early College,DOE,M696
"Purchase moveable equipment for Urgent Care Center which will improve quality by reducing patient length of stay, avoiding the potential of complications and having improved surgical outcomes.",Moveable End of Life Equipment Replacement Project,Lenox Hill Hospital,,
"Purchase a ticker scanner system for Ticket Central, this system is comprised of scanners, scanner handles which makes the scanners easy for ushers to use, charging cradles, batteries, and battery chargers. This will help serve their 50,000 audience membe",Ticket ScannerSystem Project,"Playwrights Horizons, Inc.",DCA,
"Restoration of deteriorated roadways and sidewalks along Ninth Avenue, from Ganswvoort Street to West 16th Street.",Ninth Avenue/Gansevoort Plaza Reconstruction Project,"Department of Transportation, NYC",DOT,
Purchase 20 interactive Smart Boards and inclusive technology to install in all occupied classrooms.,Technology Upgrade Project,Joseph C. Lanzetta,DOE,M096
"Repair/replace wood on entire stage floor (sanding/vanishing), replace old curtains with new ones, install safety rails to stairs leading to stage, remove/replace 422 seats, paint ceiling and floor under under seating, install new flooring on the walkways, install handicap lift and seating, (8) wall-ceiling fans mounted for ventillation, install any additional electric needs to support the current light and sound system.",Auditorium Renovation Project,Lower Lab School,DOE,M198
"Replacement/maintenance of all curtains and flooring, upgrade of audio/visual performance, replace seating and paint",Auditorium Improvement Project,Booker T. Washington,DOE,M054
Replace fire alarm system in all of its (5) academic buildings with a new state-of-the-art fully addressable fire alarm and detection system using microprocessor technology and graphics display.,Fire Alarm System Project,The Fashion Institute of Technology,,
Feasibility Study for project,Green Roof Project ,P.S./I.S. 217,DOE,M217
"Renovate, upgrade and expand their facilities - restore building facades and replace the main building roof in order to preserve the integrity of its NYC Landmark and National Historic Landmark buildings.",Phase II Master Plan: Facade and Roof Project,The Hispanic Society,DCA,
"Installation of a multi-purpose activity/performance space and audio visual booth, two classrooms equipped for a variety of media and technology based training programs, a Teaching Commercial Kitchen in the culinary arts for youth leadership.",Outfit a newly reconstructed Community Center space in Loisaida.,"Promesa, Inc.",,
"Redesign existing classroom space with built in shelving, pucchase glass top computer tables with 30 desktop computers, 4 laser printers, electrical upgrade. ",Media/History Lab Project for Grades 7 & 8,Patrick Henry School,DOE,M171
"Upgrade of their sound, lighting, rigging and HVAC systems; repairs of the backstage area; renovation of the stage and public spaces",MSM -John C. Borden Auditorium Renovation Project,Manhattan School of Music,DCA,
Expansion of LESC current electronic health record capabilities so its health care providers will know more about patients and be better able to coordinate and improve the quality of patient care,Electronic Health Record Upgrade,"Lower Eastside Service Center, Inc.",DDC,
Purchase mobile wireless laptop cartsallowing integration into classroom instruction. Due to overcrowding their computer lab was converted into a  classroom 8 years ago. ,Mobile Mac Laptop Classroom Integration,Robert Louis Stevenson School,DOE,M183
"(1) Elevator upgrades; roof top track system, davits and window washing rig; new marquees for Zankel Hall and Isaac Stern Auditorium/Perelman Stage; exterior architectural Lighting; a rooftop tent; new fire alarm systems for two of the three performance s",Carnegie Hall Complex Multi-year Renovation Project,The Carnegie Hall Corporation,DCA,
"Renovation of exterior envelope of building, Infrastructure 9plumbing, HVAC, electrical, etc.) Interior space.  Construction of new addition either adjacent to its current building or adding floors to the current building.",Public Service Area Improvement Project,Society of Third Street Music School Settlement,DCA,
"Installation of a much-needed Elevator and Green-Roof at Casa Mutua 54 unit walk-up supportive housing for formerly homeless, mentally ill single adults. This will help decrease isolation, increase socialization and improve the mental and physical health ",Elevator and Green-Roof Project,"Lenox Hill Neighborhood House, Inc.",HPD,
"Removal of existing roof membrane, repairs to roof as needed, Installation of a new waterproof membrane and vegetative green roof; and final phase of the project will be to install Solar Panels, including racking and inverters to connect power outputf at ",Roof Renovation Project,"Ballet Tech Foundation, Inc.",DCA,
"Implement more green technologiess in Student Computer Lab such as storage space, 25 servers, VDI Software, and smart classroom technology equipment and replacements.",Green It Upgrades Phase II,John Jay College of Criminal Justice ,CUNY,
"Replace outdated and inefficient HVAC boiler systems which will include design, technology and plumbing/electrical upgrades to support a high technical system.",HVAC Project,"Dance Theatre of Harlem, Inc.",DCA,
"Construction of a new 222,000-sq. ft facility in the Meatpacking District of Lower Manhattan - 93 Gansvoort Street includes: an 7,000 sq. ft Outdoor Plaza, 13,000 sq. ft. Outdoor Exhibition Space.",Expansion / New Construction Project,Whitney Museum of American Art,DCA,
