project_title,latitude,longitude,borough,census_tract
Initial Outfitting Project,,,,
Wavertree Ship Renovation/Construction Project,40.706631,-74.003495,MANHATTAN,1502.0
Auditorium Upgrade and Refurbishment Project,40.777455,-73.960713,MANHATTAN,142.0
Media Arts Education Infrastructure,40.729412,-74.006148,MANHATTAN,67.0
Renovation of School Auditorium,40.742129,-74.002198,MANHATTAN,83.0
Fire Alarm System Project,40.747031,-73.99476,MANHATTAN,95.0
Projection System Upgrade Project,40.74697,-74.006475,MANHATTAN,99.0
Smart Board Project,40.795157,-73.973292,MANHATTAN,183.0
Rehabilitation Project for Phase II Affordable Housing Tenement Preservation ,40.718954,-73.987056,MANHATTAN,1402.0
Recreation Hall Renovation Project,40.854783,-73.927909,MANHATTAN,277.0
CASES Harlem Location Initial Outfitting,40.716696,-74.004163,MANHATTAN,31.0
Auditorium Renovation Project,40.784826,-73.949611,MANHATTAN,15801.0
Flatiron Plaza Construction Project,40.703597,-74.009781,MANHATTAN,9.0
Carriage House Renovation Project,40.78917,-73.972525,MANHATTAN,173.0
Gallery Environmental Stabilization Project,40.793072,-73.951992,MANHATTAN,168.0
Space Enhancement Project,40.756571,-73.98819,MANHATTAN,119.0
Renovation of  infrastructure and interior space Project,40.716092,-73.999203,MANHATTAN,29.0
NYC AIDS Memorial Project,,,,
Streetscape Improvement Plan,40.72748,-74.00548,MANHATTAN,37.0
"Instructional Spaces Upgrade, HVAC Upgrades to IT Closets, Replacement of Rooftop AC Unit",40.716838,-74.012117,MANHATTAN,39.0
Elevator and Green-Roof Project,40.766925,-73.95795,MANHATTAN,126.0
 Broadcast News Network System Project ,40.799178,-73.964842,MANHATTAN,189.0
Roof Renovation Project,40.73859,-73.989911,MANHATTAN,52.0
Early Childhood Discovery and Design Media Center Project,40.798511,-73.949251,MANHATTAN,186.0
Preservation Study and Assessment and Restoration of the Landmark Soldiers' Monument Project.,40.811101,-73.964168,MANHATTAN,205.0
NEST+m GreenLab Project,40.718895,-73.979308,MANHATTAN,2201.0
Carnegie Hall Complex Multi-year Renovation Project,40.764941,-73.980445,MANHATTAN,137.0
Demolition/ Facility Upgrade,40.728505,-73.984634,MANHATTAN,40.0
Lighting Control Console ,40.80145,-73.948342,MANHATTAN,190.0
Ninth Avenue/Gansevoort Plaza Reconstruction Project,40.703597,-74.009781,MANHATTAN,9.0
East 4th Street Cultural District Green Infrastructure Program Project,40.726755,-73.990735,MANHATTAN,38.0
Auditorium Improvement Project,40.800119,-73.962837,MANHATTAN,193.0
Infrastructure Replacement Project,40.778633,-73.962546,MANHATTAN,143.0
Boiler Project,40.703279,-74.008039,MANHATTAN,7.0
Technology Upgrade and Locker Safety Renovation ,40.839305,-73.936159,MANHATTAN,249.0
Rebuild the Battery Family Comfort Station and Park Office,40.703973,-74.013164,MANHATTAN,9.0
Rooftop Greenhouse Science Center Project,40.778059,-73.984449,MANHATTAN,155.0
Pool Filtration System Replacement Project.,40.777961,-73.943995,MANHATTAN,152.0
Building Envelope Renovation Project,40.715155,-73.984045,MANHATTAN,12.0
The Green Outlook Project,40.811101,-73.964168,MANHATTAN,205.0
Garment District Lamppost Unification and Modernization Project,40.753769,-73.98937,MANHATTAN,113.0
Baruch College Welcome Center Project,40.740601,-73.983389,MANHATTAN,68.0
Computer Upgrade Project,40.795146,-73.948368,MANHATTAN,17401.0
DSNY Mobile Command Center,40.715428,-74.002673,MANHATTAN,31.0
Green Roof Project,40.791179,-73.947776,MANHATTAN,166.0
Renovation Project,40.747495,-74.005756,MANHATTAN,99.0
