the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-73.90906438785107, 40.8631547994838]}",-73.9090643878511,253761.242527053,WEST FORDHAM ROAD,SEDGWICK AVENUE
"{'type': 'Point', 'coordinates': [-73.9312119990827, 40.694712769549966]}",-73.9312119990827,192386.533911899,MALCOLM X BOULEVARD,BROADWAY
"{'type': 'Point', 'coordinates': [-73.9136960554112, 40.67649567253065]}",-73.9136960554112,185753.818830892,THOMAS S BOYLAND STREET,ATLANTIC AVENUE
"{'type': 'Point', 'coordinates': [-73.97916718418995, 40.69348832297794]}",-73.9791671841899,191933.629305899,ASHLAND PLACE,MYRTLE AVENUE
"{'type': 'Point', 'coordinates': [-73.82348245178675, 40.76465179093493]}",-73.8234824517867,217909.27846998,NORTHERN BOULEVARD,PARSONS BOULEVARD
"{'type': 'Point', 'coordinates': [-73.88524098830993, 40.749651152999064]}",-73.8852409883099,212415.618525565,81 STREET,37 AVENUE
"{'type': 'Point', 'coordinates': [-73.9438427568398, 40.82364780072588]}",-73.9438427568398,239359.284126312,WEST 145 STREET,EDGECOMBE AVENUE
"{'type': 'Point', 'coordinates': [-73.92249750860745, 40.60980907933885]}",-73.9224975086074,161455.80049789,AVENUE U,FLATBUSH AVENUE
"{'type': 'Point', 'coordinates': [-73.79243099200043, 40.75308481254269]}",-73.7924309920004,213713.919734731,46 AVENUE,UTOPIA PARKWAY
"{'type': 'Point', 'coordinates': [-73.94714602404584, 40.67594185064902]}",-73.9471460240458,185544.675876483,NEW YORK AVENUE,BERGEN STREET
"{'type': 'Point', 'coordinates': [-74.08587511875717, 40.59589012095557]}",-74.0858751187572,156386.936291814,QUINTARD STREET,HYLAN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.94161922607768, 40.798623638853364]}",-73.9416192260777,230242.494945228,EAST 116 STREET,LEXINGTON AVENUE
"{'type': 'Point', 'coordinates': [-73.93060405601646, 40.65380495575892]}",-73.9306040560165,177482.785832316,UTICA AVENUE,LINDEN BOULEVARD
"{'type': 'Point', 'coordinates': [-74.00198507545963, 40.75578124965593]}",-74.0019850754596,214628.189231649,WEST 34 STREET,11 AVENUE
"{'type': 'Point', 'coordinates': [-73.99951049453068, 40.59644180795153]}",-73.9995104945307,156576.240375146,BAY PARKWAY,SHORE PARKWAY
"{'type': 'Point', 'coordinates': [-73.93095113088133, 40.67058280436543]}",-73.9309511308813,183595.348738387,ST JOHNS PLACE,UTICA AVENUE
"{'type': 'Point', 'coordinates': [-73.87766946511634, 40.73675259979183]}",-73.8776694651163,207719.108233556,BROADWAY,QUEENS BOULEVARD
"{'type': 'Point', 'coordinates': [-73.82946930225015, 40.75819353568077]}",-73.8294693022501,215553.043353066,KISSENA BOULEVARD,MAIN STREET
"{'type': 'Point', 'coordinates': [-73.9786254596998, 40.689838940366656]}",-73.9786254596998,190604.088329807,ASHLAND PLACE,DEKALB AVENUE
"{'type': 'Point', 'coordinates': [-73.990315176745, 40.76160631549391]}",-73.990315176745,216750.593123317,WEST 47 STREET,9 AVENUE
"{'type': 'Point', 'coordinates': [-73.99260322283926, 40.72413644924569]}",-73.9926032228393,203099.065636396,BOWERY,EAST HOUSTON STREET
"{'type': 'Point', 'coordinates': [-73.77469730180438, 40.68048604652976]}",-73.7746973018044,187276.197675899,BEDELL STREET,BAISLEY BOULEVARD
"{'type': 'Point', 'coordinates': [-73.925043426772, 40.844422190435814]}",-73.925043426772,246932.054085732,MAJOR DEEGAN EXPWY ET 7 N SB,UNDERCLIFF AVENUE
"{'type': 'Point', 'coordinates': [-73.96853234139625, 40.576305031601244]}",-73.9685323413963,149241.476173311,BRIGHTON BEACH AVENUE,OCEAN PARKWAY
"{'type': 'Point', 'coordinates': [-73.93741852777376, 40.80437467810967]}",-73.9374185277738,232338.602629647,LEXINGTON AVENUE,EAST 125 STREET
