the_geom,unitid,boro
"{'type': 'Point', 'coordinates': [-73.83766432796182, 40.72403034021015]}",H427742,4
"{'type': 'Point', 'coordinates': [-73.99608586486568, 40.686524733328106]}",H301127,3
"{'type': 'Point', 'coordinates': [-73.82794556863338, 40.71106972667924]}",H424283,4
"{'type': 'Point', 'coordinates': [-73.91289250895464, 40.64434661766513]}",H325449,3
"{'type': 'Point', 'coordinates': [-73.77866390032852, 40.69572399879642]}",H403040,4
"{'type': 'Point', 'coordinates': [-74.19540484734357, 40.51998674132948]}",H504726,5
"{'type': 'Point', 'coordinates': [-74.02245027878601, 40.62207451461303]}",H302810,3
"{'type': 'Point', 'coordinates': [-74.14190883082597, 40.54590322247752]}",H511322,5
"{'type': 'Point', 'coordinates': [-73.86441915248642, 40.6647270844909]}",H331297,3
"{'type': 'Point', 'coordinates': [-74.24001237209542, 40.51718437092391]}",H500506,5
"{'type': 'Point', 'coordinates': [-73.83972428254935, 40.88983375496667]}",H208796,2
"{'type': 'Point', 'coordinates': [-73.7169141632229, 40.7318733476831]}",H417570,4
"{'type': 'Point', 'coordinates': [-73.86560064889719, 40.901597080727115]}",H205294,2
"{'type': 'Point', 'coordinates': [-73.89965053860304, 40.71271453834801]}",H433649,4
"{'type': 'Point', 'coordinates': [-73.85277863221114, 40.67834652867348]}",H425201,4
"{'type': 'Point', 'coordinates': [-73.98840528075816, 40.63738259173736]}",H309116,3
"{'type': 'Point', 'coordinates': [-73.86228559638785, 40.67870381832273]}",H330719,3
"{'type': 'Point', 'coordinates': [-73.89346519273985, 40.746221498141914]}",H435597,4
"{'type': 'Point', 'coordinates': [-73.99983651077127, 40.65798175326063]}",H304184,3
"{'type': 'Point', 'coordinates': [-73.88960919846667, 40.847310811465405]}",H207311,2
"{'type': 'Point', 'coordinates': [-73.73926695994402, 40.68735222969732]}",H409716,4
"{'type': 'Point', 'coordinates': [-73.89135627286109, 40.83269074710838]}",H206954,2
"{'type': 'Point', 'coordinates': [-73.76346094789866, 40.67559608952335]}",H405845,4
"{'type': 'Point', 'coordinates': [-73.98914034871231, 40.661898802480124]}",H304743,3
"{'type': 'Point', 'coordinates': [-74.0787090552376, 40.62846449101085]}",H513519,5
"{'type': 'Point', 'coordinates': [-73.93569187481359, 40.73528872722269]}",H439410,4
"{'type': 'Point', 'coordinates': [-73.94707857999033, 40.63605048922133]}",H319609,3
"{'type': 'Point', 'coordinates': [-73.88615246393285, 40.866299480113604]}",H204205,2
"{'type': 'Point', 'coordinates': [-73.86821010427765, 40.72427116438223]}",H430386,4
"{'type': 'Point', 'coordinates': [-73.943601462602, 40.62218083000597]}",H320047,3
"{'type': 'Point', 'coordinates': [-73.85212612377761, 40.86156344730634]}",H211045,2
"{'type': 'Point', 'coordinates': [-73.92463200843837, 40.75851086027111]}",H438921,4
"{'type': 'Point', 'coordinates': [-73.81783001309229, 40.60722094572196]}",H409933,4
"{'type': 'Point', 'coordinates': [-73.85715326310178, 40.832633360902804]}",H210296,2
"{'type': 'Point', 'coordinates': [-73.90771813841127, 40.69582152858815]}",H322470,3
"{'type': 'Point', 'coordinates': [-73.82148269888899, 40.71320814133872]}",H424337,4
"{'type': 'Point', 'coordinates': [-73.81489900679492, 40.719557307486596]}",H423890,4
"{'type': 'Point', 'coordinates': [-73.96391011720085, 40.602441816073515]}",H318926,3
"{'type': 'Point', 'coordinates': [-74.1614457269805, 40.595376852382884]}",H503387,5
