scope_text,city_plan_total,city_yr4_plan,city_yr5_plan,noncity_rtc,city_rtc,site_descr,city_yr3_plan,typ_category_name,noncity_yr3_plan
"AS PART OF THE MAYOR'S ACTION PLAN FOR NEIGHBORHOOD SAFETY, NYCHA IS REPLACING DEVELOPMENT'S OUTDATED EXTERIOR LIGHTING SYSTEM WITH STATE-OF-THE-ART, ENERGY-EFFICIENT LED LIGHTING FOR ENTRANCES, WALKWAYS AND PARKING AREAS TO IMPROVE SAFETY IN PUBLIC SPACES FOR RESIDENTS, NYCHA STAFF, VISITORS AND VENDORS.
THE NEW LIGHT INSTALLATION AS PART OF MOCJIS DESIGNED TO ENHANCE SAFETY AND REDUCE VIOLENCE AT NYCHA SITES ACCOUNTING FOR A SIGNIFICANT PORTION OF VIOLENT CRIME IN PUBLIC HOUSING.
IN ADDITION, THIS WORK WILL ELIMINATE THE ONGOING OPERATING EXPENSE BEING INCURRED BY MAINTAINING PORTABLE LIGHT-SETS AT MANY OF THE LOCATIONS.",12478,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
"CITY TUNNEL 3, REPAIR LEAK@ SHAFT 15B",160,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
RENOVATION,5383,0,0,0,0,TIMES SQUARE,0,POLICE FACILITIES,0
HILLVIEW MAINTENANCE SHOP,5250,0,0,0,0,,5250,WATER QUALITY PRESERVATION,0
LOCKER ROOMS,59700,6000,2283,0,0,CITYWIDE,6000,POLICE FACILITIES,0
NEW CROTON DAM RECONSTRUCTION,147884,15000,0,0,120000,,0,WATER QUALITY PRESERVATION,0
TO CONSTRUCT A CONNCECTION FROM SHAFT 4 OF THE DELAWARE AQUEDUCT TO THE CATSKILL AQUEDUCT.,31260,0,0,0,0,TO CONSTRUCT A CONNCECTION FROM SHAFT 4 OF THE DELAWARE AQUEDUCT TO THE CATSKILL AQUEDUCT,0,WATER FOR THE FUTURE,0
RESIDUAL CHLORINE REDUCTION PROGRAM,173538,0,0,0,78895,RESIDUAL CHLORINE REDUCTION PROGRAM,0,CONSENT DECREE UPGRADING AND CONSTRUCTION,0
DEL SHAFT 18 KENSICO ELECTRICAL UPGRADE,9103,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
BOILER REPLACEMENTS,2430,0,0,0,0,,0,POLICE FACILITIES,0
CATSKILL AQUEDUCT PRESSURE CAPS-MODNA SIPHON,26710,0,0,0,20664,,0,WATER QUALITY PRESERVATION,0
ESTIMATE,3000,0,0,0,0,,2700,POLICE FACILITIES,0
CITYIWDE FERRY SERVICE BARGES,111914,0,0,0,0,,0,WATERFRONT DEVELOPMENT,0
REPLACE 5 AND 27 KV ELECTRICAL POWER FEEDERS AT RI.,5290,0,0,0,0,,0,BUILDING SYSTEMS AND INFRASTRUCTURE,0
WEST BRANCH AUXILIARY DAM-CREEP REMEDIATION,8600,0,0,0,0,,8600,WATER QUALITY PRESERVATION,0
NYCHA SECURITY CAMERAS -- SECURITY CAMERAS AT A NYCHA FACILITY IN DISTRICT 8.,250,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
WATER UTILITIES- EC299,994,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
"WASTE MANAGEMENT SYSTEM -- NYCHA WASTE MANAGEMENT SYSTEM THAT INCLUDELARGE OUTDOOR COMPACTORS.
HOUSING AUTHORITY CITY CAPITAL SUBSIDIES --GARBAGE CONTAINMENT COMPACTORS",1303,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
FUNDING FOR DIGITAL VAN,160,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
HVAC,20800,215,2500,0,0,CITYWIDE,0,POLICE FACILITIES,0
TRAINING CENTERS,9613,0,0,0,0,CITYWIDE,0,POLICE FACILITIES,0
NEIGHBORHOOD FUND,246657,91104,60324,0,60324,,34905,NEIGHBORHOOD REVITALIZATION,0
"THIS PROJECT IS TO PROVIDE THE NEW YORK CITY DEPARTMENT OF ENVIRONMENTAL PROTECTION (""DEP""), BUREAU OF WATER SUPPLY WITH SERVICES TO REMOVEAND DISPOSE OF CONTAMINATED LEAD AND/OR NON-LEAD BASED PAINT AND CONTAMINANTS.  THIS PROJECT REQUIRES PAINT ABATEMENT AND ASSOCIATED WORK TO STRUCTURES DIRECTLY ABOVE OR ADJOINING ACCESS TO DEP WATER SUPPLY.  IN SOME FACILITIES THE PAINT MAY ALSO CONTAIN ASBESTOS, ARSENIC, CADMIUM, MERCURY, AND POLYCHLORINATED BIPHENYLS (""PCB"").",909,0,0,0,0,,0,FACILITY PURCHASES AND RECONSTRUCTION,0
4101 WHITE PLAINS RD - HVAC UPGRADE,363,0,0,0,0,,363,REHABILITATION OF CITY-OWNED OFFICE SPACE,0
BEN NESIN FACILITY/ASHOKAN RECONSTRUCTION,11317,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
SPOFFORD REDEVELOPMENT,15000,0,0,0,0,,0,INDUSTRIAL DEVELOPMENT,0
MULTI COMPONENT RENOVATIONS - EMS 4,3737,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
AIR MONITORING ANALYSIS,1500,1500,0,0,0,,0,FACILITY PURCHASES AND RECONSTRUCTION,0
SECURITY ENHANCEMENTS AT VARIOUS LOCATIONS,10000,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
PROVIDE SPACE IN EACH COMMUNITY COLLEGE TO OFFER RESOURCES FOR SMALL BUSINESS OWNERS.,7160,0,7160,0,0,,0,MISCELLANEOUS RECONSTRUCTION,0
"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",111294,0,0,0,0,VARIOUS WPCPS IN VARIOUS REGIONS AND LOCATIONS CITY-WIDE,0,PLANT UPGRADING AND RECONSTRUCTION,0
"INTER GOV'T AGREEMENT-DEP CONTRIBUTE FINANCIAL ASSISTANCE TO THE TOWNOF WAWARSING TO MANAGE, COORDINATE, AND ADMINISTER THE PUBLIC WATER PROJECT WHICH CALLS FOR THE CONSTRUCTION OF A NEW PUBLIC WATER SYSTEM IN THE TOWN OF WAWARSING.",19000,12000,0,0,0,,0,WATER QUALITY PRESERVATION,0
CATSKILL & DELAWARE ULTRAVIOLET LIGHT TREATMENT FACILITIES,1572769,0,0,0,0,CATSKILL & DELAWARE RESERVIORS,0,WATER QUALITY PRESERVATION,0
PINE HILL MUNICIPAL WATER LINE EXTENSION,1700,0,0,0,0,,1700,MISCELLANEOUS IMPROVEMENTS UPSTATE,0
GREEN INFRASTRUCTURE GRANT PROGRAM,17383,0,0,0,0,,2726,GREEN INFRASTRUCTURE PROGRAM,0
