the_geom,street,postvz_sl,postvz_sg,shape_leng
"{'type': 'MultiLineString', 'coordinates': [[[-74.19078726299539, 40.547408831304516], [-74.19152885725866, 40.546915890112466]]]}",WOODROW ROAD,30,YES,273.368607765
"{'type': 'MultiLineString', 'coordinates': [[[-74.11435258554535, 40.61516790709227], [-74.11414717749994, 40.613749763405636]]]}",ROYAL OAK ROAD,25,NO,519.804664715
"{'type': 'MultiLineString', 'coordinates': [[[-74.08461359239547, 40.6308475776885], [-74.08482381541873, 40.630583435393774]]]}",WARD AVENUE,25,NO,112.542829894
"{'type': 'MultiLineString', 'coordinates': [[[-74.07253698163942, 40.62247225857637], [-74.07381515284328, 40.621805311015635]]]}",VANDERBILT AVENUE,25,YES,430.051385416
"{'type': 'MultiLineString', 'coordinates': [[[-74.1028924044458, 40.6317047005805], [-74.10272890675117, 40.63092750891074]]]}",WALBROOKE AVENUE,25,NO,286.765392271
"{'type': 'MultiLineString', 'coordinates': [[[-74.08849144541202, 40.623457311906336], [-74.0885461983991, 40.62262683664162]]]}",HOWARD AVENUE,25,YES,302.945657989
"{'type': 'MultiLineString', 'coordinates': [[[-74.1148089873476, 40.57316729923663], [-74.11576212888319, 40.57217505248718]]]}",9 STREET,25,NO,448.104203711
"{'type': 'MultiLineString', 'coordinates': [[[-74.12749277750947, 40.57979640392103], [-74.12720534505299, 40.579931387027486], [-74.12720502763175, 40.57993154046817], [-74.12720473147013, 40.57993169388533], [-74.12692547953515, 40.580076753109964], [-74.12692529074711, 40.58007685147577], [-74.12692511377342, 40.58007695162952], [-74.1266549826632, 40.58023158170173], [-74.12665445175162, 40.58023188846549], [-74.12665395747106, 40.580232204194104], [-74.12639349225078, 40.58039611640865], [-74.12639339788235, 40.58039617954921], [-74.12639330469499, 40.58039624268846], [-74.12614291936993, 40.580569157495454]]]}",NEVADA AVENUE,25,NO,469.882438038
"{'type': 'MultiLineString', 'coordinates': [[[-74.0094972223323, 40.652823561780785], [-74.01008123262923, 40.6522657037635]]]}",3 AVENUE,25,YES,259.938455125
"{'type': 'MultiLineString', 'coordinates': [[[-74.0804566349296, 40.63550524113851], [-74.08176102269759, 40.634264593065545]]]}",WARD AVENUE,25,NO,579.115432567
"{'type': 'MultiLineString', 'coordinates': [[[-74.07756580864378, 40.63332386416559], [-74.07794829457437, 40.63255733448936]]]}",BREWSTER STREET,25,NO,298.765405721
"{'type': 'MultiLineString', 'coordinates': [[[-74.15468243370847, 40.58760126618087], [-74.15507220814692, 40.587822116799316]]]}",KLONDIKE AVENUE,25,NO,134.885349168
"{'type': 'MultiLineString', 'coordinates': [[[-74.00279721078127, 40.57464494550668], [-74.00254973027486, 40.57333527259684]]]}",WEST 37 STREET,25,NO,482.073917899
"{'type': 'MultiLineString', 'coordinates': [[[-73.98818822702712, 40.60042013684847], [-73.98877081320433, 40.599863240237696]]]}",24 AVENUE,25,NO,259.496511773
