buildingid,isaep,worktypegeneral,iscommercialdemolition,apartment,streetname,nta
120666,,GC,,12,WEBSTER AVENUE,Bedford Park-Fordham North
43157,,GC,,21,WEST 170 STREET,Washington Heights South
654186,,PLUMB,,1,FARMERS BOULEVARD,Springfield Gardens South-Brookville
576299,,GC,,,171 STREET,Jamaica
89764,,GC,,3F,KINGSBRIDGE TERRACE,Kingsbridge Heights
804359,,GC,,1B,HAVEN PLAZA,Lower East Side
73382,,DELEAD,,3A,EAST 242 STREET,Wakefield-Woodlawn
73719,,GC,,,EAST GUN HILL ROAD,Norwood
321951,,GC,,6,LAFAYETTE AVENUE,Stuyvesant Heights
79847,,GC,,6D,FURMAN AVENUE,Wakefield-Woodlawn
44721,,GC,,SECOND,ADEE AVENUE,Williamsbridge-Olinville
94401,,GC,,EB,MARION AVENUE,Bedford Park-Fordham North
62216,,GC,,3C,EDWARD L GRANT HIGHWAY,Highbridge
151959,,GC,,,46 STREET,Sunset Park East
34902,,GC,,,WEST 71 STREET,Upper West Side-Lincoln Square
809072,,GC,,F7,OCEAN PARKWAY,West Brighton
582457,,GC,,,184 STREET,Springfield Gardens North
42537,,GC,,26,WEST 152 STREET,Hamilton Heights-Sugar Hill
98082,,GC,,,MT HOPE PLACE,Mount Hope
116660,,GC,,,UNIVERSITY AVENUE,Kingsbridge Heights
327112,,GC,,2R,LINDEN BOULEVARD,East New York (Pennsylvania Ave)
372268,,GC,,6,SOUTH 4 STREET,North Side-South Side
999509,,GC,,4C,ELSMERE PLACE,Tremont
806248,,GC,,,AQUEDUCT AVENUE EAST,Kingsbridge Heights
425622,,ASBEST,,,38 AVENUE,Flushing
60336,,GC,,6,DALY AVENUE,West Farms
117076,,GC,,6,VALENTINE AVENUE,Fordham South
365034,,DELEAD,,1R,RUTLAND ROAD,Rugby-Remsen Village
163984,,DELEAD,,2F,63 STREET,Bensonhurst East
93369,,DELEAD,,3E,LYDIG AVENUE,Pelham Parkway
108628,AEP,GC,,ST1,SELWYN AVENUE,Mount Eden-Claremont (West)
126332,,GC,,,ZEREGA AVENUE,Westchester-Unionport
33345,,ASBEST,,,WEST 46 STREET,Clinton
79837,,GC,,3H,FURMAN AVENUE,Wakefield-Woodlawn
351185,,GC,,2,PARK AVENUE,Fort Greene
28028,,GC,,2D,ST NICHOLAS AVENUE,Washington Heights (North)
43157,,GC,,,WEST 170 STREET,Washington Heights South
808313,,GC,,,FOSTER AVENUE,East Flatbush-Farragut
249525,,GC,,6K,EAST 21 STREET,Flatbush
5801,AEP,GC,,6,AMSTERDAM AVENUE,Washington Heights South
52016,,GC,,B9,BRONX PARK EAST,Bronxdale
114410,,DELEAD,,F7,TIEBOUT AVENUE,Mount Hope
999504,,ASBEST,,,119 ROAD,
