omonumber,latitude,longitude,omoawarddate,zip,lifecycle,servicechargeflag,omostatusreason,femaeventid
EN04426,40.682864,-73.966757,,11238.0,Standing Building,False,Condition Different than Stated,
EO11444,40.905645,-73.849026,2023-10-26T00:00:00.000,10470.0,Standing Building,False,OMO Completed,
EL02038,40.84381,-73.934047,2020-08-10T00:00:00.000,10033.0,Standing Building,True,Landlord Complied,
EK25395,40.74085,-74.003006,2020-05-13T00:00:00.000,10011.0,Standing Building,False,OMO Completed,
EL01277,40.659457,-73.891292,2020-08-10T00:00:00.000,11207.0,Standing Building,True,Landlord Complied,
EN14672,40.834281,-73.896926,2023-04-20T00:00:00.000,10456.0,Standing Building,False,OMO Completed,
EO02197,40.855865,-73.864777,2023-08-02T00:00:00.000,10462.0,Standing Building,True,Owner Refused Access,
EL01760,40.679718,-73.937018,2020-09-03T00:00:00.000,11213.0,Standing Building,True,No Access,
DN00188,40.681877,-73.959182,2022-11-18T00:00:00.000,11238.0,Standing Building,False,OMO Completed,
EM04522,40.702385,-73.83194,2021-11-04T00:00:00.000,11415.0,Standing Building,True,Owner Refused Access,
EN06662,40.840838,-73.910309,2022-09-20T00:00:00.000,10457.0,Standing Building,False,Duplicate OMO,
EM22127,40.64774,-73.959517,2022-07-12T00:00:00.000,11226.0,Standing Building,False,OMO Completed,
EN26118,40.818518,-73.945088,2023-05-05T00:00:00.000,10030.0,Standing Building,True,Landlord Complied,
EO18632,40.842519,-73.852823,2024-01-30T00:00:00.000,10461.0,Standing Building,True,No Access,
DM00397,40.760956,-73.830378,2022-03-28T00:00:00.000,11354.0,Standing Building,False,OMO Completed,
EN05982,40.848795,-73.909565,2022-09-09T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EM21162,40.837894,-73.942065,,10032.0,Standing Building,False,,
EK02451,40.612949,-73.963939,2019-08-14T00:00:00.000,11230.0,Standing Building,False,Work Not Started,
EN13231,40.620977,-73.955308,2023-03-01T00:00:00.000,11210.0,Standing Building,False,OMO Completed,
EN01347,40.862217,-73.870509,2022-09-24T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
EM00826,40.628918,-73.991289,2021-07-29T00:00:00.000,11219.0,Standing Building,True,Owner Refused Access,
EN04200,40.855232,-73.91423,2022-08-19T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EM21346,40.864049,-73.902342,2022-04-07T00:00:00.000,10468.0,Standing Building,True,No Access,
DM00527,,,2022-06-06T00:00:00.000,11434.0,Standing Building,False,OMO Completed,
EM15202,40.710439,-73.958999,2022-04-13T00:00:00.000,11211.0,Standing Building,True,No Access,
EM27146,40.615978,-74.030908,2022-07-14T00:00:00.000,11209.0,Standing Building,False,OMO Completed,
EM01450,40.757774,-73.87238,2021-08-06T00:00:00.000,11369.0,Standing Building,True,No Access,
EN18023,40.862034,-73.923563,2023-04-20T00:00:00.000,10034.0,Standing Building,False,OMO Completed,
EN01761,40.876299,-73.884591,2022-09-24T00:00:00.000,10458.0,Standing Building,False,OMO Completed,
EM14026,40.701346,-73.783403,2022-01-11T00:00:00.000,11433.0,Standing Building,False,OMO Completed,
EO10855,40.744992,-73.924986,2023-11-01T00:00:00.000,11104.0,Standing Building,True,No Access,
DO00269,40.738216,-73.87316,2024-05-21T00:00:00.000,11373.0,Standing Building,False,OMO Completed,
EL22503,40.862101,-73.909236,2021-07-21T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EL02055,40.84716,-73.936932,2020-08-27T00:00:00.000,10033.0,Standing Building,True,Owner Refused Access,
EM19272,40.851266,-73.882994,2022-04-14T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EO10465,40.836877,-73.938022,2024-01-30T00:00:00.000,10032.0,Standing Building,False,OMO Completed,
EM21001,40.708645,-73.789395,2022-04-20T00:00:00.000,11432.0,Standing Building,True,Owner Refused Access,
EK24725,40.696181,-73.971604,,11205.0,Standing Building,False,Duplicate OMO,
EN05972,40.869871,-73.905985,2022-09-09T00:00:00.000,10463.0,Standing Building,False,OMO Completed,
EM26548,40.87224,-73.864823,2022-07-22T00:00:00.000,10467.0,Standing Building,True,Landlord Complied,
EO11778,40.638361,-73.945315,2023-11-16T00:00:00.000,11210.0,Standing Building,False,Work Not Started,
EM27523,40.675664,-73.954712,2022-07-12T00:00:00.000,11216.0,Standing Building,True,No Access,
EL23575,40.578455,-73.956593,2021-05-19T00:00:00.000,11235.0,Standing Building,True,Landlord Complied,
EN05848,40.77157,-73.926479,2022-11-29T00:00:00.000,11102.0,Standing Building,False,Work Rejected,
EO08257,40.708047,-73.89342,2023-10-02T00:00:00.000,11385.0,Standing Building,False,OMO Completed,
EO11718,40.897645,-73.853797,2023-11-01T00:00:00.000,10466.0,Standing Building,False,OMO Completed,
EO10059,40.825551,-73.93662,2024-01-30T00:00:00.000,10039.0,Standing Building,False,OMO Completed,
EN05959,40.859148,-73.897209,2022-09-13T00:00:00.000,10458.0,Standing Building,False,OMO Completed,
EO11685,40.640907,-73.933116,2023-11-01T00:00:00.000,11203.0,Standing Building,False,OMO Completed,
EN01967,40.662296,-73.926953,2022-09-15T00:00:00.000,11212.0,Standing Building,False,Work Partially Completed,
EK25430,40.72606,-73.848329,2020-05-13T00:00:00.000,11375.0,Standing Building,True,No Access,
EN12739,40.861544,-73.92925,2023-04-20T00:00:00.000,10040.0,Standing Building,False,OMO Completed,
EK25401,40.848237,-73.887275,2020-05-13T00:00:00.000,10457.0,Standing Building,False,OMO Completed,
EO18198,40.612677,-74.083078,2024-01-29T00:00:00.000,10304.0,Standing Building,False,Work Not Started,
EN02302,40.700651,-73.914642,,11237.0,Standing Building,False,,
EL01123,40.845253,-73.883698,2020-08-10T00:00:00.000,10460.0,Standing Building,True,Work Done by Others,
EO11567,40.80954,-73.921806,2023-11-01T00:00:00.000,10454.0,Standing Building,True,No Access,
EM15249,40.657749,-73.896568,2022-04-14T00:00:00.000,11207.0,Standing Building,True,No Access,
DL00071,40.696458,-73.80806,2020-09-28T00:00:00.000,11435.0,Standing Building,False,,
EN13775,40.76175,-73.873076,2022-12-14T00:00:00.000,11369.0,Standing Building,True,Condition Different than Stated,
EO11385,40.848728,-73.89613,2023-11-01T00:00:00.000,10457.0,Standing Building,True,Owner Refused Access,
EM04488,40.750161,-73.880457,2021-11-04T00:00:00.000,11372.0,Standing Building,True,Owner Refused Access,
EN00105,40.86822,-73.918241,2022-07-07T00:00:00.000,10034.0,Standing Building,True,No Access,
EM17234,40.652491,-73.914602,,11236.0,Standing Building,False,No Access,
EL00300,40.692345,-73.929826,2020-08-10T00:00:00.000,11221.0,Standing Building,True,No Access,
