coordinates,new_name,limits,:@computed_region_yeji_bk3q
"{'type': 'Point', 'coordinates': [-73.89647928699998, 40.81971817300007]}",Mothers on the Move/MOM Way,At the intersection of Kelly Street and Intervale Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.82968599599997, 40.709348000000034]}",Aaron Adler Way,At the northwest corner of Lefferts Boulevard and Austin Street,3.0
"{'type': 'Point', 'coordinates': [-73.83178298099995, 40.699748570000054]}",Detective Brian Simonsen Way,At the southwest corner of 118th Street and Jamaica Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.95318302999993, 40.77165198500006]}",Patrolman George R. Connelly Way,At the intersection of East 78th Street and 1st Avenue,4.0
"{'type': 'Point', 'coordinates': [-73.89601501399994, 40.86583591900006]}",Sylvester Royer Corner,At the intersection of Creston Avenue and 193rd Street,5.0
"{'type': 'Point', 'coordinates': [-74.10747249299999, 40.63956701500007]}",Richard A. Carabba Way,Underneath Bard Avenue and the Northeast corner of Walnut Street,1.0
"{'type': 'Point', 'coordinates': [-73.95283098999994, 40.74247061500006]}",New York Irish Center Place,At the intersection of Jackson Avenue and 50th Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.86446361699996, 40.83231583500003]}",Kenneth Giordano Way,At the intersection of Westchester Avenue and Theriot Avenue,5.0
"{'type': 'Point', 'coordinates': [-74.07822326499996, 40.63527386900006]}",Detective James V. Nemorin Way,At the southeast corner of St. Paul’s Avenue and Hannah Street,1.0
"{'type': 'Point', 'coordinates': [-73.92443971399996, 40.86526597000005]}",Firefighter Thomas C. Brick Way,On the Southwest Corner of Academy Street and Vermilyea Avenues,4.0
"{'type': 'Point', 'coordinates': [-73.95576909799996, 40.64952085700003]}",John H. Bunyan Way,At the intersection of Erasmus Street and Bedford Avenue,2.0
"{'type': 'Point', 'coordinates': [-74.10982495799993, 40.57911300600006]}",Major Joseph R. Sciacca Way,At the intersection of Fremont Avenue and North Railroad Avenue,1.0
