permitnumber,feetype,permitfeeamountcharged,createdon,modifiedon
M022022087A96,ADMINISTRATION FEE,50,2022-03-28T11:02:14.000,2022-06-28T00:05:10.000
B012024066D20,INSPECTION FEE,245,2024-03-06T16:27:21.000,2024-04-11T00:05:13.000
M022024150B24,ADMINISTRATION FEE,50,2024-05-29T13:04:27.000,2024-07-03T15:09:44.000
S012021264A85,ADMINISTRATION FEE,2430,2021-09-21T07:20:09.000,2021-10-03T00:05:12.000
B012018134B38,ADMINISTRATION FEE,270,2018-05-14T09:22:41.000,2021-06-30T00:05:17.000
Q162021208A36,ADMINISTRATION FEE,30,2021-07-27T12:20:22.000,2021-08-01T00:05:08.000
Q012018347B99,ADMINISTRATION FEE,135,2018-12-13T10:27:22.000,2022-01-16T00:05:35.000
B022021250A35,ADMINISTRATION FEE,50,2021-09-07T11:39:25.000,2021-10-03T00:05:09.000
M012018246A00,ADMINISTRATION FEE,135,2018-09-03T08:28:53.000,2021-10-03T00:05:17.000
Q012021202D74,ADMINISTRATION FEE,405,2021-07-21T15:41:35.000,2024-10-20T00:05:46.000
B042019259B14,ADMINISTRATION FEE,70,2019-09-16T11:16:41.000,2021-03-31T00:05:24.000
Q012018177A52,ADMINISTRATION FEE,135,2018-06-26T08:36:43.000,2021-08-06T00:05:18.000
M022021166D18,ADMINISTRATION FEE,50,2021-06-15T12:30:17.000,2021-08-06T17:14:14.000
X162021270A04,ADMINISTRATION FEE,30,2021-09-27T08:35:12.000,2021-10-03T00:05:09.000
M022021125A11,ADMINISTRATION FEE,50,2021-05-05T06:48:21.000,2021-06-23T11:27:43.000
M022021147G11,INSPECTION FEE,100,2021-05-27T16:34:34.000,2021-06-28T00:05:08.000
Q012019133C86,ADMINISTRATION FEE,135,2019-05-13T13:14:31.000,2024-05-07T00:05:13.000
Q012018128A35,ADMINISTRATION FEE,135,2018-05-08T08:21:17.000,2021-06-07T00:05:13.000
Q012018087B88,ADMINISTRATION FEE,13770,2018-03-28T09:55:26.000,2021-07-01T00:05:17.000
M012021071A60,ADMINISTRATION FEE,405,2021-03-12T12:59:21.000,2021-06-03T00:05:10.000
B012018261A57,ADMINISTRATION FEE,810,2018-09-18T12:05:54.000,2021-10-03T00:05:17.000
X012019065A29,ADMINISTRATION FEE,270,2019-03-06T08:31:51.000,2022-05-05T00:05:17.000
M012024157B43,INSPECTION FEE,245,2024-06-05T15:18:16.000,2024-07-04T00:05:32.000
B012018149B77,ADMINISTRATION FEE,135,2018-05-29T11:06:04.000,2021-06-19T00:05:14.000
M022021091D17,ADMINISTRATION FEE,50,2021-04-01T12:11:07.000,2021-06-11T00:05:08.000
B012017065C17,ADMINISTRATION FEE,135,2017-03-06T15:52:47.000,2021-08-01T00:05:27.000
X012021235A00,ADMINISTRATION FEE,135,2021-08-23T08:09:16.000,2024-09-22T00:05:29.000
B012018116A50,ADMINISTRATION FEE,270,2018-04-26T09:04:12.000,2021-06-25T00:05:15.000
B012021323B37,ADMINISTRATION FEE,135,2021-11-19T12:09:49.000,2024-12-19T00:05:37.000
M022021110C43,ADMINISTRATION FEE,50,2021-04-20T12:08:14.000,2021-06-02T13:07:38.000
B012018122A28,ADMINISTRATION FEE,405,2018-05-02T08:26:07.000,2021-08-02T00:05:17.000
