recreation_unit,map,acres,status
Denver,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Denver.pdf'},488.81,Open
Duggan Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Duggan_Hill.pdf'},188.89,Open
Fall Clove South,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fall_Clove_South.pdf'},137.22,Open
Brooksburg,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Brooksburg.pdf'},76.82,Open
Four Corners,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Four_Corners.pdf'},673.06,Open
East Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Mountain.pdf'},208.87,Open
Amawalk Outlet,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Amawalk_Outlet.pdf'},202.33,Open
Boyd Corners Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Boyd_Corners.pdf'},70.48,Open
Dunraven North,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dunraven_North.pdf'},428.77,Open
Beech Ridge,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beech_Ridge.pdf'},731.94,Open
Brook Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Brook_Road.pdf'},70.15,Open
Basin Clove,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Basin_Clove.pdf'},213.49,Open
Hubbard Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hubbard_Hill.pdf'},561.83,Open
Glen Burnie,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Glen_Burnie.pdf'},45.57,Open
Bramley Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bramley_Mountain.pdf'},1240.68,Open
Dry Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dry_Brook.pdf'},63.01,Open
Carman Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Carman_Road.pdf'},167.97,Open
East Bramley Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Bramley_Mountain.pdf'},246.18,Open
Hemlock Knolls,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hemlock_Knolls.pdf'},169.54,Open
Halcott Center North,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Halcott_Center_North.pdf'},30.7,Open
Fish Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fish_Hollow.pdf'},398.1,Open
Huckleberry Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Huckleberry_Brook.pdf'},95.65,Open
Bog Brook Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Bog_Brook.pdf'},135.45,Open
Huntersfield Creek,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Huntersfield_Creek.pdf'},421.9,Open
Brush Ridge,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Brush_Ridge.pdf'},223.64,Open
Batavia,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Batavia.pdf'},499.38,Open
Cross Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cross_Road.pdf'},94.82,Open
Forest Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Forest_Road.pdf'},57.89,Open
Fish Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fish_Brook.pdf'},833.09,Open
East Fishkill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Fishkill.pdf'},803.11,Open
Betty Brook Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Betty_Brook_Road.pdf'},103.59,Open
Horton Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Horton_Brook.pdf'},7.14,Open
Croton Falls Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Croton_Falls.pdf'},615.5,Open
Cave Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cave_Mountain.pdf'},384.3,Open
Diamond Notch,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Diamond_Notch.pdf'},88.73,Open
Croton Falls Outlet,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Croton_Falls_Outlet.pdf'},103.7,Open
Covesville,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Covesville.pdf'},57.5,Open
Archie Elliott Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Archie_Elliott_Road.pdf'},143.7,Open
