objectid,plantingspaceglobalid,inspectiondate,:@computed_region_efsh_h5xi,:@computed_region_yeji_bk3q,treepointdbh,:@computed_region_sbqj_enih,swclearancerating,swlocationrating,inspectiontype,createddate
92857,D021368B-916B-41E5-96F8-2549EEA9ACFB,2015-03-25T04:00:00.000,24337,3,17,63,10.0,10.0,Sidewalk Rating,2015-03-25T04:00:00.000
87682,7648AE15-9318-4E1D-AB2F-9C5EAE762F9C,2015-03-17T04:00:00.000,16867,2,15,37,,,Level 1,2015-03-20T04:00:00.000
89670,0F95F1B5-CF2C-4E5C-B2EE-535C285989D2,2015-03-19T04:00:00.000,13829,2,4,49,,,Level 1,2015-03-23T04:00:00.000
81670,4C3989B5-653D-46D3-A251-3E1330AAB959,2015-03-16T04:00:00.000,14192,3,18,67,,,Level 1,2015-03-17T04:00:00.000
89260,1701F644-B956-4CD8-A60D-86CF89F3F337,2015-03-13T04:00:00.000,16866,2,25,40,,,Level 1,2015-03-23T04:00:00.000
89251,41385F34-16D5-464A-A82F-95750240E996,2015-03-11T04:00:00.000,18181,2,10,52,,,Level 1,2015-03-23T04:00:00.000
90056,E54C28FC-D2D2-46CE-A8AB-BAA99E71FED9,2015-03-23T04:00:00.000,13094,4,11,10,,,General - Planting Space,2015-03-23T04:00:00.000
94075,EA31AFC4-B24B-4B95-89D4-FC0DFF704A5B,2015-03-04T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
94879,8EBBA2E5-1923-46E1-AD1D-3D93144C1D39,2015-03-05T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
84838,0783D7AE-C866-4ECB-B7D9-D8431CC5B5B3,2015-03-18T04:00:00.000,13513,2,25,39,,,Level 1,2015-03-19T04:00:00.000
95249,AB765E4A-15A8-4A48-8E43-8ACF3D8EDD8F,2015-03-24T04:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
72041,B3E480C9-E951-4EB8-BF00-2A6BBC68A701,2015-03-10T04:00:00.000,17618,2,20,51,,,Level 1,2015-03-10T04:00:00.000
96049,15B8F1B8-624C-4CC1-81F7-5B1BF3CDF8A5,2015-03-05T05:00:00.000,10693,1,32,76,,,Level 1,2015-03-27T04:00:00.000
72841,707A5E67-82B1-447B-9387-E55D06CDC00C,2015-03-09T04:00:00.000,13826,2,29,36,,,Level 1,2015-03-11T04:00:00.000
92848,39AD7D19-E999-45B7-BB99-2D9F503FD31B,2015-03-23T04:00:00.000,15309,3,10,62,,,Level 1,2015-03-25T04:00:00.000
95645,D08FFDB3-754E-48F4-838A-DBE97AA490E9,2015-03-26T04:00:00.000,18183,2,18,37,20.0,12.0,Sidewalk Rating,2015-03-27T04:00:00.000
92845,96962DF6-A40E-4A76-9E0B-FAE3B91F6CA2,2015-03-23T04:00:00.000,10700,1,23,74,20.0,8.0,Sidewalk Rating,2015-03-25T04:00:00.000
94472,EBC31CD2-2A5E-4BCA-B2BF-E4037BBCC16E,2015-03-24T04:00:00.000,10693,1,15,76,,,Level 1,2015-03-26T04:00:00.000
95640,232B1707-EB9B-430E-A414-A750E28DAC41,2015-03-26T04:00:00.000,10695,1,10,76,,,Level 1,2015-03-27T04:00:00.000
94474,0F693C2D-EAEA-4D67-A8FB-40849D72BCD4,2015-03-04T05:00:00.000,10693,1,36,76,,,Level 1,2015-03-26T04:00:00.000
87667,CD82FFFA-CE68-4104-A0BD-68188A3C63CD,2015-03-18T04:00:00.000,11275,5,16,30,,,Level 1,2015-03-20T04:00:00.000
84439,43C3673C-2F01-4D41-9BA8-7557496DE376,2015-03-17T04:00:00.000,11610,5,20,26,,,Level 1,2015-03-19T04:00:00.000
95643,92F419A2-BFC0-4396-978B-5F79ABB834F8,2015-03-06T05:00:00.000,10693,1,40,76,,,Level 1,2015-03-27T04:00:00.000
87639,1E2D8F57-5E29-4211-8C17-F3FBF875735C,2015-03-10T04:00:00.000,10697,1,30,74,,,Level 1,2015-03-10T04:00:00.000
