year,marshal_last_name,assessment_fee,adjusted_gross_fee_poundage,net_income_marshal_s_office
2018,Capuano,62428.0,1353973.98,615961.17
2019,Pagnotta,28845.7,607682.15,355544.23
2020,Daley,55020.44,1189343.12,104868.68
2023,Locascio,17920.75,364905.65,9008.77
2018,Grossman,67419.21,1464871.34,465444.71
2023,Moses,165409.48,3642432.84,1488140.47
2020,Biegel,75495.83,1644351.75,490981.71
2019,Pazant,16504.89,333442.04,19815.22
2019,Grossman,66277.49,1439499.75,479124.31
2020,"Bienstock, G.",48708.1,1049068.78,455209.3
2020,Capuano,28754.52,605656.01,150086.66
2019,Finardo,24788.36,517519.12,387563.89
2019,Barone,35276.2,750582.23,217944.85
2018,Kemp,25953.76,543416.78,64100.33
2023,Rivera,88566.04,1934800.83,1336216.84
2018,Barbarovich,137377.32,3019496.11,1917338.64
2020,Giachetta,18531.95,378487.84,108201.22
2022,"Kemp, C.",13194.93,259887.34,76328.07
2022,"Kemp, B.",14580.56,290679.12,30417.89
2020,Blake,6805.52,117900.5,2942.33
2019,Regan,11356.8,219040.0,122609.95
2021,Capuano,24275.15,506114.5,145736.37
2018,Daley,107788.88,2361975.12,447804.57
2018,Chevlowe,20538.6,423080.04,48325.35
2021,Siracusa,10571.28,201584.05,70629.72
2018,Giglio,21788.72,450860.47,264303.8
2021,Rivera,15836.28,318583.97,114074.56
2021,McCoy,11968.11,232624.61,-4186.36
2018,Biegel,143531.38,3156252.95,1419940.71
2020,Kemp,19609.05,402423.3,-16345.71
2020,Chevlowe,7250.49,127788.6,-8433.33
2019,Barbarovich,130358.06,2863512.48,456171.54
2018,Locascio,51043.75,1100972.15,287244.51
2020,Barone,14071.36,279363.51,95855.72
2018,Burko,1499.79,-4.62,-27246.29
2023,Capuano,73292.34,1595407.66,1017203.57
2019,Renzulli,21032.72,434060.37,142964.9
2021,Renzulli,3047.01,34377.92,-37118.89
2022,Biegel,124638.07,2736401.56,1077034.65
2023,Giglio,27825.07,585001.5,257794.41
2021,Marchisotto,3068.43,34854.01,-21609.45
2022,Capuano,47425.79,1020573.08,571920.33
2019,Biegel,120385.81,2641906.89,932018.68
2021,Pollard,11312.2,218048.95,-65339.41
2023,"Rose, G.",67687.01,1470822.38,893460.48
2018,"Essock, G.",9807.9,184620.0,89583.38
2019,Moses,164005.72,3611238.07,1693239.75
2023,Schain,78707.27,1715717.21,1067906.94
2019,"Rose, J.",41398.72,886638.26,465835.62
2018,Bia,51793.26,1117628.0,185304.03
2022,Finardo,33728.46,716188.01,702523.17
2022,Regan,31193.66,659859.08,528719.75
2018,McCoy,47029.6,1011768.98,465884.08
2023,Pollard,65322.71,1418282.52,885079.31
2018,Weinheim,40705.61,871235.72,160683.35
2018,"Bienstock, M.",133481.17,2932914.79,1262019.36
2021,Finardo,2366.23,19249.46,-47928.2
