local_unrealized_gain_loss,asset_class,security_description,local_total_cost_amount
-56248.5,FIXED INCOME,5%   15 Apr 2029,550000.0
-90160.0,FIXED INCOME,4.125%   15 Jul 2029,447550.0
-263963.2,FIXED INCOME,5.75%   20 Apr 2029,1805000.0
-18272.25,FIXED INCOME,5.5%   20 Apr 2026,225000.0
-85490.5,FIXED INCOME,6.5%   30 Jun 2027,326562.5
-273028.85,FIXED INCOME,4.35%   01 Mar 2029,2133013.81
-138807.4,FIXED INCOME,5.5%   20 Apr 2026,1158664.3
-14508.89,FIXED INCOME,1%   17 Oct 2024,472575.39
-578096.58,FIXED INCOME,6.5%   30 Jun 2027,2234348.01
-32346.0,FIXED INCOME,2.85%   14 May 2023,929196.0
-661809.78,FIXED INCOME,3.3%   15 Jul 2025,7506249.84
10806.0,FIXED INCOME,4.25%   21 Nov 2049,521832.0
-134387.3,FIXED INCOME,4.25%   15 Feb 2029,762284.55
-395978.4,FIXED INCOME,4.45%   14 May 2046,1566150.3
-91440.0,FIXED INCOME,3.875%   15 Aug 2028,396000.0
-39795.0,FIXED INCOME,5.75%   15 Jul 2029,150000.0
-145885.0,FIXED INCOME,4.45%   03 Apr 2026,6352865.0
-63343.8,FIXED INCOME,5.5%   20 Apr 2026,780000.0
39501.54,FIXED INCOME,7.375%   15 May 2023,557248.46
-40268.55,FIXED INCOME,4.625%   01 Oct 2027,393225.0
-146749.6,FIXED INCOME,3.8%   15 Mar 2025,2324189.6
-37531.0,FIXED INCOME,6.125%   01 Aug 2028,325000.0
-2083263.85,FIXED INCOME,3.5%   01 Jun 2041,9884413.45
-105257.13,FIXED INCOME,3.875%   15 Aug 2026,683000.0
-61827.0,FIXED INCOME,3.4%   29 Oct 2033,298710.0
-76702.75,FIXED INCOME,8.25%   15 Feb 2026,1108701.25
-59473.92,FIXED INCOME,4.25%   21 Nov 2049,201510.72
-190713.28,FIXED INCOME,6.5%   30 Jun 2027,718089.8
-3795.75,FIXED INCOME,6.375%   15 Jun 2030,150281.25
-282660.0,FIXED INCOME,4.125%   01 Aug 2029,1500000.0
-212048.0,FIXED INCOME,5.75%   20 Apr 2029,1450000.0
-175210.3,FIXED INCOME,3.8%   01 Dec 2057,646325.5
-94643.66,FIXED INCOME,6.625%   01 May 2028,960948.66
-696853.5,FIXED INCOME,4.05%   21 Nov 2039,2881592.0
-203365.1,FIXED INCOME,5%   01 May 2028,1195000.0
-216388.95,FIXED INCOME,4.875%   14 Nov 2048,824896.75
-976480.85,FIXED INCOME,4.5%   15 May 2035,4915350.0
-28875.0,FIXED INCOME,4.75%   15 Oct 2029,150000.0
-222548.76,FIXED INCOME,2.95%   21 Nov 2026,2002995.21
-46343.25,FIXED INCOME,5.5%   01 Jul 2028,662981.25
-74297.3,FIXED INCOME,6.125%   01 Aug 2028,414837.5
