location_1,census_tract,:@computed_region_f5dn_yrer,boro,borough,longitude
"{'latitude': '40.698279', 'longitude': '-73.752654'}",520.0,41.0,Q,QUEENS,-73.752654
"{'latitude': '40.55258', 'longitude': '-74.13706'}",13203.0,15.0,R,STATEN IS,-74.13706
"{'latitude': '40.578188', 'longitude': '-73.99203'}",330.0,21.0,K,BROOKLYN,-73.99203
"{'latitude': '40.795146', 'longitude': '-73.948368'}",17401.0,7.0,M,MANHATTAN,-73.948368
"{'latitude': '40.65911', 'longitude': '-73.920368'}",886.0,61.0,K,BROOKLYN,-73.920368
"{'latitude': '40.747747', 'longitude': '-73.745747'}",1377.0,26.0,Q,QUEENS,-73.745747
"{'latitude': '40.67641', 'longitude': '-73.846773'}",54.0,62.0,Q,QUEENS,-73.846773
"{'latitude': '40.60729', 'longitude': '-73.7494'}",103202.0,51.0,Q,QUEENS,-73.7494
"{'latitude': '40.749586', 'longitude': '-73.943546'}",1903.0,53.0,Q,QUEENS,-73.943546
"{'latitude': '40.747693', 'longitude': '-73.906429'}",257.0,53.0,Q,QUEENS,-73.906429
"{'latitude': '40.573588', 'longitude': '-73.992855'}",342.0,21.0,K,BROOKLYN,-73.992855
"{'latitude': '40.814031', 'longitude': '-73.900609'}",83.0,8.0,X,BRONX,-73.900609
"{'latitude': '40.744412', 'longitude': '-73.93364'}",17902.0,53.0,Q,QUEENS,-73.93364
"{'latitude': '40.62457', 'longitude': '-74.005314'}",196.0,10.0,K,BROOKLYN,-74.005314
"{'latitude': '40.656944', 'longitude': '-73.983115'}",1502.0,9.0,K,BROOKLYN,-73.983115
"{'latitude': '40.634009', 'longitude': '-74.097826'}",67.0,4.0,R,STATEN IS,-74.097826
"{'latitude': '40.724435', 'longitude': '-73.981521'}",2601.0,70.0,M,MANHATTAN,-73.981521
"{'latitude': '40.857689', 'longitude': '-73.908349'}",251.0,6.0,X,BRONX,-73.908349
"{'latitude': '40.638773', 'longitude': '-74.019612'}",122.0,9.0,K,BROOKLYN,-74.019612
"{'latitude': '40.712184', 'longitude': '-73.939722'}",485.0,36.0,K,BROOKLYN,-73.939722
"{'latitude': '40.765359', 'longitude': '-73.960059'}",118.0,23.0,M,MANHATTAN,-73.960059
"{'latitude': '40.813641', 'longitude': '-73.925313'}",51.0,49.0,X,BRONX,-73.925313
"{'latitude': '40.769271', 'longitude': '-73.749369'}",1483.0,26.0,Q,QUEENS,-73.749369
"{'latitude': '40.875894', 'longitude': '-73.83386'}",46205.0,43.0,X,BRONX,-73.83386
"{'latitude': '40.774351', 'longitude': '-73.984753'}",15101.0,20.0,M,MANHATTAN,-73.984753
"{'latitude': '40.757309', 'longitude': '-73.926733'}",57.0,39.0,Q,QUEENS,-73.926733
"{'latitude': '40.649042', 'longitude': '-74.012289'}",80.0,9.0,X,BROOKLYN,-74.012289
"{'latitude': '40.700606', 'longitude': '-73.782302'}",414.0,41.0,Q,QUEENS,-73.782302
"{'latitude': '40.642573', 'longitude': '-74.079591'}",9.0,4.0,R,STATEN IS,-74.079591
"{'latitude': '40.569393', 'longitude': '-74.107737'}",11204.0,30.0,R,STATEN IS,-74.107737
"{'latitude': '40.618439', 'longitude': '-74.132645'}",201.0,4.0,R,STATEN IS,-74.132645
"{'latitude': '40.686047', 'longitude': '-73.757423'}",376.0,41.0,Q,QUEENS,-73.757423
"{'latitude': '40.676094', 'longitude': '-73.935688'}",309.0,16.0,K,BROOKLYN,-73.935688
"{'latitude': '40.697033', 'longitude': '-73.839213'}",128.0,46.0,Q,QUEENS,-73.839213
"{'latitude': '40.660204', 'longitude': '-73.913933'}",896.0,55.0,K,BROOKLYN,-73.913933
"{'latitude': '40.740724', 'longitude': '-73.79283'}",1417.0,26.0,Q,QUEENS,-73.79283
