name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
G. WASHINGTON CARVER HS FOR SCI.-Q,11365.0,COVID VENTILATION / FY21 RESO A SUPPLEMENTAL COOLING / COVID FIRE ALARM SYSTEM REPLACEMENT,69.0,3.0,29
P.S. 219 - BROOKLYN,11226.0,BOILER REPLACEMENT,43.0,11.0,18
P.S. 188 - MANHATTAN,10023.0,LL 26-EXIT SIGNS,12.0,19.0,1
I.S. 328 - MANHATTAN,10029.0,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,14.0,35.0,6
M.S. 282 - QUEENS,11432.0,PAVED AREAS CONCRETE- SIDEWALKS & COURTYARD,65.0,24.0,27
K140 SPED - BROOKLYN,11233.0,ROOFS / EXTERIOR MASONRY,52.0,49.0,13
P.S. 185 - BROOKLYN,11224.0,COVID VENTILATION,35.0,45.0,20
P.S. 156 - BROOKLYN,11206.0,ROOFS / EXTERIOR MASONRY,56.0,38.0,23
P.S. 131 - BROOKLYN,11216.0,PLAYGROUND UPGRADE / STORM & SEWER PIPING REPLACEMENT / PATH OF TRAVEL PLAYGROUND UPGRADE,49.0,49.0,15
I.S. 119 - QUEENS,11436.0,ROOFS / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / FIRE ALARM / LL26 EXIT SIGNS / EXTERIOR DOORS,71.0,46.0,24
P.S. 116 - QUEENS,11374.0,Demo,70.0,28.0,29
P.S. 4 - STATEN ISLAND,10308.0,ELECTRICAL WORK FOR A/C INITIATIVE,76.0,9.0,31
I.S. 293 - MANHATTAN,10004.0,FLOOD ELIMINATION / ELECTRIFICATION/HEAT PUMP SYSTEMS / EXTERIOR MASONRY / PARAPETS / ROOFS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SERVICE UPGRADE / WINDOWS / LIGHTING UPGRADE,1.0,32.0,6
P.S. 92 - QUEENS,11377.0,RPZ BACKFLOW PREVENTION DEVICES,66.0,33.0,30
I.S. 75 - STATEN ISLAND,10306.0,FY17 RESO A GREENHOUSE / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS / FY20 RESO A PLAYGROUND UPGRADE,76.0,14.0,31
P.S. 38 - BROOKLYN,11207.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,53.0,37.0,15
I.S. 234 - BROOKLYN,11224.0,PARAPETS / WINDOWS / EXTERIOR MASONRY,35.0,45.0,22
J.H.S. 216 - QUEENS,11362.0,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,69.0,16.0,26
THOMAS A. EDISON HS - Q,11102.0,FY21 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,72.0,4.0,28
P.S. 2 - MANHATTAN,10032.0,FY20 RESO A AUDITORIUM UPGRADE,21.0,23.0,2
X168 SPED - BRONX,10455.0,FY20 RESO A IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,23.0,35.0,10
IT TAKES A VILLAGE ACADEMY - K,11229.0,SWIMMING POOL,36.0,15.0,18
MARTIN VAN BUREN HS - QUEENS,11101.0,LSP- DOMESTIC WATER HEATER,72.0,33.0,26
"QNS HS OF TEACH., LIB. ARTS&SCI-Q",11101.0,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,66.0,33.0,26
P.S. 76 - QUEENS,11434.0,RETAINING WALL,71.0,46.0,30
