uid,latitude,longitude,overagency,policeprct,addressnum,servarea,overabbrev,factype,capacity
00959c38f813987e01a12ad92c68da0e,40.809215457142685,-73.94741869223436,NYS Office of Mental Health,28.0,163,Regional,NYSOMH,OUTPATIENT MENTAL HEALTH,
00405a71e6058ebeff3323aacb3870b3,40.70672150081421,-74.00722587500303,NYC Department of Consumer Affairs,1.0,100,Local,NYCDCA,COMMERCIAL GARAGE,
006ad2462e33e67def73aaae76f7145e,40.74999894194031,-74.00429288603662,NYC Department of Cultural Affairs,10.0,526,Regional,NYCDCLA,"MULTI-DISCIPLINE, NON-PERFORM",
006d5f80cb63a2d40dac1a7141147015,40.626090365106094,-73.99816189160993,NYC Department of Education,68.0,6220,Local,NYCDOE,OTHER SCHOOL - NON-PUBLIC,
010fdee8100d2680bf31d1fe4c21f964,40.671899,-73.969673,NYC Department of Sanitation,78.0,,Regional,NYCDSNY,COMPOST,
00c4b634700dfee175d6ebdcb0adfca6,40.6157981865383,-73.98702678857511,"The New York State Office of Parks, Recreation and Historic Preservation",62.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
012a263ea7830960d225207533100745,40.771192211539166,-73.91997522700734,NYC Department of Cultural Affairs,114.0,27-18,Regional,NYCDCLA,THEATER,
012ccb8961343a7ed91eac41c0ef1e7d,40.75133447417391,-74.00249526852174,NYC Department of Health and Mental Hygiene,10.0,507,Local,NYCDOHMH,DAY CARE,
0113e266bac2935072e3e4118eb99ab7,40.63458325526559,-74.09779867192593,NYC Department of Youth and Community Development,120.0,445,Local,NYCDYCD,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,
008143f8be43ca1a9292edc46b5b2864,40.70233868054599,-74.0105164964271,NYC Department of Health and Mental Hygiene,1.0,125,Local,NYCDOHMH,DAY CARE,
007d1e4602a59970cdfdaf7ad3aa2ad4,40.673596734151296,-74.0094055083444,NYC Department of Education,76.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,108.0
00ba7c82806254039ebe421286c3e684,40.62098626205156,-74.07265427018923,NYC Department of Cultural Affairs,120.0,27,Regional,NYCDCLA,"MULTI-DISCIPL, PERF & NON-PERF",
0066bfc3efa3205ae4420f8cb010ee3d,40.8217509150872,-73.90456245489705,NYC Department of Youth and Community Development,42.0,751,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
01136a84748d46998f7baefb8194e065,40.63323790820085,-74.00352848060217,NYS Department of Health,66.0,1031,Regional,NYSDOH,SCHOOL BASED HOSPITAL EXTENSION CLINIC,
001009f03f06f8f5bb27a99657f8c4d6,40.70606299999983,-73.933743,Metropolitan Transportation Authority,90.0,73,Regional,MTA,TRANSIT FACILITY,
00d7943e8dc1a6b9ba89e75d70a4e151,40.65730207040441,-73.87403779231919,NYC Mayor's Office of Criminal Justice,75.0,1065,Local,NYCMOCJ,ANTI-GUN VIOLENCE INITIATIVE,
01298c87036e80cdb29aff8775e63fbf,40.805145351359485,-73.93850002234655,NYS Department of Health,25.0,103,Regional,NYSDOH,HOSPITAL EXTENSION CLINIC,
000f2b19260e07073e2f0e7ec07944e7,40.81245581631566,-73.88626380958785,NYC Department of Education,41.0,1271,Regional,NYCDOE,SCHOOL BUS DEPOT,309.0
0114210e9bccbe175755ca69dbc37f30,40.80901169995151,-73.93554955111976,NYC Department of Health and Mental Hygiene,25.0,1951,Local,NYCDOHMH,DAY CARE,
012669764eec317215422baea2e8efd0,40.805002000765214,-73.93734591667781,NYC Department of Health and Mental Hygiene,25.0,2082,Local,NYCDOHMH,RECREATION-OPWDD,
00ec304a2b5b220f2825e513effb7886,40.74987827717007,-73.99473595979039,NYC Department of Education,14.0,410,Local,NYCDOE,LICENSED PRIVATE SCHOOLS,
00f7972cbbdfab22f6ab111e0fa8f7fe,40.55191548987218,-74.1844723405476,NYC Department of Parks and Recreation,123.0,,Regional,NYCDPR,NATURE AREA,
00f007e8658a2b58f94915b57112b68b,40.720144464165806,-73.96244131956348,NYC Department of Consumer Affairs,94.0,27,Local,NYCDCA,COMMERCIAL GARAGE AND PARKING LOT,
0088795f3775ccfbc5bc8d810c8b18eb,40.625706236222754,-74.08361561317822,NYC Department of Youth and Community Development,120.0,62,Local,NYCDYCD,CITY COUNCIL AWARDS,
006095071a0f208daaa5e45a73d01add,40.71401347546525,-73.8446310394189,"The New York State Office of Parks, Recreation and Historic Preservation",112.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
000d687da861e4489d08e446a99b5e62,40.8319225827216,-73.93687918134813,NYC Mayor's Office of Criminal Justice,32.0,3005,Local,NYCMOCJ,YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,
00116519f4ca9c6bff07af18349e4a8e,40.54609930165917,-74.22775379771593,NYC Department of Education,123.0,2890,Regional,NYCDOE,SCHOOL BUS DEPOT,672.0
00e4afacb17c5e158ae7e34806eb2a4f,40.733887682440944,-73.99015800944626,NYC Department of Cultural Affairs,9.0,1,Regional,NYCDCLA,"MULTI-DISCIPLINE, PERFORMING",
00836a3f3a2adc79f2cc6cd666a7f8b1,40.77737268025784,-73.98233655494816,NYC Department of Parks and Recreation,20.0,,Local,NYCDPR,TRIANGLE/PLAZA,
00c2fe08c48f657c73dfafb06714606a,40.682597958560336,-73.96105326661673,NYC Department of Parks and Recreation,88.0,22,Local,NYCDPR,TRIANGLE/PLAZA,
0005cf2135820de8d20395875ca0e506,40.73806313533015,-73.99380272682208,NYC Department of Cultural Affairs,13.0,15,Regional,NYCDCLA,HUMANITIES,
0047dbb8fbb8432d4788ce684e92b760,40.76371022907959,-73.9846378709126,NYC Department of Consumer Affairs,18.0,888,Local,NYCDCA,COMMERCIAL GARAGE,
00a27b6a9dee02fe5ef3447ea8a7f3a3,40.630406496428186,-74.0100120709007,NYS Department of Health,68.0,6518,Regional,NYSDOH,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,
00d1e8e0e50d118a63ac61f586000deb,40.81646316693738,-73.84425860650795,NYC Department of Education,43.0,432,Regional,NYCDOE,SCHOOL BUS DEPOT,59.0
008c4cd14cb72c6aa4f385585bf5d525,40.70639155646744,-74.01553407928714,"The New York State Office of Parks, Recreation and Historic Preservation",1.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
0073ee2c4dc8560a237906cea3321577,40.83203449567447,-73.87847570253399,NYC Department of Education,43.0,1300,Local,NYCDOE,FEEDING SITE,
00b782c331207d3db55d6205a9c47721,40.66836736175971,-73.87250949471088,NYC Department for the Aging,75.0,475,Local,NYCDFTA,SENIOR CENTER,
0104ec902b978b05324734d218de0e7d,40.58786,-73.977787,Metropolitan Transportation Authority,60.0,,Regional,MTA,NYCT SUBWAY YARD,
00b83c77a07f401a30cf5b2da13e0e24,40.76853554881776,-73.84042469897825,NYC Department of Consumer Affairs,109.0,31-25,Local,NYCDCA,TOW TRUCK COMPANY,
