fy_1995,fy_1998,fy_2005,fy_2003,fy_1992,fy_2010,fy_1994,fy_1999,fy_1983,fy2017
"(1,879,206)","(2,007,061)","(3,139,333)","(2,674,662)","(2,375,498)","(5,014,878)","(1,757,639)","(1,947,078)",- 0,"(4,655,674)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"1,025,591",- 0
"67,758,763","79,472,327","136,693,590","128,370,887","52,291,749","78,719,291","68,547,650","81,871,448","48,209,485","136,159,288"
- 0,"(109,721)","(4,854)","(14,048)","(12,115)","(31,590)","(22,192)","(17,024)","(1,386)",(290)
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"10,238,834","10,839,979","16,961,965","15,252,887","10,814,616","26,951,395","11,224,000","12,265,762","6,437,772","63,093,088"
"51,347,394","59,024,057","80,864,974","74,158,165","46,615,343","100,152,923","50,326,062","64,419,765","22,600,769","129,250,539"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,"(2,991)",- 0,- 0
,- 0,- 0,- 0,,- 0,,- 0,,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"4,518,658","4,757,580","4,113,367","4,416,726","5,216,936","4,125,126","4,972,746","4,937,546","1,906,316","4,327,672"
"(1,599,638)","(1,995,134)","(2,832,733)","(1,981,893)","(1,430,083)","(4,871,074)","(1,581,782)","(1,995,134)","(761,719)","(6,065,544)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"(1,872,505)"
"4,903,412","3,805,266","4,807,586","4,394,267","4,831,806","6,081,390","4,785,581","3,650,053","1,062,090","17,162,503"
,,,,,,,,,
"116,787,781","157,130,555","259,654,821","254,375,208","84,168,609","344,400,263","100,189,064","202,545,054","45,673,145","572,604,963"
"29,625,687","36,662,122","59,788,472","54,221,700","31,707,549","95,654,119","33,763,959","44,221,740","21,397,325","121,497,430"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,,
"14,407,107","13,916,952","18,630,102","16,588,015","15,377,896","21,346,639","14,925,495","14,481,454","10,383,549","24,475,426"
"4,072,724","4,350,472","4,062,747","4,174,341","4,272,280","4,396,539","4,402,844","4,431,181","2,013,414","4,968,119"
"(1,333,362)","(11,683,984)","(1,057,803)","(6,945,519)","(4,251,684)","(9,857,262)","(2,301,230)","(7,216,919)","(523,211)","(7,367,734)"
"19,394,209","25,825,034","42,826,507","40,377,339","20,925,934","68,754,724","22,540,840","32,175,544","14,959,564","58,525,002"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,,
- 0,"(27,549)",- 0,"(48,000)",(634),- 0,- 0,"(8,076)",- 0,- 0
,,,,,,,,,
,,,,,,,,,
"9,930,315",- 0,- 0,- 0,"7,029,703",- 0,"11,947,373",- 0,"2,871,381",- 0
,,,,,,,,,
"(1,075)","(3,785)","(39,039)","(5,441)",(906),- 0,- 0,- 0,- 0,"(1,637)"
,,,,,,,,,
