fy_1993,fy_1982,fy_2013,fy_2002,fy2016,fy_1990,fy_2006,fy_1991,fy_1987
"(1,963)","(11,956)","(23,476)","(25,100)",- 0,(12),(93),"(65,299)",- 0
,,,,,,,,
"61,927,506","26,362,657","136,998,189","92,963,419","185,992,536","58,760,057","121,970,442","60,271,933","44,504,223"
- 0,"(38,050)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
"6,858,991","3,970,212",- 0,- 0,- 0,"8,284,883",- 0,"6,826,473","6,331,363"
"12,045,313","1,787,176",- 0,- 0,- 0,"3,347,107",- 0,"5,546,896","2,712,848"
"38,967,372","19,543,244","82,378,854","32,940,011","100,595,232","27,005,739","71,801,942","38,370,286","31,887,266"
- 0,- 0,(315),(850),"(3,830)",- 0,"(2,314)",- 0,- 0
- 0,- 0,- 0,- 0,"(60,078)",- 0,- 0,- 0,- 0
"10,317,319","1,639,792",- 0,- 0,- 0,"3,119,794",- 0,"4,559,208","2,540,702"
(364),(399),- 0,- 0,- 0,- 0,- 0,(191),- 0
"(11,350,518)","(138,773)","(1,423,159)","(3,914,571)","(1,890,980)","(2,683,563)","(176,749)","(6,159)","1,367"
"58,945,633","30,320,320","113,166,194","46,905,366","133,791,872","36,451,095","96,463,517","55,990,923","49,051,385"
,,,,,,,,
"(243,075)","(238,286)","(40,647)","(1,616,189)","(30,583)","(783,524)","(581,009)","(7,384,393)","(750,786)"
"39,522,876","19,013,444","82,738,693","34,764,297","99,324,660","25,289,169","73,841,011","35,232,985","31,113,465"
"1,716,189",- 0,"3,150,990","2,338,993","3,769,327",- 0,"3,025,279","1,629,803",- 0
"(10,965)","(3,942)",- 0,- 0,- 0,(653),- 0,"(20,856)","(27,034)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,"(21,931)","(1,808,694)",- 0,"(1,100,922)",- 0,- 0,- 0,- 0
"(260,457)","(3,051,541)","(357,657)","(81,468)","(506,225)","(428,881)","(63,057)","(150,695)","30,820"
,,,,,,,,
"4,994,736","2,572,547","4,584,233","6,290,390","5,092,743","5,500,731","4,946,242","5,470,262","4,834,325"
,,,,,,,,
"2,198,882","1,177,748",- 0,- 0,- 0,"2,578,693",- 0,"2,475,205","1,835,857"
"16,742,824","2,946,196","30,593,658","20,862,079","33,795,473","24,476,323","17,930,546","20,599,975","9,526,922"
"4,707,516","2,097,319","4,428,031","5,027,262","4,659,904","4,697,953","4,316,553","5,064,952","3,373,102"
- 0,- 0,"10,608,075","9,328,549","14,073,198",- 0,"10,139,390",- 0,- 0
"31,778,513","15,193,804",- 0,- 0,- 0,"30,414,813",- 0,"32,778,279","22,163,198"
"(1,913,351)","(21,091)","(1,137,908)","(1,502,095)","(1,386,226)","(127,872)","(2,352,945)",- 0,"(216,211)"
"(30,000)",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
