segmentid,the_geom,rw_type,street,boro
34650,"{'type': 'MultiLineString', 'coordinates': [[[-73.97760270177655, 40.738171795174175], [-73.97714764855252, 40.738795460283185]]]}",1,1 AVENUE,MAN
29181,"{'type': 'MultiLineString', 'coordinates': [[[-73.96892193898083, 40.684101464851835], [-73.96796054798135, 40.68372681250015]]]}",1,FULTON STREET,BK
9009290,"{'type': 'MultiLineString', 'coordinates': [[[-73.88479047318656, 40.65077192203811], [-73.88441234606373, 40.650305957593964]]]}",1,PENNSYLVANIA AVENUE,BK
46409,"{'type': 'MultiLineString', 'coordinates': [[[-73.90143322579232, 40.64570373042063], [-73.90069187746664, 40.646182016295185]]]}",1,GLENWOOD ROAD,BK
32456,"{'type': 'MultiLineString', 'coordinates': [[[-73.99968392204184, 40.738552248842126], [-74.0025238155258, 40.73975264294851]]]}",1,WEST 14 STREET,MAN
29255,"{'type': 'MultiLineString', 'coordinates': [[[-73.9658647173868, 40.68326722686451], [-73.96477852663547, 40.683039717827974]]]}",1,FULTON STREET,BK
164495,"{'type': 'MultiLineString', 'coordinates': [[[-73.98255629299425, 40.73135013385498], [-73.98238628696872, 40.73141124348769]]]}",1,1 AVENUE,MAN
164500,"{'type': 'MultiLineString', 'coordinates': [[[-73.98180339274903, 40.73220479782567], [-73.98149910336119, 40.732618595901215]]]}",1,1 AVENUE,MAN
9001720,"{'type': 'MultiLineString', 'coordinates': [[[-73.94573785330763, 40.781854041526536], [-73.94566981626141, 40.78194717539486]]]}",1,1 AVENUE,MAN
27866,"{'type': 'MultiLineString', 'coordinates': [[[-73.9720857473401, 40.64586232437652], [-73.97174398206342, 40.64600110979099]]]}",1,CHURCH AVENUE,BK
214494,"{'type': 'MultiLineString', 'coordinates': [[[-73.96932031464223, 40.74951697388946], [-73.96890956251971, 40.750110145952135], [-73.96890797237585, 40.75011244361425]]]}",1,1 AVENUE,MAN
9009248,"{'type': 'MultiLineString', 'coordinates': [[[-73.87834956786325, 40.64479023252623], [-73.87796379784989, 40.64444416861513]]]}",1,PENNSYLVANIA AVENUE,BK
164957,"{'type': 'MultiLineString', 'coordinates': [[[-73.97857449810618, 40.73667728154034], [-73.9784984559051, 40.7367909564629]]]}",1,1 AVENUE,MAN
33750,"{'type': 'MultiLineString', 'coordinates': [[[-73.9939365066282, 40.758979268725234], [-73.99547450245572, 40.759626856359056]]]}",1,WEST 42 STREET,MAN
46968,"{'type': 'MultiLineString', 'coordinates': [[[-73.88013120252312, 40.64638240248054], [-73.87986846259751, 40.64615519760247]]]}",1,PENNSYLVANIA AVENUE,BK
29098,"{'type': 'MultiLineString', 'coordinates': [[[-73.97276482719224, 40.68564129156275], [-73.97231249591701, 40.685458234338135]]]}",1,FULTON STREET,BK
29176,"{'type': 'MultiLineString', 'coordinates': [[[-73.97123922109166, 40.685027486769016], [-73.97016463066427, 40.684591082599844]]]}",1,FULTON STREET,BK
33106,"{'type': 'MultiLineString', 'coordinates': [[[-73.985293828931, 40.72759283780802], [-73.98485763050714, 40.72817683325017]]]}",1,1 AVENUE,MAN
48927,"{'type': 'MultiLineString', 'coordinates': [[[-73.89985455660779, 40.7112645608967], [-73.89970877154698, 40.71098131320331]]]}",1,FRESH POND ROAD,QNS
29080,"{'type': 'MultiLineString', 'coordinates': [[[-73.97231249591701, 40.685458234338135], [-73.97123922109166, 40.685027486769016]]]}",1,FULTON STREET,BK
25226,"{'type': 'MultiLineString', 'coordinates': [[[-73.97217742833011, 40.604194710557245], [-73.97099040731612, 40.604321868843385]]]}",1,KINGS HIGHWAY,BK
9017057,"{'type': 'MultiLineString', 'coordinates': [[[-73.88612041486105, 40.74441700878698], [-73.88600306705095, 40.744366336409634]]]}",1,BROADWAY,QNS
46980,"{'type': 'MultiLineString', 'coordinates': [[[-73.8807326757479, 40.64692762460888], [-73.88013120252312, 40.64638240248054]]]}",1,PENNSYLVANIA AVENUE,BK
164499,"{'type': 'MultiLineString', 'coordinates': [[[-73.98196782194567, 40.73198256024368], [-73.98180339274903, 40.73220479782567]]]}",1,1 AVENUE,MAN
41389,"{'type': 'MultiLineString', 'coordinates': [[[-73.91954260597657, 40.631471003099314], [-73.91860224824238, 40.63206832774534]]]}",1,FLATLANDS AVENUE,BK
9008707,"{'type': 'MultiLineString', 'coordinates': [[[-73.81738194143561, 40.585613177592805], [-73.81765982599717, 40.58548616214967]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
195667,"{'type': 'MultiLineString', 'coordinates': [[[-73.88623268246968, 40.74446548599212], [-73.88612041486105, 40.74441700878698]]]}",1,BROADWAY,QNS
32953,"{'type': 'MultiLineString', 'coordinates': [[[-73.98718049621655, 40.73329214716906], [-73.98494550566592, 40.7323496722837]]]}",1,EAST 14 STREET,MAN
106082,"{'type': 'MultiLineString', 'coordinates': [[[-73.99623223156122, 40.75994603150067], [-73.99831211235387, 40.760822069122575]]]}",1,WEST 42 STREET,MAN
302256,"{'type': 'MultiLineString', 'coordinates': [[[-74.00467986533026, 40.705128246174326], [-74.00467189020259, 40.70513348387309], [-74.00463300729622, 40.70515902395051], [-74.00460873874228, 40.705174945067355]]]}",2,F D R DRIVE,MAN
9009265,"{'type': 'MultiLineString', 'coordinates': [[[-73.88310250186392, 40.649052715094044], [-73.88275969214169, 40.64874862127386]]]}",1,PENNSYLVANIA AVENUE,BK
32899,"{'type': 'MultiLineString', 'coordinates': [[[-73.98749104757326, 40.72457376287195], [-73.98704399194148, 40.72519130151177]]]}",1,1 AVENUE,MAN
34645,"{'type': 'MultiLineString', 'coordinates': [[[-73.97805226554974, 40.7375539534523], [-73.97760270177655, 40.738171795174175]]]}",1,1 AVENUE,MAN
25222,"{'type': 'MultiLineString', 'coordinates': [[[-73.97304934230117, 40.60428191864858], [-73.97217742833011, 40.604194710557245]]]}",1,KINGS HIGHWAY,BK
40638,"{'type': 'MultiLineString', 'coordinates': [[[-73.9408457326846, 40.620446036788856], [-73.93999036975863, 40.62116320031111]]]}",1,KINGS HIGHWAY,BK
29096,"{'type': 'MultiLineString', 'coordinates': [[[-73.97307314902784, 40.68576305324776], [-73.97276482719224, 40.68564129156275]]]}",1,FULTON STREET,BK
