shape_leng,shape_le_1,lane_color,facility,hours,year3
35.6755406444,"{'type': 'MultiLineString', 'coordinates': [[[1002759.1621166766, 230416.76001666486], [1002776.4665440023, 230447.95778892934]]]}",Red,1st Avenue,24 Hours,0
46.3316045615,"{'type': 'MultiLineString', 'coordinates': [[[1000020.8047325015, 164318.46209542453], [1000045.9654433429, 164357.36654517055]]]}",,Kings Highway,24 Hours,0
299.546385088,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",,Fulton Street,7AM-10AM,0
266.794671171,"{'type': 'MultiLineString', 'coordinates': [[[1001597.927562505, 165928.31779958308], [1001840.0396110862, 166040.39434708655]]]}",,Kings Highway,24 Hours,0
56.559098797,"{'type': 'MultiLineString', 'coordinates': [[[994882.2487366796, 216201.94592666626], [994909.5485508442, 216251.4802764207]]]}",Red,1st Avenue,"7AM - 10 AM, 2PM - 7 PM",0
255.872498299,"{'type': 'MultiLineString', 'coordinates': [[[990582.8314824998, 208440.54117392004], [990706.8079405874, 208664.37274725735]]]}",Red,1st Avenue,24 Hours,0
66.9531979201,"{'type': 'MultiLineString', 'coordinates': [[[999087.4457068443, 223790.70305883884], [999120.1214945018, 223849.14126217365]]]}",Red,1st Avenue,24 Hours,0
312.450966006,"{'type': 'MultiLineString', 'coordinates': [[[993717.4347933382, 188210.94318175316], [994018.7235608399, 188128.1743184179]]]}",,Fulton Street,2PM-7PM,0
46.4684971477,"{'type': 'MultiLineString', 'coordinates': [[[990187.6124566793, 207668.72185142338], [990208.6757347584, 207710.14237225056]]]}",Red,1st Avenue,24 Hours,0
256.854816191,"{'type': 'MultiLineString', 'coordinates': [[[987717.2141822577, 203258.55350641906], [987841.0951680839, 203483.5599461794]]]}",Red,1st Avenue,24 Hours,0
337.789763909,"{'type': 'MultiLineString', 'coordinates': [[[992226.6034574211, 188851.72175583243], [992524.6878350079, 188692.82673242688]]]}",,Fulton Street,2PM-7PM,0
231.320915062,"{'type': 'MultiLineString', 'coordinates': [[[992346.2797272503, 211628.24477225542], [992461.1216891706, 211829.04489558935]]]}",Red,1st Avenue,24 Hours,0
154.452645041,"{'type': 'MultiLineString', 'coordinates': [[[995833.8314791769, 161062.22549767792], [995967.948665008, 161138.8296751678]]]}",,Kings Highway,,0
600.402181252,"{'type': 'MultiLineString', 'coordinates': [[[986018.9597047567, 207422.94150309265], [986546.0616689175, 207135.45881034434]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
57.3181036878,"{'type': 'MultiLineString', 'coordinates': [[[989946.1861022562, 207208.59809975326], [989973.2956280857, 207259.0999672562]]]}",Red,1st Avenue,24 Hours,0
256.760258016,"{'type': 'MultiLineString', 'coordinates': [[[988202.8628172576, 204133.31225559115], [988326.0515472591, 204358.5906764269]]]}",Red,1st Avenue,24 Hours,0
33.1870392476,"{'type': 'MultiLineString', 'coordinates': [[[1002881.8331311792, 230637.9226320833], [1002897.9305399209, 230666.94422759116]]]}",Red,1st Avenue,24 Hours,0
275.127166186,"{'type': 'MultiLineString', 'coordinates': [[[993500.3489414304, 175372.53414733708], [993744.7280458361, 175498.92168983817]]]}",Red,Church Avenue,7AM-7PM,0
60.4215574125,"{'type': 'MultiLineString', 'coordinates': [[[999567.4821483344, 163723.45344291627], [999609.5752400011, 163766.8001410067]]]}",,Kings Highway,24 Hours,0
36.1368471614,"{'type': 'MultiLineString', 'coordinates': [[[989131.643768087, 205749.90351058543], [989149.2254258394, 205781.47496975958]]]}",Red,1st Avenue,24 Hours,0
96.33223153,"{'type': 'MultiLineString', 'coordinates': [[[991717.8938449174, 189119.5483199209], [991803.4176240116, 189075.2134348452]]]}",,Fulton Street,2PM-7PM,0
30.1609331192,"{'type': 'MultiLineString', 'coordinates': [[[999072.7259200066, 223764.37798026204], [999087.4457068443, 223790.70305883884]]]}",Red,1st Avenue,24 Hours,0
336.500125693,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",,Fulton Street,2PM-7PM,0
336.500125693,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",,Fulton Street,7AM-10AM,0
20.2860852217,"{'type': 'MultiLineString', 'coordinates': [[[1015801.9995480031, 177118.17370067537], [1015811.6058280021, 177100.30628234148]]]}",,Pennsylvania Avenue,24 Hours,0
290.39142688,"{'type': 'MultiLineString', 'coordinates': [[[988942.3528080881, 205474.42538700998], [989084.5310014188, 205727.62993308902]]]}",Red,1st Avenue,24 Hours,0
78.8603412711,"{'type': 'MultiLineString', 'coordinates': [[[988902.3000666797, 205827.78557267785], [988971.4101646692, 205789.8020528406]]]}",Red,14 Street,24 Hours,0
244.717445956,"{'type': 'MultiLineString', 'coordinates': [[[988326.0515472591, 204358.5906764269], [988446.9141664207, 204571.37896475196]]]}",Red,1st Avenue,24 Hours,0
30.5804252324,"{'type': 'MultiLineString', 'coordinates': [[[1035026.917791009, 152717.55386683345], [1035001.1471732557, 152701.09064517915]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
125.406376071,"{'type': 'MultiLineString', 'coordinates': [[[1034896.2421993464, 152637.53302951157], [1034789.3431349248, 152571.9636068344]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
217.606852525,"{'type': 'MultiLineString', 'coordinates': [[[1001398.0952850133, 165842.17952042818], [1001597.927562505, 165928.31779958308]]]}",,Kings Highway,24 Hours,0
43.8648207811,"{'type': 'MultiLineString', 'coordinates': [[[992830.5471314192, 188534.91563092172], [992869.4053214192, 188514.56462176144]]]}",,Fulton Street,7AM-10AM,0
37.3919873033,"{'type': 'MultiLineString', 'coordinates': [[[1015805.5789371729, 210508.3355947584], [1015838.1195545048, 210489.9163402617]]]}",Red,Broadway,24 Hours,0
14.9044569452,"{'type': 'MultiLineString', 'coordinates': [[[984232.9540904164, 197146.3564132601], [984245.2723072618, 197154.74714450538]]]}",None,FDR Drive,2PM-8PM,0
272.151439263,"{'type': 'MultiLineString', 'coordinates': [[[992864.7426010966, 212564.38233567774], [992873.4843815118, 212579.95251449943], [992997.9733057618, 212801.69222851098]]]}",Red,1st Avenue,24 Hours,0
708.223109017,"{'type': 'MultiLineString', 'coordinates': [[[987802.8275280893, 206434.9447914213], [988422.297089681, 206091.67021550238]]]}",Red,14 Street,24 Hours,0
353.063913483,"{'type': 'MultiLineString', 'coordinates': [[[1000671.9156350046, 165327.1477420926], [1000909.1953441799, 165588.59078875184]]]}",,Kings Highway,24 Hours,0
191.230541974,"{'type': 'MultiLineString', 'coordinates': [[[1018116.4863888472, 174088.35692566633], [1018239.99335967, 173942.35984234512]]]}",,Pennsylvania Avenue,24 Hours,0
64.5400829426,"{'type': 'MultiLineString', 'coordinates': [[[992019.2685702592, 211030.42477367818], [992050.7855675966, 211086.74618333578]]]}",Red,1st Avenue,24 Hours,0
27.5026637889,"{'type': 'MultiLineString', 'coordinates': [[[992674.943768084, 212209.7757614255], [992688.4637541771, 212233.72584475577]]]}",Red,1st Avenue,24 Hours,0
52.1126188143,"{'type': 'MultiLineString', 'coordinates': [[[989084.5310014188, 205727.62993308902], [989131.643768087, 205749.90351058543]]]}",Red,1st Avenue,24 Hours,0
81.6284107227,"{'type': 'MultiLineString', 'coordinates': [[[999237.7951436788, 224060.6329651773], [999277.378725931, 224132.02160191536]]]}",Red,1st Avenue,24 Hours,0
310.046436532,"{'type': 'MultiLineString', 'coordinates': [[[993136.0940925032, 188378.16397592425], [993433.1473041773, 188289.34853675961]]]}",,Fulton Street,7AM-10AM,0
520.104885354,"{'type': 'MultiLineString', 'coordinates': [[[984418.0967647582, 216630.4926417619], [983963.0386197567, 216882.3481091708]]]}",Red,42nd Street,24 Hours,0
274.451599283,"{'type': 'MultiLineString', 'coordinates': [[[992767.2631372511, 174994.3065573424], [993011.392898336, 175119.70328816772]]]}",Red,Church Avenue,7AM-7PM,0
299.546385088,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",,Fulton Street,7AM-10AM,0
