pivot-metric,pivot-value,lane_width,chron_id_1,lane_type2,direction,bltrafdir
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999087.4457068443, 223790.70305883884], [999120.1214945018, 223849.14126217365]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991693.1117422581, 159439.42362517118], [991733.6297058463, 159433.7445026785]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[985503.7113914192, 216029.29535333812], [985293.790551424, 216145.5713675022]]]}",Single,MAN2019,,WB,T
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987841.0951680839, 203483.5599461794], [987963.2340314239, 203697.35873116553]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992226.6034574211, 188851.72175583243], [992524.6878350079, 188692.82673242688]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992565.9508758336, 212111.14734975994], [992590.1076516807, 212095.92428308725]]]}",Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992688.4637541771, 212233.72584475577], [992750.5699291676, 212347.39326833189]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034578.7723618448, 152440.93040433526], [1034365.1379465908, 152308.82108850777]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[994882.2487366796, 216201.94592666626], [994909.5485508442, 216251.4802764207]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1033939.3907665908, 152041.94170100987], [1033836.2577707618, 151977.07995408773]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982525.623515591, 195818.89351700246], [982533.6353105903, 195825.5657477528], [982585.2723464221, 195868.56861451268], [982773.0252517611, 196019.74252475798]]]}",Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034153.0875176787, 152175.18979409337], [1033939.3907665908, 152041.94170100987]]]}",Single,QNS2019,,EB,T
sbs_route2,,Single,QNS2019,,SB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988446.9141664207, 204571.37896475196], [988564.9519880861, 204786.9395572543]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987411.2928780913, 202684.04054783285], [987456.8866189271, 202779.81430642307]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992864.7426010966, 212564.38233567774], [992873.4843815118, 212579.95251449943], [992997.9733057618, 212801.69222851098]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1033836.2577707618, 151977.07995408773], [1033767.3140110075, 151934.44552491605]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989131.643768087, 205749.90351058543], [989149.2254258394, 205781.47496975958]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,QNS2019,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015838.1195545048, 210489.9163402617], [1016090.0895230025, 210347.28932891786]]]}",Single,QNS2019,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[995967.948665008, 161138.8296751678], [996076.593460843, 161202.0808610022]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN2019,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[982829.6583405882, 209188.36809033155], [982764.0721856803, 209224.54649567604]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,BK2018,,SB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1012010.84276025, 174889.933406502], [1012203.9293163419, 175051.3799340129]]]}",Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999041.4792633355, 223708.4958741665], [999072.7259200066, 223764.37798026204]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999277.378725931, 224132.02160191536], [999296.1998825073, 224165.96510358155]]]}",Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,Curbside,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989084.5310014188, 205727.62993308902], [989131.643768087, 205749.90351058543]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993717.4347933382, 188210.94318175316], [994018.7235608399, 188128.1743184179]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[998142.5571766794, 162363.4856904149], [998376.5298058391, 162632.30733124912]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992448.2247333378, 212185.3335530907], [992565.9508758336, 212111.14734975994]]]}",Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990582.8314824998, 208440.54117392004], [990706.8079405874, 208664.37274725735]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015805.5789371729, 210508.3355947584], [1015838.1195545048, 210489.9163402617]]]}",Single,QNS2019,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002839.7820341736, 230562.10913541913], [1002857.7531268448, 230594.50867691636]]]}",Single,MAN1982,,NB,W
sbs_route2,M14 D,Single,MAN2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991596.2713847607, 212654.78143309057], [991951.6148341745, 212458.62368892133]]]}",Single,MAN2019,,EB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988942.3528080881, 205474.42538700998], [989084.5310014188, 205727.62993308902]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990208.6757347584, 207710.14237225056], [990332.2578366697, 207988.15690809488]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN2019,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990187.6124566793, 207668.72185142338], [990208.6757347584, 207710.14237225056]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992590.1076516807, 212095.92428308725], [992605.2785530835, 212086.36393475533]]]}",Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992103.3993075043, 211176.47402225435], [992222.2921143472, 211400.7508046776]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991975.7519250065, 159402.04804375768], [992305.3477225006, 159448.4820059985]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1011602.9298621714, 174539.0482815057], [1011808.4612752497, 174713.53316876292]]]}",Single,BK2018,Contraflow,WB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016879.992798835, 175542.66175983846], [1017138.64713718, 175236.7995106727]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1017514.0400871783, 174793.67736542225], [1017587.0648755133, 174711.00036542118]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990332.2578366697, 207988.15690809488], [990456.7854747623, 208213.28769142926]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992524.6878350079, 188692.82673242688], [992830.5471314192, 188534.91563092172]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,Contraflow,WB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999072.7259200066, 223764.37798026204], [999087.4457068443, 223790.70305883884]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1000020.8047325015, 164318.46209542453], [1000045.9654433429, 164357.36654517055]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993717.4347933382, 188210.94318175316], [994018.7235608399, 188128.1743184179]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989635.9931530952, 159777.7661243379], [989755.9437005967, 159759.97416517138]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992767.2631372511, 174994.3065573424], [993011.392898336, 175119.70328816772]]]}",Single,BK2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1018116.4863888472, 174088.35692566633], [1018239.99335967, 173942.35984234512]]]}",Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1015467.9713446796, 210698.67314058542], [1015774.4471096694, 210525.95695059]]]}",Single,QNS2019,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991724.1910764277, 210501.00949391723], [991849.0133333355, 210726.13699641824]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987048.2693259269, 206851.14671492577], [987359.6952122599, 206680.1706789285]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[994866.3432566673, 216172.62183834612], [994875.9036050141, 216189.2491016686]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992346.2797272503, 211628.24477225542], [992461.1216891706, 211829.04489558935]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989488.775271669, 159796.77166375518], [989635.9931530952, 159777.7661243379]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987359.6952122599, 206680.1706789285], [987802.8275280893, 206434.9447914213]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1001597.927562505, 165928.31779958308], [1001840.0396110862, 166040.39434708655]]]}",Single,BK2018,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[985293.790551424, 216145.5713675022], [984717.5919006765, 216464.72263209522]]]}",Single,MAN2019,,WB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[999315.2123116702, 163474.53333708644], [999567.4821483344, 163723.45344291627]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,BK2018,,SB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988971.4101646692, 205789.8020528406], [989084.5310014188, 205727.62993308902]]]}",Single,MAN2019,Curbside,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992590.1076516807, 212095.92428308725], [992605.2785530835, 212086.36393475533]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
sbs_route2,,Single,MAN2019,,WB,T
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1000725.4417746663, 226746.47667483985], [1000732.9965495914, 226760.09967908263]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,WB,A
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1033767.3140110075, 151934.44552491605], [1033546.9765251726, 151793.62526850402]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[987717.2141822577, 203258.55350641906], [987841.0951680839, 203483.5599461794]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[984232.9540904164, 197146.3564132601], [984245.2723072618, 197154.74714450538]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988685.276550591, 205006.0139222592], [988813.1175022572, 205238.49705308676]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034789.3431349248, 152571.9636068344], [1034578.7723618448, 152440.93040433526]]]}",Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991803.4176240116, 189075.2134348452], [991928.8885016739, 189008.55969674885]]]}",Single,BK2018,,EB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[990706.8079405874, 208664.37274725735], [990831.1147785932, 208887.95792999864]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[986689.0686007589, 207061.5376983434], [986812.4075929224, 206998.4433363378]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[992019.2685702592, 211030.42477367818], [992050.7855675966, 211086.74618333578]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1006094.6669285893, 168930.2212445885], [1006339.4302185923, 169141.8907687515]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1000709.6813075095, 226718.0567841679], [1000725.4417746663, 226746.47667483985]]]}",Single,MAN1982,,NB,W
