coursedescription,financial_aid_services,contact_firstname,cost_includes,duration_unit,address1,borough,organization_name,neighborhood,is_hra,is_sbs
To be a successful administrative professional  you must possess skills to handle a wide variety of workplace tasks and scenarios. The Certified Administrative Professional (CAP) course serves two purposes. First  it prepares you to take the CAP exam offered by the International Association of Administrative Professionals (IAAP). Second  it provides you with a broad selection of essential skills and knowledge to effectively work as an administrative assistant in fields including education  technology  government  and medicine. .In this bundled course ofCertified Administrative Professional  andMicrosoft Office 2016 Specialist Certification Training  you will learn the basics of workplace administration as well as how to begin and grow a successful career as an administrative professional. The course covers the intricacies of organizational communication  office and records management  and human resources fundamentals  among other topics. You will also learn to effectively write for business  produce documents  and utilize informational technology. You'll gain event and project management skills  which includes virtual meeting coordination. As technology develops  this skill has become increasingly useful. Each course module concludes with a quiz  helping you to effectively track your progress and test your skills. .This program will also prepare you to sit for the Microsoft Office Specialist Certification Exams  which cover Word  Excel  PowerPoint  Outlook  and Access.,Some types of Financial Aid are provided.,Continuing,Classroom Hours 425.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2800 Victory Blvd Bldg 1A,Staten Island,College of Staten Island CUNY,Willowbrook,No,No
There is an ongoing need for Certified Credit Counselors. More and more  people are seeking out financial and credit consulting for advice on budgeting and personal finance. In this course  you will learn the specialized knowledge needed to pass the Certified Credit Counselor exam and start a career in independent credit counseling. .,Some types of Financial Aid are provided.,Continuing,Classroom Hours 80.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2800 Victory Blvd Bldg 1A,Staten Island,College of Staten Island CUNY,Willowbrook,Yes,No
This course presents an ideal opportunity for students who are attending full-time while preparing for their first job  for students attending part-time classes while preparing for a career change  or for those working in the field who want to increase their knowledge and skills. Emphasis throughout the course is placed on the practical application of the knowledge and skills technicians need to be productive in the refrigeration and air conditioning industry in maintaining heating and cooling systems. . .This course is designed primarily to training the student and preparing them to become aRefrigerating System Operating Engineer. Fundamental laboratory work is involved. It provides lecture and review in the fundamentals of refrigeration equipment. Includes a review of tube and pipe joining  gauges  refrigerant charging  system evacuation and dehydration and analysis of compression of refrigeration cycles.This program consists of 200 hours of instructional training  of which not less than 25 hours shall consist of practical skill exercise/hands-on demonstration in which each student must personally perform the functions set forth in accordance with the NYC Fire department requirements. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 150.0   Lab Hours 25.0   Internship Hours 0.0   Practical Hours 25.0,Hour(s),645 Saint Nicholas Ave 2nd Fl,Manhattan,International Development Institute (Brooklyn),Central Harlem - Morningside Heights,No,No
This course will prepare the student with basic knowledge of computers and how they function and the course introduces students to software and peripheral devices. The student will also learn how to use the internet. This course is also part of our Customer Services Representative program. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 60.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,Yes,No
ACS provides a comprehensive Medical Assistant Training certificate program that will allow you to become a Certified Medical Assistant in as little as 7-9 months. ACS provides a complete education to become a successful Medical Assistant. Students will receive a combination of skills and theories taught by experts in their fields. Learning outcomes are that students will become versatile and strongly qualified in the medical field to perform administrative and clinical duties; making students more employable in the Medical Office workforce. In addition to dynamic classroom learning  students complete 180 hours of Internship hours  which gives students real-world learning experience. ACS provides free job-placement assistance for all students upon certificate completion.The Registration fee of $100 and book fess of $800 are included in the tution.Medical assistants complete administrative and clinical tasks in the offices of physicians  hospitals  and other healthcare facilities. Their duties vary with the location  specialty  and size of the practice.According to U.S. Bureau Labor of Statistics  employment of Medical Assistants is projected to grow 23 percent  well above the average for all occupations. It is expected that physicians will hire more assistants to perform routine administrative and clinical duties  allowing the physicians to see more patients.ACS provides a comprehensive Medical Assistant Training certificate program that will allow you to become a Certified Medical Assistant in as little as 7-9 months. . . .ACS provides a complete education to become a successful Medical Assistant. Students will receive a combination of skills and theories taught by experts in their fields. Learning outcomes are that students will become versatile and strongly qualified in the medical field to perform administrative and clinical duties; making students more employable in the Medical Office workforce. In addition to dynamic classroom learning  students complete 180 hours of Internship hours  which gives students real-world learning experience. ACS provides free job-placement assistance for all students upon certificate completion. . .The Registration fee of $100 and book fess of $800 are included in the tution. . . .,Some types of Financial Aid are provided.,Vicky,Classroom Hours 300.0   Lab Hours 150.0   Internship Hours 300.0   Practical Hours 150.0,Hour(s),545 8TH AVE RM 1210,Manhattan,ALLIANCE COMPUTING SOLUTIONS INC   (Manhattan),Chelsea - Clinton,No,No
The Certified Professional Coder (CPC) certificate is the gold standard for medical coders working in physician offices and in the healthcare industry. You will receive valuable training in legal  ethical  and regulatory concepts that are central to this field  including HIPAA compliance  fraud and abuse in medical billing  and third-party payer guidelines. Upon successful completion of the course  a Certificate of Completion will be issued by CSI. . .In this course  you will learn: . . . How to accurately assign medical codes (CPT&reg;  HCPCS Level II  and ICD-10-CM) for procedures and diagnoses . The fundamentals of anatomy  physiology  and medical terminology to ensure proper coding for healthcare services . How to code for a variety of medical services  including office visits  surgeries  lab tests  and imaging procedures . Key rules and guidelines for medical coding to avoid issues like insurance claim denials or billing errors . How to adapt to updates in coding and payment policies to ensure accurate and efficient billing processes . .,Some types of Financial Aid are provided.,Continuing,Classroom Hours 220.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2800 Victory Blvd Bldg 1A,Staten Island,College of Staten Island CUNY,Willowbrook,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $1700.
. .This is a one week program  contact provider for current schedule. This security training consists of the 8 hour pre-assignment and the 16 hour on the job training. The 8 hour pre-assignment is the introductory course which gives the individual an overview of a security guard duties and responsibilities under the law. Upon completion of this course  the student will be issued a certificate which will accompany the application registration when submitted to the NYS Department of State. The second course is the 16 hour on the job training course. This training is relevant to the guard duties  requirements to the work site and the needs of the employer which includes all application and registration fees. The last class is the fire guard. After completion of this course  you willbe trained to be responsible for maintaining a fire watch and per such fire safety duties as may be described by the commissioner. Course prices includes $141.75 security guard applicant and fees (including background checks and fingerprinting fees) and $25 fire guard exam fee (FDNY). Please note: Fire guard certification is NOT required to become a security guard in NYS. Many employers desire licensed guards that have fire guard certification. This course provides security guard licensing and the test preparation and fees for the FDNY Fire Guard (F-01) examination. .,Some types of Financial Aid are provided.,Jessica,Classroom Hours 28.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),391 E 149TH ST,Bronx,Focus Career Solutions  LLC,Hunts Point - Mott Haven,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $500.
The Building Maintenance Technician is responsible for performing daily building maintenance tasks This course prepares the student to function in a residential  commercial  and office buildings or retail maintenance environment as a Building Maintenance Technician. The building maintenance courses consist of residential and commercial training program with concentration in the following areas: Buildings and Housing Maintenance Code  Recycling Procedures Basic Wiring and Electrical Repairs Basic Plumbing Office Buildings  Residential Commercial Buildings also the student are prepare to obtain the following licenses: NYFD Certificate of Fitness  Boiler Operator  NYFD Certificate of Fitness  Sprinkler and Standpipe Systems Maintenance  NYC Department of Environmental Protection  Air Pollution Control Certification. . .This course covers the following topics: . .&bull; NYC Building and Maintenance Code .&bull; Boiler Operator .&bull; Recycling Procedures .&bull; Basic Electricity .&bull; Basic Plumbing .&bull; Sprinklers and Standpipe Systems Maintenance . .Obtain 4 different types of certification such as: . .&bull; Boiler Operator .&bull; Air Pollution Control Certification .&bull; Sprinkler and Standpipe System Maintenance .&bull; Building Maintenance Certification . .At the completion of this program  the student will qualify for work in: Building Maintenance Residential and Commercial buildings  Hospitals  Malls  Public and private Schools  college campus. Office Buildings  Hi Rise Buildings  Hotels  Motels. . .Studentssuccessfully completing the program receive a Certificate of Completion  Building Maintenance Technician. The instruction and course books for thiscourse are in the Spanishlanguage. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 124.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 16.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,No,No
User Experience Design Immersive is a full-time career accelerator that&#39;s designed to transform students from novices to job-ready  junior UX designers. As a graduate  you&#39;ll be equipped with the skills and methodologiesto approach problems with creative and technical acumen in order to land a UX job  and design the next generation of successful apps  websites  and digital products. . .The curriculum was most recently updated in Q3 2021*and evolved to include six portfolio projects (mix of solo  team and client work) and a renewed focus on in-demand topics like visual design  agile development  and working with product teams.Our holistic program goes beyond technical skillsto build fluency in collaboration  storytelling  personal branding  and interview prep. .,Some types of Financial Aid are provided.,Sarah,Classroom Hours 420.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),10 E 21st St Fl 3,Manhattan,GENERAL ASSEMBLY,Gramercy Park - Murray Hill,No,No
Student engaged in two certificate programs in 2021 and 2022 offered by Continuing Professional Education at The New School. The two programs are: Interior Design and Interior and Architectural Design Software. Student received permission from TAA staff to take one extra course  Digital Imaging with Photoshop. Student took courses for both certificate programs over a two-year span. They took Interior Design courses in both years  and Interior and Architectural Design Software courses in both years. . .Curriculum: . .For the Interior and Architectural Design Software Certificate  students must complete four required courses. This is the curriculum: . .PCDD 0201 AutoCAD1 . .PCDD 0203 SketchUp . .PCDD 0202 Rhino 1 . .PCDD 0403 Digital Layout: Adobe InDesign . .Course Descriptions: . .These are the course descriptions of the courses that the student took in 2022. . .PCDD 0403 Digital Layout: Adobe InDesign . .In this course  we explore the potential of InDesign as a design tool. InDesign is the industry-standard program for professional page layout. The focus of the class is on using the features of InDesign to develop design skills. There is an emphasis on typography. Discussions include design critiques  in which students learn how to analyze design and how to give and receive constructive criticism. . .PCDD 0402 Digital Graphics with Illustrator . .This course is for the design student who needs a comprehensive and intensive introduction to Illustrator. Learn to draw  delineate  and design electronically with this standard vector-based illustration and graphic design program. Create curves  lines  and shapes to make objects that can be colored  manipulated  moved  duplicated  scaled  and rotated  generating smooth-lined  clean  scalable graphics or artwork for both print and the Web. . .PCID 0111 Commercial Interior Design . .Students explore the design process for a commercial project in a studio environment. They begin with a concept and develop their idea into a coherent interior space  exploring issues of spatial layout and significance  materials and finishes  lighting  and furniture. Students present their final projects  complete with rendered drawings and a materials board. . .PCID 0110 Residential Interior Design . .Explore the possibilities of architectural design of interior space for the private home and apartment. Participate in exercises geared to finding viable and interesting solutions to design problems such as window  ceiling  doorway  floor  and wall treatments. Review drafting techniques that allow you to present projects in a professional manner. Concentrate on space planning  furniture  color  and lighting. Explore materials  methods  and professional practices. . .PCID 0501 Interior Design Portfolio . .In this course  you focus on designing and producing a professional interior design portfolio. The class begins by discussing the elements of a successful digital or traditional paper format portfolio. Your body of work is re,Some types of Financial Aid are provided.,Jill,Classroom Hours 192.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),72 5th Ave 2nd Fl,Manhattan,Continuing & Professional Education  The New School,Chelsea - Clinton,No,No
CDL B license is highly recommended for clients with no commercial driving experience  but who want to start a career as drivers and want to drive commercial vehicles such as Small and Heavy Trucks Automatic and Stick-Shift CDL Vehicles . .********CDL STICK-SHIFT TRUCK TRAINING ANDAUTOMATIC TRUCK TRAINING VEHICLES AVAILABLE********* . .25 HOURS - ELDT THEORY ONLINE CERTIFICATION + 25 CDL B Endorsement Written Exam Prep Course Online Training  15 Hours CDL Vehicle Group Training Inspection  22 Hours Behind-the-Wheel Training/CDL B -STICK-SHIFT OR ATOMATIC TRUCK Road Test Service  NYS DMV CDL RT Skill Appointment $40.00 for 1st and 2nd RT   + 4 H -FREE Forklift Training Certification andUpon completion of the training  the student will receive a certificate of completion. . .If needed a 2ND FREE CDL STICK-SHIFT OR AUTOMATIC TRUCK ROAD TEST SERVICE . .This Course Does Not include CDL B License  CDL Permit and   DOT Medical Exam . .Important: For the student who has the ELDT previously ( This course is not transferable or exchangeable for any other type of CDT  in the event that the student has de ELDT THEORY certification. . .Training available in English and Spanish  and at these locations. Queens  Brooklyn  and the Bronx  once approved  you choose the training location. But first you have to register at the main office .,Some types of Financial Aid are provided.,Michelangelo,Classroom Hours 50.0   Lab Hours 15.0   Internship Hours 0.0   Practical Hours 26.0,Hour(s),3232 STEINWAY ST,Queens,Ferrari Driving School  Inc.,Long Island City - Astoria,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3250.
his course is designed to assist students in learning the necessary skills  knowledge and concepts needed for a career as a Medical Office Administration. . .Medical administrators keep healthcare offices running efficiently. They perform highly specialized work requiring knowledgeof medical terminology and procedures. Administrators assist physicians and medical scientists with reports  record simple medical histories  arrange for patients to be hospitalized  and order supplies. . .They must also be familiar with insurance rules  billing practices  and hospital or laboratory procedures. Plan  direct  or coordinate medicine and health services in hospitals  clinics  managed care organizations  public health agencies  or similar organizations. . .In this course you will learn to: . .&bull;Complete and identify types of registration forms .&bull;Explain important procedures to patients .&bull;Update medical records .&bull;Recognize emergency situation and respond effectively to various patient behaviors . .&bull;Properly discharge a patient after a medical visit .&bull;Effectively communication skills in person and via telephone line .&bull;Identify the components of the physical examination history and progress .&bull;Conduct and administer fiscal operations  including accounting  planning budgets  authorizing expenditures  and establishing rates for services. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 180.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,No,No
Personal care aides  also known as caregivers  personal attendants  homemakers  or companions  assist with the daily tasks of elderly  mentally disabled  chronically ill  or physically challenged clients  as well as hospice patients and those in various stages of rehabilitation or recovery. PCA consist of 40 Hours in-class training. PCA might work at clients' homes  residential care or hospice facilities  adult day care centers  or senior centers. They might visit several clients a day or be assigned to one specific client. On completion the PCA graduates will receive a completion certificate and will be registered with the Department of Health and meet several recruiters on school campus for the job placement. .,Some types of Financial Aid are provided.,Roman,Classroom Hours 40.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),485 Kings Hwy Ste 2ND,Brooklyn,AllStar Academy Of Ny,Coney Island - Sheepshead Bay,Yes,No
ACredentialed Alcoholism and Substance Abuse Counselor (CASAC)certification is a health care qualification that professionals earn to provide clinical care services to those who have addictions.Professionals who earn this certification typically work in hospitals and clinics and provide counseling to patients who struggle with substance abuse .,Some types of Financial Aid are provided.,Grayling,Classroom Hours 350.0   Lab Hours 1.0   Internship Hours 1.0   Practical Hours 1.0,Hour(s),54 Boerum St Apt 9A,Brooklyn,RAW Ministries,Williamsburg - Bushwick,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $5000.
This rigorous  hands-on 120-hour training  has been designed to fully support participants for success and to provide trainees with the skills needed in construction  fabrication  plant maintenance settings and more. This training provides trainees with hands on skills training which includes 90 hours in our state of the art welding training booths in STICK  MIG and TIG welding as well as Shielded Metal Arc Welding (SMAW). .,Some types of Financial Aid are provided.,Toneeka,Classroom Hours 120.0   Lab Hours 90.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2001 ORIENTAL BLVD,Brooklyn,Kingsborough Community College/ Office of Continuing Education,Coney Island - Sheepshead Bay,No,No
This courseprepares the student to enter the workforce of patient care providersin hospitals  Nursing Homes and health-related facilities. Nursing Assistants  also known as Nursing Aides  Geriatric Aides  Assistive Personnel  or Hospital Attendants  perform routine tasks under the supervision of nursing and medical staff. They answer patients&#39; requests  deliver messages  serve meals  make beds  and help patients eat  dress  and bathe. Aides also provide skin care to patients; take temperatures  pulse  respiration  and blood pressure; Upon completion of training student will receive certificate of completion. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 95.0   Lab Hours 0.0   Internship Hours 30.0   Practical Hours 0.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
Commercial Driving License (CDL) Class B/Class BPS Training Program . .Getting a CDL Class B/Class BPS license is highly recommended for individuals without commercial driving experience who wish to pursue a career in driving commercial vehicles. This license is suitable for operating school buses  heavy trucks  shuttle buses  ambulettes  coach buses  and MTA buses equipped with air brakes. . .The comprehensive training program includes: . .60 hours of Classroom Instruction and ELDT Test Preparation Course delivered online. .A 6-hour Point and Insurance Reduction Program (Defensive Driving Course) .8 hours of practical hands on training on CDL Pre-Trip Inspection .32 hours of Behind-the-Wheel Training. .The CDL BPS Road Test Service  which includes one initial CDL Road Test appointment fee at $40.00  payable to NYS DMV for the skills appointment. .Please note that the course fee does not cover any additional payments to the DMV should the first CDL Test be failed  nor does it include fees for the CDL Permit or the DOT Medical Exam. . .Upon successful completion of the course  participants will receive a certificate of completion and job placement assistance. It is important to note that this course is not transferable or exchangeable for any other type of CDT in cases where a student already possesses ELDT THEORY certification. . .As of February 7  2022  it is mandatory to complete the ELDT course(s) in order to obtain the commercial license. This is stated by the FMCSA.DOT.GOV .,Some types of Financial Aid are provided.,Simon,Classroom Hours 60.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 40.0,Hour(s),145 Kenilworth Pl Unit 1B,Brooklyn,Drive Rite Academy,East Flatbush - Flatbush,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3250.
The 8-Hour Annual In-Service Training Course for Security Guards is a requirement for all security guards in New York State and must be completed on a calendar year basis for each year succeeding the completion of the mandated 8-Hour Annual In-Service Course for Security Guards.,Some types of Financial Aid are provided.,Selwyn,Classroom Hours 8.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2067 BROADWAY,Manhattan,NEW YORK PRIVATE POLICE ACADEMY,Upper West Side,Yes,No
The Cosmetology course is an extensive program that trains and prepares students for the New York State Licensure in Cosmetology. Students will then be able to obtain employment in their desired area(s) of the beauty field. The hourly component breakdown for this training is: Professional Requirements  24 Hours; Safety and Health  26 Hours; Anatomy and Physiology  15 Hours; Hair Analysis  10 Hours; Hair and Scalp Disorders and Diseases  10 Hours; Chemistry as Applied to Cosmetology  5 Hours; Shampoos  Rinses  Conditioners and Treatments  30 Hours; Hair Cutting and Shaping  175 Hours; Hair Styling  245 Hours; Chemical Restructuring  180 Hours; Hair Coloring and Lightening  180 Hours; Nail Care and Procedures  40 Hours; Skin Care and Procedures  60 Hours  Total Hours: 1000. Upon completion of training  the student will be certified by the State Education Department and qualified for the Licensed Cosmetologist Examination required by the NYS Division of Licensing Services. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 1000.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,No,No
ELDT + Training using Automatic BUS  CDL Class BPS. (vehicles over 26 000 lbs.with air brakes )No manual transmission experience required. Training is done one on one with the instructor. All training and training materials are available in both English and Spanish. License class B with Passengers  School Bus and Air Brake Endorsements. At the end of the training every student receives diploma from the training and class BPS License issued by New York State Department of Motor Vehicles. IN addition every participiate will receive maximum of 20 hours behind the wheel training and 1 hour in class room training  up to two road test chances   the school will secure the road test appointments including $40.00 DMV fee. Once completed the training student will receive a certificate of completion. Northside Driving School  LTD will also provide job placement assistance for WorkForce 1 participants through network of potential employers. .,Some types of Financial Aid are provided.,ZBIGNIEW  ( ZYGGI ),Classroom Hours 1.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 23.0,Hour(s),6816 FRESH POND RD,Queens,NorthSide Driving School ltd,Ridgewood - Forest Hills,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3250.
Phlebotomy technician program provides practical instruction in the proper techniques used in collecting blood and body fluid specimens for laboratory analysis. Upon completion of training student will receive certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) . . .,Some types of Financial Aid are provided.,Reema,Classroom Hours 12.0   Lab Hours 12.0   Internship Hours 12.0   Practical Hours 12.0,Hour(s),8002 KEW GARDENS RD LBBY 2,Queens,ACCESS INSTITUTE,Southwest Queens,Yes,No
The Certified Nursing Assistant (CNA) Program at IP Training is approved by the New York State Education Department (BPSS) and is conducted in accordance with the official New York State curriculum. The program is structured to equip students with the knowledge and skills required to provide fundamental patient care in hospitals  nursing homes  and other healthcare settings. . .The program consists of 125 instructional hours  which include both classroom instruction and practical training. Of these  30 hours are dedicated to a supervised internship at an affiliated nursing facility. Successful completion of both components is a prerequisite for eligibility to sit for the New York State CNA licensure examination. . .The curriculum provides comprehensive training in essential CNA competencies  including but not limited to: . . .  . Assisting patients with bathing  dressing  feeding  and toileting .  .  . Recording and monitoring vital signs .  .  . Supporting mobility and ambulation .  .  . Performing range-of-motion exercises .  .  . Safely transferring patients between beds  wheelchairs  and other positions .  . . .Upon satisfactory completion of the program requirements  students are awarded a Certificate of Completion from IP Training. Graduates must subsequently pass the New York State CNA licensure examination to obtain certification and become eligible for employment as Certified Nursing Assistants. Job placement assistance is offered to graduates who successfully complete the program and obtain licensure. .,Some types of Financial Aid are provided.,TATYANA,Classroom Hours 95.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 30.0,Hour(s),1311 Kings Hwy Ste 3,Brooklyn,IP TRAINING,Coney Island - Sheepshead Bay,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
In this course  you will master the fundamentals of planning  orchestrating  and delivering stunning weddings and parties. This course allows you to earn your certification as a professional wedding planner and will give you an opportunity to put your new skills to work in an optional internship. Lastly  it includes the opportunity to receive notifications on internships in your area to get hands-on experience. .,Some types of Financial Aid are provided.,Continuing,Classroom Hours 340.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2800 Victory Blvd Bldg 1A,Staten Island,College of Staten Island CUNY,Willowbrook,Yes,No
The CSKILLS Apprenticeship Readiness Program (ARP) is delivered to adult New York City residents includes curated elements of North America's Building Trades Unions (NABTU) Multi-Craft Core Curriculum (MC3). . .The ARP curriculum is designed to include &ldquo;soft skills&rdquo; such as professionalism and job readiness  &ldquo;basic skills&rdquo; such as math and industry overview  and &ldquo;technical skills&rdquo; such as aptitude or physical exam preparation. Most importantly  the training curriculum includes &ldquo;essential skills&rdquo; such as an understanding of industry  employer and apprenticeship program expectations  unionism  layoff practice and apprenticeship rules  proper work attire and safety equipment  break time and lunch time  and employer timesheets and overtime. .,Some types of Financial Aid are provided.,Nicole,Classroom Hours 105.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 70.0,Hour(s),350 W 31st St Rm 700,Manhattan,CSKILLS,Chelsea - Clinton,No,No
In this class  you'll learn to use Photoshop to retouch and color correct photos  combine images  prepare graphics for web/print/video  and much more! You'll get started with the basics and then move on to more intermediate features. . .Throughout this course  you'll work on a wide variety of projects. You will adjust color and contrast  remove unwanted elements from photos  make selections to work with specific parts of an image  take part of one photo and put it into another  as well as save images in the proper file formats. You'll learn about layers  masks  paths  filters  type  and more. .,Some types of Financial Aid are provided.,Mourad,Classroom Hours 18.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),185 Madison Ave 3rd Fl,Manhattan,Noble Desktop,Gramercy Park - Murray Hill,Yes,No
This course teaches you how to build and troubleshoot a computer. It also prepares you for the A+ Certification exam. This course further prepares you to become a Windows 2008 Network Administrator. Upon successful completion of the course  the student will be awarded certificate of completion in &quot; PC Technician Windows Server Administrator&quot; . .This program includes: . . . PC Technician - 60 hours . Microsoft Windows Server Administration - 60 hours . .,Some types of Financial Aid are provided.,Amit,Classroom Hours 120.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),4040 75TH ST STE 4038,Queens,ACE Institute of Technology - Queens,West Queens,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
This course will teach you to write clearly and effectively for everyday purposes inside and outside the workplace. The instructor will focus on effective grammar  organization  content  and style with special focus on e-mails  memos  and letter-writing. Class will focus on more advanced verb patterns and sentence structure with a focus in incorporating effective grammar into business writing  including e-mails  performance reviews  business letters  summaries  and other writing forms. This class is designed for people who have a good understanding of English grammar rules but need help in developing and editing their writing. Together with the instructor  students will review their own and others writing for focus  clarity  organization  content  and style. Upon completion of training student will receive certificate of completion. This is a 16 week program  contact provider for current schedule . . .,Some types of Financial Aid are provided.,Lynn,Classroom Hours 192.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),401 BROADWAY STE 903,Manhattan,New Technologies Information Institute,Greenwich Village - Soho,Yes,No
This course is designed to meet the necessary education requirements associated with the New York State Real Estate salespersons license. Topics covered include: Licensing Law and Regulations  Law of Agency  Real Estate Instruments  Real Estate Financing  Land Use Regulations  Fair Housing and Environmental Issues. Upon completion of training student will receive certificate of completion. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 75.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),645 Saint Nicholas Ave 2nd Fl,Manhattan,International Development Institute (Brooklyn),Central Harlem - Morningside Heights,Yes,No
Students will learn how to successfully market themselves and obtain gainful employment. Subjects include the preparation of resumes  cover letters  interview techniques  and job-hunting skill Plan their career  Initiate and sustain a job search  By using newspapers  and the Internet  Engage in a mock interview  Make a resume  Make a cover letter   Negotiate salary and positions. Upon completion of training student will receive certificate ofcompletion This is a 5 week program  contact provider for current schedule .,Some types of Financial Aid are provided.,Lynn,Classroom Hours 72.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),401 BROADWAY STE 903,Manhattan,New Technologies Information Institute,Greenwich Village - Soho,Yes,No
This course is designed to meet the necessary education requirements associated with the New York State Real Estate salespersons license. The course prepares students to become licensed Real Estate Salespersons. Topics covered include: Licensing law and regulations  thelaw of agency  Real Estate instruments  Real Estate financing  land use regulations  property valuation  and the Fair Housing Act. Upon completion of training student will receive certificate of completion. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 75.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),161 William St 14th Floor,Manhattan,International Development Institute (Manhattan),Lower Manhattan,Yes,No
This course will give the student the knowledge for repairing and servicing copy machines. All copy machines are similar. They are usually easy to repair with the proper training; some of the more popular brands of copies include Sharp  Toshiba  Panasonic  Ricoh  Canon and others. Students will be able to indentify the main parts of the copy machines explain their functions names the five top copy machines. Upon completion of training student will receive certificate of completion. .,Some types of Financial Aid are provided.,Leomar,Classroom Hours 300.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),645 Saint Nicholas Ave 2nd Fl,Manhattan,International Development Institute (Brooklyn),Central Harlem - Morningside Heights,No,No
To be a successful administrative professional  you must possess skills to handle a wide variety of workplace tasks and scenarios. The Certified Administrative Professional (CAP) course serves two purposes. First  it prepares you to take the CAP exam offered by the International Association of Administrative Professionals (IAAP). Second  it provides you with a broad selection of essential skills and knowledge to effectively work as an administrative assistant in fields including education  technology  government  and medicine. .In this bundled course ofCertified Administrative Professional  andMicrosoft Office 2016 Master Certification Training  you will learn the basics of workplace administration as well as how to begin and grow a successful career as an administrative professional. The course covers the intricacies of organizational communication  office and records management  and human resources fundamentals  among other topics. You will also learn to effectively write for business  produce documents  and utilize informational technology. You'll gain event and project management skills  which includes virtual meeting coordination. As technology develops  this skill has become increasingly useful. Each course module concludes with a quiz  helping you to effectively track your progress and test your skills. .This program will also prepare you for the Microsoft Office Certification Exams for Word  Excel  PowerPoint  and Outlook.,Some types of Financial Aid are provided.,Continuing,Classroom Hours 335.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,Hour(s),2800 Victory Blvd Bldg 1A,Staten Island,College of Staten Island CUNY,Willowbrook,No,No
