the_geom,shape_stle
"{'type': 'MultiLineString', 'coordinates': [[[-73.9591826010602, 40.77413992979967], [-73.95930274601993, 40.77419028879459]]]}",37.9997009428
"{'type': 'MultiLineString', 'coordinates': [[[-73.88927706466845, 40.86313783661864], [-73.8891278916071, 40.86326486421652]]]}",62.0036815825
"{'type': 'MultiLineString', 'coordinates': [[[-73.9032309252437, 40.86905294351924], [-73.90325224979252, 40.86906696040513], [-73.90326329485397, 40.869074221304466], [-73.90334406495586, 40.86912564928893]]]}",40.9995821026
"{'type': 'MultiLineString', 'coordinates': [[[-73.98227782671951, 40.7427541875541], [-73.98198102303249, 40.743156269155946]]]}",167.999652672
"{'type': 'MultiLineString', 'coordinates': [[[-73.98543297644633, 40.75320976481429], [-73.98554411130202, 40.753056637036046]]]}",63.7223980401
"{'type': 'MultiLineString', 'coordinates': [[[-73.90461037884852, 40.87891470275179], [-73.90433160407244, 40.878810053261304]]]}",86.0049092729
"{'type': 'MultiLineString', 'coordinates': [[[-74.00505117067502, 40.70537700487922], [-74.00506594634281, 40.70538794274261], [-74.00507933391181, 40.70539785678383], [-74.00511263066952, 40.70542251131342], [-74.00516029713991, 40.7054563684171], [-74.00520795182557, 40.705490225501386], [-74.0052556183928, 40.705524082565276], [-74.00530327317452, 40.70555793060471], [-74.00535093983856, 40.705591787628805], [-74.00539859471786, 40.705625644633585], [-74.005446261478, 40.705659492612845], [-74.0054638998487, 40.70567202329398]]]}",156.999868818
"{'type': 'MultiLineString', 'coordinates': [[[-73.98975788515773, 40.72549123550744], [-73.98956895096048, 40.72541085531646]]]}",60.000004279
"{'type': 'MultiLineString', 'coordinates': [[[-74.0028149379968, 40.74472689978162], [-74.00306178536931, 40.74482979707919]]]}",77.9998573731
"{'type': 'MultiLineString', 'coordinates': [[[-74.00211003251829, 40.74137157496732], [-74.00253002471764, 40.74154826220135]]]}",132.999777666
"{'type': 'MultiLineString', 'coordinates': [[[-73.98581251928965, 40.76293414336051], [-73.98608750366319, 40.76304949457323]]]}",86.9998003421
"{'type': 'MultiLineString', 'coordinates': [[[-73.98767341535525, 40.7237547513915], [-73.98742109320487, 40.723648147027475]]]}",79.9998932574
"{'type': 'MultiLineString', 'coordinates': [[[-73.99016217885402, 40.76803880361012], [-73.990066795142, 40.767996080037896]]]}",30.6653291052
"{'type': 'MultiLineString', 'coordinates': [[[-73.91088439752352, 40.742811148957266], [-73.91092732238198, 40.74260233919563], [-73.9109390322337, 40.74254539296025]]]}",97.9998378695
