multipolygon,communityboard,site_name,nyssenate
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99564511522784, 40.666287220381705], [-73.99563215642321, 40.666300212532704], [-73.99573774106042, 40.66634927209259], [-73.99584717205681, 40.666393173539554], [-73.99596001656577, 40.66643174034646], [-73.99607582636138, 40.666464821201416], [-73.99619414138678, 40.66649228460496], [-73.99619479975232, 40.66647778001867], [-73.9962000546086, 40.666407322034395], [-73.99621029355272, 40.66630654924897], [-73.99622540664633, 40.66619491910202], [-73.99624349011347, 40.66608870745251], [-73.99626204693969, 40.665996971606646], [-73.99628300788684, 40.66590664063926], [-73.99612627986326, 40.6658048258455], [-73.99564511522784, 40.666287220381705]]], [[[-73.99555049703315, 40.66638207979908], [-73.99601118033675, 40.66686640489325], [-73.99608947501436, 40.66694871742336], [-73.99621301823105, 40.667078598440455], [-73.99620610816126, 40.66701527844813], [-73.99619952250048, 40.666945726896635], [-73.99619458651004, 40.66687812321439], [-73.9961912291456, 40.66681388931363], [-73.99618917974624, 40.66675012462437], [-73.99618840184516, 40.666683357657114], [-73.9961889221605, 40.666621963209536], [-73.99619023737117, 40.66657824141033], [-73.99609424827405, 40.666562199104604], [-73.99600008196761, 40.66654078970792], [-73.99590825645434, 40.666514129409734], [-73.99581927435847, 40.666482365918526], [-73.99573362647308, 40.66644567215798], [-73.99565178111642, 40.66640425076929], [-73.99557418767935, 40.66635832870776], [-73.99555049703315, 40.66638207979908]]]]}",307,Park,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88041233354778, 40.66549117563528], [-73.88048713884147, 40.665591742939114], [-73.88033246646246, 40.665659158722136], [-73.88064951688328, 40.666085396477136], [-73.88087861251798, 40.666258675414674], [-73.88092565155021, 40.66629425399829], [-73.88120839502459, 40.66641360001713], [-73.88124241708104, 40.66639877121639], [-73.88052936451615, 40.66544016589502], [-73.88041233354778, 40.66549117563528]]]]}",305,Elton Playground,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95428000451695, 40.57562566619823], [-73.95926139366165, 40.57540327136021], [-73.95925124057689, 40.575267670387994], [-73.95926833720983, 40.57526706229326], [-73.95934225333502, 40.57526443192972], [-73.95961653282185, 40.57525467153242], [-73.95966939494714, 40.575252305513864], [-73.96023019337994, 40.57522719988631], [-73.96093926114874, 40.575195452934544], [-73.96114712802645, 40.57518264142115], [-73.96167595199431, 40.57515952788864], [-73.9624682789176, 40.57512196654777], [-73.96281180786036, 40.57510171200452], [-73.96301618742844, 40.57508523534843], [-73.96334189755488, 40.575040355844905], [-73.96381755368463, 40.57498808621131], [-73.96420546469172, 40.57495694692558], [-73.9646600423663, 40.574933431786825], [-73.9648693897781, 40.57492079049669], [-73.96594032116323, 40.574910127500175], [-73.96665504116682, 40.574932468466244], [-73.96683284766137, 40.57495457108101], [-73.96717223474819, 40.574975685004105], [-73.96744870939669, 40.57500055511406], [-73.96754707145713, 40.57501048330864], [-73.96794874995152, 40.57495515348886], [-73.96851034580186, 40.57485747492217], [-73.96928588728296, 40.57469305190501], [-73.97350544099481, 40.57397884116186], [-73.97375365792554, 40.57393682203269], [-73.97704942322243, 40.573579537725], [-73.97722978639437, 40.573559982705476], [-73.97769957953619, 40.573509045740096], [-73.97797542054879, 40.5734791367035], [-73.97825030860307, 40.573444569311086], [-73.97896735596323, 40.57336742341675], [-73.9790158271219, 40.573362207437526], [-73.97906932348408, 40.57335645203886], [-73.97957833978202, 40.57330168549927], [-73.97978508515195, 40.57327177332108], [-73.98004776529012, 40.57324379131816], [-73.98037136632064, 40.57320932005431], [-73.98042618397453, 40.573203479600174], [-73.98049476507828, 40.57319617450312], [-73.98065112332588, 40.573179516926565], [-73.98096547496651, 40.57314712624465], [-73.98127913604633, 40.57311255441993], [-73.98147482152648, 40.57309098526028], [-73.98170473355752, 40.5730656435227], [-73.98198219515866, 40.57303868424631], [-73.98216311447763, 40.57301742047713], [-73.98216715469404, 40.57301694562742], [-73.9824369621377, 40.57298519597498], [-73.98256044428008, 40.57297068212174], [-73.98269567497972, 40.5729547876008], [-73.98270559539897, 40.57295362111439], [-73.98284115197642, 40.57293772557073], [-73.98519668905347, 40.57266083127106], [-73.98625907196093, 40.57263920298422], [-73.9871555345049, 40.572620944119734], [-73.98736406646016, 40.57260673265444], [-73.98771116753622, 40.57252138346801], [-73.98827288997143, 40.572383257584455], [-73.98848982195203, 40.57234346192892], [-73.98891124845895, 40.572242836435976], [-73.98924402449154, 40.572163376066094], [-73.98942275555923, 40.572119651479085], [-73.99028243400402, 40.57190832295532], [-73.99046926554777, 40.57186907753432], [-73.99133203280098, 40.57179354322829], [-73.99150900764111, 40.57176971595597], [-73.99238042861448, 40.57169540363094], [-73.99260566164703, 40.571707506992745], [-73.99348961505385, 40.57175500103032], [-73.99368515804906, 40.571732727562875], [-73.99456224941929, 40.57165780014948], [-73.9947680431707, 40.57164021885789], [-73.99511484462207, 40.57161058975798], [-73.99588020452796, 40.571545198439885], [-73.9969245579338, 40.57157739068379], [-73.99728182188595, 40.57161902644572], [-73.99737069100318, 40.571628253488896], [-73.9986751095207, 40.571756425100794], [-73.99951269180134, 40.571850303297474], [-74.00001234567121, 40.57190736337292], [-74.00008113234713, 40.57191561395172], [-74.0002271719713, 40.57193313166157], [-74.00022748728473, 40.571933206404516], [-74.00108648401863, 40.57213743507508], [-74.0019841933506, 40.57235340400008], [-74.00198442238266, 40.57235093565817], [-74.00234105754573, 40.57243925509848], [-74.00248743240185, 40.57243753021924], [-74.00244188882509, 40.57224469645909], [-74.00243087293526, 40.57218108093215], [-74.00242971535904, 40.57217440896972], [-74.00224399226757, 40.5711021112033], [-74.0022605501282, 40.57110185242807], [-74.002084538616, 40.57006562102829], [-73.9959939753575, 40.568412342431486], [-73.98911653966529, 40.56845142163926], [-73.98776013872975, 40.568459080060144], [-73.98062143702519, 40.56849912368893], [-73.97661654443631, 40.56839390474173], [-73.9731729599979, 40.56940844264989], [-73.97117825345288, 40.56999605535426], [-73.96992108988374, 40.57036637556143], [-73.96827427427499, 40.57075043772674], [-73.96663599332273, 40.571098837785186], [-73.96537544278172, 40.571366890474074], [-73.96436699482844, 40.57158132302135], [-73.96288540583556, 40.57189634462809], [-73.96127564537565, 40.57223859258704], [-73.96017262582697, 40.57247308851641], [-73.95905972204248, 40.572709673055414], [-73.95909790204476, 40.57321964206104], [-73.95913426812315, 40.573705369163655], [-73.95403098748837, 40.57425842651998], [-73.95427659182468, 40.575607775021005], [-73.9542767441803, 40.575607767877415], [-73.95428000451695, 40.57562566619823]]]]}","313, 315",Coney Island Beach & Boardwalk,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.021044939076, 40.63903000709141], [-74.02093132767635, 40.63913967767902], [-74.02099764753403, 40.639179635107595], [-74.0210160344568, 40.639190712630395], [-74.02106200001688, 40.63921840507406], [-74.02112642824662, 40.63925722271793], [-74.0211910965715, 40.639296184364284], [-74.02125574723634, 40.639335135171194], [-74.02131824961111, 40.639372790493596], [-74.02138526989587, 40.63941316991107], [-74.02140924128679, 40.63942761157008], [-74.0214214580417, 40.63949910867113], [-74.02142954502123, 40.63955779396145], [-74.02143673773028, 40.63962570613102], [-74.02144151709409, 40.63969176097981], [-74.02144463751709, 40.63979704722895], [-74.02144806523205, 40.6397991132798], [-74.02144492036824, 40.63969136141544], [-74.02144016001262, 40.63962560913751], [-74.02143297084683, 40.639557697868], [-74.02142462915714, 40.63949731154575], [-74.02141240656938, 40.63942606659133], [-74.02103894283714, 40.639201062604585], [-74.0209363610872, 40.63913925892206], [-74.02115555098719, 40.63892766266127], [-74.02115277123642, 40.63892591526591], [-74.021044939076, 40.63903000709141]]]]}",307,64th Street Community Garden,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96030604864147, 40.7103474927752], [-73.9601282838959, 40.71068419722188], [-73.96015889728116, 40.71074584149037], [-73.96045953633174, 40.7108531491708], [-73.9605637088616, 40.71084224279711], [-73.96077693115004, 40.710495785532274], [-73.96073423987885, 40.7104094011717], [-73.96039886386379, 40.71031573940653], [-73.96030604864147, 40.7103474927752]]]]}",301,Continental Army Plaza,18
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98397583889194, 40.572743301398944], [-73.98398219079836, 40.57276997402203], [-73.98398640849632, 40.57278768072449], [-73.98398774400233, 40.57279328937777], [-73.9840137412817, 40.57279023751858], [-73.98423844941705, 40.5727638534816], [-73.98462716442906, 40.57271821173862], [-73.98463638799247, 40.572717128740976], [-73.98525138051548, 40.57264491613038], [-73.98539748491983, 40.5726419324464], [-73.98541221274758, 40.57264163174129], [-73.9854219568984, 40.57264143306179], [-73.98569606499987, 40.572635835638856], [-73.98572041651559, 40.57263533797677], [-73.98618300667151, 40.5726258895101], [-73.98618504210769, 40.57263991902758], [-73.98618769194782, 40.57265819279123], [-73.98622847344402, 40.5726555339357], [-73.98622578029747, 40.57263531953725], [-73.98622534165902, 40.572632027166726], [-73.98622448690323, 40.57262504169493], [-73.98625627849329, 40.57262439262255], [-73.9864254647751, 40.57262093671437], [-73.9864394887483, 40.57262060067396], [-73.98650566772805, 40.57261901633945], [-73.98654868559767, 40.57261799028399], [-73.98659810654542, 40.57261740081351], [-73.98722727043285, 40.57260415103089], [-73.98725826370985, 40.5726033142833], [-73.98726272658118, 40.57260319320741], [-73.98724281703707, 40.572496701262665], [-73.98715826104643, 40.571952925354964], [-73.98708414770908, 40.57149157735883], [-73.98706370319066, 40.57135172627542], [-73.98703825483291, 40.57115865451231], [-73.98702518579535, 40.5710594980615], [-73.98699160167311, 40.57106337462433], [-73.98658302714848, 40.571093218747336], [-73.98654033459648, 40.57109633677274], [-73.986482126885, 40.571076364404284], [-73.98645462846642, 40.57106664540385], [-73.98644072635106, 40.57106749656066], [-73.98643932803701, 40.57107375414188], [-73.98644229852655, 40.57110066397215], [-73.98644128274628, 40.571113173941626], [-73.98640997189723, 40.57112848006241], [-73.9863265759983, 40.571137665423905], [-73.98588707942622, 40.57117168182133], [-73.98561232706435, 40.57120827027677], [-73.9850837957424, 40.571266980111325], [-73.9849608585668, 40.5712849655712], [-73.98488004982273, 40.57129885186064], [-73.98477774596385, 40.57131643100025], [-73.98475606590813, 40.57131821746792], [-73.98473877125743, 40.57132260973213], [-73.98435562397412, 40.5713343496618], [-73.9843106874177, 40.57133228853581], [-73.98429212086691, 40.57132662530026], [-73.98428457656124, 40.571313592775375], [-73.9842776816873, 40.5712858763831], [-73.98426315961973, 40.571226095763365], [-73.98425095775562, 40.57120790889511], [-73.98422706071703, 40.571206337802856], [-73.98420678830085, 40.571218352519814], [-73.98419509428761, 40.571234968293986], [-73.98419990637868, 40.571275850976726], [-73.98420545979471, 40.57132303743391], [-73.98421505013006, 40.571363261588466], [-73.9842202942043, 40.5713852567242], [-73.98421355301893, 40.57139689237813], [-73.98420227698065, 40.571403724009414], [-73.98415960606, 40.571428856280185], [-73.98400980142635, 40.57146387043866], [-73.98391394557389, 40.57147914706451], [-73.98383788043037, 40.57149214356642], [-73.98378172368693, 40.57150459891347], [-73.98377510061475, 40.57150606763454], [-73.9837512657655, 40.57139409122408], [-73.98371710844037, 40.5712336182882], [-73.98364771497332, 40.57090759866907], [-73.98371948896325, 40.57089544997869], [-73.98367169841515, 40.570685647945204], [-73.9835959362179, 40.57069476126804], [-73.98348442450259, 40.57015657817527], [-73.98383929912315, 40.57011406354308], [-73.98381937408577, 40.57005324919875], [-73.98365686118812, 40.57007294318314], [-73.98346849481223, 40.57009576974776], [-73.98335698663743, 40.569551510661704], [-73.98326927018994, 40.56956061573358], [-73.98339273443875, 40.570104876633536], [-73.98322182708124, 40.570125587282085], [-73.98304185580339, 40.57014739587937], [-73.983057785889, 40.57020516329363], [-73.98320966743421, 40.57019037376207], [-73.98340069372158, 40.57017177236823], [-73.98366753498264, 40.57140319716258], [-73.98381843470203, 40.572059128269714], [-73.98391403531745, 40.57247466537244], [-73.98397583889194, 40.572743301398944]]]]}",313,Coney Island Beach Zone 6a,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01276037951446, 40.63259498089538], [-74.01377411188437, 40.633206829778885], [-74.0142299362616, 40.632766668011584], [-74.01321664484205, 40.63215439982337], [-74.01276037951446, 40.63259498089538]]]]}",310,Quaker Parrot Park at the Dust Bowl,17
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00083742049672, 40.67701179612154], [-74.00137239737056, 40.67715918632332], [-74.00102984906486, 40.67661239378169], [-74.00083742049672, 40.67701179612154]]]]}",306,Admiral Triangle,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00229521551404, 40.57241550018463], [-74.00231671736138, 40.57242032476381], [-74.00233315168202, 40.572423903115975], [-74.00234630882379, 40.57242676921781], [-74.00240040888632, 40.572438555967096], [-74.00248942821683, 40.57243745903456], [-74.00234070265306, 40.5714446544583], [-74.00239417903946, 40.57144180949925], [-74.00243896372338, 40.57143942756988], [-74.00243823746295, 40.571407550812644], [-74.00243426703801, 40.57137217558569], [-74.0024307088982, 40.57134047539103], [-74.00242622792389, 40.571326809123086], [-74.00242174580144, 40.571313996552405], [-74.0024172648308, 40.571300330284075], [-74.00241278389282, 40.57128751771294], [-74.00240942366537, 40.57127470511816], [-74.00240494276133, 40.57126274714465], [-74.00240046185891, 40.57125078827041], [-74.00239598092746, 40.57123797659912], [-74.00239149869451, 40.57122174743644], [-74.0023870176446, 40.57120551827351], [-74.00238253659693, 40.57118928911042], [-74.00237805542973, 40.57116964335642], [-74.00237675387184, 40.57116492733549], [-74.00237357438664, 40.57115341419289], [-74.00236909340624, 40.57113889332456], [-74.00236573201377, 40.571126081628876], [-74.00236013148164, 40.57111070618526], [-74.00235565056727, 40.57109789361167], [-74.00235340982488, 40.57108337359721], [-74.00235004843817, 40.5710705610005], [-74.00234556740853, 40.57105433183574], [-74.00234108641096, 40.57103895726877], [-74.00233884567372, 40.57102443635341], [-74.00233660484777, 40.57100735254467], [-74.00233436405284, 40.570991124234325], [-74.00233212319941, 40.57097318672803], [-74.00232876170317, 40.57095695753977], [-74.00232540138951, 40.57094072835131], [-74.00232092025585, 40.57092108259463], [-74.00231531842223, 40.570901436860346], [-74.00231307784307, 40.57089118713309], [-74.00231083717598, 40.570878374512375], [-74.0023085965097, 40.57086556189168], [-74.00230299447824, 40.57083993757299], [-74.00230075384415, 40.57082797864952], [-74.00229851318159, 40.570815166929016], [-74.00229627254913, 40.57080320800542], [-74.00229179134531, 40.57078100025451], [-74.00228955048107, 40.57076220814906], [-74.00228730964726, 40.57074427064148], [-74.0022850689608, 40.57073060432267], [-74.00228282833363, 40.57071864629925], [-74.00227946815977, 40.5707058337], [-74.00227386647269, 40.570689604554175], [-74.00227274562836, 40.57068533428802], [-74.00221000780294, 40.570365877057554], [-74.00220664746325, 40.57034708587183], [-74.00220440675022, 40.57033171125547], [-74.00220328566279, 40.57031975230803], [-74.00220104509219, 40.570308648880605], [-74.00219880449418, 40.57029668995453], [-74.00219656378466, 40.57028131533798], [-74.00219432310426, 40.57026679441884], [-74.00219320320063, 40.570254836371745], [-74.0021920820604, 40.57024117002915], [-74.00219208158389, 40.57022664906715], [-74.00219320163013, 40.5702070031972], [-74.00219320098509, 40.57018735734862], [-74.00219320042417, 40.57017027349304], [-74.00219095845526, 40.570152336883176], [-74.00218983844205, 40.57013696134437], [-74.00218535751397, 40.570120732172036], [-74.00218199615213, 40.570106211273746], [-74.00217975553649, 40.57009339955015], [-74.00217751483815, 40.5700780240324], [-74.00217415454986, 40.570060086542796], [-74.00217079311027, 40.57004300365104], [-74.00216743296411, 40.57002933735026], [-74.00216519240921, 40.57001823302127], [-74.00216071031417, 40.57000200384783], [-74.00215622942973, 40.56998662927223], [-74.00215174860243, 40.56997296209139], [-74.00215062904135, 40.56997125381681], [-74.00214726728271, 40.56994392115098], [-74.00211813787863, 40.5697261090548], [-74.00208677005456, 40.56959627646267], [-74.00205428679503, 40.56959456875255], [-74.00203300454284, 40.569596277426804], [-74.00202292434716, 40.56959713220284], [-74.00201172228955, 40.569597986097094], [-74.00198708060897, 40.569608237200114], [-74.001976999508, 40.56961848714763], [-74.00197475968031, 40.56963044525531], [-74.00204421898542, 40.570038734784205], [-74.00204704778837, 40.57005544577234], [-74.00204870136906, 40.5700652146358], [-74.00204884352033, 40.570079606820435], [-74.002049266418, 40.57012233581356], [-74.00204363521975, 40.57014166207625], [-74.00202617683574, 40.57015111159207], [-74.00194282414529, 40.57019019670812], [-74.00156885532007, 40.57026450742522], [-74.00125177028426, 40.57032292475798], [-74.00107323340376, 40.57035256283486], [-74.00051509443009, 40.570426443944115], [-74.00031740704748, 40.57044233712143], [-74.00005664062544, 40.5704728338169], [-73.9997603908792, 40.57047369628369], [-73.99974743737174, 40.57046553660111], [-73.99973560932713, 40.57044706861277], [-73.99973213038417, 40.57043379396921], [-73.99973213044251, 40.570419248693284], [-73.99971219778675, 40.570391883498594], [-73.99970675138407, 40.57039075062466], [-73.99969336804386, 40.57038264676738], [-73.99967928793504, 40.570380498977364], [-73.99967314122637, 40.57038375976018], [-73.99966833606436, 40.570382760163945], [-73.9996675967883, 40.570386701758714], [-73.99966633319963, 40.5703873708449], [-73.99965619597329, 40.57042645358974], [-73.99965281727395, 40.57044234513999], [-73.9996336685478, 40.57045651753917], [-73.9996038183381, 40.57046339024505], [-73.99913128315804, 40.57044535463518], [-73.99860468080989, 40.57043247014061], [-73.99806118191889, 40.57038307837571], [-73.99784530450205, 40.57035772835924], [-73.99782449322156, 40.570355284843274], [-73.99779895827962, 40.57035228650988], [-73.99780663616676, 40.57047408713347], [-73.9978115427111, 40.570551928586816], [-73.99786787427732, 40.57139288825557], [-73.99787142131117, 40.57144582386367], [-73.9978849850768, 40.57164831969384], [-73.99788661991076, 40.57167273384805], [-73.99874615379011, 40.5717675158593], [-73.99886945842246, 40.57178111235968], [-73.99890154347278, 40.571784732780046], [-73.9989661198241, 40.57179230499069], [-73.99901124132042, 40.571797647300166], [-73.99903973754598, 40.571797494452724], [-73.99908385405467, 40.57180371833889], [-74.00001426234934, 40.57190687348729], [-74.00004158121624, 40.57190981189256], [-74.00007794497336, 40.57191963479646], [-74.00015687718668, 40.57192407610329], [-74.00018871556178, 40.57192929009307], [-74.00022434476865, 40.57192939809197], [-74.00113448865201, 40.57214457577126], [-74.00117436248507, 40.57215426231393], [-74.00120786621623, 40.572160817785814], [-74.00129126545366, 40.5721808895724], [-74.0013236473119, 40.5721878142382], [-74.001344804179, 40.57219271464742], [-74.00135721014696, 40.5721955880756], [-74.00226723725392, 40.57240921868059], [-74.00229521551404, 40.57241550018463]]]]}",313,Coney Island Beach Zone 7c,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99150900764111, 40.57176971595597], [-73.99181194747146, 40.57326148575973], [-73.99265441435584, 40.57307328446076], [-73.99238042861448, 40.57169540363094], [-73.99150900764111, 40.57176971595597]]]]}",313,Poseidon Playground,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93765819876536, 40.63702433934289], [-73.93788598198672, 40.639140588470106], [-73.9386104475145, 40.639096291070594], [-73.93838064165966, 40.63698227558387], [-73.93765819876536, 40.63702433934289]]]]}",317,Paerdegat Park,21
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90492726459235, 40.68320421380105], [-73.90481322674606, 40.68331834978892], [-73.90541319641932, 40.68365765680174], [-73.90530048450375, 40.683772759707495], [-73.90545645606122, 40.68386625690286], [-73.90576818301169, 40.68405312080395], [-73.90575067076796, 40.6839184282262], [-73.90573732687295, 40.68381579467085], [-73.90571140101169, 40.683616383320924], [-73.90571913423307, 40.68360854977841], [-73.90567653449864, 40.683388730800885], [-73.90559410382663, 40.68309870653574], [-73.90558083607394, 40.68305202648437], [-73.90557197286572, 40.683020844298774], [-73.90555449418119, 40.68297317652583], [-73.90550946307893, 40.68285037330904], [-73.90536335571325, 40.682767742689684], [-73.90492726459235, 40.68320421380105]]]]}",304,Rudd Playground,18
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96929270370008, 40.59513685085445], [-73.96956277906025, 40.59495235246149], [-73.96924859339958, 40.594922958599255], [-73.96929270370008, 40.59513685085445]]]]}",315,Gravesend Triangle,22
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96348799692701, 40.70855957451482], [-73.96409090308815, 40.708627937366686], [-73.96423569789428, 40.707897852468335], [-73.96428493312636, 40.70764959229953], [-73.96401900548004, 40.707695444563434], [-73.96408714447196, 40.707925492435855], [-73.96396080242494, 40.70794899951758], [-73.963972813233, 40.708006436983176], [-73.96390554510974, 40.708019697550235], [-73.963709894192, 40.70804617860378], [-73.96367887069266, 40.70804934312115], [-73.96367240606008, 40.70802751539061], [-73.96351433692956, 40.70805476889794], [-73.96352044361676, 40.7080753871373], [-73.96358924947764, 40.708063523974644], [-73.96348799692701, 40.70855957451482]]]]}",301,Bedford Playground,18
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96140283431592, 40.70718899600049], [-73.96135039390902, 40.70744701001819], [-73.96173716393449, 40.70748709761888], [-73.96140283431592, 40.70718899600049]]]]}",301,Sobel Playground,18
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98222274690765, 40.60553161172855], [-73.98243465506906, 40.60550138857864], [-73.98221236605096, 40.605477732803614], [-73.98222274690765, 40.60553161172855]]]]}",311,Ketchum Triangle,17
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96139088191883, 40.735348015044956], [-73.96059647618307, 40.73541780368092], [-73.96051934697829, 40.735424580601375], [-73.96028732587628, 40.73544497116834], [-73.96026211217914, 40.73544718762569], [-73.96022017577252, 40.73545087333408], [-73.96020101776386, 40.735452556968], [-73.96019268659899, 40.73545328890291], [-73.95993601736264, 40.73547605208267], [-73.95949080596536, 40.73571901635487], [-73.9595638435993, 40.73579715657949], [-73.9595818264883, 40.73581639593953], [-73.95965666381264, 40.73589646112111], [-73.95969466935452, 40.73593712155268], [-73.96012673188424, 40.73639935854523], [-73.96012669634409, 40.73639939905578], [-73.96016986554037, 40.73644558302896], [-73.96026808136375, 40.73655065758703], [-73.96063914629796, 40.73694762976974], [-73.96120144308392, 40.7365780874129], [-73.96279294475046, 40.73522476750045], [-73.96139088191883, 40.735348015044956]]]]}",301,Newtown Barge Playground,59
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0192932548897, 40.62351298638774], [-74.0192926585733, 40.62351070817183], [-74.0192915718154, 40.623508536299596], [-74.01929002536271, 40.62350653380228], [-74.01928806295992, 40.62350475560425], [-74.01928573898728, 40.62350325212554], [-74.01928311845873, 40.62350206387849], [-74.01928027465985, 40.62350122597121], [-74.01927728678143, 40.623500760002784], [-74.01927423873974, 40.623500680367584], [-74.01927121681128, 40.62350098975259], [-74.01926830372345, 40.623501678238256], [-74.0192655822007, 40.62350272599926], [-74.01926312905617, 40.62350410600723], [-74.01925904331611, 40.623508037462145], [-74.0192004368761, 40.623564421627016], [-74.0191964933031, 40.62356957326077], [-74.01919375180834, 40.62357516054543], [-74.01919229507565, 40.623581020473175], [-74.01919216205809, 40.623586983739706], [-74.01919335861585, 40.62359287834476], [-74.01919584924396, 40.623598532294885], [-74.01919956180251, 40.623603783508344], [-74.01920438987972, 40.62360847801391], [-74.0192101916136, 40.623612481657666], [-74.01921680150973, 40.623615677399464], [-74.01922659052016, 40.62361853581472], [-74.01923439228294, 40.62361953048498], [-74.01924230129765, 40.62361949224011], [-74.01925008591891, 40.62361842111897], [-74.01925751451078, 40.6236163504796], [-74.01926436726409, 40.62361334069375], [-74.01927044210571, 40.62360948094686], [-74.01927555942527, 40.62360488473471], [-74.01927956680214, 40.623599688962095], [-74.0192823472763, 40.62359404673709], [-74.0192838181658, 40.62358812466999], [-74.01929253560928, 40.62351871111496], [-74.0192932548897, 40.62351298638774]]]]}",310,McDonald Square,26
