location,longitude,block,:@computed_region_sbqj_enih,nta,census_tract,application_status_raw,lot,latitude-council_district
"{'latitude': '40.776467', 'longitude': '-73.785989'}",-73.785989,5806,67.0,Ft. Totten-Bay Terrace-Clearview,99701.0,Issued,44,40.776467-19.0
"{'latitude': '40.698939', 'longitude': '-73.915123'}",-73.915123,3326,53.0,Bushwick North,433.0,Issued,35,40.698939-37.0
"{'latitude': '40.715057', 'longitude': '-74.009902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.009902,137,1.0,SoHo-TriBeCa-Civic Center-Little Italy,21.0,Issued,1,40.715057-1.0
"{'latitude': '40.776497', 'longitude': '-73.806024'}",-73.806024,4863,67.0,Whitestone,1033.0,Issued,31,40.776497-19.0
"{'latitude': '40.878026', 'longitude': '-73.855529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.855529,4697,30.0,Williamsbridge-Olinville,382.0,Issued,28,40.878026-12.0
"{'latitude': '40.703921', 'longitude': '-73.927362'}",-73.927362,3165,53.0,Bushwick North,427.0,Issued,29,40.703921-34.0
"{'latitude': '40.598584', 'longitude': '-73.820016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.820016,15500,58.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,107201.0,Issued,106,40.598584-32.0
"{'latitude': '40.811154', 'longitude': '-73.885596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.885596,2769,24.0,Hunts Point,93.0,Issued,44,40.811154-17.0
"{'latitude': '40.760076', 'longitude': '-73.994466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.994466,1052,6.0,Clinton,121.0,Issued,1,40.760076-3.0
"{'latitude': '40.66873', 'longitude': '-73.986684'}",-73.986684,1010,50.0,Park Slope-Gowanus,139.0,Issued,44,40.66873-39.0
"{'latitude': '40.646101', 'longitude': '-74.078218'}",-74.078218,2,74.0,West New Brighton-New Brighton-St. George,7.0,Issued,22,40.646101-49.0
"{'latitude': '40.712483', 'longitude': '-73.950561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.950561,2767,56.0,North Side-South Side,513.0,Issued,7505,40.712483-34.0
"{'latitude': '40.699702', 'longitude': '-73.904354'}",-73.904354,3561,62.0,Ridgewood,553.0,Issued,23,40.699702-34.0
"{'latitude': '40.731726', 'longitude': '-74.004366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.004366,587,3.0,West Village,67.0,Issued,65,40.731726-3.0
"{'latitude': '40.859683', 'longitude': '-73.839033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.839033,4400,32.0,Allerton-Pelham Gardens,310.0,Issued,13,40.859683-13.0
"{'latitude': '40.72392', 'longitude': '-74.010282'}",-74.010282,224,1.0,SoHo-TriBeCa-Civic Center-Little Italy,39.0,Issued,13,40.72392-1.0
"{'latitude': '40.743827', 'longitude': '-73.987907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.987907,856,7.0,Hudson Yards-Chelsea-Flatiron-Union Square,56.0,Issued,7502,40.743827-2.0
"{'latitude': '40.774267', 'longitude': '-73.963285'}",-73.963285,1391,11.0,Upper East Side-Carnegie Hill,130.0,Issued,21,40.774267-4.0
"{'latitude': '40.755182', 'longitude': '-73.98388'}",-73.98388,995,8.0,Midtown-Midtown South,119.0,Issued,33,40.755182-4.0
"{'latitude': '40.750504', 'longitude': '-73.978865'}",-73.978865,869,9.0,Murray Hill-Kips Bay,82.0,Issued,34,40.750504-4.0
"{'latitude': '40.70856', 'longitude': '-73.938091'}",-73.938091,3056,56.0,Bushwick South,485.0,Issued,80,40.70856-34.0
"{'latitude': '40.752825', 'longitude': '-73.864207'}",-73.864207,1769,73.0,North Corona,405.0,Issued,89,40.752825-21.0
"{'latitude': '40.595653', 'longitude': '-73.741105'}",-73.741105,15609,59.0,Far Rockaway-Bayswater,101002.0,Issued,65,40.595653-31.0
"{'latitude': '40.783424', 'longitude': '-73.950634'}",-73.950634,1522,11.0,Upper East Side-Carnegie Hill,15801.0,Issued,34,40.783424-5.0
"{'latitude': '40.823685', 'longitude': '-73.836422'}",-73.836422,5559,28.0,Soundview-Castle Hill-Clason Point-Harding Park,90.0,Issued,1,40.823685-13.0
"{'latitude': '40.740526', 'longitude': '-73.890254'}",-73.890254,1352,68.0,Elmhurst-Maspeth,485.0,Issued,98,40.740526-25.0
"{'latitude': '40.569895', 'longitude': '-74.095788'}",-74.095788,3887,76.0,New Dorp-Midland Beach,11202.0,Issued,49,40.569895-50.0
"{'latitude': '40.755685', 'longitude': '-73.972943'}",-73.972943,1303,9.0,Turtle Bay-East Midtown,92.0,Issued,53,40.755685-4.0
"{'latitude': '40.711393', 'longitude': '-74.006666'}",-74.006666,90,1.0,Battery Park City-Lower Manhattan,1501.0,Issued,14,40.711393-1.0
"{'latitude': '40.720442', 'longitude': '-73.988182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.988182,411,4.0,Chinatown,3001.0,Issued,29,40.720442-1.0
"{'latitude': '40.62751', 'longitude': '-74.005696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.005696,5759,41.0,Dyker Heights,210.0,Issued,19,40.62751-38.0
"{'latitude': '40.734436', 'longitude': '-73.79937'}",-73.79937,6923,65.0,Pomonok-Flushing Heights-Hillcrest,1223.0,Issued,42,40.734436-24.0
"{'latitude': '40.615146', 'longitude': '-74.088999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.088999,623,74.0,Grymes Hill-Clifton-Fox Hills,47.0,Issued,90,40.615146-49.0
"{'latitude': '40.725438', 'longitude': '-73.997893'}",-73.997893,512,1.0,SoHo-TriBeCa-Civic Center-Little Italy,49.0,Issued,7503,40.725438-1.0
"{'latitude': '40.570944', 'longitude': '-74.091492'}",-74.091492,3816,76.0,New Dorp-Midland Beach,11202.0,Issued,28,40.570944-50.0
"{'latitude': '40.734821', 'longitude': '-73.758497'}",-73.758497,7770,69.0,Oakland Gardens,129103.0,Issued,46,40.734821-23.0
"{'latitude': '40.743218', 'longitude': '-73.993562'}",-73.993562,798,7.0,Hudson Yards-Chelsea-Flatiron-Union Square,91.0,Issued,41,40.743218-3.0
"{'latitude': '40.871303', 'longitude': '-73.838449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.838449,4775,30.0,Eastchester-Edenwald-Baychester,358.0,Issued,138,40.871303-12.0
"{'latitude': '40.679415', 'longitude': '-73.781855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.781855,12253,71.0,Baisley Park,288.0,Issued,9,40.679415-28.0
"{'latitude': '40.668821', 'longitude': '-73.884687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.884687,4062,47.0,East New York,1162.0,Issued,31,40.668821-42.0
"{'latitude': '40.824457', 'longitude': '-73.912459'}",-73.912459,2383,25.0,Morrisania-Melrose,141.0,Issued,19,40.824457-17.0
"{'latitude': '40.590779', 'longitude': '-74.066128'}",-74.066128,3122,76.0,Grasmere-Arrochar-Ft. Wadsworth,74.0,Issued,158,40.590779-50.0
"{'latitude': '40.74413', 'longitude': '-74.005135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.005135,716,6.0,Hudson Yards-Chelsea-Flatiron-Union Square,89.0,Issued,9,40.74413-3.0
"{'latitude': '40.757103', 'longitude': '-73.986193'}",-73.986193,1015,8.0,Midtown-Midtown South,119.0,Issued,29,40.757103-3.0
