job_number,location,community_board,ex_dwelling_unit,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,pr_dwelling_unit
402016689,"{'latitude': '40.595698', 'longitude': '-73.740359'}",14.0,,47.0,20529.0,2.0
520390924,"{'latitude': '40.614964', 'longitude': '-74.086664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,13.0,10691.0,1.0
121184761,"{'latitude': '40.716394', 'longitude': '-73.996515'}",2.0,,32.0,12076.0,
520318111,"{'latitude': '40.540807', 'longitude': '-74.206809'}",3.0,,9.0,10696.0,0.0
520249142,"{'latitude': '40.56016', 'longitude': '-74.128844'}",3.0,1.0,14.0,10693.0,1.0
101099776,"{'latitude': '40.763676', 'longitude': '-73.982665'}",5.0,,10.0,12081.0,
421459558,"{'latitude': '40.716469', 'longitude': '-73.738132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13.0,,6.0,24338.0,
122956319,"{'latitude': '40.71919', 'longitude': '-74.008705'}",1.0,44.0,32.0,12076.0,44.0
402285497,"{'latitude': '40.795166', 'longitude': '-73.8263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7.0,,20.0,14192.0,1.0
301600701,"{'latitude': '40.660063', 'longitude': '-73.956846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9.0,,11.0,13509.0,1.0
401613287,"{'latitude': '40.765492', 'longitude': '-73.867289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,1.0,21.0,14511.0,2.0
102194171,"{'latitude': '40.75753', 'longitude': '-73.977946'}",5.0,,51.0,12082.0,
421376727,"{'latitude': '40.742018', 'longitude': '-73.859642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,,21.0,14510.0,7.0
421616040,"{'latitude': '40.740526', 'longitude': '-73.890254'}",4.0,,5.0,14784.0,
121330611,"{'latitude': '40.730523', 'longitude': '-74.010095'}",2.0,,10.0,12077.0,57.0
520139993,"{'latitude': '40.570944', 'longitude': '-74.091492'}",2.0,1.0,14.0,10693.0,1.0
321486860,"{'latitude': '40.69605', 'longitude': '-73.958319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,,38.0,17212.0,8.0
520145030,"{'latitude': '40.539104', 'longitude': '-74.144832'}",3.0,,9.0,10695.0,2.0
123347431,"{'latitude': '40.750504', 'longitude': '-73.978865'}",6.0,,51.0,12078.0,
420650110,"{'latitude': '40.751365', 'longitude': '-73.938762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,33.0,16858.0,46.0
322066018,"{'latitude': '40.70648', 'longitude': '-73.944484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,30.0,17213.0,3.0
321937357,"{'latitude': '40.669178', 'longitude': '-73.995015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,,27.0,17617.0,
420662189,"{'latitude': '40.606497', 'longitude': '-73.817927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14.0,,41.0,20531.0,1.0
321763980,"{'latitude': '40.678892', 'longitude': '-73.97561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,10.0,27.0,17619.0,1.0
102495462,"{'latitude': '40.760018', 'longitude': '-73.984038'}",5.0,,51.0,12081.0,
200884445,"{'latitude': '40.831416', 'longitude': '-73.877785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9.0,,31.0,11610.0,
321174803,"{'latitude': '40.674745', 'longitude': '-73.869849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,2.0,25.0,17215.0,4.0
402146986,"{'latitude': '40.595645', 'longitude': '-73.741101'}",14.0,,47.0,20529.0,2.0
421747122,"{'latitude': '40.669092', 'longitude': '-73.739486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13.0,1.0,47.0,24018.0,2.0
121184798,"{'latitude': '40.720442', 'longitude': '-73.988182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,,32.0,11723.0,
104736680,"{'latitude': '40.745022', 'longitude': '-74.006099'}",4.0,,10.0,12074.0,22.0
122640570,"{'latitude': '40.783505', 'longitude': '-73.973145'}",7.0,7.0,19.0,12421.0,1.0
220139516,"{'latitude': '40.823685', 'longitude': '-73.836422'}",10.0,,12.0,11274.0,
421614872,"{'latitude': '40.683289', 'longitude': '-73.864092'}",9.0,1.0,41.0,24012.0,1.0
320916657,"{'latitude': '40.66873', 'longitude': '-73.986684'}",6.0,2.0,27.0,17617.0,9.0
102631555,"{'latitude': '40.755685', 'longitude': '-73.972943'}",6.0,656.0,51.0,12079.0,656.0
121450312,"{'latitude': '40.743218', 'longitude': '-73.993562'}",4.0,,10.0,12074.0,
220403882,"{'latitude': '40.824457', 'longitude': '-73.912459'}",3.0,,43.0,10929.0,199.0
123582783,"{'latitude': '40.765146', 'longitude': '-73.988982'}",4.0,21.0,10.0,12081.0,21.0
421481480,"{'latitude': '40.734427', 'longitude': '-73.823961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8.0,1.0,24.0,14509.0,1.0
220527892,"{'latitude': '40.820114', 'longitude': '-73.89229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,33.0,43.0,10937.0,56.0
421424676,"{'latitude': '40.734436', 'longitude': '-73.79937'}",8.0,1.0,24.0,14507.0,1.0
102495462,"{'latitude': '40.760018', 'longitude': '-73.984038'}",5.0,,51.0,12081.0,
520382988,"{'latitude': '40.565772', 'longitude': '-74.151897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3.0,,9.0,10695.0,1.0
220635034,"{'latitude': '40.846922', 'longitude': '-73.911743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,,29.0,10931.0,22.0
421893794,"{'latitude': '40.683886', 'longitude': '-73.845912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9.0,,41.0,24012.0,
103925219,"{'latitude': '40.743827', 'longitude': '-73.987907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,,50.0,12073.0,190.0
220466350,"{'latitude': '40.86778', 'longitude': '-73.831248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10.0,,2.0,12344.0,
421429001,"{'latitude': '40.776467', 'longitude': '-73.785989'}",7.0,1.0,20.0,14195.0,1.0
121190219,"{'latitude': '40.769995', 'longitude': '-73.982137'}",7.0,,10.0,12420.0,172.0
220462363,"{'latitude': '40.810606', 'longitude': '-73.926353'}",1.0,,35.0,10932.0,56.0
101470757,"{'latitude': '40.756747', 'longitude': '-73.988659'}",5.0,,10.0,13094.0,
123203586,"{'latitude': '40.813213', 'longitude': '-73.945219'}",10.0,115.0,36.0,12424.0,115.0
220240718,"{'latitude': '40.847206', 'longitude': '-73.782606'}",10.0,,12.0,11273.0,2.0
122725818,"{'latitude': '40.755182', 'longitude': '-73.98388'}",5.0,,51.0,13094.0,
321268230,"{'latitude': '40.712483', 'longitude': '-73.950561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,30.0,17613.0,8.0
122171041,"{'latitude': '40.771278', 'longitude': '-73.966381'}",8.0,,51.0,12083.0,1.0
320917932,"{'latitude': '40.640776', 'longitude': '-73.945576'}",17.0,,26.0,16866.0,34.0
200821780,"{'latitude': '40.820458', 'longitude': '-73.92868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,,35.0,10929.0,
220240665,"{'latitude': '40.847483', 'longitude': '-73.783791'}",10.0,,12.0,11273.0,2.0
321232064,"{'latitude': '40.672878', 'longitude': '-73.923949'}",8.0,4.0,17.0,13516.0,8.0
421346109,"{'latitude': '40.746075', 'longitude': '-73.890025'}",4.0,,5.0,14784.0,
104297681,"{'latitude': '40.74413', 'longitude': '-74.005135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,,10.0,12074.0,46.0
104388734,"{'latitude': '40.765919', 'longitude': '-73.969149'}",8.0,9.0,51.0,10090.0,7.0
121192912,"{'latitude': '40.7614', 'longitude': '-73.966249'}",6.0,,51.0,12419.0,68.0
520389204,"{'latitude': '40.612661', 'longitude': '-74.128024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,2.0,14.0,10700.0,2.0
400036812,"{'latitude': '40.752544', 'longitude': '-73.914925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,33.0,16858.0,
321537404,"{'latitude': '40.684455', 'longitude': '-73.961059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,2.0,48.0,13829.0,2.0
220654325,"{'latitude': '40.811154', 'longitude': '-73.885596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,,43.0,12343.0,
122622910,"{'latitude': '40.74114', 'longitude': '-73.98466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,,50.0,12073.0,
220060010,"{'latitude': '40.849601', 'longitude': '-73.86188'}",11.0,1.0,12.0,11271.0,2.0
321293300,"{'latitude': '40.640136', 'longitude': '-74.006601'}",7.0,2.0,7.0,18180.0,4.0
220402357,"{'latitude': '40.847191', 'longitude': '-73.783275'}",10.0,,12.0,11273.0,1.0
120786417,"{'latitude': '40.718488', 'longitude': '-74.002644'}",1.0,0.0,32.0,12076.0,126.0
320204364,"{'latitude': '40.702057', 'longitude': '-73.984712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,37.0,38.0,16865.0,37.0
421694697,"{'latitude': '40.746839', 'longitude': '-73.83316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7.0,2.0,3.0,14190.0,2.0
220208424,"{'latitude': '40.881407', 'longitude': '-73.900013'}",8.0,,40.0,11272.0,
122729556,"{'latitude': '40.710089', 'longitude': '-74.009735'}",1.0,228.0,32.0,13096.0,218.0
321026144,"{'latitude': '40.727845', 'longitude': '-73.956398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,2.0,38.0,18182.0,1.0
302138023,"{'latitude': '40.658049', 'longitude': '-73.910696'}",16.0,,25.0,17614.0,3.0
103709685,"{'latitude': '40.740998', 'longitude': '-73.992234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,,10.0,12073.0,
123673596,"{'latitude': '40.750256', 'longitude': '-73.973256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,,51.0,12079.0,
520289401,"{'latitude': '40.640391', 'longitude': '-74.07565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,,13.0,10369.0,
220524181,"{'latitude': '40.859683', 'longitude': '-73.839033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11.0,,12.0,11607.0,1.0
