the_geom,borough,image,number
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79845777549508, 40.85955287417018], [-73.78942004785895, 40.859536732824694], [-73.78944177198893, 40.852674995384085], [-73.79847856726967, 40.85269113508383], [-73.79845777549508, 40.85955287417018]]]]}",2,40250,40250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92493219294764, 40.90773653430618], [-73.92493994281547, 40.900874840114135], [-73.93398332473149, 40.900880365552986], [-73.93397650858206, 40.90774206030831], [-73.92493219294764, 40.90773653430618]]]]}",2,2267,2267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81645750805113, 40.88702989940243], [-73.81647645071602, 40.88016820014807], [-73.8255170007425, 40.88018222194824], [-73.82549899120677, 40.887043922632195], [-73.81645750805113, 40.88702989940243]]]]}",2,32260,32260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88882384490094, 40.866537084619594], [-73.87978515045835, 40.866528021870586], [-73.87979755351851, 40.859666288553136], [-73.88883531540394, 40.85967535037821], [-73.88882384490094, 40.866537084619594]]]]}",2,15252,15252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78038231284549, 40.859519883507474], [-73.77134458250761, 40.859502326239785], [-73.7713681713466, 40.8526405923072], [-73.78040496933069, 40.85265814778479], [-73.78038231284549, 40.859519883507474]]]]}",2,45250,45250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79847856726967, 40.85269113508383], [-73.79849935472753, 40.84582939677251], [-73.80753523399264, 40.845844827041134], [-73.80751537869915, 40.852706566925896], [-73.79847856726967, 40.85269113508383]]]]}",2,37247,37247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91587051824465, 40.921453650813774], [-73.91587920541639, 40.91459197538705], [-73.92492444148948, 40.914598210477735], [-73.92491668842015, 40.92145988654007], [-73.91587051824465, 40.921453650813774]]]]}",2,5272,5272
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92500961964487, 40.839119238930174], [-73.92501735352484, 40.83225746899586], [-73.9340514088553, 40.83226298880399], [-73.9340446067675, 40.839124759301214], [-73.92500961964487, 40.839119238930174]]]]}",1,2242,2242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91595730925854, 40.8528365342362], [-73.91596597850508, 40.845974781099855], [-73.92500188415919, 40.84598100983714], [-73.92499414708763, 40.852842763608656], [-73.91595730925854, 40.8528365342362]]]]}",1,5247,5247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91592261434383, 40.88028349052401], [-73.90688203581388, 40.88027655043015], [-73.90689164517731, 40.87341482250198], [-73.91593129076064, 40.87342176188835], [-73.91592261434383, 40.88028349052401]]]]}",1,7257,7257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78939831927431, 40.8663984529321], [-73.78035965171445, 40.86638160189688], [-73.78038231284549, 40.859519883507474], [-73.78942004785895, 40.859536732824694], [-73.78939831927431, 40.8663984529321]]]]}",2,42252,42252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7983745655303, 40.88699972824035], [-73.79839537444866, 40.88013803206172], [-73.80743591646335, 40.88015347019858], [-73.8074160406717, 40.88701516795124], [-73.7983745655303, 40.88699972824035]]]]}",2,37260,37260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83452338626063, 40.89391893992826], [-73.83454046621513, 40.887057237603294], [-73.84358195661444, 40.88706984435023], [-73.84356580998524, 40.89393154796043], [-73.83452338626063, 40.89391893992826]]]]}",2,27262,27262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83462581308216, 40.85274861513738], [-73.82558900179774, 40.85273530695219], [-73.82560699275997, 40.845873564137065], [-73.83464287187762, 40.84588687096534], [-73.83462581308216, 40.85274861513738]]]]}",2,30247,30247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87067972727013, 40.90082681134938], [-73.8616363724702, 40.90081632720607], [-73.86165065537672, 40.89395463906609], [-73.87069307665818, 40.893965122140706], [-73.87067972727013, 40.90082681134938]]]]}",2,20265,20265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87069307665818, 40.893965122140706], [-73.870706423308, 40.88710341510801], [-73.87974792588282, 40.88711318888463], [-73.87973551256209, 40.8939748969138], [-73.87069307665818, 40.893965122140706]]]]}",2,17262,17262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91593996538687, 40.86656002472878], [-73.91594863821173, 40.859698288148564], [-73.9249864084094, 40.8597045181562], [-73.92497866814428, 40.86656625537167], [-73.91593996538687, 40.86656002472878]]]]}",1,5252,5252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.906920461359, 40.85282959697209], [-73.89788362730003, 40.85282195183482], [-73.89789416089604, 40.845960200185324], [-73.90693006278119, 40.8459678445431], [-73.906920461359, 40.85282959697209]]]]}",2,10247,10247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89788362730003, 40.85282195183482], [-73.88884678355531, 40.85281359880453], [-73.8888582493257, 40.8459518480067], [-73.89789416089604, 40.845960200185324], [-73.89788362730003, 40.85282195183482]]]]}",2,12247,12247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89780983117437, 40.9008540134825], [-73.88876645681499, 40.90084565448881], [-73.88877793916237, 40.89398396335937], [-73.89782037999966, 40.89399232150095], [-73.89780983117437, 40.9008540134825]]]]}",2,12265,12265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90685319584416, 40.90086166407776], [-73.9068628111479, 40.893999971316376], [-73.91590525614778, 40.89400691282542], [-73.9158965743674, 40.90086860629445], [-73.90685319584416, 40.90086166407776]]]]}",2,7265,7265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8436787663723, 40.84589947000254], [-73.8436948896932, 40.83903770740979], [-73.85272984367863, 40.83904959740999], [-73.85271465233558, 40.84591136121526], [-73.8436787663723, 40.84589947000254]]]]}",2,25245,25245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77134458250761, 40.859502326239785], [-73.76230686889824, 40.859484061046665], [-73.76233139008826, 40.85262232897632], [-73.7713681713466, 40.8526405923072], [-73.77134458250761, 40.859502326239785]]]]}",2,47250,47250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80743591646335, 40.88015347019858], [-73.80745578817891, 40.873291754818005], [-73.8164953894962, 40.87330648326579], [-73.81647645071602, 40.88016820014807], [-73.80743591646335, 40.88015347019858]]]]}",2,35257,35257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87973551256209, 40.8939748969138], [-73.87974792588282, 40.88711318888463], [-73.88878941915445, 40.887122254406], [-73.88877793916237, 40.89398396335937], [-73.87973551256209, 40.8939748969138]]]]}",2,15262,15262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78944177198893, 40.852674995384085], [-73.78040496933069, 40.85265814778479], [-73.78042762111203, 40.845796412836876], [-73.78946349160861, 40.84581325871839], [-73.78944177198893, 40.852674995384085]]]]}",2,42247,42247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80739616075053, 40.89387686598722], [-73.8074160406717, 40.88701516795124], [-73.81645750805113, 40.88702989940243], [-73.81643856145057, 40.893891598940264], [-73.80739616075053, 40.89387686598722]]]]}",2,35262,35262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87073310832622, 40.873379983983114], [-73.86169348644661, 40.87336950411419], [-73.86170775758347, 40.86650777228233], [-73.87074644671385, 40.866518251082816], [-73.87073310832622, 40.873379983983114]]]]}",2,20255,20255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.906920461359, 40.85282959697209], [-73.90693006278119, 40.8459678445431], [-73.91596597850508, 40.845974781099855], [-73.91595730925854, 40.8528365342362], [-73.906920461359, 40.85282959697209]]]]}",2,7247,7247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85260822517705, 40.893943447662764], [-73.84356580998524, 40.89393154796043], [-73.84358195661444, 40.88706984435023], [-73.85262343848116, 40.88708174283951], [-73.85260822517705, 40.893943447662764]]]]}",2,25262,25262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8526842602653, 40.85963485532951], [-73.84364650977068, 40.8596229616916], [-73.84366263974593, 40.85276121545933], [-73.85269945787807, 40.85277310788461], [-73.8526842602653, 40.85963485532951]]]]}",2,25250,25250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92492444148948, 40.914598210477735], [-73.91587920541639, 40.91459197538705], [-73.91588789078286, 40.907730299850975], [-73.92493219294764, 40.90773653430618], [-73.92492444148948, 40.914598210477735]]]]}",2,5270,5270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95209480895531, 40.86658069914973], [-73.94305609012096, 40.86657659258323], [-73.94306196526394, 40.85971485431385], [-73.952099751536, 40.859718960461656], [-73.95209480895531, 40.86658069914973]]]]}",1,997252,997252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90687242447935, 40.88713826073114], [-73.89783092666116, 40.88713061169556], [-73.89784147113185, 40.880268902174336], [-73.90688203581388, 40.88027655043015], [-73.90687242447935, 40.88713826073114]]]]}",2,10260,10260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8978730915166, 40.85968370426025], [-73.88883531540394, 40.85967535037821], [-73.88884678355531, 40.85281359880453], [-73.89788362730003, 40.85282195183482], [-73.8978730915166, 40.85968370426025]]]]}",2,12250,12250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8888582493257, 40.8459518480067], [-73.87982235197867, 40.84594278802941], [-73.87983474738024, 40.839081021019716], [-73.8888697127459, 40.83909008007321], [-73.8888582493257, 40.8459518480067]]]]}",2,15245,15245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90693006278119, 40.8459678445431], [-73.89789416089604, 40.845960200185324], [-73.89790469233296, 40.839098431400195], [-73.90693966223536, 40.83910607497853], [-73.90693006278119, 40.8459678445431]]]]}",2,10245,10245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83464287187762, 40.84588687096534], [-73.83465992717652, 40.83902510965722], [-73.8436948896932, 40.83903770740979], [-73.8436787663723, 40.84589947000254], [-73.83464287187762, 40.84588687096534]]]]}",2,27245,27245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94303845739965, 40.88716177445516], [-73.93399695280013, 40.88715695839384], [-73.93400376472023, 40.88029524618675], [-73.94304433618149, 40.8803000617571], [-73.94303845739965, 40.88716177445516]]]]}",1,260,260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8255170007425, 40.88018222194824], [-73.81647645071602, 40.88016820014807], [-73.8164953894962, 40.87330648326579], [-73.82553500658483, 40.87332050363653], [-73.8255170007425, 40.88018222194824]]]]}",2,32257,32257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93399013946473, 40.894018670885295], [-73.92494769107314, 40.89401314600965], [-73.92495543774149, 40.887151434081424], [-73.93399695280013, 40.88715695839384], [-73.93399013946473, 40.894018670885295]]]]}",2,2262,2262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88875497208149, 40.907707345705596], [-73.88874348499124, 40.914569018901744], [-73.879698257251, 40.91455994968314], [-73.87971067824697, 40.90769827741141], [-73.88875497208149, 40.907707345705596]]]]}",2,15270,15270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89786255357274, 40.866545439353445], [-73.8978730915166, 40.85968370426025], [-73.90691085794296, 40.859691350177094], [-73.90690125255767, 40.866553086049905], [-73.89786255357274, 40.866545439353445]]]]}",2,10252,10252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88881237201548, 40.873398819440176], [-73.88882384490094, 40.866537084619594], [-73.89786255357274, 40.866545439353445], [-73.8978520134401, 40.873407175025896], [-73.88881237201548, 40.873398819440176]]]]}",2,12255,12255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7893548485929, 40.880121885778394], [-73.78937658617659, 40.873260173617716], [-73.79841617909955, 40.87327631825497], [-73.79839537444866, 40.88013803206172], [-73.7893548485929, 40.880121885778394]]]]}",2,40257,40257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91596597850508, 40.845974781099855], [-73.91597464597467, 40.839113010827994], [-73.92500961964487, 40.839119238930174], [-73.92500188415919, 40.84598100983714], [-73.91596597850508, 40.845974781099855]]]]}",2,5245,5245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87078644533103, 40.84593302022996], [-73.87079977271438, 40.83907125421624], [-73.87983474738024, 40.839081021019716], [-73.87982235197867, 40.84594278802941], [-73.87078644533103, 40.84593302022996]]]]}",2,17245,17245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91593129076064, 40.87342176188835], [-73.90689164517731, 40.87341482250198], [-73.90690125255767, 40.866553086049905], [-73.91593996538687, 40.86656002472878], [-73.91593129076064, 40.87342176188835]]]]}",1,7255,7255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85256256645371, 40.91452849081311], [-73.8525777891643, 40.90766682174792], [-73.86162208659553, 40.907678015433184], [-73.86160779778935, 40.91453968563945], [-73.85256256645371, 40.91452849081311]]]]}",2,22270,22270
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90684357854225, 40.9077233569266], [-73.89779928015696, 40.90771570555141], [-73.89780983117437, 40.9008540134825], [-73.90685319584416, 40.90086166407776], [-73.90684357854225, 40.9077233569266]]]]}",2,10267,10267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84358195661444, 40.88706984435023], [-73.8435980998896, 40.880208141023765], [-73.85263864862509, 40.88022003830009], [-73.85262343848116, 40.88708174283951], [-73.84358195661444, 40.88706984435023]]]]}",2,25260,25260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96114554452932, 40.845998846691856], [-73.96114955207254, 40.83913707396614], [-73.97018454365504, 40.83913976337849], [-73.97018146809882, 40.84600153637844], [-73.96114554452932, 40.845998846691856]]]]}",1,992245,992245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90691085794296, 40.859691350177094], [-73.906920461359, 40.85282959697209], [-73.91595730925854, 40.8528365342362], [-73.91594863821173, 40.859698288148564], [-73.90691085794296, 40.859691350177094]]]]}",2,7250,7250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86162208659553, 40.907678015433184], [-73.8616363724702, 40.90081632720607], [-73.87067972727013, 40.90082681134938], [-73.87066637510794, 40.90768850064528], [-73.86162208659553, 40.907678015433184]]]]}",2,20267,20267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89784147113185, 40.880268902174336], [-73.88880089676188, 40.88026054573672], [-73.88881237201548, 40.873398819440176], [-73.8978520134401, 40.873407175025896], [-73.89784147113185, 40.880268902174336]]]]}",2,12257,12257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92500188415919, 40.84598100983714], [-73.92500961964487, 40.839119238930174], [-73.9340446067675, 40.839124759301214], [-73.93403780326746, 40.84598653077111], [-73.92500188415919, 40.84598100983714]]]]}",1,2245,2245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88883531540394, 40.85967535037821], [-73.87979755351851, 40.859666288553136], [-73.87980995403588, 40.85280453790337], [-73.88884678355531, 40.85281359880453], [-73.88883531540394, 40.85967535037821]]]]}",2,15250,15250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78944177198893, 40.852674995384085], [-73.78946349160861, 40.84581325871839], [-73.79849935472753, 40.84582939677251], [-73.79847856726967, 40.85269113508383], [-73.78944177198893, 40.852674995384085]]]]}",2,40247,40247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85271465233558, 40.84591136121526], [-73.85272984367863, 40.83904959740999], [-73.86176481265436, 40.839060779688744], [-73.86175055329133, 40.845922544634305], [-73.85271465233558, 40.84591136121526]]]]}",2,22245,22245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.81645750805113, 40.88702989940243], [-73.8074160406717, 40.88701516795124], [-73.80743591646335, 40.88015347019858], [-73.81647645071602, 40.88016820014807], [-73.81645750805113, 40.88702989940243]]]]}",2,35260,35260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88878941915445, 40.887122254406], [-73.88880089676188, 40.88026054573672], [-73.89784147113185, 40.880268902174336], [-73.89783092666116, 40.88713061169556], [-73.88878941915445, 40.887122254406]]]]}",2,12260,12260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93401738436098, 40.86657177799468], [-73.92497866814428, 40.86656625537167], [-73.9249864084094, 40.8597045181562], [-73.93402419206464, 40.859710040216186], [-73.93401738436098, 40.86657177799468]]]]}",1,2252,2252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92495543774149, 40.887151434081424], [-73.92496318280065, 40.8802897224375], [-73.93400376472023, 40.88029524618675], [-73.93399695280013, 40.88715695839384], [-73.92495543774149, 40.887151434081424]]]]}",2,2260,2260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94307958343654, 40.839129571926485], [-73.94308545373296, 40.83226780093855], [-73.95211951167701, 40.83227190541192], [-73.95211457317357, 40.83913367681841], [-73.94307958343654, 40.839129571926485]]]]}",1,997242,997242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85262343848116, 40.88708174283951], [-73.85263864862509, 40.88022003830009], [-73.86167921236401, 40.880231227421824], [-73.86166493535353, 40.88709293310199], [-73.85262343848116, 40.88708174283951]]]]}",2,22260,22260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80739616075053, 40.89387686598722], [-73.79835375228855, 40.89386142470228], [-73.7983745655303, 40.88699972824035], [-73.8074160406717, 40.88701516795124], [-73.80739616075053, 40.89387686598722]]]]}",2,37262,37262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91593129076064, 40.87342176188835], [-73.91593996538687, 40.86656002472878], [-73.92497866814428, 40.86656625537167], [-73.92497092627147, 40.87342799316649], [-73.91593129076064, 40.87342176188835]]]]}",1,5255,5255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92493994281547, 40.900874840114135], [-73.92494769107314, 40.89401314600965], [-73.93399013946473, 40.894018670885295], [-73.93398332473149, 40.900880365552986], [-73.92493994281547, 40.900874840114135]]]]}",2,2265,2265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.870706423308, 40.88710341510801], [-73.86166493535353, 40.88709293310199], [-73.86167921236401, 40.880231227421824], [-73.87071976718538, 40.88024170835924], [-73.870706423308, 40.88710341510801]]]]}",2,20260,20260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8617362910049, 40.85278429244402], [-73.85269945787807, 40.85277310788461], [-73.85271465233558, 40.84591136121526], [-73.86175055329133, 40.845922544634305], [-73.8617362910049, 40.85278429244402]]]]}",2,22247,22247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77139175528815, 40.845778859149284], [-73.7623559061873, 40.845760597680545], [-73.76238041726121, 40.83889884924785], [-73.77141533439566, 40.83891710885456], [-73.77139175528815, 40.845778859149284]]]]}",2,47245,47245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93402419206464, 40.859710040216186], [-73.9249864084094, 40.8597045181562], [-73.92499414708763, 40.852842763608656], [-73.9340309983726, 40.8528482851056], [-73.93402419206464, 40.859710040216186]]]]}",1,2250,2250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89782037999966, 40.89399232150095], [-73.89783092666116, 40.88713061169556], [-73.90687242447935, 40.88713826073114], [-73.9068628111479, 40.893999971316376], [-73.89782037999966, 40.89399232150095]]]]}",2,10262,10262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88884678355531, 40.85281359880453], [-73.87980995403588, 40.85280453790337], [-73.87982235197867, 40.84594278802941], [-73.8888582493257, 40.8459518480067], [-73.88884678355531, 40.85281359880453]]]]}",2,15247,15247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97018454365504, 40.83913976337849], [-73.97018761857282, 40.832277991351354], [-73.97922167899594, 40.83227997282116], [-73.97921953587189, 40.83914174505037], [-73.97018454365504, 40.83913976337849]]]]}",1,990242,990242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90682433799198, 40.9214467064738], [-73.9068339592668, 40.914585031754875], [-73.91587920541639, 40.91459197538705], [-73.91587051824465, 40.921453650813774], [-73.90682433799198, 40.9214467064738]]]]}",2,7272,7272
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91591393614733, 40.887145201532576], [-73.90687242447935, 40.88713826073114], [-73.90688203581388, 40.88027655043015], [-73.91592261434383, 40.88028349052401], [-73.91591393614733, 40.887145201532576]]]]}",2,7260,7260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9521046931034, 40.85285720444162], [-73.95210963364482, 40.84599544919771], [-73.96114554452932, 40.845998846691856], [-73.96114153616449, 40.85286060228221], [-73.9521046931034, 40.85285720444162]]]]}",1,995247,995247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9249864084094, 40.8597045181562], [-73.91594863821173, 40.859698288148564], [-73.91595730925854, 40.8528365342362], [-73.92499414708763, 40.852842763608656], [-73.9249864084094, 40.8597045181562]]]]}",1,5250,5250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9340309983726, 40.8528482851056], [-73.93403780326746, 40.84598653077111], [-73.94307371192134, 40.845991343887164], [-73.9430678392024, 40.852853098712444], [-73.9340309983726, 40.8528482851056]]]]}",1,247,247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78937658617659, 40.873260173617716], [-73.7803369858766, 40.87324332086436], [-73.78035965171445, 40.86638160189688], [-73.78939831927431, 40.8663984529321], [-73.78937658617659, 40.873260173617716]]]]}",2,42255,42255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8164953894962, 40.87330648326579], [-73.81651432436797, 40.86644475785891], [-73.82555300871132, 40.86645877680027], [-73.82553500658483, 40.87332050363653], [-73.8164953894962, 40.87330648326579]]]]}",2,32255,32255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84363037648788, 40.866484690591236], [-73.84364650977068, 40.8596229616916], [-73.8526842602653, 40.85963485532951], [-73.85266905953614, 40.86649658544186], [-73.84363037648788, 40.866484690591236]]]]}",2,25252,25252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92497092627147, 40.87342799316649], [-73.92497866814428, 40.86656625537167], [-73.93401738436098, 40.86657177799468], [-73.93401057524335, 40.87343351635261], [-73.92497092627147, 40.87342799316649]]]]}",1,2255,2255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87071976718538, 40.88024170835924], [-73.87073310832622, 40.873379983983114], [-73.87977274482202, 40.873389755767086], [-73.87976033662501, 40.880251481139496], [-73.87071976718538, 40.88024170835924]]]]}",2,17257,17257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80747565579355, 40.866430030912696], [-73.79843697945701, 40.86641459592339], [-73.79845777549508, 40.85955287417018], [-73.8074955192825, 40.859568307585796], [-73.80747565579355, 40.866430030912696]]]]}",2,37252,37252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91597464597467, 40.839113010827994], [-73.9159833116451, 40.83225124152875], [-73.92501735352484, 40.83225746899586], [-73.92500961964487, 40.839119238930174], [-73.91597464597467, 40.839113010827994]]]]}",2,5242,5242
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84353350674532, 40.907654919619276], [-73.83448921579314, 40.907642309016346], [-73.83450630280194, 40.900780624428855], [-73.84354966004332, 40.90079323374636], [-73.84353350674532, 40.907654919619276]]]]}",2,27267,27267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80753523399264, 40.845844827041134], [-73.80755508521636, 40.83898307002001], [-73.81659002474586, 40.83899779096097], [-73.8165711054955, 40.84585954948328], [-73.80753523399264, 40.845844827041134]]]]}",2,35245,35245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90688203581388, 40.88027655043015], [-73.89784147113185, 40.880268902174336], [-73.8978520134401, 40.873407175025896], [-73.90689164517731, 40.87341482250198], [-73.90688203581388, 40.88027655043015]]]]}",2,10257,10257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93401738436098, 40.86657177799468], [-73.93402419206464, 40.859710040216186], [-73.94306196526394, 40.85971485431385], [-73.94305609012096, 40.86657659258323], [-73.93401738436098, 40.86657177799468]]]]}",1,252,252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89779928015696, 40.90771570555141], [-73.88875497208149, 40.907707345705596], [-73.88876645681499, 40.90084565448881], [-73.89780983117437, 40.9008540134825], [-73.89779928015696, 40.90771570555141]]]]}",2,12267,12267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87977274482202, 40.873389755767086], [-73.87978515045835, 40.866528021870586], [-73.88882384490094, 40.866537084619594], [-73.88881237201548, 40.873398819440176], [-73.87977274482202, 40.873389755767086]]]]}",2,15255,15255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8888582493257, 40.8459518480067], [-73.8888697127459, 40.83909008007321], [-73.89790469233296, 40.839098431400195], [-73.89789416089604, 40.845960200185324], [-73.8888582493257, 40.8459518480067]]]]}",2,12245,12245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78937658617659, 40.873260173617716], [-73.78939831927431, 40.8663984529321], [-73.79843697945701, 40.86641459592339], [-73.79841617909955, 40.87327631825497], [-73.78937658617659, 40.873260173617716]]]]}",2,40255,40255
