the_geom,system,gispropnum
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.874757471514, 40.679215673678826], [-73.87459332474812, 40.67908757308144], [-73.87457448443368, 40.679010177563434], [-73.87457148895702, 40.678997871457064], [-73.87435338280855, 40.679026806587316], [-73.87435724026334, 40.67904365493969], [-73.87452448925325, 40.679174178042494], [-73.8745683825837, 40.679194831492715], [-73.87461614290513, 40.67920970062743], [-73.87466646746866, 40.67921838059195], [-73.8747179822364, 40.679220633951765], [-73.874757471514, 40.679215673678826]]]]}",B141-SKATEPARK-01,B141
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.74658656043036, 40.59504286270362], [-73.7465531968755, 40.59506234765894], [-73.7465162355762, 40.595077601199414], [-73.74647659117582, 40.59508824261572], [-73.74643524756553, 40.595094011122356], [-73.7463932295478, 40.595094761292785], [-73.74635157679784, 40.59509047560949], [-73.74631132261175, 40.59508126081512], [-73.74628314870503, 40.59507835475162], [-73.74625473513888, 40.59507913850955], [-73.74622691012908, 40.59508358960355], [-73.74620048103499, 40.59509157834022], [-73.74617621661903, 40.59510287318226], [-73.7461548198589, 40.59511714519067], [-73.74613691490863, 40.595133979702666], [-73.74612302106448, 40.595152887980774], [-73.74611354208453, 40.5951733197962], [-73.74610875311802, 40.59519468321154], [-73.74610879357596, 40.595216355371065], [-73.7461136623089, 40.595237707704726], [-73.74612321755507, 40.595258119435954], [-73.74613718277098, 40.59527699740629], [-73.74615515129159, 40.595293793195694], [-73.74617660044777, 40.59530801846302], [-73.74620090804702, 40.59531926029159], [-73.74622736651226, 40.59532719112639], [-73.74625520882397, 40.59533158143923], [-73.7462836238647, 40.59533230336443], [-73.74631178711432, 40.595329336170394], [-73.74633888073741, 40.595322765403125], [-73.74636411602954, 40.59531278293573], [-73.74638676062311, 40.59529967802319], [-73.74644913179503, 40.59527018833654], [-73.7465147889848, 40.59524518328217], [-73.74652067971938, 40.595262804269936], [-73.74664833483523, 40.595229728479325], [-73.74664154534662, 40.595211718290216], [-73.74670148831586, 40.59520192843315], [-73.74676223892466, 40.595195669487765], [-73.74678629543217, 40.59518933866647], [-73.74680859840991, 40.59517999261613], [-73.7468284994492, 40.595167900067224], [-73.7468454266165, 40.59515341276735], [-73.74685888806282, 40.59513694837919], [-73.74686849449274, 40.59511898422598], [-73.74687396986863, 40.5951000384038], [-73.74687515499495, 40.595080658983306], [-73.74687201467064, 40.59506140691499], [-73.74686464011661, 40.59504283892478], [-73.7468532454887, 40.59502549219739], [-73.74683815967303, 40.59500986724845], [-73.74681981923823, 40.59499641710255], [-73.74679875432066, 40.594985531053204], [-73.74677557331465, 40.59497752202169], [-73.7467509487102, 40.59497262292413], [-73.7467255899632, 40.59497097580541], [-73.74670023169925, 40.59497262731061], [-73.74667560771805, 40.59497753042895], [-73.74665242973265, 40.594985543546336], [-73.7466313684584, 40.59499643310503], [-73.74661303111606, 40.59500988706184], [-73.746597949622, 40.59502551396159], [-73.74658656043036, 40.59504286270362]]]]}",Q162J-SKATEPARK-01,Q162J
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93645783466313, 40.715417799944085], [-73.93642595008336, 40.71542540606311], [-73.93642227365015, 40.715422218927145], [-73.93641796001937, 40.7154195348246], [-73.93641312628779, 40.71541742586076], [-73.93640790258509, 40.71541594883974], [-73.93640243089136, 40.71541514436281], [-73.93639686030555, 40.71541503412457], [-73.93639134112814, 40.71541562090959], [-73.93638602367683, 40.71541688949233], [-73.9363810523708, 40.715418804832595], [-73.93637656099423, 40.71542131477487], [-73.93637267269446, 40.71542435184891], [-73.93636949169773, 40.715427833265394], [-73.93636710448831, 40.71543166541914], [-73.93636557744237, 40.715435742987204], [-73.93636494972012, 40.715439956128904], [-73.93630900280655, 40.71545330137363], [-73.93641707872345, 40.71571561858536], [-73.93672401929983, 40.71564240329863], [-73.93660222417792, 40.71534678784568], [-73.93644411543515, 40.715384501397914], [-73.93645783466313, 40.715417799944085]]]]}",B025-SKATEPARK-01,B025
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.76801413389772, 40.600243470238404], [-73.76802968673114, 40.600247157765594], [-73.76804582065606, 40.60024885810336], [-73.76806210223099, 40.60024852715154], [-73.76807809428858, 40.600246173033064], [-73.76809336655943, 40.6002418588172], [-73.76810750985581, 40.60023570074678], [-73.7681201419949, 40.600227863747776], [-73.76818532553709, 40.6001396068792], [-73.76818951605696, 40.600130103982494], [-73.76819174785972, 40.600120223416724], [-73.76819196814986, 40.600110199212146], [-73.7681901737463, 40.60010026730002], [-73.76818640400603, 40.60009066189622], [-73.76818075029446, 40.60008161011723], [-73.76817334419884, 40.60007332385169], [-73.76816436106967, 40.60006600066816], [-73.76770389902372, 40.59986841770976], [-73.76769336071901, 40.59986632339843], [-73.76768252377502, 40.599865510830625], [-73.76767165276125, 40.599866001253346], [-73.76766101591674, 40.59986777989978], [-73.76765087448301, 40.59987080587414], [-73.7676414791907, 40.599875003138685], [-73.76763305960215, 40.59988026769693], [-73.76762582527685, 40.599886472098135], [-73.76754676826215, 40.59999351166779], [-73.76754396546536, 40.60000177102111], [-73.76754294937874, 40.60001026632394], [-73.76754374794737, 40.60001877610359], [-73.76754633832695, 40.60002707518244], [-73.76755065393151, 40.60003494639909], [-73.7675565808797, 40.60004218330263], [-73.76756396388615, 40.60004859466738], [-73.76757260859317, 40.60005401350284], [-73.76801413389772, 40.600243470238404]]]]}",Q007-SKATEPARK-01,Q007
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85326431513951, 40.68642402140841], [-73.85329418787119, 40.68640296853735], [-73.85332810367179, 40.68638582904648], [-73.85336518735053, 40.68637304577086], [-73.853404482342, 40.68636494887837], [-73.85344497438452, 40.68636174689495], [-73.85348561637154, 40.68636352223403], [-73.85350160363313, 40.68636220982626], [-73.85351710658526, 40.6863589579912], [-73.853531720462, 40.68635385176275], [-73.85354506641823, 40.68634702393531], [-73.85355679745281, 40.68633865146911], [-73.85356660669693, 40.68632895189886], [-73.8535742416202, 40.68631817884881], [-73.85357950168604, 40.6863066121244], [-73.85358225019519, 40.68629455142349], [-73.85358241666367, 40.68628231093625], [-73.85357999566094, 40.686270209438014], [-73.85357505155969, 40.68625856219086], [-73.85355750869462, 40.686236181882975], [-73.85354403755596, 40.68621222274889], [-73.85353487853052, 40.686187111039466], [-73.85353019388079, 40.68616129451823], [-73.85352596895453, 40.686148610790994], [-73.8535189849245, 40.68613665386901], [-73.85350944332201, 40.68612576890557], [-73.85349761908708, 40.6861162714303], [-73.85348385468335, 40.6861084338341], [-73.85346854590814, 40.68610248264944], [-73.85345213363182, 40.68609858953506], [-73.85343509316101, 40.686096866759726], [-73.8534179165, 40.686097364478165], [-73.85340109697866, 40.68610006801009], [-73.85338512215063, 40.686104899632035], [-73.85337045249636, 40.6861117203513], [-73.8533575095895, 40.68612033169182], [-73.85332957552059, 40.686141555447186], [-73.85329734986036, 40.68615890060994], [-73.8532617516875, 40.68617187216476], [-73.85322379326308, 40.686180100387546], [-73.85318455871224, 40.686183351624734], [-73.85314516379245, 40.68618153274489], [-73.85312840629734, 40.68618184094643], [-73.85311193643722, 40.68618421889602], [-73.8530961944182, 40.686188602318616], [-73.8530815969005, 40.68619487558006], [-73.85306853226852, 40.68620287078044], [-73.85305734878344, 40.68621237584347], [-73.85304834392858, 40.68622313810485], [-73.85304175611077, 40.68623487240635], [-73.85303775992041, 40.686247264691666], [-73.85303646373359, 40.68625998641152], [-73.85303790023646, 40.686272699914646], [-73.85304203232155, 40.68628506655995], [-73.8530487495153, 40.6862967575181], [-73.85305787387479, 40.68630746188379], [-73.85307309087725, 40.68632500263257], [-73.85308492137737, 40.68634399518839], [-73.85309313315453, 40.68636406374106], [-73.85309756146255, 40.686384811854545], [-73.85310352723252, 40.68639715472337], [-73.8531121058774, 40.686408570695214], [-73.85312305795263, 40.68641874248272], [-73.85313608005707, 40.6864273869363], [-73.85315080836605, 40.6864342622529], [-73.85316683280304, 40.68643917880056], [-73.85318370768904, 40.68644199823135], [-73.85320096473296, 40.686442643403694], [-73.85321812132128, 40.68644109479105], [-73.85323470179544, 40.686437397713064], [-73.85325024457, 40.68643165333949], [-73.85326431513951, 40.68642402140841]]]]}",Q128-SKATEPARK-01,Q128
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98217389180603, 40.69783790761948], [-73.98215911603536, 40.69783437622208], [-73.98214527781545, 40.697829082665564], [-73.98213273679578, 40.69782216658548], [-73.98212181948635, 40.6978138063345], [-73.9821128086084, 40.697804218980366], [-73.98212220684206, 40.69786063934062], [-73.98215772671394, 40.6978707540042], [-73.98219493028243, 40.69787635644987], [-73.98223283554093, 40.69787729974095], [-73.98227044033537, 40.697873559408556], [-73.98230675312784, 40.69786523345635], [-73.98233769310878, 40.69790598819335], [-73.98233662071434, 40.69792548862357], [-73.9823350061699, 40.69795487389452], [-73.98233495742903, 40.697955743781925], [-73.9825427749401, 40.69796427992951], [-73.98256804393588, 40.697978598303585], [-73.98256072380546, 40.698081830127194], [-73.98268221644975, 40.698086820200466], [-73.98267266628976, 40.69822150118611], [-73.98289855054011, 40.69823077872994], [-73.98291151780384, 40.6980478839028], [-73.98281921282344, 40.69804409251165], [-73.98281886030853, 40.69804380789713], [-73.98277930059707, 40.69801181218485], [-73.98272854759118, 40.697999785441745], [-73.98273425242878, 40.697919335425894], [-73.9824450299101, 40.69765913005245], [-73.98245172865506, 40.697656129666235], [-73.98245771296567, 40.69765235382963], [-73.98246282782033, 40.6976478997744], [-73.98246694303997, 40.697642880945395], [-73.98246995328799, 40.69763742700046], [-73.98247178043871, 40.69763167660671], [-73.98247237830945, 40.697625778341724], [-73.98216304749755, 40.69760972871282], [-73.98216232545266, 40.697646259686536], [-73.98217899966248, 40.69766499833005], [-73.98216078198436, 40.69767506323613], [-73.98214502235906, 40.69768729695442], [-73.98213215983647, 40.69770135735947], [-73.98212255420792, 40.69771685278515], [-73.98211647298942, 40.697733349226944], [-73.98211408786767, 40.69775038564975], [-73.98211546523088, 40.69776748659354], [-73.98212056498194, 40.69778417478047], [-73.9821292464506, 40.6977999828222], [-73.98214126483954, 40.69781446942894], [-73.98215628660208, 40.697827230217925], [-73.98217389180603, 40.69783790761948]]]]}",B243-SKATEPARK-01,B243
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94334521645897, 40.67444785599529], [-73.94328707163946, 40.674406310899194], [-73.94322020917083, 40.67436566288724], [-73.9432119374545, 40.67436365966111], [-73.94320200380051, 40.674361841120096], [-73.943191924201, 40.67436057001937], [-73.94318175068958, 40.674359855389724], [-73.94317153530673, 40.6743596981574], [-73.943161332457, 40.67436010105079], [-73.9431511941839, 40.67436106139402], [-73.94314117134977, 40.67436257470972], [-73.94313131836908, 40.674364632019675], [-73.94312168492601, 40.67436722344277], [-73.94311232189077, 40.674370335496526], [-73.94310327658734, 40.67437395199513], [-73.94309459515948, 40.67437805405066], [-73.94308632493525, 40.67438262097479], [-73.94307850614916, 40.67438762847357], [-73.94307118140297, 40.67439305045321], [-73.9430643862025, 40.674398859915954], [-73.9430581584224, 40.674405026263116], [-73.94305392475347, 40.674405682444274], [-73.94300284214545, 40.67445027137093], [-73.94299683238161, 40.674462890914214], [-73.94299156286398, 40.67447569993216], [-73.94298704189379, 40.67448867321452], [-73.94298328013794, 40.674501785552266], [-73.94298028353288, 40.674515010833495], [-73.94297805919726, 40.674528323847284], [-73.94297660952022, 40.67454169757952], [-73.94297593925475, 40.674555106818104], [-73.94297604960718, 40.67456852454819], [-73.94297693941766, 40.67458192465426], [-73.94297860752536, 40.67459528192133], [-73.9429810504063, 40.67460856843159], [-73.94298426335146, 40.67462175896832], [-73.94298824046979, 40.67463482741352], [-73.94299297350382, 40.67464774854865], [-73.9429984530135, 40.674660497154534], [-73.94303816396182, 40.674666587194324], [-73.94329386067291, 40.674683165914495], [-73.9433219865445, 40.67464739060125], [-73.9433387682074, 40.67460914138284], [-73.94334521645897, 40.67444785599529]]]]}",B012-SKATEPARK-01,B012
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86567797161392, 40.67475621572712], [-73.86587260899921, 40.6747258738819], [-73.8658604945971, 40.67468082855653], [-73.86566585852056, 40.6747111703828], [-73.86567797161392, 40.67475621572712]]]]}",B380-SKATEPARK-01,B380
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94995887260497, 40.719443295650834], [-73.94996378710844, 40.719442825019094], [-73.94996873426484, 40.71944300276845], [-73.94997356850031, 40.719443823432655], [-73.94997814543862, 40.71944526263516], [-73.94998233136857, 40.71944727889453], [-73.94998599969497, 40.71944981092103], [-73.9499890427699, 40.719452783925725], [-73.94999137070873, 40.71945610961955], [-73.94999291493785, 40.719459690717805], [-73.95005359184198, 40.71945443106348], [-73.95004112291079, 40.7193787774157], [-73.95000387375805, 40.71934264899632], [-73.94995968770866, 40.719311374000064], [-73.9499096400467, 40.7192857129172], [-73.94985495409504, 40.71926629212736], [-73.94979695980584, 40.719253584971696], [-73.94951201103149, 40.71922844239881], [-73.94941336541116, 40.71923256935942], [-73.94941219951622, 40.719221772633155], [-73.94937892665953, 40.71922265131436], [-73.94938009215309, 40.71923396943599], [-73.94934955854796, 40.719235742618906], [-73.94935756350127, 40.719292654767735], [-73.94940109194154, 40.71929176889381], [-73.94945287490206, 40.719299748546234], [-73.94950289771342, 40.71931268921321], [-73.94955034152264, 40.71933037891832], [-73.94959443250809, 40.719352528262284], [-73.94963444897544, 40.71937877672919], [-73.94966973792587, 40.719408694494525], [-73.94968591678018, 40.719423377176504], [-73.94970500767181, 40.719435871988736], [-73.9497265066518, 40.71944584912307], [-73.94974984580661, 40.719453046281856], [-73.94977440745907, 40.7194572713859], [-73.94979954546338, 40.719458415191], [-73.94995887260497, 40.719443295650834]]]]}",B058-ZN01-SKATEPARK-01,B058
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91378470270412, 40.84485810756697], [-73.913970178828, 40.844937749664886], [-73.91398870596221, 40.84494212817025], [-73.9140079215029, 40.84494417490924], [-73.91402732036731, 40.84494383727644], [-73.91404639146546, 40.844941122995365], [-73.91406463548302, 40.844936103733666], [-73.9140815708149, 40.84492891150542], [-73.91409675254172, 40.84491973598391], [-73.91419448890271, 40.84478216928704], [-73.91407837742291, 40.844735237413744], [-73.91391396446541, 40.84466878091746], [-73.91378470270412, 40.84485810756697]]]]}",X148C7-SKATEPARK-01,X148C7
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93009301994158, 40.84658358551769], [-73.9303236849907, 40.846663162921146], [-73.93014308274245, 40.84617288769599], [-73.93011973979691, 40.8461797884397], [-73.93011034113043, 40.84616725779458], [-73.93009830732397, 40.846156101504505], [-73.93008398074686, 40.846146635849024], [-73.93006776547897, 40.8461391303196], [-73.93005012139453, 40.84613379590947], [-73.93003154993208, 40.84613078510554], [-73.93001257513127, 40.846130182871455], [-73.92999373770493, 40.84613200574413], [-73.92997626405842, 40.84613599422573], [-73.92995986611962, 40.84614206979912], [-73.9299449721337, 40.846150074238174], [-73.92993197126954, 40.84615979706454], [-73.92992120649647, 40.846170983647816], [-73.9299129567891, 40.8461833423986], [-73.92990743830876, 40.84619654927135], [-73.92990479608987, 40.846210259466005], [-73.92990509929028, 40.84622411372821], [-73.92990833999339, 40.84623774915468], [-73.92991443319784, 40.84625080909845], [-73.92992321917826, 40.84626295307583], [-73.92996730511928, 40.8464334385841], [-73.93009301994158, 40.84658358551769]]]]}",M037-ZN07-SKATEPARK-01,M037
