purpose,zipcode,validtimes,issuedate
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-19T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-12-10T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
FLEET WEEK,10022.0,9:30AM - 12 NOON,2008-05-16T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-20T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2008-10-28T00:00:00.000
NOISE MONITORING,10016.0,4 DAYS A WEEK 24 HOURS A DAY,2007-11-01T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM  - 7:00PM,2009-10-21T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 10:00 PM,2008-05-19T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
FUND RAISER FOR NON-PROFIT,10458.0,MONDAY 12:00 NOON - 12 MIDNIGHT,2008-01-09T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-12-11T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
CAMAPIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-12-06T00:00:00.000
OFFICIAL CITY  BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2009-10-06T00:00:00.000
FLEET WEEK,10022.0,8:00 AM -  6:00 PM,2008-05-15T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EUIPMENT,10007.0,MONDAY - FRIDAY  7:00AM - 8:00PM,2007-10-24T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM SUNDAY - SATURDAY,2007-10-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY,2008-10-28T00:00:00.000
KENNEDY LOT,11101.0,MONDAY - FRIDAY 7AM - 6PM,2008-02-12T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM  - 10:00PM (SUNDAY - SATURDAY),2008-10-08T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10PM SUNDAY - SATURDAY,2007-12-05T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-09T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 6:00 PM,2008-05-16T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
