ll_limits,the_geom,old_name,intro_month,lleffect_dt,borough,ll_type,honor_name,repeal_dt,ll_sec
Southwest corner of 86th Street South of 101st Avenue,"{'type': 'Point', 'coordinates': [-73.85369683928594, 40.68197461806553]}",None,4,05/23/2006,Queens,Honorary,Lutheran Place,,31
Underneath the Bement Avenue sign at the Southeast Corner of Henderson Avenue,"{'type': 'Point', 'coordinates': [-74.11267500369145, 40.63746145036897]}",None,10,12/05/2006,Staten Island,Honorary,Jose (Joey) Manuel Pellot Way,,10
the southeast corner of the intersection of Bard Avenue and Thames Avenue,"{'type': 'Point', 'coordinates': [-74.10461867798392, 40.625721624231524]}",None,12,01/07/2003,Staten Island,Honorary,Alfred J. Braca Way,,52
the southeast corner of the intersection of Tysens Lane and Falcon Avenue,"{'type': 'Point', 'coordinates': [-74.11425941605974, 40.56254398581261]}",None,12,01/07/2003,Staten Island,Honorary,Susan M. Bochino Avenue,,76
the intersection of Forest Avenue and Woodbine Street,"{'type': 'Point', 'coordinates': [-73.90283955725911, 40.70649369608643]}",None,4,06/03/2003,Queens,Honorary,Frank Koestner Avenue,,9
Underneath the West Street sign at the Southeast corner of Cary Avenue,"{'type': 'Point', 'coordinates': [-74.11801806823024, 40.63245622441948]}",None,4,05/23/2006,Staten Island,Honorary,Pvt. Joseph M. Merrell Jr. American Legion Post Corner,,8
On the Corner of Arden Avenue and Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.1613496168548, 40.529373423478006]}",None,10,12/05/2006,Staten Island,Honorary,"Nicholas Tortorici, Sergeant, NYPD Shield #4114 Avenue",,45
the intersection of Senator Street and 3rd Avenue,"{'type': 'Point', 'coordinates': [-74.0254719259975, 40.637140137615724]}",None,10,12/21/2004,Brooklyn,Honorary,Kathleen Hunt Casey 9/11 Memorial Way,,11
Corner of White and Lafayette,"{'type': 'Point', 'coordinates': [-74.00156580216392, 40.71729902550051]}",Lafayette Street,4,05/23/2006,Manhattan,Honorary,Court Officer Mitchel Scott Wallace Corner,,42
the southeast corner of the intersection of Henderson Avenue and Broadway,"{'type': 'Point', 'coordinates': [-74.11739573786295, 40.63688956785149]}",None,10,12/21/2004,Staten Island,Honorary,Crossing Guard Phyliss Ann Pizzuto Corner,,54
the intersection of Huguenot Avenue and Rensselaer Avenue,"{'type': 'Point', 'coordinates': [-74.19609298418584, 40.54049773651381]}",None,4,06/03/2003,Staten Island,Honorary,Paul J. Simon Avenue,,21
On the Corner of Mason Avenue and Greeley Avenue,"{'type': 'Point', 'coordinates': [-74.09954097060762, 40.57295945967664]}",None,10,12/05/2006,Staten Island,Honorary,"Manuel ""Manny"" Dosdantos Corner",,34
the southeast corner of the intersection of Forest Avenue and Van Name Avenue,"{'type': 'Point', 'coordinates': [-74.15443277351758, 40.62559988872135]}",None,1,02/18/2003,Staten Island,Honorary,James Patrick Ladley Way,,22
Underneath the Stewart Avenue sign at the Northeast corner of Victory Blvd,"{'type': 'Point', 'coordinates': [-74.14587699029985, 40.61046350786536]}",None,4,05/23/2006,Staten Island,Honorary,SI Borough President (1977-1984) Anthony R. Gaeta Place,,9
the northwest corner of the intersection of West 236th Street and Independence Avenue,"{'type': 'Point', 'coordinates': [-73.91346572216797, 40.88720661000056]}",None,3,05/05/2004,Bronx,Honorary,Herb Lieberman Way,,21
the southeast corner of the intersection of New Lane and Bay Street,"{'type': 'Point', 'coordinates': [-74.06431713445889, 40.61181863096176]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Robert Curatolo Lane,,61
the intersection of Oriental Boulevard and Corbin Place,"{'type': 'Point', 'coordinates': [-73.95384052975409, 40.57677674879038]}",None,10,12/21/2004,Brooklyn,Honorary,Heroes of Operation Iraqi Freedom Way,,63
the intersection of Bell Boulevard and 212th Street,"{'type': 'Point', 'coordinates': [-73.78227013097226, 40.788660613956736]}",None,4,06/03/2003,Queens,Honorary,100th Infantry Division Boulevard,,41
the northeast corner of the intersection of Hoyt Avenue and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.1046164846726, 40.630800900283276]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Michael Fiore Way,,47
the intersection of Schuyler Street and Stuyvesant Street,"{'type': 'Point', 'coordinates': [-74.07704028744237, 40.6431235901161]}",None,3,05/05/2004,Staten Island,Honorary,Honorable Mario J. Esposito Way,,30
On the Northeast Corner of 21st Street and 43rd Avenue,"{'type': 'Point', 'coordinates': [-73.94542480365307, 40.75064573277145]}",None,10,12/05/2006,Queens,Honorary,Mason Tenders' Way,,56
the northwest corner of the intersection of 14th Road and 118th Street,"{'type': 'Point', 'coordinates': [-73.84955097087764, 40.78482507664388]}",None,4,06/03/2003,Queens,Honorary,Firefighter Carl John Bedigian Road,10/20/2003,4
The sign pointing west on Allerton Avenue,"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",Northwest corner of Allerton and Bronxwood Avenues,10,12/05/2006,Bronx,Honorary,PO John D’ Allara 9/11 Memorial Way,,58
Port Richmond Avenue at the North side of New Street,"{'type': 'Point', 'coordinates': [-74.1339609891747, 40.63700812085413]}",None,4,05/23/2006,Staten Island,Honorary,Carmelo Tirone Way,,12
the intersection of 211th Street and 28th Avenue,"{'type': 'Point', 'coordinates': [-73.77821942237259, 40.77622538857772]}",None,10,12/21/2004,Queens,Honorary,Glenn J. Travers Sr. 9/11 Memorial Way,,3
On the Corner of Minerva Place and Grand Concourse,"{'type': 'Point', 'coordinates': [-73.89042763953506, 40.87048705349471]}",None,10,12/05/2006,Bronx,Honorary,Luke Nee 9-11-01,,18
the southeast corner of the intersection of Osgood Avenue and Vanderbilt Avenue,"{'type': 'Point', 'coordinates': [-74.08102598486423, 40.61770916348925]}",None,10,12/21/2004,Staten Island,Honorary,Darryl Anthony Taylor Street,,29
7th Avenue and 72nd Street,"{'type': 'Point', 'coordinates': [-74.01780244149738, 40.62936684015063]}",None,4,05/23/2006,Brooklyn,Honorary,Josephine Diana Boulevard,7/11/2006,26
the southeast corner of the intersection of Amity Place and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.16110982464265, 40.626461923480555]}",None,3,05/05/2004,Staten Island,Honorary,Nicholas Sollazzo Way,,33
the southwest corner of the intersection of Forest Avenue and Silver Lake Park Road,"{'type': 'Point', 'coordinates': [-74.0959828757926, 40.63161941660735]}",None,10,12/21/2004,Staten Island,Honorary,World War II Veterans Pathway,,57
the northeast corner of the intersection of Bennett Street and Park Avenue,"{'type': 'Point', 'coordinates': [-74.13194185752317, 40.63775012347769]}",None,1,02/18/2003,Staten Island,Honorary,"Rev. Dr. William A. Epps, Jr. Place",,14
the southeast corner of the intersection of Franklin Avenue and Arnold Street,"{'type': 'Point', 'coordinates': [-74.0906847384251, 40.6384988099919]}",None,10,12/21/2004,Staten Island,Honorary,Joanne K. Caputo Court,,55
the southeast corner of the intersection of Gregg Place and Walbrooke Avenue,"{'type': 'Point', 'coordinates': [-74.10277233011854, 40.631640882759896]}",None,12,01/07/2003,Staten Island,Honorary,Jane Ellen Baeszler Way,,64
the northwest corner of the intersection of Tomplins Avenue and St. Mary’s Avenue,"{'type': 'Point', 'coordinates': [-74.07254447939806, 40.6140941628966]}",None,10,12/21/2004,Staten Island,Honorary,John Crispino Way,,53
the intersection of Nostrand Avenue and Avenue Z,"{'type': 'Point', 'coordinates': [-73.93979603774648, 40.58956559281211]}",None,10,12/21/2004,Brooklyn,Honorary,Lt. Dennis Mojica Corner,,30
traffic circle located at the intersection of Shore Road and Narrows Avenue within Shore Road Park,"{'type': 'Point', 'coordinates': [-74.0402910278876, 40.62254690597831]}",None,10,12/21/2004,Brooklyn,Honorary,Michael E. Behlen Circle,,81
the northwest corner of the intersection of 64th Street and 11th Avenue,"{'type': 'Point', 'coordinates': [-74.00533309756993, 40.62937009836703]}",None,10,12/21/2004,Brooklyn,Honorary,"Tony ""The Barber"" Nobile Way",,43
the intersection of Gerritsen Avenue and Avenue R,"{'type': 'Point', 'coordinates': [-73.9415470075606, 40.60758228796005]}",None,10,12/21/2004,Brooklyn,Honorary,Edward DeSimone III Corner,,8
the intersection of Bradford Avenue and Foster Road,"{'type': 'Point', 'coordinates': [-74.20280308251097, 40.531045152539356]}",None,4,06/03/2003,Staten Island,Honorary,Harry Taback Avenue,,20
the southeast corner of the intersection of 6th Avenue and 78th Street,"{'type': 'Point', 'coordinates': [-74.02110985927439, 40.6256624804823]}",None,10,12/21/2004,Brooklyn,Honorary,Thomas Francis Wise 9/11 Memorial Way,,17
the intersection of Hylan Boulevard and Mallory Avenue,"{'type': 'Point', 'coordinates': [-74.08076030166902, 40.598610445768436]}",None,10,12/21/2004,Staten Island,Honorary,John Capitano Place,,67
Southeast corner of West 215th Street and Indian Road,"{'type': 'Point', 'coordinates': [-73.91948664528887, 40.872139972178076]}",None,4,05/23/2006,Manhattan,Honorary,Joseph F. Holland Way,,21
The sign pointing south on Bronxwood Avenue,"{'type': 'Point', 'coordinates': [-73.86173256755738, 40.86567877758751]}",Northwest corner of Allerton and Bronxwood Avenues,10,12/05/2006,Bronx,Honorary,FF Vincent Princiotta 9/11 Memorial Way,,57
the northeast corner of 72nd Street and 11th Avenue,"{'type': 'Point', 'coordinates': [-74.00987373255239, 40.624679002188856]}",None,10,12/21/2004,Brooklyn,Honorary,Maria LaVache 9/11 Memorial Way,,13
the northwest corner of the intersection of Bache Avenue and Clawson Street,"{'type': 'Point', 'coordinates': [-74.11062166401393, 40.572722110487135]}",None,4,06/03/2003,Staten Island,Honorary,Firefighter Joseph A. Masacali Way,,36
the northeast corner of the intersection of Hudson Street and Chritopher Street,"{'type': 'Point', 'coordinates': [-74.00622722962295, 40.73314813738817]}",None,10,12/21/2004,Manhattan,Honorary,Sylvia Rivera Way,,76
the southeast corner of the intersection of Decker Avenue and Barrett Avenue,"{'type': 'Point', 'coordinates': [-74.13831208719849, 40.62718112562366]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter David LaForge Way,,50
the southwest corner of the intersection of Isham Street and Broadway,"{'type': 'Point', 'coordinates': [-73.91979744254155, 40.8679658599317]}",None,10,12/21/2004,Manhattan,Honorary,Inwood’s Heroes of 9/11 Way,,21
the intersection of Willowbrook Road and Buchanan Avenue,"{'type': 'Point', 'coordinates': [-74.13343167301429, 40.60358140860328]}",None,10,12/21/2004,Staten Island,Honorary,Detective Frank P. Collins Street,,66
the northwest corner of the intersection of 47th Avenue and 60th Street,"{'type': 'Point', 'coordinates': [-73.90464943075168, 40.740061397846056]}",None,12,01/07/2003,Queens,Honorary,47th Avenue,,60
the intersection of West 62nd Street and Columbus Avenue,"{'type': 'Point', 'coordinates': [-73.9834673989941, 40.771135766460304]}",None,10,12/21/2004,Manhattan,Honorary,Jerome Robbins Place,,36
the intersection of 50th Avenue and Vernon Boulevard,"{'type': 'Point', 'coordinates': [-73.9541087839709, 40.74272854662752]}",None,4,06/03/2003,Queens,Honorary,P.O. Paul Talty Way,,11
the northeast corner of the intersection of Potter Avenue and Fairview Avenue,"{'type': 'Point', 'coordinates': [-74.11869613591303, 40.61716586973856]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Brian E. Bilcher Way,,46
the intersection of Foster Road and Ramona Avenue,"{'type': 'Point', 'coordinates': [-74.2049945174938, 40.53649711140391]}",None,4,06/03/2003,Staten Island,Honorary,John Di Fato Avenue,,22
On the Corner of Hartford Street and Nelson Avenue,"{'type': 'Point', 'coordinates': [-74.14537992186155, 40.541994800944316]}",None,10,12/05/2006,Staten Island,Honorary,Christopher Dylan Damiano Avenue,,47
the northwest corner of the intersection of Sleight Avenue and George Street,"{'type': 'Point', 'coordinates': [-74.24109577201855, 40.506500338663926]}",None,10,12/21/2004,Staten Island,Honorary,"Firefighter Paul M. Beyer, FDNY Avenue",,24
the intersection of Queens Boulevard and 46th Street,"{'type': 'Point', 'coordinates': [-73.91870218526878, 40.7431557377775]}",None,4,06/03/2003,Queens,Honorary,Bliss Street,,54
Northeast corner of 46th Street and 7th Avenue,"{'type': 'Point', 'coordinates': [-73.98489458403341, 40.758594448294204]}",None,6,07/11/2006,Manhattan,Honorary,Actors’ Equity Corner,,4
the intersection of 12th Avenue and Bay Ridge Avenue,"{'type': 'Point', 'coordinates': [-74.00609560875382, 40.625032909597074]}",None,3,05/05/2004,Brooklyn,Honorary,Frederick I. Ergang Way,,8
the northeast corner of the intersection of Richmond Avenue and Nome Avenue,"{'type': 'Point', 'coordinates': [-74.16549808457826, 40.590617730060245]}",None,1,02/18/2003,Staten Island,Honorary,Firefighter Lou Arena Drive,,20
the southeast corner of the intersection of Castleton Avenue and North Burgher Avenue,"{'type': 'Point', 'coordinates': [-74.11443292687773, 40.634707988287]}",None,3,05/05/2004,Staten Island,Honorary,Monsignor Andrew F. Quinn Way,,26
Corner of 86th Street and Bay 26th Street,"{'type': 'Point', 'coordinates': [-73.99680000845524, 40.6037277459979]}",None,4,05/23/2006,Brooklyn,Honorary,Herb Berman Way,,36
the northwest corner of the intersection of State Street and Nevins Street,"{'type': 'Point', 'coordinates': [-73.98225730338342, 40.68681256456347]}",None,1,02/18/2003,Brooklyn,Honorary,Leonard and Harriet Walit Way,,33
the southeast corner of the intersection of University Place and Forest Avenue,"{'type': 'Point', 'coordinates': [-74.09940246132787, 40.63127161468185]}",None,12,01/07/2003,Staten Island,Honorary,Lee Ludwig Way,,40
Corner of Hancock Street and Garretson Avenue,"{'type': 'Point', 'coordinates': [-74.09524676552324, 40.58892992894664]}",None,4,05/23/2006,Staten Island,Honorary,"Diego ""Dickie"" Palemine Corner",,50
the northwest corner of the intersection of Liberty Avenue and Forbell Street,"{'type': 'Point', 'coordinates': [-73.86435993007821, 40.67915285137785]}",None,4,06/03/2003,Brooklyn,Honorary,Mizanur Rahman Way,,47
