dcid,bin,age_range,permit_number,capacity
DC37909,4051865.0,2 YEARS - 5 YEARS,104803.0,124
DC25355,2086830.0,2 YEARS - 5 YEARS,51457.0,117
DC44249,3118688.0,2 YEARS - 5 YEARS,106741.0,12
DC39267,1056462.0,0 YEARS - 2 YEARS,105291.0,18
DC32837,2100381.0,2 YEARS - 5 YEARS,87978.0,40
DC24834,3396768.0,2 YEARS - 5 YEARS,49798.0,74
DC42421,3159712.0,3 YEARS - 5 YEARS,,NO DATA
DC22000,3037851.0,0 YEARS - 2 YEARS,8401.0,285
DC44055,3022671.0,2 YEARS - 5 YEARS,106605.0,22
DC26079,1085680.0,2 YEARS - 5 YEARS,86518.0,72
DC44496,2076429.0,2 YEARS - 5 YEARS,106792.0,81
DC411,3328169.0,2 YEARS - 5 YEARS,5228.0,96
DC20001,3095889.0,2 YEARS - 5 YEARS,8023.0,40
DC24683,1054497.0,2 YEARS - 5 YEARS,24778.0,155
DC14287,1082706.0,2 YEARS - 5 YEARS,7157.0,27
DC1184,1038467.0,2 YEARS - 5 YEARS,7512.0,62
DC36669,1036206.0,2 YEARS - 5 YEARS,104607.0,59
DC41129,2000053.0,2 YEARS - 5 YEARS,105977.0,39
DC2259,4067020.0,2 YEARS - 5 YEARS,4204.0,75
DC42511,3141674.0,2 YEARS - 5 YEARS,106120.0,51
DC42984,4088248.0,2 YEARS - 5 YEARS,106426.0,38
DC43845,3418381.0,2 YEARS - 5 YEARS,106616.0,12
DC1166,4089211.0,0 YEARS - 2 YEARS,5867.0,62
DC21253,1031625.0,0 YEARS - 2 YEARS,8251.0,36
DC42025,1047676.0,2 YEARS - 5 YEARS,106500.0,45
DC22669,3240855.0,2 YEARS - 5 YEARS,22097.0,40
DC2035,3397530.0,2 YEARS - 5 YEARS,5349.0,105
DC981,2005481.0,2 YEARS - 5 YEARS,4780.0,38
DC44477,1087384.0,0 YEARS - 2 YEARS,106639.0,10
DC841,2073698.0,2 YEARS - 5 YEARS,6367.0,22
DC26046,3082389.0,0 YEARS - 2 YEARS,51758.0,20
DC21252,1031625.0,2 YEARS - 5 YEARS,8252.0,126
DC20592,3051227.0,2 YEARS - 5 YEARS,8395.0,26
DC41178,2044464.0,2 YEARS - 5 YEARS,105780.0,48
DC22324,3173091.0,2 YEARS - 5 YEARS,28638.0,54
DC21490,4006902.0,2 YEARS - 5 YEARS,8365.0,50
DC416,3162352.0,2 YEARS - 5 YEARS,1567.0,58
DC25327,1045274.0,0 YEARS - 2 YEARS,51197.0,36
DC42073,3425911.0,2 YEARS - 5 YEARS,105973.0,39
DC2537,4439698.0,3 YEARS - 5 YEARS,,74
DC37869,4615286.0,2 YEARS - 5 YEARS,105389.0,54
DC44642,3337668.0,2 YEARS - 5 YEARS,106714.0,12
DC42607,3429344.0,2 YEARS - 5 YEARS,106094.0,30
DC2564,1042477.0,3 YEARS - 5 YEARS,,124
