manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-00259-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""604 WATER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2018400,126150,110.0,8990000,7.3,37.5,1988,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2034 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.84,40.71126
1-02180-0192,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""120 BENNETT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1061502,80600,,3980000,1.95,48.0,1937,,13.1,40.854188
1-00374-0065,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""307 4 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",425788,19354,29.0,2110000,0.25,52.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""233 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.0,
1-01117-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""46 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4768647,122273,,17000000,0.45,195.0,1917,,33.2,40.782295
1-01386-0033,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""740 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",9575405,273583,263.0,46000000,0.7,168.0,1956,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""303 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.6,40.770625
1-00466-0056,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""103 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",577200,15600,23.0,3110000,0.15,185.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""320 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.5,
1-01827-0012,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""241 111 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",250473,21408,24.0,1160000,0.05,27.4,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""243 113 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.69,
1-01460-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""435 65 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3125620,107780,152.0,15400000,0.65,139.0,1959,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.3,
1-01140-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""108 69 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",281268,7813,13.0,1260000,0.2,180.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""35 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.6,
1-01786-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""237 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",138400,8000,16.0,756000,0.5,40.5,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""291 PLEASANT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.86,
1-01393-0033,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""888 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",7415590,183101,114.0,34400000,0.8,203.0,1968,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1308 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.3,40.7753
1-00625-0021,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""799 GREENWICH STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",545000,16026,28.0,2310000,0.05,163.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""234 52 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.8,40.73772
1-01585-0013,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""521 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",281760,8805,20.0,1310000,0.3,153.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""331 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.0,
1-00641-0010,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""128 JANE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1730000,50820,70.0,12700000,1.5,163.0,1948,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""304 20 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.6,40.738137
1-00875-0008,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""105 19 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",892942,26263,58.0,8110000,0.45,163.0,1985,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""155 23 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.0,
1-01120-0007,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""39 67 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1360709,42857,47.0,4180000,0.95,152.0,1914,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""440 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.3,
1-01067-0008,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""457 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2874800,114992,118.0,7500000,0.65,109.0,1926,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""442 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.3,
1-01120-0061,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""74 68 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1645696,51428,45.0,5560000,0.8,153.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""115 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.2,
1-01369-0029,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""446 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",549231,18939,40.0,2220000,0.75,139.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""425 80 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.9,
1-01369-0031,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""436 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",385402,12235,17.0,1660000,0.85,151.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""405 61 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.1,
1-01827-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 112 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",380497,29269,24.0,1400000,0.75,30.4,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""218 113 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.38,
1-00798-0026,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""129 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1540000,49664,58.0,7570000,0.55,149.0,1911,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""431 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.9,
1-00896-0013,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""227 14 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",310310,11935,21.0,2720000,0.65,61.0,1930,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 14 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",46.2,
1-01186-0033,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""375 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2740842,80613,31.0,10500000,0.35,163.0,1926,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""544 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.8,
1-00589-0014,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 CORNELIA STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",760000,26110,40.0,1480000,0.2,139.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""51 LEROY STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.6,40.731438
1-01058-0025,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""411 48 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",316200,10200,20.0,1500000,0.15,148.0,1901,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,
1-01832-0006,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""49 96 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",780570,34692,45.0,2810000,0.4,98.0,1926,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""62 108 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.65,
1-02084-0050,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""530 153 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",143090,12585,20.0,493000,0.1,26.6,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""533 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.87,
1-01512-0123,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1223 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3961122,120034,104.0,21200000,0.2,158.0,1922,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1654 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.4,40.777333
1-01510-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""941 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",5770380,164868,149.0,22100000,0.55,167.0,1962,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.9,40.777095
1-01387-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""760 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2337660,71928,35.0,14400000,0.1,156.0,1939,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.9,40.771363
1-01209-0146,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""36 96 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",133875,5355,17.0,1250000,0.8,108.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""724 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.7,
1-00892-0020,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""288 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2424684,65532,71.0,16700000,0.1,186.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""153 32 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",46.7,40.748105
1-01725-0055,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""38 128 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",195331,16695,24.0,1160000,0.85,27.4,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""243 113 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.69,
1-01121-0045,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 69 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",983088,27308,46.0,4590000,0.5,181.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""146 68 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.9,
1-02099-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""3681 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",855470,67254,86.0,2610000,0.25,29.7,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""606 145 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.58,40.831051
1-01211-0135,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",856660,29540,43.0,4700000,0.5,139.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""40 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.2,
1-02179-0274,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""220 CABRINI BOULEVARD"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",742502,58008,64.0,2430000,0.85,44.1,1929,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""728 181 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.85,40.854901
1-01383-0069,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""875 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",8736000,224000,38.0,30400000,0.8,196.0,1963,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""952 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.4,40.770247
1-01401-0054,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""895 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4164602,134342,154.0,29500000,0.4,148.0,1999,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""16O 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.4,40.766963
1-01570-0005,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""403 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",283840,8870,20.0,1310000,0.15,153.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""331 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.0,
1-00474-0029,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""487 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2476565,70759,92.0,14100000,2.85,168.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""847 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.6,
1-02054-0016,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""369 EDGECOMBE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",162115,12695,23.0,554000,0.0,29.9,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""363 EDGECOMBE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.77,40.827741
1-01427-0030,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""230 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2856992,89281,91.0,13900000,0.5,153.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 70 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.5,
1-00421-0043,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""172 FORSYTH STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",304150,12166,23.0,1410000,0.1,59.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""162 LUDLOW STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.1,40.721307
1-02179-0489,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""360 CABRINI BOULEVARD"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1529814,117678,110.0,5690000,0.6,47.4,1939,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""600 218 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.61,40.856981
1-01550-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1682 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4287424,138304,129.0,17200000,0.25,148.0,1963,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""400 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,40.778643
1-02239-0029,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""24 COOPER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",229463,17410,26.0,912000,0.45,30.8,1911,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""647 ACADEMY STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.04,40.867505
1-01229-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""440 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3322537,162075,129.0,16000000,0.35,89.0,1924,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""525 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.44,
1-01527-0043,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""208 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",727624,19148,40.0,3730000,0.15,191.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""331 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.0,
1-01849-0023,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""14 MORNINGSIDE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",759774,55458,66.0,1010000,0.3,32.1,1906,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""370 MANHATTAN AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.72,40.805052
1-00528-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""182 HOUSTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2573640,71490,206.0,13900000,4.05,180.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""330 46 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.5,
1-01386-0037,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""750 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2220156,72792,35.0,11800000,0.65,146.0,1958,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.4,40.770863
1-00642-0045,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""88 HORATIO STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",300000,8125,12.0,1510000,1.45,185.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""525 5 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.6,40.73875
1-01166-0154,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""240 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1197477,44351,54.0,5560000,0.35,129.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""359 62 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.2,
1-01207-0016,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""31 93 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",916203,47349,39.0,3450000,0.5,84.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""227 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.36,
1-00572-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""38 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2485000,73098,70.0,7480000,0.45,163.0,1962,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""304 20 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.7,
1-00928-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""382 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",7205408,189616,511.0,28200000,0.25,190.0,1979,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""330 39 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.5,40.737318
1-01120-0029,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""75 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3865950,117150,170.0,13400000,1.1,158.0,1930,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""228 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.7,40.782295
1-00753-0006,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""359 29 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",400000,13004,28.0,2310000,0.95,148.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""234 52 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.8,
1-01184-0087,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""304 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2377282,77310,92.0,11600000,1.6,147.0,1929,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""244 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.0,
1-01523-0014,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1450 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2104342,67882,83.0,14400000,1.15,149.0,1939,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""245 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.9,40.784728
