manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-02180-0169,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 BENNETT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",870870,66990,73.0,2070000,0.25,47.5,1925,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""261 SEAMAN AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.35,40.853225
1-01363-0008,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""425 51 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2062928,73676,87.0,6080000,0.7,134.0,1940,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.2,
1-01077-0022,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""517 48 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",301630,9730,20.0,1660000,0.3,73.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""533 49 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.3,
1-01413-0004,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""891 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",957000,29000,40.0,4760000,0.55,158.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""117 77 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.8,40.775292
1-01219-0059,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""174 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",528780,18885,41.0,2880000,3.4,134.0,1901,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""332 95 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.2,
1-01413-0045,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""168 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1871568,51988,100.0,10700000,0.8,181.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""519 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",45.5,
1-01894-0067,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""395 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3471189,151912,179.0,17000000,0.75,99.0,1911,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""752 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.85,40.80581
1-01988-0093,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""515 135 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",228236,13170,32.0,1160000,0.05,69.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1480 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.83,
1-01535-0030,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""244 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",403260,10340,20.0,1960000,0.35,195.0,1910,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""229 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.1,
1-01215-0061,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""170 85 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",502680,20945,89.0,2140000,0.15,56.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""146 8 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",25.1,
