manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_1_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,nta
7813,0.4,8615.0,1-01144-0040,1470000.0,C5-WALK-UP,UPPER WEST SIDE (59-79),
24292,1.45,38214.0,1-00897-0008,6450000.0,D9-ELEVATOR,GREENWICH VILLAGE-WEST,
34689,0.95,15292.0,1-01916-0031,1040000.0,C1-WALK-UP,HARLEM-CENTRAL,
10560,0.25,11838.0,1-01512-0010,2410000.0,D9-ELEVATOR,UPPER EAST SIDE (79-96),
6500,0.8,6954.0,1-00447-0012,1160000.0,C1-WALK-UP,GREENWICH VILLAGE-WEST,
126811,0.1,114767.0,1-01162-0046,15200000.0,D6-ELEVATOR,UPPER WEST SIDE (59-79),
16020,0.65,17960.0,1-02070-0047,801000.0,C1-WALK-UP,HARLEM-UPPER,Hamilton Heights                                                           
10800,0.35,10900.0,1-00399-0058,1120000.0,C4-WALK-UP,ALPHABET CITY,
55776,0.1,58750.0,1-02180-0178,2500000.0,D1-ELEVATOR,WASHINGTON HEIGHTS UPPER,
203706,0.65,207037.0,1-01527-0045,33400000.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
14981,0.65,13788.0,1-00897-0071,2810000.0,D5-ELEVATOR,GRAMERCY,
184816,0.3,189612.0,1-01410-0033,20000000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
115835,0.1,109723.0,1-01473-0038,14500000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
70759,2.6,70592.0,1-01305-0023,10200000.0,D7-ELEVATOR,MIDTOWN EAST,
55065,0.85,62400.0,1-00833-0075,9340000.0,D9-ELEVATOR,CHELSEA,
5608,,,1-01547-0046,,,,
42067,0.35,41883.0,1-00908-0009,7920000.0,D9-ELEVATOR,GRAMERCY,
47349,0.5,48178.0,1-01253-0045,3400000.0,D3-ELEVATOR,UPPER WEST SIDE (79-96),
67254,0.4,65058.0,1-02080-0005,2570000.0,D1-ELEVATOR,HARLEM-UPPER,Hamilton Heights                                                           
183919,,,1-01463-0021,,,,Upper East Side-Carnegie Hill                                              
29000,0.05,29500.0,1-01468-0039,6230000.0,D3-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
18885,1.4,18888.0,1-00770-0049,3070000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
164868,0.5,166432.0,1-01447-0023,25000000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
10340,0.0,10465.0,1-01528-0034,2220000.0,C4-WALK-UP,UPPER EAST SIDE (79-96),
183101,0.25,181549.0,1-01418-0045,29300000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
93096,1.65,80351.0,1-01447-0005,11600000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
9250,0.25,9265.0,1-01551-0047,1720000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
469263,4.35,347118.0,1-01581-0049,53100000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),West Village                                                               
75273,0.15,71115.0,1-00888-0031,16700000.0,D9-ELEVATOR,MURRAY HILL,Murray Hill-Kips Bay                                                       
51428,1.4,52848.0,1-01229-0006,11700000.0,D3-ELEVATOR,UPPER EAST SIDE (79-96),
162075,0.25,171655.0,1-01236-0010,12600000.0,D6-ELEVATOR,UPPER WEST SIDE (79-96),
