manhattan_cooperatives_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,borough,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_est_gross_income,comparable_rental_2_market_value_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_address,manhattan_cooperatives_comparable_properties_year_built,census_tract
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""782 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.74,1,43,957384.0,74.0,UPPER WEST SIDE (96-116),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""250 99 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""430 77 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.3,1,37,983986.0,182.0,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""404 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1960,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""227 14 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",41.2,1,11,488077.0,207.0,GRAMERCY,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""380 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""524 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",11.37,1,20,163836.0,39.2,HARLEM-UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""506 151 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1905,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""504 139 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",16.16,1,30,305571.0,64.0,HARLEM-WEST,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""516 135 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""560 149 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",9.91,1,18,177543.0,28.2,HARLEM-UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""559 140 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""457 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.43,1,237,2427799.0,101.0,CLINTON,D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""444 45 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1929,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""434 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,24,446742.0,159.0,MIDTOWN EAST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""490 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1016 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.9,1,65,4610558.0,134.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1929,142.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""382 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.8,1,266,19195940.0,220.0,KIPS BAY,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""332 28 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1965,64.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 118 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",10.9,1,25,125489.0,33.9,HARLEM-CENTRAL,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""208 140 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""24 COOPER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.18,1,27,231907.0,48.1,INWOOD,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""407 205 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,295.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""565 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.9,1,31,2861408.0,216.0,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1147 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1913,11402.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""223 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.06,1,24,476401.0,96.0,ALPHABET CITY,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""119 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""435 65 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.3,1,120,4031505.0,192.0,UPPER EAST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""420 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1963,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""13 11 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.3,1,48,1688778.0,169.0,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""134 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1923,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""237 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.32,1,12,140992.0,69.0,HARLEM-EAST,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""16 116 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""785 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.9,1,68,4578460.0,117.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1081 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1963,11401.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""128 JANE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.8,1,50,1846482.0,157.0,GREENWICH VILLAGE-WEST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""320 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,79.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""230 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,1,92,2607460.0,150.0,UPPER EAST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1937,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.2,1,20,357913.0,163.0,UPPER EAST SIDE (79-96),C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""231 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""120 BENNETT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,84,,,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""135 225 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1939,271.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""308 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,195,,,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1273 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""108 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",48.7,1,20,997844.0,244.0,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1349 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""34 MOORE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.5,1,14,927181.0,151.0,TRIBECA,D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""22 JONES STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""320 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,20,,,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""336 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1940,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""322 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.9,1,62,3069385.0,134.0,UPPER WEST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""575 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""521 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,1,16,281650.0,154.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""309 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1006 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.1,1,634,19385377.0,135.0,MIDTOWN EAST,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1313 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1969,10601.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""12 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.3,1,174,4571132.0,64.0,UPPER WEST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""275 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1927,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""400 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.5,1,95,3175343.0,73.0,UPPER WEST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2401 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1931,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""652 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,1,18,1950326.0,150.0,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1265 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1908,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""162 LENOX AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.97,1,35,528633.0,71.0,HARLEM-CENTRAL,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2089 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,190.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""750 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.8,1,70,2048170.0,138.0,UPPER EAST SIDE (59-79),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1453 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1951,130.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""226 27 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.0,1,20,339034.0,167.0,GRAMERCY,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""235 26 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""105 19 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.7,1,25,1578342.0,189.0,GRAMERCY,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 27 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.8,1,345,6199050.0,138.0,UPPER WEST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2054 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1926,143.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1222 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.3,1,140,6855800.0,197.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1571 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1963,118.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""260 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.4,1,80,4223193.0,188.0,UPPER WEST SIDE (59-79),D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""228 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""403 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,1,15,281650.0,154.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""309 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 69 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.1,1,20,781069.0,153.0,UPPER WEST SIDE (59-79),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""245 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""39 67 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.4,1,41,1271765.0,136.0,UPPER WEST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""324 84 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1906,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""121 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,32,,,UPPER EAST SIDE (59-79),D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1185 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""108 69 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.6,1,11,306457.0,171.0,UPPER WEST SIDE (59-79),C5-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""118 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""348 36 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.2,1,20,1347000.0,169.0,FASHION,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 15 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1936,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.2,1,26,263093.0,68.0,HARLEM-CENTRAL,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""429 LENOX AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1932,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""431 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.7,1,14,481316.0,204.0,UPPER EAST SIDE (79-96),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""119 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""318 15 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.9,1,12,242357.0,167.0,CHELSEA,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""312 6 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""336 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.7,1,105,3182029.0,132.0,UPPER WEST SIDE (59-79),D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""228 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1931,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""3405 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.93,1,18,232257.0,44.6,HARLEM-UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""526 139 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,225.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""204 7 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.71,1,24,258423.0,103.0,ALPHABET CITY,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""157 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""736 186 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.34,1,56,724714.0,42.6,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""739 186 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1939,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""983 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.7,1,63,6967238.0,161.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""200 82 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1927,140.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""236 28 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.6,1,31,559969.0,204.0,GRAMERCY,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""206 17 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""425 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",24.28,1,192,4603948.0,105.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1308 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1955,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",27.6,1,33,3031399.0,132.0,UPPER EAST SIDE (79-96),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""420 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1929,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""487 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.0,1,28,2119582.0,144.0,SOHO,D7-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""135 50 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""644 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,1,16,1950326.0,150.0,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1265 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""229 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,11,,,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""310 85 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""105 16 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.7,1,18,1578342.0,189.0,GRAMERCY,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""207 27 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1914,
