app_gr09,dbn,apps_per_seat_gr9,prgdesc,req3,soc,math
474.0,02M408,22 per seat,"Built around the core values: excellence, engagement and empathy. Students take two hours of conservatory-style class daily in acting, movement/devising, voice & speech and theater studies. Each grade also participates in supplementary performance projects including classics, new play commissions and student-created work. Goal is to develop exemplary artists who are equally engaged citizens.",,Review,Review
14.0,03M860,1 per seat,See above description.,,,
3254.0,03M485,18 per seat,"A conservatory approach in classical music including training in Italian, German and French song, choral ensemble singing, music history, piano, theory and ear training. Electives include: opera, musical theatre, gospel, song writing and composition.",,Scores 80-100,Scores 80-100
97.0,02M520,1 per seat,"Students will focus on math and science, and will work with university faculty. Opportunities for summer college programs at several universities and to earn college credits while in high school.",,Scores 80-100,Scores 80-100
222.0,07X334,3 per seat,,,,
291.0,04M409,2 per seat,,,,
439.0,06M463,3 per seat,,,,
1348.0,02M630,5 per seat,"9th grade: Design Foundations; 10th grade: select CTE major from Cartooning, Animation, Fashion/Costume Design, Illustration, Graphic Design, Digital Photography; gain introduction to Adobe Photoshop and Illustrator. Technical assessment required for CTE certification. Upper grade students can apply for AP courses in Illustration and Graphic Design. All portfolios are evaluated by professionals. Opportunities for museum visits, rotating student exhibitions, visiting artists.",,,
2498.0,02M400,9 per seat,"Interdisciplinary program emphasizing environmental studies: the natural environment, the urban environment and environmental ethics. Students are expected to engage in research, environmental projects and internships and complete a senior thesis.",,,
153.0,07X547,6 per seat,Students who major in music have an opportunity learn how to play band instruments and/or participate in treble choir. Students gain an appreciation for music and how music impacts culture.,,,
2515.0,02M414,20 per seat,,,Scores 80-100,Scores 80-100
1073.0,02M260,13 per seat,,,Scores 85-100,Scores 85-100
488.0,02M303,5 per seat,,,,
3002.0,02M376,25 per seat,,,Scores 85-100,Scores 85-100
2259.0,02M420,9 per seat,Emphasis on the basic sciences; hands-on laboratory work using state-of-the-art equipment and computer research in laboratory analyses in the diagnosis and treatment of disease and maintenance of health.,,,
556.0,07X551,7 per seat,,,,
898.0,06M467,5 per seat,,,,
3801.0,04M555,33 per seat,,,Scores 80-100,Scores 80-100
710.0,08X558,9 per seat,,,,
442.0,08X348,4 per seat,,,,
212.0,02M542,9 per seat,"This NAF academy uses a technology-based program involving the design, development, support and management of hardware, software and web design. Successful completion of program could lead to IC3 and Adobe Photoshop certifications. Students participate in internships, AP and credit-bearing college courses.",,Scores 80-100,Scores 80-100
410.0,08X530,4 per seat,,,,
114.0,07X520,1 per seat,Develop knowledge and skills to be able to compete in a global economy,,,
1353.0,02M449,12 per seat,"Students’ growth in understanding and thinking is assessed by researching, writing, presenting, and defending portfolios in math, science, humanities and literary analysis. Students also complete an autobiography portfolio, using oral and visual components.",,,
673.0,05M499,4 per seat,"This Academy will prepare students for their choice of college studies and careers. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible which may include AP United States History, AP Microeconomics, AP European History, AP English, AP Spanish, AP French and AP Latin.",,Scores 85-100,Scores 80-100
682.0,02M419,7 per seat,Academic Portfolio-based Assessment.,,,
465.0,03M860,7 per seat,"Science, Math, Humanities and Art",,,
385.0,02M500,6 per seat,,,,
1284.0,01M450,14 per seat,"Rigorous curriculum in all academic areas; students are challenged to apply what they have learned in creative ways to complete engaging projects. Outstanding art, photography, dance, choir, and music production classes.",,Scores 75-100,Scores 75-100
1045.0,02M545,10 per seat,,,Scores 80-100,Scores 80-100
370.0,03M307,3 per seat,,,,
1249.0,04M610,15 per seat,,,Scores 80-100,Scores 80-100
1136.0,07X495,18 per seat,"The STEM program is based on preparing students for college and careers in the fields of science, technology, engineering and math. Our STEM program provides rigorous and hands on courses in science technology and math, including robotics, media, history of engineering and inquiry, technology, calculus and more. Qualified students can do an executive internship in the STEM fields (including medicine) senior year.",Writing sample: Please contact the school for more information,Scores 75-100,Scores 75-100
553.0,07X427,7 per seat,"Components of the program include: social action club, work with activists who are involved with social justice issues, social action and community service internships, whole school examination of social justice issues",,,
513.0,02M519,21 per seat,"Students study modern and ballet technique, choreography, repertory, pointe, pilates, anatomy and dance history; comprehensive program that includes junior and senior internships and performances at all grade levels.",,Scores 80-100,Scores 80-100
170.0,01M292,2 per seat,,,,
564.0,05M670,5 per seat,College preparatory program that prepares students to be lifelong learners and good citizens while gaining cultural awareness and leading social change.,,Scores 80-100,Scores 80-100
1527.0,02M392,14 per seat,,,,
352.0,06M552,3 per seat,Students take a four year sequence in mathematics and science.,,Scores 80-100,Scores 80-100
86.0,03M415,3 per seat,"Drawing, watercolor, painting, ceramics, multi-arts, sculpture and computer graphics.",,Review,Review
268.0,02M580,3 per seat,"Participation in a general elective program that provides a series of elective classes, career exploration, internships and externships for students.",,,
513.0,02M533,10 per seat,,,,
263.0,03M859,7 per seat,,,Scores 85-100,Scores 85-100
180.0,08X332,2 per seat,,,,
198.0,05M367,2 per seat,,,,
255.0,02M542,9 per seat,"This NAF academy uses the Project Leads the Way (PLTW) curriculum, and offers a strong foundation in math & science, training in the field of engineering, senior internships and possible opportunities to take Advanced Placement (AP) and credit-bearing college courses. Successful completion of program could lead to Autodesk Inventor certification and college credits.",,Scores 80-100,Scores 80-100
1201.0,02M308,14 per seat,,,,
504.0,05M499,3 per seat,"This Academy will prepare students for college studies and careers in Science, Technology, Engineering, Mathematics and Medicine. Students will have access to elective courses such as Robotics, Aeronautics/Aviation, Anatomy & Physiology and Forensic Science. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible and may include AP Calculus, AP Statistics, AP Biology, AP Chemistry and AP Physics.",,Scores 80-100,Scores 85-100
41.0,03M415,1 per seat,"Modern Dance, Jazz, African and Tap.",,Review,Review
1192.0,07X221,13 per seat,,,,
539.0,09X227,6 per seat,Develop character and community awareness through a college preparatory curriculum.,,,
2450.0,03M485,12 per seat,"Art history, drawing, painting, ceramics, printmaking, sculpture, 3-D design, mixed media, anatomy, architecture, digital media, illustration, interior design, photography and sculpture.",,Scores 80-100,Scores 80-100
519.0,04M372,6 per seat,,,,
521.0,07X600,5 per seat,Follows National Automotive Technicians Education Foundation program of instruction and leads to national certification in the automotive industry.,,,
195.0,07X223,7 per seat,,,,
624.0,05M304,6 per seat,Experiential hands-on learning is an important part of the school’s curriculum.,,,
183.0,02M519,9 per seat,"Students are transformed into “triple threat” performers who learn to sing, dance and act in a variety of venues; emphasis on vocal technique, scene study, movement, ensemble and solo performance.",,Scores 80-100,Scores 80-100
505.0,07X522,4 per seat,,,,
511.0,02M408,15 per seat,"In partnership with The Ailey School, students follow a course of study with a foundation in ballet and classes in Horton technique, modern (Graham-based), jazz and West African dance.",,Review,Review
569.0,08X269,7 per seat,,,,
221.0,05M157,3 per seat,,,,
2638.0,03M485,27 per seat,"Theater preparation through courses in acting, voice and diction, physical techniques, theater history and script analysis.",,Scores 80-100,Scores 80-100
561.0,02M519,21 per seat,"Students study music theory, vocal technique, and music history; opportunity to perform in a variety of vocal ensembles.",,Scores 80-100,Scores 80-100
689.0,06M468,4 per seat,,,,
369.0,02M316,3 per seat,,,,
378.0,02M630,7 per seat,"Program includes study of structures, space, color, form, with a focus on hand drafting, architectural design, model making and sketching, and AutoCAD. Seniors complete city planning design project to address current zoning issues, visit museums and professional studios and hear from visiting professionals. Student projects are critiqued and reviewed by industry partners in order to provide students with specific, relevant industry feedback.",,,
1419.0,03M492,10 per seat,Students take law courses in their eleventh and twelfth grade years in addition to their social studies courses; a college preparatory focus is incorporated into the curriculum.,,,
533.0,06M346,7 per seat,,,,
853.0,08X293,8 per seat,,,,
353.0,01M448,4 per seat,"An interdisciplinary, project-based program, with advisories, art and music electives, community service requirements and learning centers.",,,
700.0,02M551,7 per seat,"Students choose from one of the following programs: Aquaculture, Marine Biology Research, or Ocean Engineering. Students may receive corresponding certifications for each program, such as Geographic Information System certification or US Safe Boaters License.",,,
2403.0,02M546,22 per seat,,,,
2115.0,06M293,26 per seat,,,Scores 70-100,Scores 70-100
5376.0,02M416,43 per seat,A program incorporating the arts and technology as essential components of learning.,,Scores 90-100,Scores 90-100
854.0,06M211,11 per seat,,,,
12.0,02M655,1 per seat,See above description.,,,
140.0,07X547,6 per seat,Students majoring in drama study acting techniques and have the opportunity to perform in schoolwide performances.,,,
906.0,08X405,10 per seat,"A rich academic curriculum with concentrations in programming, computer applications, computer electronics, repair.",,,
2889.0,02M412,22 per seat,Collaborative work and interdisciplinary projects; all courses are Honors or AP.,,Scores 85-100,Scores 85-100
423.0,02M459,5 per seat,"New learners of English develop linguistic, cognitive and cultural skills. The school’s classes facilitate the development of English language proficiency and the acquisition of academic skills needed for advanced study in college or the world of work.",,,
1810.0,02M489,9 per seat,"In-depth coursework in Economics and Finance, AP and college courses, Weill Institute with financial industry professionals providing seminars and internships, after-school and Saturday academic and extracurricular opportunities.",,,
49.0,03M415,2 per seat,Students will be prepared to pass the five required NYS Regents. Students will also earn an Advanced Regents diploma. A college-level equivalency course in precalculus will be offered to help prepare students for entry into a four-year college program.,,,
3060.0,01M696,19 per seat,,Interview: Please contact the school for more information.,Scores 85-100,Scores 85-100
1341.0,02M294,17 per seat,,,,
942.0,02M437,8 per seat,,,,
516.0,02M139,5 per seat,,,,
724.0,02M280,9 per seat,,,,
