agency_comment,dataset_description
We plan to release tables or spatial files joining US Census data to NYC geographies but are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time.,"Decennial census data for New York City (NYC). Demographics for 2020, 2010 and statistics on the change between those two releases. The data is aggregated to several geographic levels including; Citywide, Borough, Community District, City Council district, 2020 Neighborhood Tabulation Areas (NTA) and 2020 Census Tracts."
The Department of Finance (DOF) is still in the process of streamlining these datasets.  There have been delays due to staff attrition and prioritization of critical projects within DOF.,"List of all properties in NYC, which includes assessed value, tax class, building class, borough-block-lot, along with additional descriptive data"
Delayed due to staffing vacancies in both the technology and analytic teams necessary to publish new open datasets,Local Law 4 of 2012 requires HPD to maintain a monthly report that lists all properties with twenty or more units for which notice of a foreclose has been submitted to HPD.
,"LockerNYC is a pilot program that allows New Yorkers to receive and send packages using secure lockers on public sidewalks. The lockers and usage data are operated, maintained and provided by GoLocker. The usage data shows an action taken related to a locker—receiving a package, reserving a locker, or withdrawing a package. For more information on LockerNYC, please visit https://www.nyc.gov/html/dot/html/motorist/deliveries.shtml#lockernyc"
Delayed due to resource shortage and other priorities,"Vendors filed in PASSPort, the City of New York’s end-to-end digital procurement platform.  [PASSPort Contracts, Solicitations and Vendors are published publicly in PASSPort Public -> https://a0333-passportpublic.nyc.gov/]"
,Various elements related to parking structures throughout the city
,List of 2022 and 2023 capital allocations for all city and non-city capital projects.
The release of this dataset is delayed due to impact of available resources.,"Number of apiaries, broken down by borough and year"
Delayed due to staffing vacancies in both the technology and analytic teams necessary to publish new open datasets,"This dataset includes buildings and residential units listed in the 421-a report, a statutory requirement of Real Property Tax Law Section 421-a(10)(a)(iii) for 421-a(1-15) tax exemption benefits. The law mandates HPD to produce a report that contains specific information about all buildings receiving 421-a(1-15) tax exemption benefits"
The agency has adjusted the timeline of this project due to the allocation of resources and attention to higher-priority projects,Information pertaining to mentally ill individuals and recidivism
