classname,swimming_pool
Holiday Learn to Swim Roy Wilkins Class C,Roy Wilkins Recreation Center
Session 3: Crotona Pool - Children's Learn to Swim  Level 2 (Class B),Crotona Pool
"Learn to Swim: Children Intermediate Level 3 - Saturdays, 9am",Flushing Meadows Corona Park Aquatics Center
Constance Baker Motley Learn to Swim: Children - Tuesdays,Constance Baker Motley Recreation Center
Session 3: Astoria Pool - Children's Learn to Swim Level 1 (Class A),Astoria Pool
Roy Wilkins Learn to Swim: Adults - ADMIN ONLY,Roy Wilkins Recreation Center
Metropolitan Learn to Swim: Children Level 1,Metropolitan Pool & Recreation Center
Roy Wilkins Learn to Swim: Children Level 1,Roy Wilkins Recreation Center
Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Tuesdays,Flushing Meadows Corona Park Aquatics Center
St. Johns Saturday Children Learn to Swim Level 1,St. John's Recreation Center
Roy Wilkins Recreation Center - Children Learn to Swim Level 2 - Saturday,Roy Wilkins Recreation Center
St. Mary's Learn to Swim Level 2,St. Mary's Recreation Center
Holiday Learn to Swim George Washington High School Class A,Offsite Locations
Roy Wilkins' Learn To Swim: Children - Thursdays,Roy Wilkins Recreation Center
FMAC: Children's Learn to Swim (Level 3),Flushing Meadows Corona Park Aquatics Center
Session 3: Crotona Pool - Children's Learn to Swim Level 2 (Class A),Crotona Pool
Constance Baker Motley Learn to Swim: Tots - Saturdays,Constance Baker Motley Recreation Center
"Learn to Swim: Children Intermediate Level 3 - Saturdays, 10am",Flushing Meadows Corona Park Aquatics Center
Gertrude Ederle Saturday Learn to Swim Level 2,Gertrude Ederle Recreation Center
"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Tuesdays, 6pm",Flushing Meadows Corona Park Aquatics Center
Constance Baker Motley Saturday Children Learn to Swim Level 1,Constance Baker Motley Recreation Center
Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 7pm),Flushing Meadows Corona Park Aquatics Center
St. John's Learn to Swim: Children - Mondays,St. John's Recreation Center
FMAC: Senior Learn to Swim (Level 3),Flushing Meadows Corona Park Aquatics Center
Adult Learn To Swim - George,Chelsea Recreation Center
"Learn to Swim: Children ADV. Beginner Level 2 - Tuesdays, 5pm",Flushing Meadows Corona Park Aquatics Center
"Flushing Meadows Aquatic Center Children Learn to Swim: Intermediate Level 3 - Mondays, 4pm",Flushing Meadows Corona Park Aquatics Center
Chelsea Learn to Swim: Seniors,Chelsea Recreation Center
Constance Baker Motley Learn to Swim: Children - Tuesdays,Constance Baker Motley Recreation Center
Constance Baker Motley Learn to Swim: Seniors Thursdays,Constance Baker Motley Recreation Center
Session l Children Learn to Swim Fisher Pool Level 2B,Fisher Pool
Holiday Learn to Swim George Washington High School Class C,Offsite Locations
"Learn to Swim: Children Beginner Level 1 - Saturdays, 9am",Flushing Meadows Corona Park Aquatics Center
Session l Tots Learn to Swim Crotona Pool Class A,Crotona Pool
"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 5pm",Flushing Meadows Corona Park Aquatics Center
Asser Levy Learn to Swim: Children - Wednesdays,Asser Levy Recreation Center
"Learn to Swim: Children Intermediate Level 3 - Wednesdays, 4pm",Flushing Meadows Corona Park Aquatics Center
Roy Wilkins Learn to Swim: Tots,Roy Wilkins Recreation Center
Metropolitan: Tots Learn to Swim,Metropolitan Pool & Recreation Center
Session I Children Learn to Swim Crotona Pool Level 1B,Crotona Pool
Roy Wilkins Learn to Swim: Adults - Saturday,Roy Wilkins Recreation Center
Roy Wilkins Senior Learn To Swim - Thursday (Beginner),Roy Wilkins Recreation Center
Metropolitan Saturday Children Learn to Swim Level 1,Metropolitan Pool & Recreation Center
"Learn to Swim: Children ADV. Beginner Level 2 - Saturdays, 10am",Flushing Meadows Corona Park Aquatics Center
Session 3: Astoria Pool - Children's Learn to Swim Level 1 (Class A),Astoria Pool
FMAC: Children's Learn to Swim (Level 4),Flushing Meadows Corona Park Aquatics Center
Roy Wilkins Learn to Swim: Adults - Saturday,Roy Wilkins Recreation Center
Learn to Swim: Children ADV. Swimmer Level 5,Flushing Meadows Corona Park Aquatics Center
"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12:45pm)",Flushing Meadows Corona Park Aquatics Center
