pivot-metric,pivot-value,bin,council_district,geocode_status,construction_status,street
saf_type,,1033105.0,6.0,Successfully geocoded,Completed,BROADWAY
saf_type,,1088694.0,1.0,Successfully geocoded,Completed,ELIZABETH STREET
saf_type,,1088833.0,4.0,Successfully geocoded,Completed,AVENUE OF THE AMERICAS
y,225963.0,,5.0,Successfully geocoded,Application,LEXINGTON AVENUE
y,205463.0,,2.0,Successfully geocoded,Application,EAST 10 STREET
y,218368.19543457,1044821.0,5.0,Successfully geocoded,Completed,1 AVENUE
saf_type,,,3.0,Successfully geocoded,Application,WEST 19 STREET
saf_type,,1088614.0,3.0,Successfully geocoded,Completed,WEST 27 STREET
y,211000.70703125,1018503.0,2.0,Successfully geocoded,Completed,EAST 34 STREET
y,215065.92199707,1036459.0,4.0,Successfully geocoded,Completed,LEXINGTON AVENUE
y,218381.42980957,1044821.0,5.0,Successfully geocoded,Completed,EAST 69 STREET
saf_type,,1054700.0,8.0,Successfully geocoded,Completed,2 AVENUE
y,222041.072021484,1048688.0,,Successfully geocoded,Completed,EAST 83 STREET
y,215977.0,,3.0,Successfully geocoded,Application,WEST 42 STREET
y,218433.752990722,1044821.0,5.0,Successfully geocoded,Completed,1 AVENUE
y,208837.235595703,1088836.0,2.0,Successfully geocoded,Completed,EAST 24 STREET
saf_type,,,4.0,Successfully geocoded,Application,EAST 49 STREET
saf_type,,,3.0,Successfully geocoded,Application,WEST 20 STREET
saf_type,,,,Successfully geocoded,Application,COLUMBUS AVENUE
y,208558.880187988,1087261.0,3.0,Successfully geocoded,Completed,WEST 18 STREET
y,208403.16241455,1087262.0,3.0,Successfully geocoded,Completed,WEST 17 STREET
saf_type,,,,Successfully geocoded,Application,WEST 23 STREET
y,202085.194030761,1087559.0,1.0,Successfully geocoded,Completed,MERCER STREET
saf_type,,1088533.0,3.0,Successfully geocoded,Completed,AVENUE OF THE AMERICAS
y,201539.374023437,1087549.0,1.0,Successfully geocoded,Completed,DELANCEY STREET
saf_type,,,3.0,Successfully geocoded,Application,WEST 42 STREET
saf_type,,,3.0,Successfully geocoded,Application,WEST 16 STREET
y,208824.682800292,1088467.0,2.0,Successfully geocoded,Completed,EAST 24 STREET
y,201008.0,,1.0,Successfully geocoded,Application,FRANKLIN STREET
y,211149.158203125,1014236.0,3.0,Successfully geocoded,Completed,7 AVENUE
y,232237.645996093,1082706.0,7.0,Successfully geocoded,Completed,AMSTERDAM AVENUE
y,209283.187194824,1087297.0,4.0,Successfully geocoded,Completed,1 AVENUE
saf_type,,,3.0,Successfully geocoded,Application,WEST 16 STREET
saf_type,,,1.0,Successfully geocoded,Application,FRANKLIN STREET
y,204363.459228515,1088594.0,2.0,Successfully geocoded,Completed,COOPER SQUARE
y,199995.35760498,1003845.0,1.0,Successfully geocoded,Completed,ORCHARD STREET
y,205053.009399414,1088676.0,2.0,Successfully geocoded,Completed,LAFAYETTE STREET
