pjct_name,the_geom,y
PPW and 19th St - 2022,"{'type': 'MultiPoint', 'coordinates': [[-73.98343864015386, 40.65715035278613]]}",178694.413986474
Cathedral Pkwy Connection,"{'type': 'MultiPoint', 'coordinates': [[-73.96804849371821, 40.80468369993804]]}",232446.614552721
Southern Blvd and Boston Rd (Paint),"{'type': 'MultiPoint', 'coordinates': [[-73.88776506342725, 40.837369981563334]]}",244373.693060726
Astoria Boulevard at 31st and 33rd Streets,"{'type': 'MultiPoint', 'coordinates': [[-73.91725912471465, 40.77077252710105], [-73.9165892832306, 40.77033537189986], [-73.91654279127034, 40.77044064313469]]}",220007.548551644
Water & Whitehall Streets - Pedestrian Improvement & Plaza,"{'type': 'MultiPoint', 'coordinates': [[-74.01231160786891, 40.7026865327111]]}",195284.3627619
Belmont Avenue Public Spaces,"{'type': 'MultiPoint', 'coordinates': [[-73.91041596919169, 40.66841475668825], [-73.90947503847897, 40.66856059803423], [-73.90763826491444, 40.6688314270903]]}",182879.295052389
"Grand Concourse, 140 - 150 St","{'type': 'MultiPoint', 'coordinates': [[-73.92892662929918, 40.8148979195525], [-73.92885642076193, 40.814879866306235], [-73.9287769628999, 40.81485700855378], [-73.92830143122363, 40.81655655444959], [-73.9282169900475, 40.81653564639782], [-73.92814117731503, 40.816515211920375], [-73.92695536066213, 40.81950046935073], [-73.92687781680374, 40.819478871317145], [-73.92680527451998, 40.81945675501874], [-73.92489262592156, 40.82591038883461], [-73.92481753454587, 40.82599838136645], [-73.92355728749989, 40.82544011896848], [-73.92347379178536, 40.82541321980992], [-73.92339510026291, 40.825383658314735]]}",238055.247129964
42nd St & 16th Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.98143157884938, 40.63495511582752]]}",170608.193282306
Eastern Parkway Phase II,"{'type': 'MultiPoint', 'coordinates': [[-73.96141095868343, 40.67115522905276], [-73.96138310759399, 40.671230057038876], [-73.9613369558936, 40.67135677106732], [-73.96126442088512, 40.67156359144424], [-73.95328980122108, 40.6697953126536], [-73.9532829167513, 40.669869725763746], [-73.9532701976612, 40.67000720501065], [-73.9532496674206, 40.670224888197914], [-73.95052135111237, 40.669644543641624], [-73.9505142303686, 40.6697208376641], [-73.950502275036, 40.669865351766155], [-73.95048181934956, 40.67006767890761], [-73.93944641127868, 40.66904120683642], [-73.93943917901585, 40.66911833040177], [-73.93942695601416, 40.66924868442502], [-73.93940725331049, 40.66945631496261]]}",183410.443391341
"E New York Ave, Rochester Ave, and Rutland Rd (PS 398 Capital Project)","{'type': 'MultiPoint', 'coordinates': [[-73.92940352967216, 40.66419984608562], [-73.92872204635322, 40.66449556874314], [-73.92859855456598, 40.66597053865453], [-73.92822872413463, 40.66470986495593], [-73.92613850310255, 40.66283282922046], [-73.92542335559547, 40.6632942877421]]}",181289.027071516
35th Ave & 73rd St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89304752716431, 40.75090803716883]]}",212870.804294974
"Willoughby Ave, Grand to Emerson Pl","{'type': 'MultiPoint', 'coordinates': [[-73.96374952163049, 40.69208880327706], [-73.96189910438608, 40.692300671684556]]}",191463.84005519
"University Ave, 165 St - 166 St (EC)","{'type': 'MultiPoint', 'coordinates': [[-73.93035512700553, 40.83450471070519], [-73.92925053382066, 40.83609145125825]]}",243606.710670814
"Forest Ave, South Ave to Willowbrook Rd","{'type': 'MultiPoint', 'coordinates': [[-74.16050268639219, 40.626529625581476], [-74.15667730013877, 40.62604791034225]]}",167490.120614268
"E Fordham Rd, Washington Ave to Arthur Ave","{'type': 'MultiPoint', 'coordinates': [[-73.88888651705186, 40.86038039056845], [-73.88673372131251, 40.85925544815856], [-73.88595113583364, 40.85885045491569], [-73.88513582692254, 40.85841703306795]]}",252336.991520584
W229th St and Heath Ave EC,"{'type': 'MultiPoint', 'coordinates': [[-73.90370562655016, 40.87429231401771]]}",257820.657308474
Flatbush Ave and 5th Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.97631628462348, 40.68250861214372]]}",187933.601216733
"Hillside Ave, Hollis Ct Blvd to 212 St","{'type': 'MultiPoint', 'coordinates': [[-73.7549691942904, 40.724159646572225], [-73.75409142369938, 40.7246919053387]]}",203299.721403062
Ralph Ave and E.98th St,"{'type': 'MultiPoint', 'coordinates': [[-73.92209902598404, 40.664251331760745]]}",181290.674870059
E 7th St & Church Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.97310135354246, 40.64545097564769]]}",174432.719753981
Briggs Ave & E 194 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89276014343899, 40.86502086087208]]}",254446.222128227
GCP SR N and 164th St,"{'type': 'MultiPoint', 'coordinates': [[-73.80317775021385, 40.71635124615184]]}",200323.887787804
Richmond Rd and Amboy Rd,"{'type': 'MultiPoint', 'coordinates': [[-74.12209602085467, 40.57513258696756], [-74.12172623946653, 40.57490698356032], [-74.12153729029016, 40.575153252140446]]}",148811.386044865
Pelham Parkway Ramp Crossings,"{'type': 'MultiPoint', 'coordinates': [[-73.83689271835526, 40.856686910239866], [-73.83688534783273, 40.85656338830993], [-73.83667557353928, 40.8566526625931], [-73.83462601811979, 40.85602445100735], [-73.83232100340625, 40.85573601721715], [-73.83227192388762, 40.855768354596385], [-73.83026649695573, 40.855651993775275], [-73.83022708079407, 40.85560965405468], [-73.8278017199963, 40.855989919635476], [-73.82516931272963, 40.85608133800093], [-73.82181843629263, 40.85604167665767]]}",251213.066640364
7 Ave & 57 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.00998983396313, 40.63852434391648]]}",171908.1713254
71 Ave & Kessel St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.84911981759437, 40.71329956683298]]}",199186.793605313
Broadway and Park Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.93856854791501, 40.698848135995995]]}",193891.653605059
McGuinness Blvd intersections 2022 SIP,"{'type': 'MultiPoint', 'coordinates': [[-73.95210206672611, 40.732562672830475], [-73.9520111568697, 40.732571315881074], [-73.95198319206109, 40.73185342796613], [-73.95192363292314, 40.732579573055], [-73.95189485212063, 40.73186185587492], [-73.9515906509634, 40.73045041456494], [-73.95148293082865, 40.73046418393098], [-73.95140126970297, 40.730471732677934], [-73.95073102206015, 40.728971938819065], [-73.95065874948963, 40.72899571642392], [-73.95057683361554, 40.72902983759085], [-73.95014543277834, 40.72793994588422], [-73.95007150400603, 40.72796360714123], [-73.94998946354839, 40.72799152243399], [-73.94919255737288, 40.72627635318068], [-73.94911795461132, 40.7263010572228], [-73.94902774689244, 40.726330914226715], [-73.948250348348, 40.724610909142754], [-73.94817194666808, 40.72463677342695], [-73.94808774340777, 40.724664705313025], [-73.94716939636731, 40.722764077624035], [-73.9470936121676, 40.722775128098064], [-73.94700392260003, 40.72278339855317], [-73.94657809470124, 40.7222030214469], [-73.94650025562831, 40.72220900070834], [-73.94639736733501, 40.722219939071095], [-73.94589156310329, 40.721579557174884], [-73.94579364679628, 40.721589048415034], [-73.94570613670108, 40.72159705683759], [-73.94560832187142, 40.72132551599522], [-73.94554789222695, 40.721361714937764], [-73.94549004461099, 40.721397095607074], [-73.94499614744628, 40.72077316764997], [-73.94495405054141, 40.720797901644886], [-73.94489508642505, 40.720838244193544]]}",203706.583562712
Manhattan Ave and Eckford St,"{'type': 'MultiPoint', 'coordinates': [[-73.94779409957405, 40.72034677321013]]}",201722.595620304
Briggs Ave & E Kingsbridge Rd - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89419408424614, 40.86316630789166]]}",253770.054517314
43 Ave and 108 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.85771624573013, 40.748690163012334]]}",212076.688757226
Atlantic Ave and Furman St,"{'type': 'MultiPoint', 'coordinates': [[-74.00019040381073, 40.691896446404684]]}",191352.974955395
Riverdale Ave at Pennsylvania Ave and New Jersey Ave (PS 13 Capital Project),"{'type': 'MultiPoint', 'coordinates': [[-73.89365012369458, 40.66322331160173], [-73.89266131160385, 40.6633692134432]]}",180951.184407316
Mt Hope Pl & Walton Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.90945055752988, 40.849079220972556]]}",248632.861051559
Crescent St Green Wave Concrete Islands,"{'type': 'MultiPoint', 'coordinates': [[-73.93463209012137, 40.75693975442032], [-73.93335306573674, 40.758274333931745], [-73.93054963970316, 40.76122060164501], [-73.92842541061229, 40.763415718780216]]}",216158.963401057
Vleigh Place: Ped Safety & Intersection Imp,"{'type': 'MultiPoint', 'coordinates': [[-73.82120832122501, 40.72683828879658]]}",204133.9159289
"Broadway, Flushing Ave and Graham Ave","{'type': 'MultiPoint', 'coordinates': [[-73.94220058694071, 40.70089066728331], [-73.9419307882946, 40.70072523256361]]}",194605.011266269
"Grand Ave, Goldsmith St to Seabury St (PS 13 Annex Capital Project)","{'type': 'MultiPoint', 'coordinates': [[-73.88051536847617, 40.73575217082755], [-73.8786668974105, 40.73624809328944]]}",207444.224268898
Melrose Ave & E 151st St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.91711845680439, 40.817512013694646]]}",237129.66588214
36th Ave & Vernon Blvd,"{'type': 'MultiPoint', 'coordinates': [[-73.94247180494749, 40.7619939030601]]}",216896.888762474
Belmont Ave & Pennsylvania Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89554341858889, 40.67062578731827]]}",183620.73615481
East Houston Street at Crosby Street,"{'type': 'MultiPoint', 'coordinates': [[-73.99588633211904, 40.72514837230982], [-73.99584577607533, 40.725208353764316], [-73.9957977038825, 40.72526517324256]]}",203489.150376782
Grant St & Humboldt St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.94222776544187, 40.71180063940283]]}",198609.947646141
Church Ave at Ocean Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.96100797113614, 40.65008260257056]]}",176121.410602316
Dyre Ave and Light St,"{'type': 'MultiPoint', 'coordinates': [[-73.83129242904519, 40.88781369458927]]}",262777.320295393
Irwin Ave at W232 and W238,"{'type': 'MultiPoint', 'coordinates': [[-73.90801214763401, 40.882400503907895], [-73.9031558853903, 40.88651136812962]]}",261523.112173893
"Irving Ave, Myrtle Ave, Green Ave, and Knickerbocker Ave (PS 116 and IS 383 Capital Project)","{'type': 'MultiPoint', 'coordinates': [[-73.91884978791138, 40.69875622578792], [-73.917819505617, 40.70097612255265], [-73.91711835854893, 40.69810952341327], [-73.91706784395832, 40.700548110176115], [-73.91636718409663, 40.69768088527431]]}",194029.827016377
Flatbush Ave at Church Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.95870789921476, 40.65038727335645]]}",176232.703030646
7th Ave and 55th St - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.00882481889079, 40.63964463035867]]}",172316.287307054
Myrtle Ave & Ashland Pl - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.97916718418995, 40.69348832297794]]}",191933.629305899
North Flatbush Avenue,"{'type': 'MultiPoint', 'coordinates': [[-73.97514316756832, 40.680871905291774], [-73.9743104813483, 40.679734823033904], [-73.97350883408463, 40.67863912037911], [-73.97234657499565, 40.67744733101854], [-73.97188596862959, 40.67639465275603], [-73.97104919084266, 40.675237112567636]]}",186310.98088367
E 35 St & Church Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.94477080009352, 40.65106441369156]]}",176481.534553975
Fulton Ave and E 174 St,"{'type': 'MultiPoint', 'coordinates': [[-73.89749111581318, 40.84206708905133]]}",246081.72474964
Lexington Ave and 59th St,"{'type': 'MultiPoint', 'coordinates': [[-73.96818687760135, 40.76222682091534], [-73.96772705897045, 40.76285165207214]]}",217091.962191224
Flushing Ave and Varick Ave/Irving Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.92664808403616, 40.705529223913125], [-73.92663143278942, 40.70574929657054], [-73.92608930123278, 40.70567970129066]]}",196373.36091198
Cooper Avenue & 73rd Place,"{'type': 'MultiPoint', 'coordinates': [[-73.87630303404174, 40.70443908693367], [-73.87616185757126, 40.704214708424715]]}",195905.999806017
Queens Boulevard at 71st Avenue,"{'type': 'MultiPoint', 'coordinates': [[-73.84394416534609, 40.72150446716983], [-73.84386132468744, 40.72162591393027]]}",202200.742465854
Eastern Pkwy Ped Ramps,"{'type': 'MultiPoint', 'coordinates': [[-73.96141095868343, 40.67115522905276], [-73.96138310759399, 40.671230057038876], [-73.9613369558936, 40.67135677106732], [-73.96126442088512, 40.67156359144424], [-73.95805279914094, 40.67043776565299], [-73.9580177673211, 40.67053433586136], [-73.95797317206407, 40.67065727325965], [-73.95790225165928, 40.67085404687755], [-73.95534460461124, 40.669916924647616], [-73.95532390822486, 40.669974338886995], [-73.95526963676039, 40.67012490470889], [-73.9551956291004, 40.670328896707076], [-73.92265530101152, 40.668127114549996], [-73.92263210758783, 40.668373210868616], [-73.92261354310787, 40.668564106861794]]}",183457.271892938
"S Conduit Ave, 149th Ave & 88th St","{'type': 'MultiPoint', 'coordinates': [[-73.8481004676072, 40.66983056996557], [-73.84786339322768, 40.670023268966766], [-73.84751392312688, 40.66991012822886]]}",183383.470006421
8 and 9 Ave Split LPIs 2015,"{'type': 'MultiPoint', 'coordinates': [[-73.99072636359251, 40.755950404577455], [-73.98665975610928, 40.76661598596001], [-73.98428230166073, 40.76479181541954]]}",217059.093271837
Atlantic Ave and Court Street,"{'type': 'MultiPoint', 'coordinates': [[-73.99236367034456, 40.6896901233194]]}",190549.239030063
Cropsey Ave & Bay 53 St,"{'type': 'MultiPoint', 'coordinates': [[-73.98638956796945, 40.582962287315], [-73.9863295058358, 40.58296716102301]]}",151666.492976807
Jewel Avenue & 69 Road,"{'type': 'MultiPoint', 'coordinates': [[-73.83722679492868, 40.726655669443886], [-73.83502691023142, 40.72730784812433], [-73.83170465878274, 40.72804033228318], [-73.83140452762103, 40.727597621934336]]}",204331.81374504
Plaza St Curb Extensions,"{'type': 'MultiPoint', 'coordinates': [[-73.97143919506469, 40.67370450740813], [-73.97142973352305, 40.67450136090664], [-73.96899918550947, 40.67471277593703], [-73.96871733153186, 40.673926683310945]]}",184911.189200539
White Plains Rd at Bronxdale Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.86780004798293, 40.85158929381238]]}",249562.025859892
Douglaston Pkwy,"{'type': 'MultiPoint', 'coordinates': [[-73.74726238736638, 40.76738389444563], [-73.74694845851009, 40.767420629563745], [-73.746891188232, 40.767219313290504], [-73.74681011236717, 40.767432161893886], [-73.74676763705845, 40.76726915504062], [-73.74646564586907, 40.767030630844395]]}",218923.476026006
"Northern Blvd, 223rd St to Little Neck Pkwy","{'type': 'MultiPoint', 'coordinates': [[-73.7581145203971, 40.76205389711495], [-73.75588010921783, 40.76249844743571], [-73.75432416891454, 40.7628361352207], [-73.74428214781567, 40.7653584432455], [-73.74214304227236, 40.76553058928069], [-73.74125873442318, 40.76570653804219], [-73.73549288135617, 40.77067439595512]]}",218070.124136286
Briggs Ave and E 196 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.89110890240197, 40.86703172905858]]}",255179.422761559
