the_geom,x
"{'type': 'MultiPoint', 'coordinates': [[-73.96141095868343, 40.67115522905276], [-73.96138310759399, 40.671230057038876], [-73.9613369558936, 40.67135677106732], [-73.96126442088512, 40.67156359144424], [-73.95805279914094, 40.67043776565299], [-73.9580177673211, 40.67053433586136], [-73.95797317206407, 40.67065727325965], [-73.95790225165928, 40.67085404687755], [-73.95534460461124, 40.669916924647616], [-73.95532390822486, 40.669974338886995], [-73.95526963676039, 40.67012490470889], [-73.9551956291004, 40.670328896707076], [-73.92265530101152, 40.668127114549996], [-73.92263210758783, 40.668373210868616], [-73.92261354310787, 40.668564106861794]]}",997817.438994852
"{'type': 'MultiPoint', 'coordinates': [[-73.9468051592054, 40.634058839755156]]}",999014.497689977
"{'type': 'MultiPoint', 'coordinates': [[-73.89639573000044, 40.82876287910266]]}",1012921.98595105
"{'type': 'MultiPoint', 'coordinates': [[-74.00824141600866, 40.640205012304925]]}",981962.763748884
"{'type': 'MultiPoint', 'coordinates': [[-73.96576080621512, 40.808810620142424], [-73.9639972760796, 40.80804636242188]]}",993972.531067885
"{'type': 'MultiPoint', 'coordinates': [[-74.03649125987528, 40.617989154750106], [-74.03631596952873, 40.617707851563296], [-74.03622076839676, 40.61790626721792], [-74.03617598121319, 40.61810762064332]]}",974172.039090868
"{'type': 'MultiPoint', 'coordinates': [[-73.95210206672611, 40.732562672830475], [-73.9520111568697, 40.732571315881074], [-73.95198319206109, 40.73185342796613], [-73.95192363292314, 40.732579573055], [-73.95189485212063, 40.73186185587492], [-73.9515906509634, 40.73045041456494], [-73.95148293082865, 40.73046418393098], [-73.95140126970297, 40.730471732677934], [-73.95073102206015, 40.728971938819065], [-73.95065874948963, 40.72899571642392], [-73.95057683361554, 40.72902983759085], [-73.95014543277834, 40.72793994588422], [-73.95007150400603, 40.72796360714123], [-73.94998946354839, 40.72799152243399], [-73.94919255737288, 40.72627635318068], [-73.94911795461132, 40.7263010572228], [-73.94902774689244, 40.726330914226715], [-73.948250348348, 40.724610909142754], [-73.94817194666808, 40.72463677342695], [-73.94808774340777, 40.724664705313025], [-73.94716939636731, 40.722764077624035], [-73.9470936121676, 40.722775128098064], [-73.94700392260003, 40.72278339855317], [-73.94657809470124, 40.7222030214469], [-73.94650025562831, 40.72220900070834], [-73.94639736733501, 40.722219939071095], [-73.94589156310329, 40.721579557174884], [-73.94579364679628, 40.721589048415034], [-73.94570613670108, 40.72159705683759], [-73.94560832187142, 40.72132551599522], [-73.94554789222695, 40.721361714937764], [-73.94549004461099, 40.721397095607074], [-73.94499614744628, 40.72077316764997], [-73.94495405054141, 40.720797901644886], [-73.94489508642505, 40.720838244193544]]}",998520.229162199
"{'type': 'MultiPoint', 'coordinates': [[-73.97592984745833, 40.79552653871181]]}",990914.628391057
"{'type': 'MultiPoint', 'coordinates': [[-73.7956315777905, 40.587844251633705]]}",1041012.72537313
"{'type': 'MultiPoint', 'coordinates': [[-73.9266194899858, 40.864524293586996], [-73.92537318271859, 40.86258081435326]]}",1004719.45642439
"{'type': 'MultiPoint', 'coordinates': [[-73.97143919506469, 40.67370450740813], [-73.97142973352305, 40.67450136090664], [-73.96899918550947, 40.67471277593703], [-73.96871733153186, 40.673926683310945]]}",992531.043055199
"{'type': 'MultiPoint', 'coordinates': [[-73.86780004798293, 40.85158929381238]]}",1020823.14764214
"{'type': 'MultiPoint', 'coordinates': [[-73.9684800443029, 40.709192561008884], [-73.96713606914794, 40.71392544730036], [-73.96677494634712, 40.71473381293576]]}",993269.980854442
"{'type': 'MultiPoint', 'coordinates': [[-73.97404958631094, 40.730995071562255], [-73.9739884565005, 40.730967962372176]]}",991450.679320261
"{'type': 'MultiPoint', 'coordinates': [[-73.92940352967216, 40.66419984608562], [-73.92872204635322, 40.66449556874314], [-73.92859855456598, 40.66597053865453], [-73.92822872413463, 40.66470986495593], [-73.92613850310255, 40.66283282922046], [-73.92542335559547, 40.6632942877421]]}",1004293.60425772
"{'type': 'MultiPoint', 'coordinates': [[-73.95752338629141, 40.821143383049275]]}",996006.547997221
"{'type': 'MultiPoint', 'coordinates': [[-73.94779409957405, 40.72034677321013]]}",998721.276491642
"{'type': 'MultiPoint', 'coordinates': [[-73.93856854791501, 40.698848135995995]]}",1001284.05679914
"{'type': 'MultiPoint', 'coordinates': [[-73.90346878174711, 40.67574418010353], [-73.90258111730782, 40.67553878080434]]}",1011149.14156368
"{'type': 'MultiPoint', 'coordinates': [[-73.93638662011578, 40.653445174700245], [-73.93253906001559, 40.65368408056275]]}",1002434.85256184
"{'type': 'MultiPoint', 'coordinates': [[-73.74726238736638, 40.76738389444563], [-73.74694845851009, 40.767420629563745], [-73.746891188232, 40.767219313290504], [-73.74681011236717, 40.767432161893886], [-73.74676763705845, 40.76726915504062], [-73.74646564586907, 40.767030630844395]]}",1054370.59481876
"{'type': 'MultiPoint', 'coordinates': [[-73.80317775021385, 40.71635124615184]]}",1038811.60510348
"{'type': 'MultiPoint', 'coordinates': [[-73.76790662676355, 40.656363114897914], [-73.76780548748066, 40.65580728088967], [-73.76770653518176, 40.65573088808405], [-73.7674486670484, 40.65613866281302], [-73.7673964279579, 40.65611456732856], [-73.76736259589075, 40.65624410175302], [-73.76735274336549, 40.6561601263401], [-73.7673283006701, 40.65608260515692], [-73.76730534011332, 40.656214106679684], [-73.76721845654711, 40.65617274108808], [-73.76687597706156, 40.65582998490356]]}",1048780.1877969
"{'type': 'MultiPoint', 'coordinates': [[-73.71563756114018, 40.73576223730331]]}",1063055.81776981
"{'type': 'MultiPoint', 'coordinates': [[-73.98544810530942, 40.778475661857726]]}",988280.211743891
"{'type': 'MultiPoint', 'coordinates': [[-73.98638956796945, 40.582962287315], [-73.9863295058358, 40.58296716102301]]}",988038.87856514
"{'type': 'MultiPoint', 'coordinates': [[-73.91711845680439, 40.817512013694646]]}",1007190.95082521
"{'type': 'MultiPoint', 'coordinates': [[-73.96100797113614, 40.65008260257056]]}",995069.836944133
"{'type': 'MultiPoint', 'coordinates': [[-73.93129287259, 40.642015032000764]]}",1003317.73711497
"{'type': 'MultiPoint', 'coordinates': [[-73.98842267535007, 40.607119148855766], [-73.98737795249258, 40.60812811835417], [-73.98725486974362, 40.607244188794624], [-73.98625770555498, 40.60735601773873], [-73.98533158846939, 40.60745769734079]]}",987879.379868385
"{'type': 'MultiPoint', 'coordinates': [[-73.9533701751511, 40.680640508444704]]}",997183.310407475
"{'type': 'MultiPoint', 'coordinates': [[-73.87379547269734, 40.66933097604349], [-73.87182050927116, 40.66670665927747]]}",1019534.81688547
"{'type': 'MultiPoint', 'coordinates': [[-73.89139145579604, 40.7466410037963], [-73.89036559840815, 40.74623080542652], [-73.88933070488793, 40.74578591066827], [-73.88925529154983, 40.745410560789104], [-73.88860632554503, 40.74548275898918], [-73.8883676581033, 40.74550599513285], [-73.88833190045924, 40.745364751922494], [-73.88733790772473, 40.74494063642085], [-73.88612041486117, 40.7444170087869], [-73.8853826314647, 40.74384879512539], [-73.88509442027437, 40.74397395764878], [-73.88474375903279, 40.74372544540376], [-73.88471026287716, 40.743794417772115], [-73.88387556322134, 40.74339732885527], [-73.88283144630611, 40.742888376057955], [-73.88263341492154, 40.742786975368695], [-73.88188001903225, 40.74237697841556], [-73.88100387976363, 40.74184066158258], [-73.88027765520894, 40.74129746100153], [-73.87999120488428, 40.74107026188448], [-73.87931979579812, 40.74060207958709], [-73.87910739787667, 40.740445078378194], [-73.87863239384433, 40.74005996277735], [-73.87848682283848, 40.73993390923762], [-73.87791831774199, 40.739394957206564], [-73.87755028796819, 40.736919690362654], [-73.87743058447485, 40.73860051505481], [-73.87720940668936, 40.73768045337259], [-73.87716858661481, 40.737907600008754]]}",1016600.93804648
"{'type': 'MultiPoint', 'coordinates': [[-73.89775655510732, 40.67806072014293], [-73.89772205971774, 40.678164437836465], [-73.89761600370466, 40.678111987561266], [-73.8974754520859, 40.67816325480765]]}",1012641.07353716
"{'type': 'MultiPoint', 'coordinates': [[-73.89276014343899, 40.86502086087208]]}",1013911.94427297
"{'type': 'MultiPoint', 'coordinates': [[-73.92664808403616, 40.705529223913125], [-73.92663143278942, 40.70574929657054], [-73.92608930123278, 40.70567970129066]]}",1004640.53411942
