title,committee,status,passed_date
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report on early childhood education seat availability, outreach, and staff vacancies",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report on school librarians and library access in New York city public schools",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring bird friendly materials in certain existing buildings",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a public outreach and education campaign regarding the availability and use of fentanyl test strips","Committee on Mental Health, Disabilities and Addiction",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to defining community land trusts for the provision of services in addition to housing that benefit the local community",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to gratuities for tipped employees and providing options for conferring cashless gratuities at fast-food establishments and food service establishments",Committee on Consumer and Worker Protection,Committee,
"A Local Law in relation to the naming of 109 thoroughfares and public places, Thích Nhất Hạnh Way, Borough of Manhattan,  David N. Dinkins Drive, Borough of Manhattan, School Crossing Guard Krystyna Naprawa Lane, Borough of Queens, St. Philip’s Square, Borough of Brooklyn, Don Lee Way, Borough of Brooklyn, Donna Maxil’s Way, Borough of Brooklyn, Laquai Dash Way, Borough of the Bronx, Vanessa “Vany” Pinero Way, Borough of the Bronx, Antonio Fields Way, Borough of Brooklyn, Florence M. Hall Loop, Borough of Brooklyn, Gail Fedrick Way, Borough of Brooklyn, Frank J. Provenzano “Pro Sho” Way, Borough of Staten Island, Dan Tomai Way, Borough of Staten Island, Lt. James V. Buebendorf Way, Borough of Staten Island, Freddie Castellano Way, Borough of Staten Island, Michael Ferrara’s Way, Borough of Brooklyn, Frank Tripodi Way, Borough of Brooklyn, FDNY Paramedic Peter L. Bushey Way, Borough of Brooklyn, Monnie Callan Way, Borough of Manhattan, Lawrence Harlow Kahn Way, Borough of Manhattan, Linda Carter Cooper Way, Borough of Manhattan, Pat Simon Way, Borough of Queens, Bartunek Way, Borough of Queens, Giuseppa Vendome Way, Borough of Queens, Elizabeth White Marcum Way, Borough of Queens, Senad Demiri Way, Borough of Staten Island, USAAF James F. Healy Way KIA WW2 100BG, Borough of Staten Island, Coach Bill Welsh Way, Borough of Staten Island, FDNY FF Anthony R. Iraci Way, Borough of Staten Island, Michael “Coach Mike” Colini Way, Borough of Staten Island, FDNY FF James P. McManus Way, Borough of Staten Island, Coach Bill Rogers Way 1964 LLWS Champions, Borough of Staten Island, Black Angels Way, Borough of Staten Island, FDNY Rev. Deacon Fred Fausak Way, Borough of Staten Island, Reverend Carlos R. Reyes Way, Borough of Manhattan, James Baldwin Way, Borough of the Bronx, Borough of the Bronx, Carmen Alicia Rivera Way, Borough of the Bronx, Dr. Leandro Lozada Way, Borough of the Bronx, Dr. Leandro Lozada Way, Borough of the Bronx, Jack “Giacomo” Virdone Way, Borough of Queens, Brinckerhoff Memorial Way, Borough of Queens, David Lopez Way, Borough of Brooklyn, Augie Ayala Jr. Way, Borough of Brooklyn, Dianne Jackson Way, Borough of Brooklyn, Samiya Spain Place, Borough of Brooklyn, Thomas “Citos” Rigney Way, Borough of Staten Island, Geraldine Parker Way, Borough of Staten Island, Icema “June” Williams Way, Borough of Staten Island, George Doyle Way, Borough of Staten Island, Sajda Musawwir Ladner Way, Borough of Staten Island, Naimullah Sheikh Khan Way, Staten Island, Ralph Lucci Way, Borough of Staten Island, Raymond J. Pezzoli Esq. Way, Borough of Staten Island, John C. Woodman Way, Borough of Staten Island, Vincent Gattullo Way, Borough of Staten Island, Miss Billee Duncan Way, Borough of Queens, John Killcommons Corner, Borough of Queens, Lubavitcher Rebbe Way, Borough of Brooklyn, Leroy Johnson Way, Borough of Brooklyn, Justin T. Hackley Way, Borough of Brooklyn, John H. Bunyan Way, Borough of Brooklyn, Fernande Valme Way, Borough of Brooklyn, Cathedral Prep Way, Borough of Queens, Gerard J. Neufeld Way, Borough of Queens, Rose Marie César Way, Borough of Brooklyn, Veta I. Brome Way, Borough of Queens, Perry Kokotas Place, Borough of Brooklyn, The Dorothy Turano Plaza, Borough of Brooklyn, Monsignor John Powis Way, Borough of Brooklyn, Oshaman Long Way, Borough of Brooklyn, Mrs. Clara Hayes Way, Borough of Brooklyn, Joseph “Scooter Joe” Willins Way, Borough of Brooklyn, Miriam Carter Way, Borough of Brooklyn, Miss Irene’s Way, Borough of Queens, NYPD Captain Richard McHale Way, Borough of Queens, Detective Vito Navarra Way, Borough of Queens, Antonella Mattina Way, Borough of Queens, Dick Ravitch Way, Borough of Manhattan, Ernst Jaakson Way, Borough of Manhattan, Matthew Jensen Way, Borough of Brooklyn, James Payne Way, Borough of the Bronx, Kashmir’s Way, Borough of the Bronx, Marvin E. Mayfield, Jr. Way, Borough of the Bronx, Jimi Hendrix Way, Borough of Manhattan, Jean-Michel Basquiat Way, Borough of Manhattan, Dr. Joseph I. Kramer Way, Borough of Manhattan, Isaac Freeman III aka Fatman Scoop Way, Borough of Manhattan, Edouard E. Plummer Place, Borough of Manhattan, Ernestine Eleanor Bland Williams Way, Borough of Manhattan, Dr. Maya Angelou Place, Borough of Manhattan, Franklin H. Williams Street, Borough of Manhattan, Robertus Coleman Place, Borough of Manhattan, Edwin Eddie Ellis Way, Borough of Manhattan, Bronx Halloween Parade Way, Borough of the Bronx, Hector Lavoe Way, Borough of the Bronx, Jehova Shalom Church Way, Borough of the Bronx, Eternal Rock Church, Borough of the Bronx, Alfie’s Way, Borough of Queens, Guru Tegh Bahadur Marg Ji Way, Borough of Queens, Arthur O’Meally Place, Borough of Queens, Andre (Dre. Most) Saunders Road, Borough of Queens, Charles J. Adams Jr. Way, Borough of Queens, Det. Mary ‘Mae’ Foley Way, Borough of Queens, Dr. Jose P. Rizal Way, Borough of Queens, New York Irish Center Place, Borough of Queens, Frank Carrado LIC Mayor Way, Borough of Queens, April Simpson-Taylor Way, Borough of Queens, Lai Wan “Mary” Chin Way, Borough of Brooklyn and the repeal of sections 107 and 165 of local law number 54 for the year 2022, sections 4, 33, 71 and 83 of local law number 41 for the year 2024, sections 28, 32, 47, 62 and 88 of local law 81 for the year 2024 and section 84 of local law 158 for the year 2019.",Committee on Parks and Recreation,Enacted,2025-01-18T00:00:00.000
"A Local Law to amend the New York city charter, in relation to the identification of formerly enslaved African American burial sites","Committee on Cultural Affairs, Libraries and International Intergroup Relations",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a special inspector of cybersecurity within the department of investigation",Committee on Oversight and Investigations,Committee,
A Local Law in relation to requiring a study and plan regarding the installation of tactile paving on sidewalks,Committee on Transportation and Infrastructure,Committee,
