matter_id,file_num,name,primary_sponsor
75132,Int 1171-2025,Requiring a study and recommendations on the feasibility of implementing a pilot program to provide reconsolidation of traumatic memories therapy for veterans.,Holden
72178,Int 1122-2024,Plan for expanding home access to broadband internet.,Gutiérrez
74507,Int 1089-2024,Allowing sick time to be used for the care for certain animals.,Abreu
72036,Int 1020-2024,Replacement of the individual responsible for implementing certain duties of the commissioner of investigation relating to the police department and reporting on investigations relating to the police department.,Brewer
75060,Int 1127-2024,A pilot program to convert existing basement or cellar apartments to habitable dwelling units.,Sanchez
75105,Int 1151-2024,Establishing a program that transfers liability for certain engine idling violations to lessees of vehicles.,Gennaro
74738,Int 1045-2024,Prohibiting the operation of shared electric scooter systems on certain streets in the Borough of Queens.,Ung
72198,Int 1042-2024,Reporting on training for child care inspectors.,Sanchez
75015,Int 1125-2024,Requiring the department of education to report on school librarians and library access in New York city public schools.,Restler
75068,Int 1158-2024,Establishing procedures for blood alcohol level testing of a uniformed member of the police department whose discharge of a firearm results in physical injury to or death of an individual.,Salaam
74533,Int 1055-2024,"Prohibiting discrimination on the basis of family and relationship structure in employment, housing, and public accommodations.",Hudson
71312,Int 1007-2024,Community land trust regulatory agreements for the provision of services in addition to housing that benefit the local community.,Nurse
73347,Int 1119-2024,Ability of supreme court justices in the twelfth and thirteenth judicial districts to hear objections to charter amendment petitions.,Carr
75066,Int 1143-2024,Feasibility study of zero-emission port operations.,Avilés
74820,Int 1141-2024,Requiring the installation of security cameras in parks.,Ariola
74689,Int 1083-2024,Collection and sale of organic waste and compost by community composters.,Nurse
74423,Int 1079-2024,Police department to timely retrieve stored sexual offense evidence collection kits.,Louis
75114,Int 1154-2024,Establishing a high visibility pavement marking pilot program and the repeal of this local law upon the expiration thereof.,Menin
74679,Int 1032-2024,Establishing a universal application and recertification system for the senior citizen rent increase exemption program and disability rent increase exemption program.,Marte
73642,Int 1183-2025,Requiring the dept of small business services to conduct a study on the economic impact of film and television production on local businesses and develop a plan to mitigate lost revenue attributable to filming.,Holden
74754,Int 1049-2024,Requiring sellers of petroleum products for use in motor vehicles or motor boats to disclose preauthorization holds.,Brooks-Powers
71302,Int 1182-2025,Tip Theft Prevention Act.,Hanif
74684,Int 1023-2024,"Requiring the DOC to establish, operate and maintain an online scheduling system to facilitate visits to incarcerated individuals.",Gutiérrez
72286,Int 1043-2024,Requiring the department of health and mental hygiene to create and implement a public awareness strategy to offer overdose prevention and reversal training to public health sanitarians of the department and to teaching staff of child care programs.,Sanchez
74975,Int 1105-2024,Tracking progress made towards the requirements of the streets master plan.,Brooks-Powers
75098,Int 1132-2024,Geographically targeted regulatory compliance services for small businesses.,Feliz
74796,Int 1064-2024,Requiring transparency concerning promotional opportunities.,Williams
74864,Int 1081-2024,Requiring the department of consumer and worker protection to confirm receipt of complaints related to fair work practices and to notify the person or entity under investigation of the receipt of the complaint.,Menin
