the_geom,url_report,borough,address,block
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.12325538146878, 40.628676850407686], [-74.12357012115466, 40.62855026769092], [-74.12381705023218, 40.62892517509227], [-74.12352511312119, 40.62904362839733], [-74.12350296352706, 40.62905275195169], [-74.12325538146878, 40.628676850407686]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0342.pdf,SI,752 Delafield Avenue,230
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07583998709488, 40.642850781606455], [-74.0765201471332, 40.64254697063376], [-74.07692938468588, 40.64309406161248], [-74.07624800497476, 40.643386966011455], [-74.07583998709488, 40.642850781606455]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1206.pdf,SI,12-24 Richmond Terrace,7
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01336670244824, 40.704457517081494], [-74.01324086357673, 40.70364688205541], [-74.01426689358496, 40.7036610595792], [-74.01411037866181, 40.70446667026923], [-74.01336670244824, 40.704457517081494]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0020.pdf,MN,Bowling Green,12
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99217215060945, 40.72924925908224], [-73.99222553501387, 40.72918605239852], [-73.99265552825659, 40.72939803153275], [-73.99264275760909, 40.72941304129492], [-73.99260186947731, 40.7294611051211], [-73.99236812600417, 40.72934586619209], [-73.99217215060945, 40.72924925908224]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0012.pdf,MN,432 Lafayette Street,545
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.14358232411233, 40.57174632781204], [-74.14352253933376, 40.57143938533438], [-74.14398478645033, 40.571382225034085], [-74.14406305166456, 40.57191645574083], [-74.1440617416853, 40.57193164565282], [-74.14405677842691, 40.571946557380976], [-74.14404916535669, 40.57195939131644], [-74.1440372260207, 40.57197256837321], [-74.14401555602, 40.571987562282025], [-74.1439919100789, 40.571996985309], [-74.14396907308046, 40.572001476037734], [-74.14363995402435, 40.57204220368169], [-74.14358232411233, 40.57174632781204]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2022.pdf,SI,249 Center Street,4437
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97848001478152, 40.76471477883042], [-73.97865261044319, 40.764473662251184], [-73.97871680141056, 40.76450048483572], [-73.97878282439494, 40.764528074951244], [-73.97884795572747, 40.76455528935494], [-73.97889861491407, 40.764576458689525], [-73.97872601632376, 40.76481757473249], [-73.97848001478152, 40.76471477883042]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2042.pdf,MN,130 West 57th Street,1009
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98572586544343, 40.76040689662689], [-73.98590758305681, 40.76015979261147], [-73.98621899448938, 40.76029140211769], [-73.98603742338157, 40.760538309426686], [-73.98572586544343, 40.76040689662689]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1348.pdf,MN,220-228 West 48th Street,1019
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00686689917869, 40.71776959728385], [-74.00705739191275, 40.71753172234941], [-74.00713589565764, 40.717567969342184], [-74.0070007970098, 40.717736673778234], [-74.00698665565729, 40.71775433183727], [-74.00694584686717, 40.71780528966439], [-74.00686689917869, 40.71776959728385]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2539.pdf,MN,39 Worth Street,176
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06352450610024, 40.59942615542913], [-74.06336306532856, 40.59916838351794], [-74.06368211863249, 40.59906411305552], [-74.06394239046227, 40.59943503156521], [-74.06361406987553, 40.599569160198364], [-74.06352450610024, 40.59942615542913]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2141.pdf,SI,45 McClean Avenue,3105
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.21459104548032, 40.541020922159106], [-74.2146055261155, 40.54088878198407], [-74.2148807916276, 40.54090683519356], [-74.21486167989205, 40.54125640525916], [-74.2145887573733, 40.54126375876956], [-74.21458328620574, 40.5410917254988], [-74.21459104548032, 40.541020922159106]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2414.pdf,SI,1482 Woodrow Road,7020
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8918503104993, 40.77309828115463], [-73.89184907433338, 40.773088510430846], [-73.8921543364148, 40.77304072946707], [-73.8921872845524, 40.7730146024719], [-73.8924446025472, 40.77299193954184], [-73.89244438691692, 40.77299930365903], [-73.89244333143883, 40.77303528679761], [-73.8924385101439, 40.7731997565756], [-73.89215057945857, 40.7732226474865], [-73.89186890127345, 40.77324504106477], [-73.8918503104993, 40.77309828115463]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0135.pdf,QN,78-03 19th Road,755
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84583941704598, 40.69801654387524], [-73.84572597469025, 40.69775369040446], [-73.84631992853168, 40.697602579161476], [-73.84654693952368, 40.698128567744554], [-73.84595298269193, 40.698279681051034], [-73.84583941704598, 40.69801654387524]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2317.pdf,QN,85-11 102nd Street,9183
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8082326306314, 40.7018528808732], [-73.80835050217547, 40.702104959971486], [-73.80819329190936, 40.70214786153687], [-73.80806394206465, 40.70185142362814], [-73.80821846478261, 40.701850806800316], [-73.8082326306314, 40.7018528808732]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2393.pdf,QN,146-21 Jamaica Avenue,9676
