geocoded_column,latitude,longitude,:@computed_region_efsh_h5xi,yearqtr,deed_date,council_district,:@computed_region_yeji_bk3q,price
"{'type': 'Point', 'coordinates': [-74.01863, 40.632114]}",40.632114,-74.01863,17216.0,2022Q2,2022-05-05T00:00:00.000,43.0,2.0,2850000
"{'type': 'Point', 'coordinates': [-73.978971, 40.721766]}",40.721766,-73.978971,11729.0,2019Q1,2019-01-09T00:00:00.000,2.0,4.0,14000000
"{'type': 'Point', 'coordinates': [-74.01816, 40.639731]}",40.639731,-74.01816,18180.0,2022Q3,2022-07-28T00:00:00.000,38.0,2.0,3200000
"{'type': 'Point', 'coordinates': [-73.96879, 40.62924]}",40.62924,-73.96879,13513.0,2019Q3,2019-07-18T00:00:00.000,45.0,2.0,18000000
"{'type': 'Point', 'coordinates': [-73.971019, 40.798239]}",40.798239,-73.971019,12422.0,2018Q3,2018-07-31T00:00:00.000,6.0,4.0,64500000
"{'type': 'Point', 'coordinates': [-73.907482, 40.849556]}",40.849556,-73.907482,10931.0,2021Q1,2021-03-26T00:00:00.000,14.0,5.0,6350000
"{'type': 'Point', 'coordinates': [-73.974861, 40.675362]}",40.675362,-73.974861,17619.0,2020Q2,2020-06-12T00:00:00.000,39.0,2.0,3000000
"{'type': 'Point', 'coordinates': [-74.025091, 40.636156]}",40.636156,-74.025091,18180.0,2020Q2,2020-06-11T00:00:00.000,43.0,2.0,4580000
"{'type': 'Point', 'coordinates': [-73.898515, 40.855963]}",40.855963,-73.898515,10935.0,2021Q2,2021-06-21T00:00:00.000,15.0,5.0,2200000
"{'type': 'Point', 'coordinates': [-73.940612, 40.842227]}",40.842227,-73.940612,13090.0,2021Q1,2021-03-18T00:00:00.000,10.0,4.0,3095000
"{'type': 'Point', 'coordinates': [-73.903673, 40.811703]}",40.811703,-73.903673,10933.0,2022Q3,2022-07-26T00:00:00.000,8.0,5.0,6405000
"{'type': 'Point', 'coordinates': [-73.889972, 40.849724]}",40.849724,-73.889972,10935.0,2021Q3,2021-08-26T00:00:00.000,15.0,5.0,8250000
"{'type': 'Point', 'coordinates': [-73.956189, 40.58387]}",40.58387,-73.956189,13826.0,2022Q4,2022-11-07T00:00:00.000,48.0,2.0,38925419
"{'type': 'Point', 'coordinates': [-73.996781, 40.739079]}",40.739079,-73.996781,12074.0,2018Q2,2018-04-05T00:00:00.000,3.0,4.0,41409879
"{'type': 'Point', 'coordinates': [-73.999384, 40.638365]}",40.638365,-73.999384,17621.0,2018Q4,2018-11-29T00:00:00.000,44.0,2.0,8623000
"{'type': 'Point', 'coordinates': [-73.924346, 40.862971]}",40.862971,-73.924346,13092.0,2023Q3,2023-09-13T00:00:00.000,10.0,4.0,4142000
"{'type': 'Point', 'coordinates': [-73.926199, 40.659564]}",40.659564,-73.926199,17614.0,2018Q3,2018-07-02T00:00:00.000,41.0,2.0,7210000
"{'type': 'Point', 'coordinates': [-73.938755, 40.833633]}",40.833633,-73.938755,13097.0,2022Q2,2022-04-20T00:00:00.000,10.0,4.0,26750000
"{'type': 'Point', 'coordinates': [-73.899459, 40.860292]}",40.860292,-73.899459,11606.0,2021Q4,2021-12-09T00:00:00.000,14.0,5.0,3800000
"{'type': 'Point', 'coordinates': [-73.907741, 40.701612]}",40.701612,-73.907741,15310.0,2022Q1,2022-03-01T00:00:00.000,34.0,3.0,5050000
"{'type': 'Point', 'coordinates': [-73.988492, 40.761649]}",40.761649,-73.988492,13094.0,2023Q2,2023-06-08T00:00:00.000,3.0,4.0,6600000
"{'type': 'Point', 'coordinates': [-73.983829, 40.728525]}",40.728525,-73.983829,11729.0,2021Q2,2021-04-23T00:00:00.000,2.0,4.0,9041146
"{'type': 'Point', 'coordinates': [-73.80088, 40.709895]}",40.709895,-73.80088,24340.0,2020Q3,2020-07-23T00:00:00.000,24.0,3.0,22250000
"{'type': 'Point', 'coordinates': [-73.903861, 40.866611]}",40.866611,-73.903861,11606.0,2022Q2,2022-04-12T00:00:00.000,14.0,5.0,7952000
"{'type': 'Point', 'coordinates': [-73.86109, 40.890504]}",40.890504,-73.86109,11275.0,2021Q3,2021-08-05T00:00:00.000,12.0,5.0,7275000
"{'type': 'Point', 'coordinates': [-73.832922, 40.843091]}",40.843091,-73.832922,11270.0,2021Q1,2021-03-16T00:00:00.000,13.0,5.0,4800000
"{'type': 'Point', 'coordinates': [-73.899836, 40.857608]}",40.857608,-73.899836,10936.0,2021Q3,2021-08-05T00:00:00.000,15.0,5.0,14000000
"{'type': 'Point', 'coordinates': [-73.822193, 40.756036]}",40.756036,-73.822193,14190.0,2021Q2,2021-06-30T00:00:00.000,20.0,3.0,8650000
