year,category,subsidy_program,households,individuals
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,116,360
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,11,33
FY 16,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 4,1178,1350
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),412,1277
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),1,1
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),13259,28476
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),0,0
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),138,358
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,1685,5159
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 5,121,122
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,221,553
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,656,1556
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),180,558
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,11345,27756
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 6,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,2055,7141
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SECTION 8,563,1541
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,257,643
