address,latitude,longitude,bbl,sale_price,building_class_as_of_final,community_board,tax_class_at_time_of_sale,sale_date,lot,residential_units,neighborhood
2722 EAST TREMONT AVENUE,40.84243,-73.845151,2039880034.0,288000,K1,210.0,4,2016-01-01T00:00:00.000,34,0,WESTCHESTER
29 STACK DRIVE,40.547712,-74.198331,5060177505.0,0,R3,503.0,1,2016-01-01T00:00:00.000,4085,1,ARDEN HEIGHTS
"435 EAST 65TH STREET, 8H",40.762885,-73.958075,1014600017.0,600000,D4,108.0,2,2016-01-04T00:00:00.000,17,0,UPPER EAST SIDE (59-79)
910 PARK PLACE,40.673289,-73.947861,3012417501.0,180000,R4,308.0,2,2016-01-01T00:00:00.000,1009,1,CROWN HEIGHTS
720 DECATUR ST,40.683677,-73.913924,3015070008.0,1267000,C0,316.0,1,2016-01-04T00:00:00.000,8,3,OCEAN HILL
70-26 57TH   ROAD,40.727229,-73.891672,4027980111.0,0,B2,405.0,1,2016-01-04T00:00:00.000,111,2,ELMHURST
71 STANHOPE STREET,40.696335,-73.924734,3032540063.0,0,B2,304.0,1,2016-01-04T00:00:00.000,63,2,BUSHWICK
1991 BROADWAY,40.775114,-73.982193,1011397501.0,1665000,R4,107.0,2,2016-01-04T00:00:00.000,1046,1,UPPER WEST SIDE (59-79)
136 JEFFERSON ST,40.700096,-73.930388,3031720121.0,0,B9,304.0,1,2016-01-01T00:00:00.000,121,2,BUSHWICK
310 WEST 52ND STREET,40.76374,-73.98568,1010427502.0,0,R4,104.0,2,2016-01-01T00:00:00.000,1314,1,MIDTOWN WEST
1247 CROES AVENUE,40.831044,-73.871025,2037810047.0,0,C0,209.0,1,2016-01-04T00:00:00.000,47,3,SOUNDVIEW
205 EAST 68TH STREET,40.767039,-73.962101,1014237501.0,0,R4,108.0,2,2016-01-04T00:00:00.000,1413,1,UPPER EAST SIDE (59-79)
3015 BRIGHTON 13TH STREET,40.579948,-73.95553,3087140015.0,0,D1,313.0,2,2016-01-01T00:00:00.000,15,60,BRIGHTON BEACH
