brooklyn_condominium_property_address,comparable_rental_1_full_market_value,bin,_comparable_rental_1_boro_block_lot,comparable_rental_1_year_built,brooklyn_condominium_property_neighborhood,brooklyn_condominium_property_year_built,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_1_gross_income_per_sqft,community_board,nta,comparable_rental_1_building_classification
544 5 AVENUE,2090000,3023674.0,3-01078-0016,1920,PARK SLOPE SOUTH,1925,D1-ELEVATOR,47,14.55,6.0,Park Slope-Gowanus                                                         ,D1-ELEVATOR
472 BAINBRIDGE STREET,3460000,3040847.0,3-01467-0001,1973,OCEAN HILL,1992,C1-WALK-UP,72,13.17,3.0,Stuyvesant Heights                                                         ,C1-WALK-UP
259 21 STREET,6770000,3017415.0,3-01156-0090,1930,SUNSET PARK,1904,D5-ELEVATOR,83,31.6,7.0,Sunset Park West                                                           ,D5-ELEVATOR
159 CARLTON AVENUE,937000,3251652.0,3-02073-0035,1915,FORT GREENE,1987,C1-WALK-UP,16,16.22,2.0,Fort Greene                                                                ,C1-WALK-UP
876 BEDFORD AVENUE,709000,3394735.0,3-01789-0033,1931,BEDFORD STUYVESANT,2004,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
618 DEAN STREET,1480000,3027863.0,3-01160-0032,1931,PROSPECT HEIGHTS,1930,,24,19.95,8.0,Prospect Heights                                                           ,C1-WALK-UP
401 HICKS STREET,5990000,3335989.0,3-00305-0001,1870,COBBLE HILL,2004,C7-WALK-UP,114,16.75,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,C1-WALK-UP
936 FULTON STREET,1120000,3057630.0,3-01946-0030,1905,CLINTON HILL,0,D5-ELEVATOR,15,27.1,2.0,Clinton Hill                                                               ,C1-WALK-UP
69 CARROLL STREET,2490000,3391751.0,3-00376-0023,2003,COBBLE HILL-WEST,2005,,22,23.16,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,D1-ELEVATOR
1838 WEST 13 STREET,8050000,3388770.0,3-01925-0007,1935,CLINTON HILL,2005,,90,18.84,11.0,Bensonhurst East                                                           ,D1-ELEVATOR
24 6 AVENUE,616000,,3-01131-0003,1931,PROSPECT HEIGHTS,1940,C1-WALK-UP,12,19.61,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
1 MAIN STREET,25500000,3346104.0,3-00271-0001,2003,DOWNTOWN-FULTON FERRY,1913,D6-ELEVATOR,364,24.19,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D1-ELEVATOR
176 JOHNSON STREET,7520000,3058206.0,3-00275-0001,1926,DOWNTOWN-METROTECH,1926,D3-ELEVATOR,94,23.7,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
636 PACIFIC STREET,2080000,,3-01153-0010,1930,PROSPECT HEIGHTS,1926,,35,15.97,,,C1-WALK-UP
60 TIFFANY PLACE,7520000,3388737.0,3-00275-0001,1926,COBBLE HILL-WEST,0,D3-ELEVATOR,94,23.7,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,D7-ELEVATOR
34 BUTLER PLACE,2750000,3388742.0,3-00042-0018,2002,PROSPECT HEIGHTS,2005,C1-WALK-UP,26,22.32,8.0,Prospect Heights                                                           ,D8-ELEVATOR
460 FLUSHING AVENUE,1620000,3348619.0,3-00714-0044,1906,BEDFORD STUYVESANT,0,,32,16.01,3.0,Bedford                                                                    ,C7-WALK-UP
145 PARK PLACE,4710000,3018945.0,3-00958-0007,2002,PARK SLOPE,1925,D5-ELEVATOR,25,32.8,6.0,Prospect Heights                                                           ,D1-ELEVATOR
393 DEAN STREET,2360000,3378231.0,3-00945-0019,1920,PARK SLOPE,2004,C1-WALK-UP,25,27.4,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
372 15 STREET,2200000,3350114.0,3-00965-0071,1920,PARK SLOPE SOUTH,2004,C1-WALK-UP,32,21.31,7.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
430 CLINTON AVENUE,3260000,3055968.0,3-01979-0024,1931,CLINTON HILL,1930,C1-WALK-UP,45,20.93,2.0,Clinton Hill                                                               ,D1-ELEVATOR
273 ALBANY AVENUE,885000,3388744.0,3-01281-0007,1905,CROWN HEIGHTS,1906,C1-WALK-UP,16,16.93,8.0,Crown Heights North                                                        ,C1-WALK-UP
1113 5 AVENUE,2090000,,3-01078-0016,1920,PARK SLOPE,1922,D1-ELEVATOR,47,14.55,,,D1-ELEVATOR
120 BOERUM PLACE,5550000,3341560.0,3-02310-0004,1910,BOERUM HILL,1916,C5-WALK-UP,42,26.1,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,C1-WALK-UP
52 3 AVENUE,1530000,3389079.0,3-00278-0015,1900,BOERUM HILL,2005,C7-WALK-UP,22,21.01,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,C7-WALK-UP
529 COURT STREET,3160000,3391418.0,3-00254-0013,1917,CARROLL GARDENS,2005,D1-ELEVATOR,36,27.3,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,D1-ELEVATOR
300 8 STREET,2170000,3022124.0,3-00928-0013,1920,PARK SLOPE,1914,D5-ELEVATOR,45,15.36,6.0,Park Slope-Gowanus                                                         ,D1-ELEVATOR
344 DE GRAW STREET,2490000,3348504.0,3-00376-0023,2003,CARROLL GARDENS,2000,D1-ELEVATOR,22,23.16,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,D1-ELEVATOR
163 SKILLMAN STREET,308000,3391321.0,3-01839-0011,1900,BEDFORD STUYVESANT,2003,,14,17.67,3.0,Clinton Hill                                                               ,C1-WALK-UP
64 7 AVENUE,1000000,3019673.0,3-01058-0042,1910,PARK SLOPE,1931,C1-WALK-UP,19,17.8,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
107 SKILLMAN STREET,709000,3054757.0,3-01789-0033,1931,BEDFORD STUYVESANT,2004,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
25 BERGEN STREET,3810000,3002841.0,3-00178-0016,1928,BOERUM HILL,1910,D7-ELEVATOR,60,27.2,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D1-ELEVATOR
82 SPENCER STREET,709000,3387579.0,3-01789-0033,1931,BEDFORD STUYVESANT,2003,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
937 UNION STREET,3000000,3349056.0,3-01081-0043,1920,PARK SLOPE,2003,D5-ELEVATOR,40,18.43,6.0,Park Slope-Gowanus                                                         ,D1-ELEVATOR
723 MAC DONOUGH STREET,478000,3040192.0,3-01464-0043,1910,OCEAN HILL,1910,C1-WALK-UP,13,11.54,16.0,Ocean Hill                                                                 ,C7-WALK-UP
1738 UNION STREET,1300000,3037794.0,3-01280-0022,1923,CROWN HEIGHTS,1921,C1-WALK-UP,28,15.31,9.0,Crown Heights North                                                        ,C1-WALK-UP
1206 PACIFIC STREET,1830000,3029986.0,3-01311-0038,1925,CROWN HEIGHTS,1915,,38,12.25,8.0,Crown Heights North                                                        ,C1-WALK-UP
358 COURT STREET,893000,3004582.0,3-00366-0028,1900,CARROLL GARDENS,1890,C1-WALK-UP,15,20.55,6.0,Carroll Gardens-Columbia Street-Red Hook                                   ,C7-WALK-UP
173 SMITH STREET,2980000,3006148.0,3-00254-0081,1936,BOERUM HILL,1915,D3-ELEVATOR,51,18.25,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
30 MAIN STREET,9250000,3335867.0,3-00051-0001,1914,DOWNTOWN-FULTON FERRY,1910,D5-ELEVATOR,104,18.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D5-ELEVATOR
415 CARLTON AVENUE,1920000,3251605.0,3-02045-0053,2005,FORT GREENE,0,C7-WALK-UP,26,14.99,2.0,Fort Greene                                                                ,D9-ELEVATOR
330 PROSPECT PLACE,1530000,3028863.0,3-01176-0015,1914,PROSPECT HEIGHTS,1931,C7-WALK-UP,40,12.45,8.0,Prospect Heights                                                           ,C1-WALK-UP
70 WASHINGTON STREET,9250000,3388734.0,3-00051-0001,1914,DOWNTOWN-FULTON FERRY,1916,D1-ELEVATOR,104,18.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D5-ELEVATOR
632 11 STREET,1020000,3026362.0,3-01093-0001,1920,PARK SLOPE,1921,C1-WALK-UP,16,19.26,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
387 ADELPHI STREET,937000,3329554.0,3-02073-0033,1915,FORT GREENE,0,C1-WALK-UP,16,16.22,2.0,Fort Greene                                                                ,C1-WALK-UP
99 4 AVENUE,857000,3250767.0,3-01178-0072,1912,PARK SLOPE,1986,C1-WALK-UP,24,16.7,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
145 PROSPECT PARK WEST,2200000,3026085.0,3-00965-0071,1920,PARK SLOPE,2002,C1-WALK-UP,32,21.31,6.0,Park Slope-Gowanus                                                         ,C1-WALK-UP
556 STATE STREET,6090000,3388709.0,3-00193-0050,1999,BOERUM HILL,2006,D9-ELEVATOR,46,30.2,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D9-ELEVATOR
74 SPENCER STREET,709000,3048412.0,3-01789-0033,1931,BEDFORD STUYVESANT,2003,,16,22.83,3.0,Bedford                                                                    ,C1-WALK-UP
806 WASHINGTON AVENUE,1000000,3029405.0,3-01158-0021,1931,PROSPECT HEIGHTS,1910,C1-WALK-UP,16,16.34,8.0,Prospect Heights                                                           ,C1-WALK-UP
255 EASTERN PARKWAY,1720000,3029652.0,3-01190-0001,1928,CROWN HEIGHTS,1924,D7-ELEVATOR,78,8.29,8.0,Crown Heights North                                                        ,D1-ELEVATOR
4 WATER STREET,9090000,3000078.0,3-00051-0012,2000,DOWNTOWN-FULTON FERRY,2007,D3-ELEVATOR,59,35.9,2.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,D7-ELEVATOR
