local_unrealized_gain_loss,s_and_p_quality_rating,shares_par_value,trade_country_name,minor_industry_name
90012.38,,739371.77,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11387.2,BBB,880000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
22556.92,,149768.32,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
120222.64,,448898.19,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
21550.64,,77811.61,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
103864.79,,526456.03,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
15163.15,,66579.71,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
2118.75,BBB,75000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
204514.56,,752848.27,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
24247.19,,161843.07,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
2568.75,BB,685000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
1334.02,,284039.47,UNITED STATES OF AMERICA (THE),BANK LOAN
158477.31,,559444.23,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
4250.0,B-,75000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
178813.41,,1076868.47,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
36946.3,A-,610000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
84699.22,,424839.75,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
16036.67,,303642.31,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
42133.71,BB-,687000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
6750.0,B-,225000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
11055.1,,45452.76,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
73731.99,,500052.83,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11924.45,,117202.04,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
67668.59,,296533.49,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
178076.32,,586453.5,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
15163.54,,89535.64,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
54444.06,,185841.21,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
65462.55,,397445.95,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
90453.6,,457633.23,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
76841.4,,396794.72,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
8256.05,,108441.48,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
1477.76,,96580.54,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
28348.51,,140523.99,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
31754.11,,193002.64,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
23786.65,,74009.99,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
28977.5,BBB+,125000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
4392.5,B+,154000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
36734.42,,198248.09,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
14250.0,B-,250000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
307871.34,,992782.17,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
12676.58,,71050.44,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
37129.68,,161188.73,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-2026.95,B+,345000.0,UNITED STATES OF AMERICA (THE),CANADIAN
317302.73,,1596706.54,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
8840.0,BBB,1040000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
308728.25,,1136631.06,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-51281.25,BB-,1500000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
73794.73,,453287.6,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
69443.0,BBB+,220000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
82262.17,,412888.08,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
2524.56,BBB+,134000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
