base_market_value,period_end_date,investment_type_name,asset_class,original_face,local_accrued_interest
832134.45,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,0.0
82085.36,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,66837.25,0.0
1799821.2,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,36975.0
138579.4,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,159466.45,0.0
317491.16,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,264279.73,0.0
3948362.75,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,3557996.74,0.0
892828.8,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2960.42
824417.21,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,657112.75,0.0
263166.08,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,230856.49,0.0
304500.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,3484.19
150562.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2776.04
488144.08,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,550000.0,0.0
229468.82,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,208749.97,0.0
1234272.6,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,5687.0
707778.42,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,8175.0
-1268.35,2017-06-30T00:00:00.000,FOREIGN CURRENCY,CASH,0.0,0.0
144257.34,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,142396.23,0.0
159359.4,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,157499.93,0.0
189460.4,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,490.83
829384.15,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1050000.0,0.0
889829.6,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2197.56
172325.24,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,205499.94,0.0
569120.83,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,483614.28,0.0
99362.25,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,86259.08,0.0
