the_geom,rampid,stname1,:@computed_region_f5dn_yrer,ramp_running_slope_total,geocyclora,ponding,ramp_left_flare,ramp_width,dws_conditions,obstacles_ramp,curb_reveal,lnd_length,cornerid,lnd_cross_slope
"{'type': 'Point', 'coordinates': [-73.94299703231664, 40.60037345875706]}",6031,AVENUE U,32,7.4,2018-05-10T00:00:00.000,No,60.2,44.6,Good Condition,None,0.7,60.0,1131697,-1.5
"{'type': 'Point', 'coordinates': [-73.95130304102828, 40.769970776700546]}",7899,YORK AVENUE,23,1.9,2018-04-07T00:00:00.000,No,36.4,48.4,Good Condition,None,0.9,60.0,1096788,-0.6
"{'type': 'Point', 'coordinates': [-73.82541996789466, 40.813455178467805]}",3636,ROBINSON AVENUE,43,9.1,2018-05-28T00:00:00.000,No,56.7,45.4,Missing,None,0.9,60.0,1017779,4.1
"{'type': 'Point', 'coordinates': [-73.86923101290331, 40.760926852434814]}",29038,100 STREET,65,7.8,2018-04-05T00:00:00.000,No,63.7,47.8,Missing,None,0.6,60.0,1028713,2.7
"{'type': 'Point', 'coordinates': [-74.03410532323126, 40.637391216116505]}",24500,70 STREET,10,7.9,2018-05-23T00:00:00.000,No,55.7,44.6,Missing,None,0.5,60.0,1139372,-2.8
"{'type': 'Point', 'coordinates': [-73.92019818241712, 40.80282712496286]}",1229,ST ANNS AVENUE,49,5.0,2018-03-26T00:00:00.000,No,54.1,48.3,Good Condition,None,1.1,60.0,1004514,-1.9
"{'type': 'Point', 'coordinates': [-73.99651352091944, 40.57541487590963]}",34274,MERMAID AVENUE,21,9.8,2018-05-26T00:00:00.000,No,53.0,48.3,Good Condition,None,0.8,60.0,1133958,1.9
"{'type': 'Point', 'coordinates': [-73.8794876316001, 40.66857744808876]}",12522,DUMONT AVENUE,45,12.5,2018-05-07T00:00:00.000,No,48.8,45.5,Missing,None,0.8,60.0,1116036,2.3
"{'type': 'Point', 'coordinates': [-74.1540469626609, 40.62847474295361]}",11585,NETHERLAND AVENUE,4,9.5,2018-04-09T00:00:00.000,No,45.4,49.4,Missing,None,0.4,43.5,1182164,-1.0
"{'type': 'Point', 'coordinates': [-73.84141724237688, 40.6976600503253]}",20066,107 STREET,46,8.6,2018-08-26T00:00:00.000,No,56.9,50.1,Good Condition,None,0.3,30.3,1041147,-1.7
"{'type': 'Point', 'coordinates': [-73.83810434551235, 40.68414514072443]}",35905,103 AVENUE,62,6.4,2018-04-26T00:00:00.000,Yes,88.2,45.7,Missing,None,0.5,43.8,1043956,-0.9
"{'type': 'Point', 'coordinates': [-73.88339984524936, 40.75566236531524]}",36624,84 STREET,65,5.3,2018-04-07T00:00:00.000,No,59.2,47.2,Good Condition,None,0.4,60.0,1027904,-3.5
"{'type': 'Point', 'coordinates': [-73.8418322522077, 40.8634886755487]}",13443,WOODHULL AVENUE,59,7.9,2018-05-18T00:00:00.000,No,51.2,52.6,Missing,None,0.4,36.1,1003892,0.8
"{'type': 'Point', 'coordinates': [-74.19646933177833, 40.54107539235431]}",33418,HUGUENOT AVENUE,15,10.2,2018-05-03T00:00:00.000,Yes,46.7,59.2,Good Condition,None,0.4,57.8,1157306,-5.5
"{'type': 'Point', 'coordinates': [-73.84211440971285, 40.78667077358203]}",19736,126 STREET,22,13.9,2018-04-13T00:00:00.000,No,51.6,50.1,Missing,None,1.2,56.9,1063201,-2.0
"{'type': 'Point', 'coordinates': [-73.799716087278, 40.78554602286379]}",15290,CROSS ISLAND PARKWAY,22,1.7,2018-04-26T00:00:00.000,No,62.9,51.0,Good Condition,None,0.6,12.5,1178082,3.9
"{'type': 'Point', 'coordinates': [-73.86928446133817, 40.74739011774826]}",28496,41 AVENUE,66,7.5,2018-04-07T00:00:00.000,No,58.5,46.4,Good Condition,None,0.3,60.0,1025166,-0.6
"{'type': 'Point', 'coordinates': [-73.90079597472273, 40.82020905502502]}",33821,WESTCHESTER AVENUE,8,14.6,2018-04-09T00:00:00.000,No,65.4,43.8,Good Condition,None,0.5,60.0,1183621,-2.6
"{'type': 'Point', 'coordinates': [-73.86594773511999, 40.742112107203916]}",24434,97 STREET,66,12.6,2018-04-08T00:00:00.000,No,58.8,47.8,Good Condition,None,0.5,60.0,1026862,-3.2
"{'type': 'Point', 'coordinates': [-73.80718928175881, 40.66774234994037]}",27356,132 STREET,62,9.5,2018-05-12T00:00:00.000,No,49.1,50.0,Missing,None,1.2,39.3,1046232,-3.3
"{'type': 'Point', 'coordinates': [-73.86863188669106, 40.747502514142084]}",28320,JUNCTION BOULEVARD,66,13.1,2018-04-07T00:00:00.000,Yes,57.7,49.0,Missing,None,0.5,57.5,1025181,2.2
"{'type': 'Point', 'coordinates': [-73.94368776312857, 40.82019561100499]}",13741,FREDERICK DOUGLASS BOULEVARD,18,5.6,2018-03-31T00:00:00.000,No,71.3,49.2,Good Condition,None,0.7,60.0,1093727,-0.2
"{'type': 'Point', 'coordinates': [-73.88563857145884, 40.85195315882893]}",31046,EAST 183 STREET,35,4.5,2018-04-07T00:00:00.000,No,56.9,48.7,Missing,None,1.2,60.0,1004085,1.2
"{'type': 'Point', 'coordinates': [-73.85600561236204, 40.8464992244628]}",6909,VAN NEST AVENUE,59,13.6,2018-04-11T00:00:00.000,No,47.2,48.4,Missing,None,0.7,60.0,1019540,0.6
"{'type': 'Point', 'coordinates': [-73.82437324251394, 40.75185457566692]}",10167,COLDEN STREET,22,11.4,2018-04-22T00:00:00.000,No,37.7,48.4,Good Condition,None,0.6,39.6,1056562,7.2
"{'type': 'Point', 'coordinates': [-73.964196820598, 40.77621584906011]}",17322,5 AVENUE,23,1.9,2018-09-08T00:00:00.000,No,55.5,49.2,Good Condition,None,0.6,60.0,1097236,-1.0
"{'type': 'Point', 'coordinates': [-73.95405847177753, 40.59700874776952]}",3973,AVENUE V,32,5.2,2018-05-14T00:00:00.000,No,49.7,48.3,Missing,None,0.9,58.3,1132952,-3.2
"{'type': 'Point', 'coordinates': [-73.9640115785175, 40.63937251286958]}",3175,DORCHESTER ROAD,60,6.2,2018-04-20T00:00:00.000,No,62.4,48.3,Good Condition,None,0.8,60.0,1126420,-1.4
"{'type': 'Point', 'coordinates': [-73.83016007229124, 40.84223523091036]}",19225,ZULETTE AVENUE,43,7.3,2018-05-28T00:00:00.000,No,56.6,46.7,Missing,None,0.5,60.0,1019074,-7.3
"{'type': 'Point', 'coordinates': [-73.92142177892963, 40.709046641876554]}",24526,CYPRESS AVENUE,42,2.1,2018-03-26T00:00:00.000,No,50.7,44.8,Missing,None,0.7,60.0,1173401,-4.9
"{'type': 'Point', 'coordinates': [-73.81693283200129, 40.707944078845024]}",27341,86 AVENUE,25,6.9,2018-04-15T00:00:00.000,Yes,64.1,36.4,Missing,None,0.9,60.0,1041684,-7.4
"{'type': 'Point', 'coordinates': [-73.83426708253529, 40.84006022686274]}",11510,DUDLEY AVENUE,43,2.0,2018-05-28T00:00:00.000,No,61.9,53.5,Good Condition,None,0.2,48.9,1019058,3.2
"{'type': 'Point', 'coordinates': [-73.97541214887916, 40.63332715336431]}",3039,AVENUE F,60,9.5,2018-04-21T00:00:00.000,No,60.6,51.0,Good Condition,None,0.3,60.0,1127280,1.3
"{'type': 'Point', 'coordinates': [-73.94235155305591, 40.82206409732176]}",13846,WEST 144 STREET,18,3.0,2018-04-28T00:00:00.000,No,51.2,38.4,Missing,None,0.4,60.0,1093715,0.6
"{'type': 'Point', 'coordinates': [-73.89885901526723, 40.66874664796601]}",11731,SUTTER AVENUE,45,7.0,2018-05-06T00:00:00.000,Yes,59.7,51.7,Good Condition,None,0.7,60.0,1117486,1.0
"{'type': 'Point', 'coordinates': [-74.00030416342337, 40.640815901978826]}",28631,9 AVENUE,2,5.2,2018-04-20T00:00:00.000,No,63.9,68.1,Missing,None,0.5,60.0,1128469,1.7
"{'type': 'Point', 'coordinates': [-73.98661670371848, 40.59489440452546]}",30864,26 AVENUE,21,6.2,2018-05-23T00:00:00.000,No,59.3,42.2,Missing,None,0.9,36.9,1136100,0.4
"{'type': 'Point', 'coordinates': [-73.84863424637423, 40.82101605489517]}",5360,SEWARD AVENUE,58,4.2,2018-05-22T00:00:00.000,No,56.7,46.8,Good Condition,None,0.7,60.0,1003122,-0.8
"{'type': 'Point', 'coordinates': [-73.80539988890199, 40.74992259487699]}",36434,OAK AVENUE,22,5.4,2018-04-18T00:00:00.000,No,61.7,59.6,Good Condition,None,0.6,60.0,1055693,0.5
"{'type': 'Point', 'coordinates': [-73.99423193493325, 40.72270572221968]}",25838,ELIZABETH STREET,57,5.6,2018-05-25T00:00:00.000,Yes,57.1,47.3,Good Condition,Utility access,0.4,60.0,1084882,0.6
"{'type': 'Point', 'coordinates': [-73.84637623687102, 40.69760368992516]}",20250,102 STREET,46,6.0,2018-04-24T00:00:00.000,No,59.4,42.8,Good Condition,None,0.7,60.0,1041052,-4.5
"{'type': 'Point', 'coordinates': [-73.95311099495017, 40.628617251244854]}",2924,AVENUE I,60,8.1,2018-04-22T00:00:00.000,No,51.9,54.4,Missing,None,0.6,60.0,1130090,0.5
"{'type': 'Point', 'coordinates': [-73.95480757363224, 40.70691663401585]}",22528,DIVISION AVENUE,36,7.6,2018-03-28T00:00:00.000,No,66.9,61.1,Missing,None,1.7,60.0,1105775,1.8
"{'type': 'Point', 'coordinates': [-73.90394716243446, 40.814114731098556]}",808,EAST 151 STREET,49,7.5,2018-03-25T00:00:00.000,Yes,80.5,79.7,Missing,None,0.5,60.0,1005038,3.9
"{'type': 'Point', 'coordinates': [-73.97826092023038, 40.78810740492007]}",8075,WEST 85 STREET,20,1.6,2018-08-06T00:00:00.000,No,60.5,50.3,Missing,None,0.5,60.0,1091145,-7.3
"{'type': 'Point', 'coordinates': [-73.84381478217296, 40.71299287331513]}",21802,ASCAN AVENUE,40,7.4,2018-05-10T00:00:00.000,No,69.1,57.3,Missing,None,1.2,60.0,1035350,-0.7
"{'type': 'Point', 'coordinates': [-73.91497382767952, 40.82227533314338]}",36575,EAST 158 STREET,49,1.8,2018-04-01T00:00:00.000,No,55.3,42.3,Good Condition,None,0.7,60.0,1002973,-0.2
"{'type': 'Point', 'coordinates': [-73.88828466661711, 40.848935465179345]}",30234,CROTONA AVENUE,35,3.3,2018-04-07T00:00:00.000,No,51.2,39.8,Missing,None,0.8,60.0,1009178,1.9
"{'type': 'Point', 'coordinates': [-73.83707765349494, 40.68202270915938]}",20411,104 STREET,62,4.0,2018-08-22T00:00:00.000,No,61.5,50.0,Good Condition,None,0.4,60.0,1044582,0.4
"{'type': 'Point', 'coordinates': [-73.80637555633561, 40.74040157389376]}",25368,162 STREET,22,5.8,2018-04-12T00:00:00.000,No,64.7,54.7,Missing,None,0.8,43.6,1055942,-0.8
"{'type': 'Point', 'coordinates': [-73.91370957284062, 40.80684140687001]}",473,CYPRESS AVENUE,49,9.0,2018-03-25T00:00:00.000,No,42.5,38.9,Missing,None,0.3,60.0,1004685,3.8
"{'type': 'Point', 'coordinates': [-73.98171043427523, 40.687355308528005]}",18184,SCHERMERHORN STREET,68,3.8,2018-04-24T00:00:00.000,No,60.2,55.2,Good Condition,Utility access,0.8,60.0,1107849,-1.1
"{'type': 'Point', 'coordinates': [-73.85201410129137, 40.84832827521538]}",7359,VAN NEST AVENUE,59,12.9,2018-04-11T00:00:00.000,No,54.2,42.1,Missing,None,0.4,60.0,1019665,-1.1
"{'type': 'Point', 'coordinates': [-73.95369172256798, 40.7753930440602]}",8140,2 AVENUE,23,8.8,2018-04-08T00:00:00.000,No,45.6,48.9,Good Condition,None,1.1,60.0,1096593,1.3
"{'type': 'Point', 'coordinates': [-73.92434736505164, 40.81132516225778]}",1215,ALEXANDER AVENUE,49,9.8,2018-03-25T00:00:00.000,No,61.0,52.1,Missing,None,1.1,44.8,1002883,-0.8
"{'type': 'Point', 'coordinates': [-73.93168890353064, 40.65382705461391]}",6510,EAST 49 STREET,61,7.5,2018-04-13T00:00:00.000,No,68.9,54.1,Missing,None,1.4,49.0,1119971,-0.8
"{'type': 'Point', 'coordinates': [-73.91812166236588, 40.80609196924538]}",1330,EAST 137 STREET,49,1.6,2018-03-26T00:00:00.000,No,55.8,48.4,Good Condition,None,0.9,60.0,1002871,1.2
"{'type': 'Point', 'coordinates': [-73.80289491756884, 40.727394394593965]}",24776,166 STREET,25,4.0,2018-04-17T00:00:00.000,No,71.7,49.0,Missing,None,0.9,41.2,1068155,1.5
"{'type': 'Point', 'coordinates': [-73.83871191320473, 40.68952632586516]}",32252,95 AVENUE,46,5.7,2018-04-26T00:00:00.000,No,58.1,50.1,Missing,None,0.3,60.0,1042978,-1.2
"{'type': 'Point', 'coordinates': [-73.83030269368126, 40.837665654192406]}",11860,EDISON AVENUE,43,5.7,2018-05-26T00:00:00.000,No,58.8,49.9,Missing,None,1.0,60.0,1003807,-3.8
"{'type': 'Point', 'coordinates': [-73.96208260231225, 40.64453751696153]}",2983,BEVERLEY ROAD,60,1.7,2018-04-20T00:00:00.000,No,49.0,57.1,Missing,None,0.7,60.0,1126247,-1.1
"{'type': 'Point', 'coordinates': [-74.09956706744157, 40.58017053113918]}",10389,ADAMS AVENUE,30,9.0,2018-04-06T00:00:00.000,Yes,53.3,83.9,Missing,None,0.1,60.0,1148133,1.3
"{'type': 'Point', 'coordinates': [-73.91543047846446, 40.82652390299358]}",30136,TELLER AVENUE,50,10.3,2018-03-29T00:00:00.000,No,66.1,39.5,Missing,None,0.8,60.0,1004050,4.7
"{'type': 'Point', 'coordinates': [-73.87185250043247, 40.72689981766632]}",32566,85 STREET,54,4.2,2018-05-15T00:00:00.000,No,45.1,51.5,Missing,None,0.6,60.0,1032978,-3.6
"{'type': 'Point', 'coordinates': [-73.87919332017613, 40.75845603576972]}",29337,32 AVENUE,65,6.3,2018-04-06T00:00:00.000,No,57.3,53.5,Missing,None,1.1,43.8,1027711,0.7
"{'type': 'Point', 'coordinates': [-73.87538288423026, 40.71566238893246]}",20787,78 STREET,54,6.3,2018-05-15T00:00:00.000,No,53.9,71.4,Missing,Catch Basin,0.6,9.8,1029680,-0.2
"{'type': 'Point', 'coordinates': [-73.72043608362696, 40.73152464101086]}",31522,86 AVENUE,63,6.5,2018-05-30T00:00:00.000,Yes,57.7,53.4,Missing,None,0.5,48.4,1078768,1.0
"{'type': 'Point', 'coordinates': [-73.88348836177974, 40.7055359304703]}",23044,69 PLACE,54,8.2,2018-05-10T00:00:00.000,Yes,57.4,47.1,Missing,None,0.3,60.0,1030845,1.8
"{'type': 'Point', 'coordinates': [-73.94173924571736, 40.5937434147131]}",7489,AVENUE X,32,6.3,2018-05-11T00:00:00.000,No,37.1,49.0,Good Condition,None,0.6,58.2,1131893,0.0
"{'type': 'Point', 'coordinates': [-73.8835975134888, 40.81047811446876]}",1481,OAK POINT AVENUE,8,5.0,2018-03-27T00:00:00.000,Yes,59.1,48.9,Missing,None,0.5,60.0,1003068,-1.9
