math_level_3_1,math_l3_l4_1,ell_french,grade_6,ell_korean_1,male_1,ela_l3_l4,black,ela_test_takers,ela_level_1,school_name,black_1,ell_french_1,white_1,math_level_1_1,category,ela_level_3,hispanic,ell_urdu_1,ell_urdu,asian_1,year
s,s,,,,s,s,s,6,s,P.S. 059 Beekman Hill International,s,,s,s,Attend school outside district of residence,s,s,,,s,2017-18
s,s,s,,s,53.5%,s,s,42,17,P.S. 020 Anna Silver,s,s,s,40.0%,English Language Learners,s,29,s,s,65.1%,2017-18
23.6%,78.9%,,94,,49.9%,315,25,441,44,P.S. 184m Shuang Wen,3.9%,,7.4%,7.4%,All Students,167,83,,,69.8%,2017-18
s,s,,12,,59.3%,s,s,25,s,University Neighborhood Middle School,s,,s,76.9%,Students in temporary housing,s,21,,,s,2017-18
40.4%,74.5%,,19,,76.8%,40,s,51,s,"New Explorations into Science, Technology and Math",s,,39.3%,s,Students with Disabilities,25,16,,,12.5%,2017-18
21.6%,35.3%,,,,72.6%,s,13,53,28,P.S. 002 Meyer London,11.1%,,s,45.1%,Students with Disabilities,s,32,,,59.8%,2017-18
s,s,,,,53.6%,s,14,35,14,P.S. 051 Elias Howe,16.7%,,s,60.0%,Students with Disabilities,s,52,,,s,2017-18
s,s,,59,,56.7%,34,41,164,76,University Neighborhood Middle School,23.0%,,s,74.7%,Receive free or reduced price lunch,26,116,,,10.1%,2017-18
21.7%,78.3%,,12,,50.0%,27,s,41,s,P.S. 184m Shuang Wen,s,,s,s,Students in temporary housing,13,9,,,86.8%,2017-18
30.0%,s,,,,52.3%,22,20,40,6,The Children's Workshop School,15.2%,,14.4%,s,Receive free or reduced price lunch,16,67,,,15.2%,2017-18
