grade_band,activity,description,target_population,category
Middle School,DREAM-SHSI - Implemented Specialized High Schools alumni support for first time,"DREAM-SHSI is an extracurricular program of rigorous coursework designed to assist economically disadvantaged NYC students in preparing for the Specialized High Schools Admissions Test (SHSAT). There are two DREAM programs: the Specialized High School Institute (DREAM-SHSI), which runs from the middle of grade 6 to the fall of grade 8, and the Summer/Fall Intensive, which runs during the summer and fall before students plan to take the SHSAT. All participating middle school students in DREAM-SHSI heard from and spoke to teams of recent Specialized High Schools (SHS) alumni about transitioning and persisting in SHS during three sessions in spring 2017. During the final session, parents of participating students were invited to join the alumni for an informational session about SHS.",Students from underrepresented backgrounds,Improving Diversity at the Specialized High Schools
3-K - High School,Established School Diversity Advisory Group to support diverse and inclusive schools and programs,"In June 2017, as part of the diversity plan, the DOE established a School Diversity Advisory Group, which will make formal policy recommendations to the Mayor and Chancellor, and a process for engaging community school districts in planning around diversity. The chairs of the Advisory Group are José Calderón, President of the Hispanic Federation, Maya Wiley, chair of the Civilian Complaint Review Board and Professor of Urban Policy and Management at the New School, and Hazel Dukes, President of the NAACP New York State Conference. The Advisory Group will also include city government stakeholders, local and national experts on school diversity, parents, advocates, students, and other community leaders.",Families and communities,Equity & Excellence for All
Elementary School - High School,Released Transgender and Gender Nonconforming Student Guidelines,"The DOE released updated Transgender and Gender Nonconforming Student Guidelines, which included  expanded definitions, updated language, clarification of student records policies, and more. The DOE developed guidance based on this to support schools and families as they engaged in admissions and enrollment processes.","Families of LGBT students, schools, and communities",Fostering Welcoming School Climates for All Students
"3-K, Pre-Kindergarten, Kindergarten","Finalized plans to align admissions processes for 3-K, pre-K, and Kindergarten","The DOE developed plans to switch from a ""Round 1/Round 2"" model for the pre-K application and a ""Main Round/Waitlist"" model for 3-K to a ""Main Round/Late Application"" process for both for fall 2018 admissions, which will bring them into alignment with the Kindergarten application. This greatly simplifies the application process for families participating in successive years' admissions processes.",Families and communities,Simplifying Admissions Methods and Processes
Elementary School - High School,Updated regulations to support students in temporary housing and foster care,"The DOE amended Chancellor's Regulation A-101 in January 2017 to include additional protections for students in temporary housing and students in foster care, and to implement the requirements of the Every Student Succeeds Act (ESSA).",Students in Temporary Housing,Improving Efforts to Support Students in Temporary Housing
Pre-Kindergarten - High School,Convened stakeholders to discuss ways to support LGBTQ youth of color,"In November 2016, the NYC Men Teach program, the Expanded Success Initiative, and the City University of New York, in partnership with the White House Initiative on Educational Excellence for African Americans and the Hetrick-Martin Institute, convened students, teacher-leaders, administrators, and community leaders to participate in a community forum on supporting LGBTQ youth of color in our school communities. ","LGBTQ Students of Color, Schools",Fostering Welcoming School Climates for All Students
Elementary School - High School,Expansion of Bilingual Special Education programs,"Bilingual Special Education (BSE) programs serve students who need a special class or Integrated Co-Teaching classroom with instruction in English and another language. In 2016-17, 202 BSE programs served students citywide. During 2017-18, 28 new sections will be opened, resulting in a total of 230 BSE programs citywide.",English Language Learners with disabilities,Planning for Diversity When Opening New Schools and Programs
Elementary School - High School,Supported professional development and learning opportunities focused on LGBT experiences,"Through the Lambda Literary Writers and Schools program, the DOE seeks to pair teachers with LGBT authors, provides copies of the author's book, and brings the author into the classroom. In 2016-17, the program was expanded to 40 schools. ",Schools and school communities,Fostering Welcoming School Climates for All Students
Elementary School - High School,Appointed Kimberly Shannon as DOE’s first Gender Equity Coordinator,"Kimberly Shannon was appointed to be the DOE’s first Gender Equity Coordinator in December 2016. Housed within the Office of Counseling Support Programs, Shannon's role was initially funded by the City Council, and has since been baselined by the DOE.","Families, schools, and communities",Fostering Welcoming School Climates for All Students
Elementary School - High School,Translation of teacher and principal rating information materials in 9 DOE languages,Teacher and principal evaluation rating information sheets continue to be translated into the nine official DOE languages in order to reach parents and legal guardians of students in the DOE school system who are not native-English speakers. This allows non-native English speaking parents and legal guardians the same access to these material as their native English-speaking counterparts.,Families and communities,Streamlining and Increasing Access for families to learn about school options and apply
3-K,Launched 3-K programs in districts 7 and 23,"3-K for All brings free, full-day, high-quality education to 3-year-olds in NYC. In June 2017, the DOE began the path to 3-K for All in districts 7 and 23 by launching the first 3-K application process for fall 2017 admissions. In 2017-18, the DOE will be expanding to two additional school districts for fall 2018 admissions. ",Families and communities,Equity & Excellence for All
Kindergarten,Plan to develop targeted interventions for families of Students in Temporary Housing (STH) and English Language Learners (ELL),"The DOE has partnered with social policy research organization, MDRC, to design and test interventions to improve access to Kindergarten options and to improve the application process for ELL  and STH families in order to inform future practice.","English Language Learners, Students in Temporary Housing",Improving Efforts to Support Students in Temporary Housing
Elementary School - High School,Allowed school schedule flexibility and encouraged sharing of best practices to support diverse school communities,"As part of Progressive Redesign Opportunity Schools for Excellence (PROSE), schools are allowed flexibility in how their school day is organized and encouraged to implement models of teacher inter-visitation, with many schools centering this work on the goal of meeting the needs of a diverse student body. In 2016-17, 79 schools participated in schedule flexibility, allowing leaders to tailor school structure to meet specific needs of school communities. Many schools have implemented teacher inter-visitations, encouraging the sharing of best practices in how to most effectively serve a diverse school community. Last year’s survey results show that of the schools surveyed, 76% feel that the scheduling flexibility created more opportunities for teachers to collaborate. Other benefits include: increased instructional time for students, additional time for parent engagement, and more opportunities for student advisory support.",Schools and school communities,Targeting Funding to Foster Diversity
Middle School,Moved toward eliminating revealed middle school ranking,"In 2016-17, all middle schools in District 15 implemented ""blind ranking"" for the middle school admissions process, which meant that middle schools would no longer be able to see where a student ranked them on their application. For the 2017-18 school year, districts 4, 5, 13 and 14 will also implement blind ranking. The remaining districts (1, 2, 3) will implement blind ranking for the 2018-19 school year. Blind ranking for all screened middle schools will create a more equitable process and help foster more diverse classes of qualified students by enabling families to apply to schools in their true preference order, as opposed to in a strategic manner. The DOE has been conducting trainings to support middle schools affected by this change and communicating this update to families. ",Families and communities,Increasing Access to Screened Schools
Elementary School,Implemented re-zoning with a focus on diversity,"The DOE proposed and CEC 13 approved an elementary school re-zoning in Brooklyn Heights/DUMBO/Vinegar Hill, shifting the zone lines between P.S. 8 and P.S. 307 for implementation in the 2016-17 school year. One of the goals of the rezoning was to create a more diverse P.S. 307 zone to be more aligned with the neighborhood by equalizing the demographics of P.S. 307’s zone with P.S. 8’s zone. The re-zoning resulted in less socioeconomic and racial isolation in each school's zone. ",Families and communities,Ensuring Diversity is a Factor in School Rezoning
"Elementary School, Middle School",Equity & Excellence - Algebra for All,"Through Algebra for All, by 2022, every student will have access to Algebra in 8th grade, complete Algebra no later than 9th grade, and there will be academic supports in place in elementary and middle school to build greater Algebra readiness. As of fall 2017, approximately 900 teachers across 357 elementary, middle, and high schools have received Algebra for All training to strengthen math instruction and are working to increase the amount of time they devote to math instruction. 139 elementary schools are working to “departmentalize” 5th-grade math – having their math instruction led by a specialized teacher who has received intensive training.",Families and communities,Equity & Excellence for All
High School,Created first alumni mentoring programs,"As its first efforts to connect former and current NYC public school students, the DOE created two alumni mentoring programs to provide one-on-one mentoring for high-needs high school students from lower-income backgrounds and lower-performing schools, and students of color. The programs emphasize college and career readiness and include alumni-led college tours and college application workshops.",Students from underrepresented backgrounds,Equity & Excellence for All
Elementary School - High School,Provided grant funding for schools to increase school diversity through recruitment & support of diverse learners,"The Progressive Redesign Opportunity Schools for Excellence (PROSE) used funding from the National Education Association to provide $750 mini-grants and an opportunity to apply for up to $5,000 in mini-grant funding to 10 schools who sought to increase diversity in their school communities. Many of these schools utilized this funding to provide planning time for school staff working on diversity issues, as well as to do additional recruitment and outreach to underrepresented populations through school fairs and direct communication to families. Additionally, schools also utilized this funding to better equip their schools to support diverse learners. Examples of these activities included full-day professional development and guest speakers. Of the 155 schools in the program, 10 schools received grants of up to $5,000 for this effort.",Schools and school communities,Targeting Funding to Foster Diversity
Elementary School - High School,Announced Single Stall Bathroom Initiative,"The DOE has committed to making sure every school building has a single stall bathroom available to support the privacy needs of students, including those with medical conditions and disabilities, as well as transgender and gender non-conforming students. Schools are supported with making sure the lock is accessible and signage is consistent across all schools. The DOE began implementation of this in the 2016-17 school year and will continue until all schools have a single stall bathroom. ",Schools and school communities,Fostering Welcoming School Climates for All Students
"Elementary School, Middle School",NYSED Socioeconomic Integration Pilot Program - District 9,"The purpose of the Socioeconomic Integration Pilot Program is to increase student achievement in select high poverty Priority and Focus Schools by encouraging greater socioeconomic integration or by decreasing socioeconomic isolation in these schools. Through this program, District 9 developed its innovative, project-based, Science, Technology, Engineering and Math (STEM) programs  and curricula in 2016-17. District 9 will continue to work with I.S. 117 Joseph H. Wade and Bronx Writing Academy, which are partnering with elementary and middle schools serving higher-income populations in districts 9 and 10 in the implementation of STEM activities. ",Families and communities in District 9,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
Elementary School - High School,Gender Inclusive Schools Capacity Building Training,"The DOE offered a full-day training through partnership with the Hetrick-Martin Institute. The training covered transgender terminology, DOE policies, and gave participants an opportunity to practice knowledge via role plays and case studies. 534 staff attended in 2016-17. ",Schools and school communities,Fostering Welcoming School Climates for All Students
Elementary School - High School,"Implemented diversity in admissions pilots across all grade levels, pre-Kindergarten through High School","As a result of the formal call for proposals, for the 2016-17 school year, 19 diversity in admissions pilots were implemented, including 12 elementary schools, 1 Gifted & Talented school, 4 middle schools, and 2 high schools. Applications continue to be submitted by schools on a rolling basis for consideration for the 2018-19 school year. In addition, New York City Early Education Centers (NYCEECs) have been engaged to submit proposals for the first time. ",Students from underrepresented backgrounds,Expanding Diversity in Admissions Pilots
High School,"Built a new easy-to-use online tool that lets users search New York City’s hundreds of high school choices by school name, keyword, location, size, and more ","NYC School Finder, developed by the DOE’s Office of Student Enrollment and Division of Instructional and Information Technology in collaboration with the Mayor’s Office of Technology & Innovation and Pivotal Labs, was first released in September 2016. School Finder was built to help families address the challenges of the City’s high school admissions process and identify 12 choices for their high school application, and is currently available in Spanish and English. In addition to English and Spanish, School Finder will be available in Arabic, Bengali, Chinese, French, Haitian Creole, Korean, Russian, and Urdu in fall 2017.",Families and communities,Streamlining and increasing access for families to learn about school options and apply
Middle School,"Specialized High Schools Diversity Initiative - Expand DREAM, a SHSAT preparation program, to serve additional rising 8th grade students in an Intensive program","DREAM-SHSI is an extracurricular program of rigorous coursework designed to assist economically disadvantaged NYC students in preparing for the Specialized High Schools Admissions Test (SHSAT). There are two DREAM programs: the Specialized High School Institute (DREAM-SHSI), which runs from the middle of grade 6 to the fall of grade 8, and the Summer/Fall Intensive, which runs during the summer and fall before students plan to take the SHSAT. In summer 2016, the DOE implemented the Summer/Fall Intensive for the first time, targeting the highest-performing rising 8th graders from underrepresented districts. DREAM participants who took the fall 2016 SHSAT comprised 6 percent of Black and Latino testers, but 26 percent of Black and Latino SHSAT students who received Specialized High School offers.","High performing, economically disadvantaged middle school students (22-month DREAM program) and high performing rising 8th graders from underrepresented districts (DREAM Intensive)",Improving Diversity at the Specialized High Schools
"Middle School, High School",Citywide Career and Technical Education (CTE) High School Fair,"The second annual Citywide CTE High School fair showcased industry and college partners collaborating with CTE programs in addition to a panel on ""Bright Futures: Girls in CTE”. The Special Education Office and DOE's Translations Team were in attendance with resources to support middle school families. The “Bright Futures: Girls in CTE” panel event was aimed at middle school students and their parents/guardians. The goal was to educate and inform parents, guardians and our students about the various options, both in college and careers, that open up for CTE students, especially in fields where women are underrepresented.",Female students interested in CTE,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
"Middle School, High School",Equity & Excellence - College Access for All High School,"By the 2018-19 school year, every student will have the resources and supports at their high school to graduate with an individual college and career plan. In 2016-17, 101 schools received training and funding to build a schoolwide college and career culture; additionally, the City eliminated the CUNY college application fee for low-income students and made the SAT exam available free of charge during the school day for all high school juniors. Currently, 269 high schools are receiving training and funding to build a schoolwide college and career culture.",Families and communities,Equity & Excellence for All
High School,"Specialized High Schools Diversity Initiative - Expand Discovery, a preparation program for disadvantaged rising 9th graders","In summer 2017, seven Specialized High Schools hosted a Discovery Program to give disadvantaged NYC students with demonstrated high potential the opportunity to gain admission. For the first time in several years, the Bronx High School of Science hosted a Discovery Program. Across the seven schools, over 200 students were served. In spring 2018, Stuyvesant High School will also prepare to launch a program, at which point all testing Specialized High Schools will participate in the Discovery program. ","High-performing, disadvantaged 8th graders",Improving Diversity at the Specialized High Schools
"Middle School, High School",Continued programs to mentor and support Students in Temporary Housing (STH),"The OBAMA, SIMBA, and ASET programs provide mentoring and support services to male and female students in temporary housing. They focus on identifying and supporting students who are English Language Learners, newcomers, and/or LGBTQ. The programs allow for a safe space for these students to thrive and build around their “common differences"". The programs also encourage a college-going culture through college tours, which encourages school persistence and college-readiness. ",Students in Temporary Housing,Improving Efforts to Support Students in Temporary Housing
Elementary School - High School,Prioritized Renewal School students for summer STEM and additional enrichment programs,"Students attending Renewal Schools in the 2016-17 school year were given priority enrollment in DOE Summer STEM programs for summer 2017. Renewal Schools also created additional summer enrichment programs for their students including a Summer Bridge program, SAT Prep, and CareerCLUE. Greater access to enrichment programs encouraged program diversity and combatted summer learning loss among students. Summer sites were added in Districts 9 and 27.",Students of Renewal Schools,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
3-K - High School,Issued policy statement to facilitate more diverse and inclusive schools and programs,"In June 2017, as part of the diversity plan, the DOE issued a policy statement identifying its commitment to school diversity and belief that all students benefit from diverse and inclusive classrooms. This statement provides a platform for the DOE to implement its vision of Equity and Excellence for all NYC students with a focus on diversity and inclusion.",Families and communities,Equity & Excellence for All
Gifted & Talented,Provided accessibility information for testing sites.,"In 2016-17, families continued to have the opportunity to select testing sites that met their accessibility needs.",Students with Disabilities,Increasing Access to Screened Schools
Pre-Kindergarten - High School,Foster equity-focused conversations and programs in school communities,"Through the Expanded Success Initiative (ESI), the DOE facilitated monthly open forums with school leaders, students, and community members to unpack issues related to race, gender and class. It also hosted a peer-to-peer mentorship program, serving primarily young men of color, aimed at engaging students from underserved communities in a college and career readiness mindset. Additionally, in partnership with the Center for Strategic Solutions at NYU, ESI hosted a Critically Conscious Educators Rising (CCER) Series that convened a group of like-minded educators to focus on tying theory to practice in the pursuit of equity and racial justice in their classrooms, through their peers, and beyond. Through the ESI Leadership Institute, the DOE hosted a four-part collaborative series bringing together principals and assistant principals to explore systematic bias and racism in schools and what building leaders can do to disrupt it. Administrators and leaders from over 30 schools have come together to learn how to create a roadmap towards an equity-driven school community using data and guided by a root cause analysis process.",Schools and school communities,Fostering Welcoming School Climates for All Students
Gifted & Talented,Implemented 3rd Grade G&T programs that utilized multiple measures of assessing giftedness,"Five new 3rd grade Gifted & Talented programs were offered in Districts 3, 7, 12, 16 and 23 that utilized multiple measures of achievement to identify eligible students. These measures included student grades, state test scores, and teacher recommendations. All students residing in these districts were eligible for consideration. The students enrolled in these programs were largely more reflective of their district population, contributing to the diversity of G&T enrollment overall. ","Students in Districts 3, 7, 12, 16, and 23",Increasing Access to Screened Schools
Elementary School - High School,Continued participation in the LGBT+ Advisory Council,"The LGBT+ Advisory Council met regularly with 34 community organizations and other city agencies. Members reviewed policies, created best practices, and collaboratively planned to better support LGBT issues in schools. ",Schools and school communities,Fostering Welcoming School Climates for All Students
Elementary School - High School,NYSED Socioeconomic Integration Pilot Program - District 13,"The D13 SIPP grant working group continues its planning and implementation work which includes creating a magnet program at MS 113, proposing a permissible, educationally sound, equitable districtwide choice-based socioeconomic integration policy and developing a family resource center.",Families and communities in District 13,Targeting Funding to Foster Diversity
"Elementary School, Middle School",NYSED Socioeconomic Integration Pilot Program - District 3,"The purpose of the Socioeconomic Integration Pilot Program is to increase student achievement in select high poverty Priority and Focus Schools by encouraging greater socioeconomic integration or by decreasing socioeconomic isolation in these schools. Through this program, District 3 developed its innovative, project-based, Science, Technology, Engineering and Math (STEM) programs in 2016-17. District 3 will continue to work with Frederick Douglass Academy II Secondary School, which is partnering with elementary and middle schools serving higher-income populations in district 3 in the implementation of STEM activities in the 2017-18 school year. ",Families and communities in District 3,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
"Middle School, High School",Equity & Excellence - Single Shepherd,"Single Shepherd is pairing every student in grades 6-12 in District 7 in the South Bronx and District 23 in Brownsville with a dedicated school counselor or social worker who will support them in their school on the path to graduation and college enrollment. Approximately 140 Single Shepherds are serving approximately 15,000 grade 6-12 students at all 49 middle and high schools in Districts 7 and 23.",Families and communities,Equity & Excellence for All
Elementary School - High School,Provided additional supports for students in temporary housing to participate in 3K-High School admissions processes,"Supports and interventions have been put into place to increase awareness of and access to 3K through High School admissions processes for students in temporary housing and their families. These interventions have included transportation provided to admissions events, admissions hubs for students at fairs, trainings for shelter staff, shelter-based workshops, direct outreach to pre-Kindergarten non-applicants and other opportunities for targeted admissions support. In the 2016-17 admissions cycle, 41 percent of eligible students in shelter applied for Kindergarten, up from 36 the previous year. 32 percent of 8th graders in shelter listed 12 choices on their high school application – up from 27 percent the previous year, and higher than the citywide average. In 2017-18, the DOE will expand the number of admissions hubs and offer targeted shelter-based events.
",Students in Temporary Housing,Improving Efforts to Support Students in Temporary Housing
Elementary School - High School,School redesign and new school creation to respond to student and community needs,"The DOE works with Superintendents to collaborate with each school community - staff, parents, students, and other community stakeholders- to respond to educational needs, particularly when schools are exhibiting declining academic performance. The range of redesign strategies include: Addition of new programs or services (School Redesign),  New School development, School relocation (Resiting), Grade reconfiguration (Truncation / Expansion), Consolidation and Closure. The end result is a better option for students, one whose culture reflects a single cohesive community and a higher instructional quality which leads to student achievement. These strategies are constructed with potential impacts on school diversity in mind.",Families and communities,Planning for Diversity When Opening New Schools and Programs
High School,Specialized High Schools Diversity Initiative - Leverage existing middle school after school programs to implement new Specialized High School Admissions Test preparation programs ,"In 2016-17, the DOE launched ~50 middle school Specialized High School Admissions Test (SHSAT) preparation programs, using 2 models. 1) A Capacity Building Initiative, which trained middle school teachers on the content, skills, and best pedagogical practices for teaching SHSAT preparation. ~30 schools in targeted underrepresented districts sent teachers to these trainings in January and April 2017, and were then provided with SHSAT prep materials for their students and budget allocations to pay teachers to lead prep classes for 7th graders in the spring of 2017. 2) In collaboration with the Department of Youth & Community Development, the DOE contracted with nine private test preparation vendors to offer SHSAT test preparation courses at ~20 afterschool programs in underrepresented districts in the spring of 2018.",Middle school students from underrepresented districts,Improving Diversity at the Specialized High Schools
High School,Eased the High School Admissions appeals process for high-needs students,"In 2016-17, the DOE improved the High School admissions appeals process for (1) students in temporary housing or foster care who moved or were expecting to move and (2) students requiring a different High School as a result of their gender identity, including transgender students who were transitioning. These students were able to submit formal appeals through the HS admissions process and thereby obtain new High School offers before the end of their 8th grade year. ",Students in Temporary Housing and Transgender students,Simplifying Admissions Methods and Processes
Elementary School - High School,Provided ~40 professional development opportunities for staff in all five boroughs on LGBTQ identity,"The LGBT Community Liaison, Jared Fox, conducted 39 professional development (PD) sessions reaching a total of ~1,900 individuals. Each PD session covered LGBT terminology and best practices. These sessions were at various all-staff PD sessions, superintendent meetings, as well as parent coordinator sessions. 
",Schools and school communities,Fostering Welcoming School Climates for All Students
High School,Display seat targets and demand information for both General Education and Students with Disabilities in 2018 New York City Middle and High School Directories,"All middle and high schools that participate in the DOE's centralized admissions process have seats allocated for Students with Disabilities (SWDs). This enrollment target is set in proportion to the overall percent of SWDs by borough (for High School) and by district (for Middle School). In the annual school directories, the DOE continued to provide information about seat availability and prior-year demand for each program for General Education and SWDs separately in order to highlight the fact that all schools serve SWDs.",Students with Disabilities,Increasing Access to Screened Schools
Elementary School - High School,Translation of handbooks and directories in 10 languages,"For PK-12 admissions processes, translated directories were distributed to schools, DOE offices, and community based organizations for each admissions process. Quantities of translations were customized using the available home language data by district or borough. All directories were also available online. ",English Language Learners and families with non-English home language,Streamlining and increasing access for families to learn about school options and apply
Gifted & Talented,Conducted additional outreach to populations that have participated in Gifted & Talented at lower rates than students citywide,"In addition to standard modes of outreach, OSE sent a postcard highlighting the opportunity to test for Gifted & Talented to all students citywide entering kindergarten who were eligible to take the test . The Committees on Preschool Special Education (CPSEs) also conducted additional outreach to students participating in the Turning 5 process.",Families and communities,Increasing Access to Screened Schools
"Elementary School, Middle School",Continuation of Federal Magnet school programs,"The primary purpose of magnet schools as defined in federal legislation is to assist in the desegregation of schools. In the federal Magnet Schools Assistance Program for 2016-17, the DOE implemented magnet programs at 26 elementary, PK-8 and middle schools across 11 districts. This includes magnet programs that have been in place in Districts 13, 15 and 28 since 2013, and magnets in Districts 14, 21, 22, 25, 27, 29, 30 and 32 that launched in the fall of 2016. Magnet schools offer a wide range of distinctive education programs and partnerships capable of attracting substantial numbers of students of different backgrounds.  In addition to the programs that were in place in 2016-17, the DOE received three new magnet grants for Queens, Manhattan and Bronx districts that will begin in October 2017.",Families and communities,Targeting funding to foster diversity
Pre-Kindergarten,Enabled pre-K providers to operate blended EarlyLearn and DOE funded classes,Blended classrooms are an opportunity for pre-K programs that operate with an ACS EarlyLearn contract and a DOE pre-K contract to serve these students in one classroom. This policy allows students who meet eligibility requirements based on income (EarlyLearn) and students who may not (DOE) to learn together. Three programs participated in 2016-17.,Families and communities,Planning for Diversity When Opening New Schools and Programs
Middle School,Equity & Excellence - College Access for All Middle School,"By the 2018-19 school year, every middle school student will have the opportunity to visit a college campus. In 2016-17, 171 schools across 11 districts implemented the program. In 2017-18, 355 middle schools across 22 districts will bring approximately 43,000 7th-graders to college campuses, and engage students and families in a schoolwide college and career culture.",Families and communities,Equity & Excellence for All
Middle School,Encouraged schools with school-based admissions to set targets for admitting students with disabilities,"The DOE continued to support middle schools in recruiting and supporting students with disabilities, including middle schools that currently serve lower numbers of students with disabilities.",Students with Disabilities,Increasing Access to Screened Schools
"Elementary School, Middle School",Encouraged Students in Temporary Housing (STH) to take the Gifted and Talented (G&T) and Specialized High Schools Admission (SHSAT) tests. , The DOE conducted outreach throughout the five boroughs to encourage STH to test for G&T Programs and the Specialized High Schools (SHS). Students were taken on tours of the Specialized High Schools in their respective boroughs to motivate students and expose them to SHS environments. Direct outreach and application collection was conducted at shelters for students interested in taking the G&T test. ,Students in Temporary Housing,Improving Efforts to Support Students in Temporary Housing
Elementary School - High School,Hosted conferences to support non-English speaking families,"The DOE hosted seven native language conferences in 2016-17 in Spanish, Mandarin, Bengali and Arabic for parents and their children. The conferences were held entirely in the families' native language and gave parents tools and strategies for supporting their children in school and life, as well as information about DOE and city services. The conference also included a ""Know Your Rights"" panel discussion in collaboration with the Mayor's Office of Immigrant Affairs. ",Non-English speaking families,Fostering Welcoming School Climates for All Students
