street_address,longitude,bble,isps_2,designated_telecom_utility_space,new_service_providers,fiber_connection,satellite_fixed_wireless_connection,isps_1,latitude-borough
253 BROADWAY,-74.007063,1001341001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.713265-Manhattan
117 CHRYSTIE STREET,-73.993546,1004230022.0,,"Combination of open, shared, and dedicated  space",Yes,No,No,1,40.718719-Manhattan
11 WEST 42 STREET,-73.981599,1012580021.0,"Cogent,TW Telecom,Cablevision,Verizon","Combination of open, shared, and dedicated  space",Yes,Yes,No,4,40.75379-Manhattan
1680 BROADWAY,-73.983005,1010240038.0,"Verizon,Time Warner Cable,Earthlink,Covad,Cogent,Broadview,AT&T",Common (shared) room,Yes,Yes,Yes,5 or more,40.763034-Manhattan
919 3 AVENUE,-73.968333,1013290001.0,"Verizon,Time Warner Cable,Cogent,Broadview","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.759136-Manhattan
363 HUDSON STREET,-74.007194,1005990064.0,"Verizon,Cogent,Fibernet",Dedicated room,Yes,Yes,No,2,40.72816-Manhattan
370 7 AVENUE,-73.992244,1007800036.0,"TW Telecom,AT&T,Time Warner Cable,Verizon","Combination of open, shared, and dedicated  space",Yes,Yes,No,4,40.74879-Manhattan
875 AVENUE OF THE AMERIC,,1008070039.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,nan-Manhattan
530 5 AVENUE,-73.979877,1012600034.0,"Verizon,Time Warner Cable,Lightpath","Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.754879-Manhattan
130 STUYVESANT PLACE,-74.076874,5000080070.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.642891-Staten Island
1932 ARTHUR AVENUE,-73.893294,2029470018.0,,"Combination of open, shared, and dedicated  space",,Yes,No,4,40.845685-Bronx
280 PARK AVENUE,-73.974831,1012840033.0,"Zayo,Verizon,TW Telecom,Time Warner Cable,Lightpath,Direct TV,Cogent","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.756023-Manhattan
150 West 56 Street,-73.979734,1010087503.0,"Abovenet,RCN,Teleport Communications,Verizon,Eureka",Yes,,No,No,Yes,40.764505-Manhattan
100 CENTRE STREET,-74.001425,1001670001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.716084-Manhattan
120 SCHERMERHORN STREET,-73.988923,3001690017.0,,"Combination of open, shared, and dedicated  space",Yes,No,No,2,40.690074-Brooklyn
5 EAST 52 STREET,-73.975916,1012880007.0,"Verizon,Time Warner Cable,Cablevision,AT&T",Common (shared) room,Yes,Yes,No,3,40.75964-Manhattan
485 LEXINGTON AVENUE,-73.973994,1013010023.0,"Verizon,Time Warner Cable,Lightower,Cogent,AT&T,Abovenet","Combination of open, shared, and dedicated  space",Yes,Yes,No,5 or more,40.754244-Manhattan
100 CHURCH STREET,-74.00949,1001250020.0,"RCN,Time Warner Cable,Lightower,AT&T,Verizon","Combination of open, shared, and dedicated  space",Yes,Yes,No,4,40.712968-Manhattan
330 JAY STREET,-73.987198,3001401001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.694495-Brooklyn
162 5 AVENUE,-73.990459,1008230037.0,"Verizon,Time Warner Cable,OCG",Dedicated room,Yes,Yes,No,3,40.740358-Manhattan
27 MADISON AVENUE,-73.986821,1008550001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,1,40.742232-Manhattan
560 LEXINGTON AVENUE,-73.972264,1013050013.0,"Other,Verizon,Reliance,Cogent",Common (shared) room,Yes,Yes,Yes,4,40.756651-Manhattan
3100 47 AVENUE,-73.935652,4002810001.0,"Verizon,Time Warner Cable,Eureka,AT&T",Hallway/Open Space,Yes,Yes,No,4,40.74306-Queens
45 Rockefeller Plaza,-73.978335,,"RGTS,Time Warner Cable,Verizon,Cogent,Abovenet",Dedicated room,Yes,Yes,No,5 or more,40.759204-Manhattan
250 VESEY PLACE,,1000160150.0,"Zayo,Verizon,Time Warner Cable,Lightower,AT&T",Dedicated room,Yes,Yes,No,5 or more,nan-Manhattan
1330 6 Avenue,-73.978803,1012690001.0,"XO Communications,Time Warner Cable,Verizon,AT&T,Zayo",Dedicated room,Yes,Yes,No,4,40.762103-Manhattan
16 WALKER STREET,-74.004978,1001920001.0,"Other,Zayo,XO Communications,Verizon,TW Telecom,Towerstream,Time Warner Cable,Sprint,Reliance,RCN,Rainbow Broadband,OCG,Lightpath,Lightower,Level(3),Cogent,Century Link,AT&T,Abovenet",Dedicated room,Yes,Yes,Yes,5 or more,40.719753-Manhattan
345 PARK AVENUE,-73.973246,1013060001.0,"Sprint,Zayo,AT&T,Reliance Globalcom,Verizon,Time Warner Cable,Cogent","Combination of open, shared, and dedicated  space",Yes,Yes,No,5 or more,40.758171-Manhattan
1 CENTRE STREET,-74.004181,1001210001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.713001-Manhattan
420 LEXINGTON AVENUE,-73.975464,1012800060.0,"Cogent,Cablevision,Other,Time Warner Cable,Verizon",Common (shared) room,Yes,Yes,No,5 or more,40.752262-Manhattan
259 5 AVENUE,-73.987008,1008580078.0,"Verizon FIOS,Verizon,Time Warner Cable,Lightower","Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.745059-Manhattan
474 PEARL STREET,-74.001035,1001600021.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.713353-Manhattan
112 West 34th Street,-73.988454,1008090053.0,"none,none,none,none,none","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,4,40.750063-Manhattan
