latitude,longitude,nta,primary_vacate_reason
40.663106,-73.88647799999998,East New York-New Lots,Habitability
40.751907,-73.883616,Jackson Heights,Fire Damage
40.645592,-74.002076,Sunset Park (Central),Fire Damage
40.675464,-73.909807,Ocean Hill,Habitability
40.850722,-73.918114,University Heights (South)-Morris Heights,Fire Damage
40.68877,-73.84670099999998,Woodhaven,Illegal Occupancy
40.682356,-73.912513,Ocean Hill,Habitability
40.702033,-73.94805499999998,South Williamsburg,Fire Damage
40.884307,-73.854713,Williamsbridge-Olinville,Illegal Occupancy
40.858889,-73.8991,Fordham Heights,Fire Damage
40.787959,-73.97977,Upper West Side (Central),Fire Damage
40.645631,-73.92872599999998,East Flatbush-Rugby,Illegal Occupancy
40.664391,-73.866326,East New York-City Line,Illegal Occupancy
40.828048,-73.85223,Castle Hill-Unionport,Illegal Occupancy
40.85984,-73.90418099999998,University Heights (North)-Fordham,Fire Damage
40.73675,-73.86775799999998,Elmhurst,Fire Damage
40.830441,-73.916838,Concourse-Concourse Village,Fire Damage
40.651386,-74.007478,Sunset Park (West),Fire Damage
40.862742,-73.89233,University Heights (North)-Fordham,Fire Damage
40.680877,-73.87759599999998,Cypress Hills,Fire Damage
40.73317,-74.00566499999998,West Village,Fire Damage
40.591663,-73.798964,Rockaway Beach-Arverne-Edgemere,Habitability
40.677437,-73.909408,Ocean Hill,Illegal Occupancy
40.604734,-73.75780799999998,Far Rockaway-Bayswater,Fire Damage
40.807686,-73.91950699999998,Mott Haven-Port Morris,Fire Damage
40.645912,-73.959878,Flatbush,Fire Damage
40.679499,-73.964689,Prospect Heights,Illegal Occupancy
40.85697,-73.901427,Fordham Heights,Fire Damage
40.653629,-73.731578,Rosedale,Illegal Occupancy
40.691176,-73.960457,Clinton Hill,Fire Damage
40.636715,-73.961657,Flatbush (West)-Ditmas Park-Parkville,Fire Damage
40.682452,-73.95066199999998,Bedford-Stuyvesant (West),Fire Damage
40.624779,-74.07901099999998,Tompkinsville-Stapleton-Clifton-Fox Hills,Illegal Occupancy
40.87828,-73.864113,Williamsbridge-Olinville,Illegal Occupancy
40.758723,-73.868747,East Elmhurst,Illegal Occupancy
40.846985,-73.91513,University Heights (South)-Morris Heights,Fire Damage
40.860169,-73.910269,University Heights (North)-Fordham,Fire Damage
40.800097,-73.937128,East Harlem (North),Fire Damage
40.869569,-73.859995,Allerton,Habitability
40.790661,-73.948531,East Harlem (South),Illegal Occupancy
40.870488,-73.902134,Kingsbridge Heights-Van Cortlandt Village,Fire Damage
40.654221,-73.92370699999998,East Flatbush-Rugby,Illegal Occupancy
40.666772,-73.89130199999998,East New York (North),Fire Damage
40.700882,-73.729988,Cambria Heights,Illegal Occupancy
40.64774,-73.959517,Flatbush,Habitability
40.743662,-73.883792,Elmhurst,Fire Damage
