principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
KEITH RYAN,Open,"06,07,08,09,10,11,12,SE",,12700,4,Clinton                                                                    ,MN15,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
Claire Lowenstein,Open,"0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",17700,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Philip Santos,Open,"09,10,11,12,SE",,1300,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
KELLY MCGUIRE,Open,"06,07,08,SE","LABOY, BONNIE",900,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
SAMANTHA KAPLAN,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",14402,4,Yorkville                                                                  ,MN32,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
Debra Mastriano,Open,"0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",17300,4,Upper West Side                                                            ,MN12,NY,General Academic,1898-07-01T00:00:00.000,PRINCIPAL
Caron Pinkus,Open,"09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
JOHN WENK,Open,"09,10,11,12,SE",,1800,4,Chinatown                                                                  ,MN27,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
ARACELIS CASTELLANO-FOLK,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",19500,4,Morningside Heights                                                        ,MN09,NY,General Academic,1898-07-01T00:00:00.000,PRINCIPAL
MARTHA POLIN,Open,"10,11,12",,3001,4,Chinatown                                                                  ,MN27,NY,Transfer School,1996-06-05T00:00:00.000,PRINCIPAL
Susan DiCicco,Open,"09,10,11,12,SE",,5000,4,Gramercy                                                                   ,MN21,NY,General Academic,2008-07-01T00:00:00.000,PRINCIPAL
SCOTT CONTI,Open,"09,10,11,12,SE",,1800,4,Chinatown                                                                  ,MN27,NY,General Academic,2003-07-01T00:00:00.000,PRINCIPAL
JESSICA JENKINS,Open,"06,SE","ALTSCHUL, ILENE",15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,2015-07-01T00:00:00.000,PRINCIPAL
Tara Napoleoni,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",11600,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1904-07-01T00:00:00.000,PRINCIPAL
Marlon L. Hosang,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",2601,4,Lower East Side                                                            ,MN28,NY,General Academic,1954-07-01T00:00:00.000,PRINCIPAL
CLAUDIA AGUIRRE,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",19000,4,Central Harlem South                                                       ,MN11,NY,General Academic,1990-12-04T00:00:00.000,PRINCIPAL
JESSICA ORLEANS,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",8601,4,Turtle Bay-East Midtown                                                    ,MN19,NY,General Academic,2013-07-01T00:00:00.000,PRINCIPAL
IRENE SANCHEZ,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",2601,4,Lower East Side                                                            ,MN28,NY,General Academic,1904-07-01T00:00:00.000,PRINCIPAL
ROBERT OBRIEN,Open,"0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",18300,4,Upper West Side                                                            ,MN12,NY,General Academic,1950-07-01T00:00:00.000,PRINCIPAL
Isora Bailey,Open,"09,10,11,12,SE",,3700,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,MN24,NY,General Academic,2008-07-01T00:00:00.000,PRINCIPAL
Danielle Salzberg,Open,"09,10,11,12,SE",,16900,4,Upper West Side                                                            ,MN12,NY,General Academic,2010-07-01T00:00:00.000,PRINCIPAL
Rhonda Perry,Open,"06,07,08,SE","LABOY, BONNIE",6400,4,Gramercy                                                                   ,MN21,NY,General Academic,2000-06-21T00:00:00.000,PRINCIPAL
MONICA BERRY,Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",16100,4,Upper West Side                                                            ,MN12,NY,General Academic,1955-07-01T00:00:00.000,PRINCIPAL
Rosemarie Gonzalez,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","PHILLIPS, DANIELLA",2800,4,Lower East Side                                                            ,MN28,NY,General Academic,1955-07-01T00:00:00.000,PRINCIPAL
MARK BERKOWITZ,Open,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",,2201,4,Lower East Side                                                            ,MN28,NY,General Academic,2000-07-01T00:00:00.000,PRINCIPAL
KAREN POLSONETTI,Open,"09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2009-07-01T00:00:00.000,PRINCIPAL
