pivot-metric,pivot-value,ats_system_code,location_code,location_name,:@computed_region_f5dn_yrer,location_category_description,field_support_center_name
school_support_team_leader_name,,01M345      ,M345,"Collaborative Academy of Science, Technology, & La",70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010180.0,03M180      ,M180,P.S. 180 Hugo Newman,18,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M416      ,M416,Eleanor Roosevelt High School,23,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M494      ,M494,High School of Arts and Technology,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M655      ,M655,Life Sciences Secondary School,23,Secondary School,Field Support Center - Manhattan
beds_number,310200010167.0,02M167      ,M167,J.H.S. 167 Robert F. Wagner,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,03M333      ,M333,P.S. 333 Manhattan School for Children,20,K-8,Field Support Center - Manhattan
beds_number,310200010001.0,02M001      ,M001,P.S. 001 Alfred E. Smith,70,Elementary,Field Support Center - Manhattan
beds_number,310200011394.0,02M394      ,M394,Emma Lazarus High School,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M378      ,M378,School for Global Leaders,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,01M515      ,M515,Lower East Side Preparatory High School,70,High school,Field Support Center - Manhattan
beds_number,310200010347.0,02M347      ,M347,The 47 American Sign Language & English Lower Scho,71,K-8,Field Support Center - Manhattan
beds_number,310200011303.0,02M303      ,M303,"Facing History School, The",12,High school,Affinity Group
beds_number,310300010145.0,03M145      ,M145,"P.S. 145, The Bloomingdale School",20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M208      ,M208,P.S. 208 Alain L. Locke,18,Elementary,Field Support Center - Manhattan
beds_number,310200010130.0,02M130      ,M130,P.S. 130 Hernando De Soto,57,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M839      ,M839,Tompkins Square Middle School,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M625      ,M625,High School of Graphic Communication Arts,12,High school,Field Support Center - Manhattan
beds_number,310200010343.0,02M343      ,M343,The Peck Slip School,56,Elementary,Field Support Center - Manhattan
beds_number,310300010241.0,03M241      ,M241,STEM Institute of Manhattan,18,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M859      ,M859,Special Music School,20,K-12 all grades,Field Support Center - Manhattan
beds_number,310200010059.0,02M059      ,M059,P.S. 059 Beekman Hill International,71,Elementary,Field Support Center - Manhattan
beds_number,310200010047.0,02M047      ,M047,47 The American Sign Language and English Secondar,71,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M418      ,M418,Millennium High School,56,High school,Affinity Group
school_support_team_leader_name,,02M437      ,M437,Hudson High School of Learning Technologies,12,High school,Field Support Center - Manhattan
beds_number,310300010075.0,03M075      ,M075,P.S. 075 Emily Dickinson,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M185      ,M185,P.S. 185 - The Early Childhood Discovery and Desig,18,Early Childhood,Field Support Center - Manhattan
beds_number,310200010177.0,02M177      ,M177,Yorkville East Middle School,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M575      ,M575,Manhattan Comprehensive Night and Day High School,71,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M288      ,M288,Food and Finance High School,12,High school,Field Support Center - Manhattan
beds_number,310200010212.0,02M212      ,M212,P.S. 212 Midtown West,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M180      ,M180,P.S. 180 Hugo Newman,18,K-8,Field Support Center - Manhattan
beds_number,310200011288.0,02M288      ,M288,Food and Finance High School,12,High school,Field Support Center - Manhattan
beds_number,310100010034.0,01M034      ,M034,P.S. 034 Franklin D. Roosevelt,70,K-8,Field Support Center - Manhattan
beds_number,310100010184.0,01M184      ,M184,P.S. 184m Shuang Wen,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M114      ,M114,East Side Middle School,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,01M450      ,M450,East Side Community School,70,Secondary School,Affinity Group
school_support_team_leader_name,,02M580      ,M580,Richard R. Green High School of Teaching,56,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M163      ,M163,P.S. 163 Alfred E. Smith,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M586      ,M586,Harvey Milk High School,57,High school,Field Support Center - Manhattan
beds_number,310100010019.0,01M019      ,M019,P.S. 019 Asher Levy,70,Elementary,Field Support Center - Manhattan
beds_number,310200011225.0,02M225      ,M225,Ella Baker School,23,K-8,Field Support Center - Manhattan
beds_number,310200011432.0,02M432      ,M432,Murray Hill Academy,11,High school,Field Support Center - Manhattan
beds_number,310300010054.0,03M054      ,M054,J.H.S. 054 Booker T. Washington,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M394      ,M394,Emma Lazarus High School,70,High school,Field Support Center - Manhattan
beds_number,310100010110.0,01M110      ,M110,P.S. 110 Florence Nightingale,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M541      ,M541,Manhattan / Hunter Science High School,20,High school,Affinity Group
school_support_team_leader_name,,02M533      ,M533,Union Square Academy for Health Sciences,71,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M183      ,M183,P.S. 183 Robert L. Stevenson,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M051      ,M051,P.S. 051 Elias Howe,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M630      ,M630,Art and Design High School,71,High school,Field Support Center - Manhattan
beds_number,310300010009.0,03M009      ,M009,P.S. 009 Sarah Anderson,20,Elementary,Field Support Center - Manhattan
beds_number,310300011541.0,03M541      ,M541,Manhattan / Hunter Science High School,20,High school,Affinity Group
beds_number,310400010007.0,04M007      ,M007,P.S. 007 Samuel Stern,7,K-8,Field Support Center - Manhattan
beds_number,310300010421.0,03M421      ,M421,West Prep Academy,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011459.0,02M459      ,M459,Manhattan International High School,23,High school,Affinity Group
beds_number,310200011520.0,02M520      ,M520,Murry Bergtraum High School for Business Careers,56,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M520      ,M520,Murry Bergtraum High School for Business Careers,56,High school,Field Support Center - Manhattan
beds_number,310200011393.0,02M393      ,M393,Business Of Sports School,12,High school,Affinity Group
beds_number,310200011427.0,02M427      ,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M300      ,M300,"Urban Assembly School of Design and Construction,",12,High school,Affinity Group
school_support_team_leader_name,,02M305      ,M305,"Urban Assembly Academy of Government and Law, The",70,High school,Affinity Group
beds_number,310200010051.0,02M051      ,M051,P.S. 051 Elias Howe,12,Elementary,Field Support Center - Manhattan
beds_number,310100011448.0,01M448      ,M448,University Neighborhood High School,70,High school,Field Support Center - Manhattan
beds_number,310100010064.0,01M064      ,M064,P.S. 064 Robert Simon,70,Elementary,Field Support Center - Manhattan
beds_number,310300011479.0,03M479      ,M479,Beacon High School,12,High school,Affinity Group
beds_number,310100011509.0,01M509      ,M509,Marta Valle High School,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M151      ,M151,Yorkville Community School,23,Elementary,Field Support Center - Manhattan
beds_number,310200010290.0,02M290      ,M290,P.S. 290 Manhattan New School,23,Elementary,Field Support Center - Manhattan
beds_number,310200011411.0,02M411      ,M411,Baruch College Campus High School,11,High school,Field Support Center - Manhattan
beds_number,310200011139.0,02M139      ,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,12,High school,Affinity Group
school_support_team_leader_name,,02M308      ,M308,Lower Manhattan Arts Academy,70,High school,Field Support Center - Manhattan
beds_number,310200010234.0,02M234      ,M234,P.S. 234 Independence School,56,Elementary,Field Support Center - Manhattan
beds_number,310100010142.0,01M142      ,M142,P.S. 142 Amalia Castro,70,Elementary,Field Support Center - Manhattan
beds_number,310300011485.0,03M485      ,M485,Fiorello H. LaGuardia High School of Music & Art a,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M267      ,M267,"East Side Elementary School, PS 267",23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M134      ,M134,P.S. 134 Henrietta Szold,70,Elementary,Field Support Center - Manhattan
beds_number,310200010089.0,02M089      ,M089,P.S. 89,56,Elementary,Field Support Center - Manhattan
beds_number,310100010363.0,01M363      ,M363,Neighborhood School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M001      ,M001,P.S. 001 Alfred E. Smith,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M432      ,M432,Murray Hill Academy,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M149      ,M149,P.S. 149 Sojourner Truth,18,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,04M037      ,M037,River East Elementary,7,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M422      ,M422,Quest to Learn,12,Secondary School,Affinity Group
beds_number,310300010250.0,03M250      ,M250,M.S. 250 West Side Collaborative Middle School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011600.0,02M600      ,M600,The High School of Fashion Industries,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M139      ,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,12,High school,Affinity Group
school_support_team_leader_name,,02M392      ,M392,MANHATTAN BUSINESS ACADEMY,12,High school,Field Support Center - Manhattan
beds_number,310300011299.0,03M299      ,M299,"High School for Arts, Imagination and Inquiry",20,High school,Affinity Group
beds_number,310100011458.0,01M458      ,M458,Forsyth Satellite Academy,70,High school,Affinity Group
school_support_team_leader_name,,03M485      ,M485,Fiorello H. LaGuardia High School of Music & Art a,20,High school,Field Support Center - Manhattan
beds_number,310300010208.0,03M208      ,M208,P.S. 208 Alain L. Locke,18,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M402      ,M402,The Urban Assembly School for Green Careers,20,High school,Affinity Group
school_support_team_leader_name,,03M258      ,M258,Community Action School - MS 258,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010414.0,02M414      ,M414,N.Y.C. Museum School,12,High school,Field Support Center - Manhattan
beds_number,310200010104.0,02M104      ,M104,J.H.S. 104 Simon Baruch,71,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310100011696.0,01M696      ,M696,Bard High School Early College,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M397      ,M397,Spruce Street School,56,K-8,Field Support Center - Manhattan
beds_number,310100010140.0,01M140      ,M140,P.S. 140 Nathan Straus,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M420      ,M420,High School for Health Professions and Human Servi,71,High school,Field Support Center - Manhattan
beds_number,310200011586.0,02M586      ,M586,Harvey Milk High School,57,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M217      ,M217,P.S./I.S. 217 Roosevelt Island,23,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M529      ,M529,Jacqueline Kennedy Onassis High School,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M500      ,M500,Unity Center for Urban Technologies,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M166      ,M166,P.S. 166 The Richard Rodgers School of The Arts an,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M376      ,M376,NYC iSchool,57,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M400      ,M400,High School for Environmental Studies,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M531      ,M531,Repertory Company High School for Theatre Arts,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M245      ,M245,M.S. M245 The Computer School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011438.0,02M438      ,M438,International High School at Union Square,71,High school,Affinity Group
school_support_team_leader_name,,04M050      ,M050,P.S. 050 Vito Marcantonio,7,K-8,Field Support Center - Manhattan
beds_number,310300010165.0,03M165      ,M165,P.S. 165 Robert E. Simon,20,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M419      ,M419,Landmark High School,12,High school,Affinity Group
beds_number,310300010199.0,03M199      ,M199,P.S. 199 Jessie Isador Straus,20,Elementary,Field Support Center - Manhattan
beds_number,310100010134.0,01M134      ,M134,P.S. 134 Henrietta Szold,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M110      ,M110,P.S. 110 Florence Nightingale,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M332      ,M332,University Neighborhood Middle School,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011475.0,02M475      ,M475,Stuyvesant High School,56,High school,Field Support Center - Manhattan
beds_number,310200011489.0,02M489      ,M489,High School of Economics and Finance,56,High school,Field Support Center - Manhattan
beds_number,310100010301.0,01M301      ,M301,"Technology, Arts, and Sciences Studio",70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M414      ,M414,N.Y.C. Museum School,12,High school,Field Support Center - Manhattan
beds_number,310300011492.0,03M492      ,M492,"High School for Law, Advocacy and Community Justic",20,High school,Field Support Center - Manhattan
beds_number,310300010166.0,03M166      ,M166,P.S. 166 The Richard Rodgers School of The Arts an,20,Elementary,Field Support Center - Manhattan
beds_number,310100011292.0,01M292      ,M292,Henry Street School for International Studies,70,Secondary School,Field Support Center - Manhattan
school_support_team_leader_name,,03M241      ,M241,STEM Institute of Manhattan,18,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M452      ,M452,P.S. 452,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M448      ,M448,University Neighborhood High School,70,High school,Field Support Center - Manhattan
beds_number,310200011615.0,02M615      ,M615,Chelsea Career and Technical Education High School,57,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M282      ,M282,Urban Assembly Maker Academy,56,High school,Affinity Group
school_support_team_leader_name,,02M507      ,M507,Urban Assembly Gateway School for Technology,12,High school,Affinity Group
beds_number,310200011437.0,02M437      ,M437,Hudson High School of Learning Technologies,12,High school,Field Support Center - Manhattan
beds_number,310300010258.0,03M258      ,M258,Community Action School - MS 258,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010933.0,02M933      ,M933,City Knoll Middle School,12,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010243.0,03M243      ,M243,M.S. 243 Center School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,03M417      ,M417,Frank Mccourt High School,20,High school,Affinity Group
school_support_team_leader_name,,02M198      ,M198,P.S. 198 Isador E. Ida Straus,23,Elementary,Field Support Center - Manhattan
beds_number,310100010015.0,01M015      ,M015,P.S. 015 Roberto Clemente,70,Elementary,Field Support Center - Manhattan
beds_number,310100010345.0,01M345      ,M345,"Collaborative Academy of Science, Technology, & La",70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010185.0,03M185      ,M185,P.S. 185 - The Early Childhood Discovery and Desig,18,Early Childhood,Field Support Center - Manhattan
beds_number,310200011294.0,02M294      ,M294,Essex Street Academy,70,High school,Affinity Group
beds_number,310200011575.0,02M575      ,M575,Manhattan Comprehensive Night and Day High School,71,High school,Field Support Center - Manhattan
