the_geom,distance,approx_length_flag,lot_face_length
"{'type': 'MultiLineString', 'coordinates': [[[-73.963450974997, 40.759006643031], [-73.963267172374, 40.759258926138]]]}",105.07701862,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.955773872072, 40.80556748378], [-73.956164773961, 40.805732776126]]]}",123.84571974,0,120.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.973874493206, 40.761152538785], [-73.973464518678, 40.760979847865]]]}",129.83674388,0,125.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.968793016058, 40.762021216842], [-73.96856117507, 40.761923007753]]]}",73.51974504,0,70.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951133011269, 40.808047629782], [-73.951114643058, 40.808039920254], [-73.951072494835, 40.808022220202]]]}",19.14056792,0,17.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.970997574942, 40.750628014657], [-73.971326885522, 40.750768359783]]]}",104.59263293,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965238304238, 40.760016389519], [-73.965037652361, 40.759931886585]]]}",63.5432848,0,60.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970212183633, 40.800226079258], [-73.969875734907, 40.800085422431]]]}",106.31654766,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.954171390349, 40.805804088607], [-73.953916753708, 40.805697670586]]]}",80.45270336,0,80.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950982655367, 40.807984498951], [-73.950801843705, 40.808233387494]]]}",103.57651915,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.948811747291, 40.804604710807], [-73.948992955853, 40.804357233526]]]}",103.18132917,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.94450140647, 40.823446693113], [-73.944363849545, 40.823741914521]]]}",114.09882048,0,106.83
"{'type': 'MultiLineString', 'coordinates': [[[-73.956733357707, 40.806300151438], [-73.95679124634, 40.806324628868]]]}",18.34004074,0,18.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970738101384, 40.765851193831], [-73.970814721696, 40.765883614043]]]}",24.28971992,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965110588815, 40.758766583365], [-73.965290022098, 40.758520283306]]]}",102.58383493,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.954486187555, 40.757826216053], [-73.954138240946, 40.757680630618], [-73.954131722024, 40.757677903127]]]}",112.08616211,0,102.21
"{'type': 'MultiLineString', 'coordinates': [[[-73.967012245858, 40.753843602354], [-73.966832214331, 40.754093569432]]]}",103.83566695,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.950536547194, 40.806353725837], [-73.95061343775, 40.806248480102], [-73.950648434371, 40.806200580706]]]}",63.81727926,0,60.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.959628408227, 40.757553937926], [-73.959683805789, 40.757577076076]]]}",17.51021804,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.947035324615, 40.814291067981], [-73.946855631531, 40.814537669108]]]}",102.69514562,0,99.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.965447542196, 40.757268502653], [-73.96526483468, 40.757517697654]]]}",103.94683455,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.969201922075, 40.767162828162], [-73.969147016939, 40.767139638545], [-73.969091349539, 40.767116127584], [-73.969022239823, 40.767086930622]]]}",56.93778145,0,54.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.968831907619, 40.761151545686], [-73.96861671853, 40.761060388121]]]}",68.24029979,0,66.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951511165459, 40.808868301949], [-73.951834552545, 40.809004319344]]]}",102.32336233,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965297805196, 40.755315549039], [-73.965518127264, 40.755408404308]]]}",69.7882859,0,64.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.936072965362, 40.799073313058], [-73.936027203796, 40.799135817946]]]}",26.06000082,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.923282352004, 40.790837627869], [-73.923342060883, 40.790985197713], [-73.923431201549, 40.791205504479], [-73.923531423162, 40.791453193119]]]}",234.6366575,0,213.68
"{'type': 'MultiLineString', 'coordinates': [[[-73.955043974991, 40.8013530999], [-73.955033849226, 40.801348752168], [-73.954991335373, 40.801330886857]]]}",16.6700668,0,18.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.974050175271, 40.796095064639], [-73.97380254416, 40.795993022392]]]}",77.9951866,0,75.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965352666378, 40.758546559667], [-73.965311910997, 40.758602501907], [-73.965275116152, 40.75865300959], [-73.965238211208, 40.758703667594], [-73.965202253132, 40.758753025259], [-73.965173233256, 40.758792859823]]]}",102.58383494,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.964309336183, 40.757611215646], [-73.96448600817, 40.757370291252]]]}",100.50071045,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.961871185947, 40.800360979841], [-73.961541333404, 40.800222788952]]]}",104.28328081,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946587630803, 40.813614967429], [-73.946766605359, 40.813369885477]]]}",102.11494199,0,99.92
