the_geom,direction,shape_length,lot,source,tax_lot_face_type
"{'type': 'MultiLineString', 'coordinates': [[[-73.970738101384, 40.765851193831], [-73.970814721696, 40.765883614043]]]}",299.07765457,9.77013791201674,9,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.963048954023, 40.758837959172], [-73.963004348548, 40.75889918262]]]}",28.96219685,10.27680483787882,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948791479695, 40.805093873958], [-73.948611323439, 40.805337805792]]]}",29.26735642,41.09925514314601,22,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965527152757, 40.807907752661], [-73.965609365594, 40.807941958296]]]}",298.68146929,10.443417509779326,55,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.953540127237, 40.803508796855], [-73.953472823256, 40.803480528805]]]}",118.90022721,8.568297570408399,42,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944272399074, 40.812954718163], [-73.944208550803, 40.812927871393]]]}",118.92490388,8.13078433894489,55,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962633639674, 40.759563707545], [-73.962545019296, 40.759686055207]]]}",28.82022653,20.50931795677099,28,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934190908197, 40.80696264708], [-73.934048090326, 40.806772073631]]]}",150.29833555,32.222731126500335,80,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951250520206, 40.808096968278], [-73.951201798027, 40.808076511108], [-73.951190538025, 40.808071783132]]]}",118.89300105,7.635752529642692,106,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947090029009, 40.814636267879], [-73.947043321606, 40.814616620756]]]}",118.93689601,5.948559568194703,7,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945189148591, 40.813680722669], [-73.945234202573, 40.813618896225]]]}",208.93530887,10.385081435613408,30,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.963450974997, 40.759006643031], [-73.963267172374, 40.759258926138]]]}",28.96193379,42.34754323763448,33,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945056282322, 40.813863054418], [-73.945102187435, 40.813800059225]]]}",208.93486075,10.581390235579846,33,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969157373802, 40.801761672888], [-73.969344730781, 40.801502994447]]]}",208.80758004,43.383080284535225,159,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.958365774195, 40.802140404237], [-73.958689780251, 40.802277003545]]]}",298.99474808,41.28498785338814,57,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.999461408093, 40.71846742711], [-73.999360336358, 40.718593344423]]]}",31.41318984,21.64762184275068,8,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.949774639631, 40.810876949873], [-73.949594525214, 40.81112177189]]]}",29.17119862,41.21405193929263,157,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.978013457502, 40.762919617388], [-73.977314173099, 40.762622956107]]]}",119.14469022,89.2228989727768,71,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96939073945, 40.749700450497], [-73.969439160953, 40.749634818455]]]}",209.27569265,11.048301940747226,23,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950649361512, 40.805379114745], [-73.950470034486, 40.805624030724]]]}",29.0576735,41.18095820019151,61,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947396674794, 40.815089740251], [-73.94706768301, 40.814951350592]]]}",118.93744774,41.89990233747114,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969600729456, 40.75197952285], [-73.969214843285, 40.751817997944]]]}",118.80937733,49.07810559972691,40,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.940427265147, 40.807749257829], [-73.940399560043, 40.807737554233], [-73.940373052041, 40.807726357156]]]}",119.03245183,6.91119457753152,7,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970212183633, 40.800226079258], [-73.969875734907, 40.800085422431]]]}",118.79750847,42.78537582911541,53,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934934129314, 40.797930353614], [-73.93505506942, 40.797981382257], [-73.93517285161, 40.798031078176], [-73.935225901621, 40.798053461423], [-73.935276740901, 40.798074912392], [-73.935329790057, 40.798097295591]]]}",298.99733373,50.4240524716429,35,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.930952636508, 40.796250314716], [-73.931130009296, 40.796007206656]]]}",208.96207188,40.83857357396344,11,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96063172868, 40.798778317591], [-73.960729221526, 40.79881944114], [-73.960826521295, 40.79886048233], [-73.960918688944, 40.798899359643], [-73.961009796418, 40.798937789637]]]}",299.00730174,48.17874294649104,42,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945926024026, 40.806774230445], [-73.945894003055, 40.806817751592]]]}",29.17231914,7.3262667762649825,72,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.939777420465, 40.807153599663], [-73.9398899407, 40.807200801957]]]}",298.86345685,14.320796405475518,16,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.954486187555, 40.757826216053], [-73.954138240946, 40.757680630618], [-73.954131722024, 40.757677903127]]]}",118.79188015,45.07861220465462,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935772588986, 40.79663859996], [-73.935838809954, 40.796666617096], [-73.935853177816, 40.796672695995]]]}",299.06375291,10.277070082757326,34,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965400169193, 40.753977140557], [-73.965584570088, 40.753726647917]]]}",209.21788374,42.14719372141844,5,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.953988280319, 40.809748958856], [-73.953846202167, 40.809944301792]]]}",28.89606351,32.79601667720398,110,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956693084936, 40.80543030311], [-73.956723201948, 40.805389073799]]]}",209.00443465,6.928592539795132,16,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951351207852, 40.812387767609], [-73.951598012847, 40.81214269126]]]}",217.38917145,45.32287098990341,50,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933272635518, 40.796906853067], [-73.933340191125, 40.796935488635]]]}",299.10795175,8.618875744437974,12,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948303393854, 40.806853654472], [-73.948121666181, 40.80710141421]]]}",29.09830591,41.67702154039974,51,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943060981703, 40.812940332587], [-73.943092575081, 40.812953643005], [-73.943103761362, 40.812958356273]]]}",298.97243301,5.45035224529996,143,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.974050175271, 40.796095064639], [-73.97380254416, 40.795993022392]]]}",118.45072117,31.38534481749787,3,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946447907475, 40.8138727923], [-73.946400149609, 40.813852715809]]]}",118.92108161,6.081434671455085,146,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945654601006, 40.806557869425], [-73.945838525163, 40.80630789421]]]}",209.1727774,42.08035090429019,40,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965108544003, 40.757451978899], [-73.964898185741, 40.757363525936]]]}",118.91858803,26.783023930422047,38,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.939202461923, 40.808867239215], [-73.939252320747, 40.808888224825]]]}",298.94453967,6.350707606167677,162,1,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964278705739, 40.759858307172], [-73.964598625097, 40.759993113939]]]}",298.97048305,40.753144536676096,1,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947416346232, 40.806804519633], [-73.94759807757, 40.806556761698]]]}",209.09862297,41.67684507601916,43,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96932893877, 40.752363983877], [-73.96932716548, 40.752366374541]]]}",29.40649196,0.4029679904430429,27,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956864300096, 40.805502167559], [-73.956894417033, 40.805460938204], [-73.956925181808, 40.805418820934], [-73.956957314481, 40.805374831604], [-73.956989745133, 40.80533043484], [-73.9570275577, 40.805278669979]]]}",209.00430615,37.55869193638543,12,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935035580351, 40.797651778221], [-73.934855818488, 40.797897311504]]]}",29.04799366,41.28015146712831,22,0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.979142896191, 40.755617489932], [-73.978967296184, 40.755543176132]]]}",119.08336514,22.391473918903145,1,0,0
