name,principal_officer_full_name,principal_officer_first_name,alternate_or_former_acronyms,in_org_chart,listed_in_nyc_gov_agency
Office of Intergovernmental Affairs,Tiffany Raspberry,Tiffany,IGA,True,True
Mayor's Office of Housing Recovery Operations,Rudy S. Giuliani,Rudy,,True,True
Independent Budget Office,Louisa Chafee,Louisa,,True,True
"Archives, Reference and Research Advisory Board",,,,False,False
Mayor's Office of Youth Employment,,,,False,True
Department of Environmental Protection,Rohit Aggarwala,Rohit,,True,True
Administration for Children's Services,Jess Dannhauser,Jess,,True,True
Fire Department Pension Fund and Related Funds,LeRoy McGinnis,LeRoy,,False,True
Mayor's Office of Speechwriting,Marjorie Sweeney,Marjorie,,True,True
Staten Island Children's Museum,Dina Rosenthal,Dina,,False,False
First Deputy Mayor,Randy Mastro,Randy,,True,True
Office of Labor Relations,Renee Campion,Renee,,True,True
Carnegie Hall,Sir Clive Gillinson,Clive,,False,False
Business Integrity Commission,Elizabeth Crotty,Elizabeth,,True,True
Mayor's Community Affairs Unit,Fred Kreizman,Fred,,True,True
Deputy Mayor for Communications,Fabien Levy,Fabien,,True,True
Office of Administrative Trials and Hearings,Asim Rehman,Asim,,True,True
Mayor's Office of Citywide Events Coordination and Management,Dawn Tolson,Dawn,,True,True
Chief Counsel to the Mayor and City Hall,Allison Stoddart,Allison,,True,True
Civil Service Commission,Amanda M. Wismans,Amanda,,False,True
Office of Payroll Administration,Neil Matthew,Neil,,True,True
Queens Theatre in the Park,Taryn Sacramone,Taryn,,False,False
Mayor's Advance Team,,,,True,False
Mayor's Office of Correspondence,Dawn Baskerville,Dawn,,True,True
MoMA PS1,Connie Butler,Connie,,False,False
Mayor's Office of Strategic Partnerships,,,,False,True
Department of Homeless Services,Joslyn Carter,Joslyn,,True,True
Nonprofit Advisory Council,,,,False,False
Office of Scheduling and Executive Operations,,,,True,False
School Construction Authority,Nina Kubota,Nina,,True,True
Office of the Public Realm,Ya-Ting Liu,Ya-Ting,,False,True
Prospect Park Alliance,Morgan Monaco,Morgan,,False,False
Mayor's Office of Minority and Women-Owned Business Enterprises,Michael Garner,Michael,Office of M/WBE,True,True
Mayor's Office of Talent and Workforce Development,Doug Lipari,Doug,,True,True
Lincoln Center Theater,Kewsong Lee,Kewsong,,False,False
Department of Investigation,Jocelyn Strauber,Jocelyn,,True,True
Mayor's Office to End Domestic and Gender-Based Violence,Saloni Sethi,Saloni,,True,True
Chief Efficiency Officer,Denise Clay,Denise,,True,True
Mayor's Office of Media and Entertainment,Pat Swinney Kaufman,Pat,,True,True
Department of Finance,Preston Niblack,Preston,,True,True
New York City Districting Commission,,,,False,True
New York City Employee Retirement System,Elizabeth Reyes,Elizabeth Reyes,,False,True
Teachers' Retirement System of City of New York,Patricia Reilly,Patricia,,False,True
Commission to Combat Police Corruption,,,,True,True
Green Economy Advisory Council,,,,False,False
New York City Office of the Actuary,Marek Tyszkiewicz,Marek,,False,True
